name|reviews|star
해운대 동백호텔|<div class="txt">객실컨디션은 솔직히 완벽하다할순없었어요 <br/>바닥에 머리카락도 꽤보이고 에어컨작동도 시원찮고 <br/>그치만 너무친절하시고 생수나수건등 필요한용품들 자유로이 갖다쓸수있는점도 좋았구요 고객편의를 위해 애쓰시는 느낌이었습니다  프론트에 썬스프레이 비치해두시는 센스는<br/>엄지척!! ㅋ  주변에 식당편의점 가깝고 저는 좋은 느낌으로<br/>쉬고갑니다</div>|<div class="num">10.0</div>
해운대 동백호텔|<div class="txt">해운대해수욕장에서 걸어갈 수 있을 정도의 거리라 좋아요! 물놀이하고 오는 사람이 많은 것 같은데 모래나 이런 건 어쩔 수 없는 것 같아요.. 다른 것들은 깨끗해서 찝찝함 없이 이용했습니다!</div>|<div class="num">8.0</div>
해운대 동백호텔|<div class="txt">객실이 좋았고 트윈침대라 편하게 잘 수 있었어요! 숙소사진이 비록 없지만...여러모로 잘 지냈습니다! 해운대랑 걸어서 10분 이내라 물놀이 하는거에도 편했어요 :)</div>|<div class="num">10.0</div>
해운대 동백호텔|<div class="txt">체인같은거 몰랐고 평이 너무 좋기도하고 한실찾고있었는데 마침 빈방이 있어서 여기로 오게 되었어요. 2023년 5월 오픈이라해서 신식일줄알았는데 기존모텔 인수하신것같더라구요. <br/>화장실의경우 수리없이 그대로 사용중인것같은데 줄눈사이사이 곰팡이가 많이 심합니다. 방에는 먼지가 많은편이예요. 생각없이 훑었는데 손에 많이 묻어나더라구요.<br/>그리고 다른분들도 말씀해주신것처럼 환풍기소리 시끄럽구요. 다른방에서 월풀? 사용하는 소리라 하셨는데 굉장히 시끄럽습니다. 배기음 시끄러운 오토바이가 내방창문앞에 있는것같은 그런느낌이예요. 낮엔 그래도 오냐오냐 할수있는데 밤 11시인데 저러는거보면 입실할때 따로 말씀을 안해주시는것같네요. 아쉽습니다.<br/>또 제가쓰는방은 리모컨도 상태가 그리좋지 않네요 귀찮아서 따로 말씀은 드리지 않았는데 리뷰에도 내용이있는거보면 전혀 개선이 되지않고있다 라고 생각됩니다. 그래도 잘 쉬다 가요</div>|<div class="num">10.0</div>
해운대 동백호텔|<div class="txt">여름휴가로 연박잡아놓고                                 <br/>편하게 잘이용했습니다                                            <br/>감사합니다</div>|<div class="num">10.0</div>
해운대 동백호텔|<div class="txt">이불이 쪼끔 꿉꿉하긴했지만 가성비 좋고 깔끔했어요<br/>또 갈 예정입니다ㅎㅎ</div>|<div class="num">10.0</div>
해운대 동백호텔|<div class="txt">세면대 배수가 안대고 한평도 안대는 욕실에서 좌변기랑 샤워도 같이 했습니다.리모델링 했다지만 노후대고 냄새는 최악입니다.성수기라 금액은 세배로 받으시고 정말 나쁘네요. 인터넷 사진 정말  잘찍으셨네여</div>|<div class="num">2.0</div>
해운대 동백호텔|<div class="txt">화장실이 머 한 사람이 들어 가서도 움직이기도 불편하고 샤워기가 세면대랑 붙어있고 <br/>문 밑 부분은 물 이끼가 득실되고 암튼 불편하고 좀 힘들었어요.</div>|<div class="num">6.0</div>
해운대 동백호텔|<div class="txt">깨끗함~<br/><br/>급하게 잡았는데 큰 문제없이 썼고 해운대역이랑 가까워서 좋음</div>|<div class="num">10.0</div>
해운대 동백호텔|<div class="txt">조아요 조아요 조아요 조아요</div>|<div class="num">10.0</div>
해운대 동백호텔|<div class="txt">퇴실시간이 14시인데 왜 12시에 퇴실 하라고 하시죠ㅠㅠ?<br/>실내 내부에 전체적으로 안좋은냄새 남..<br/>특히 화장실은 찌린내 나고 침실은 담배냄새가 나요<br/>호텔 외관상 보기엔 깔끔해요!<br/>주차는 별 1개 드립니다... 개 협소함<br/>숙소 자체 위치는 참 좋은듯요</div>|<div class="num">7.0</div>
해운대 동백호텔|<div class="txt">너무 좋아용 ㅎㅎ 깔끔하고 여기만한곳은 없는거 같아요너무 좋아용 ㅎㅎ 깔끔하고 여기만한곳은 없는거 같아요너무 좋아용 ㅎㅎ 깔끔하고 여기만한곳은 없는거 같아요너무 좋아용 ㅎㅎ 깔끔하고 여기만한곳은 없는거 같아요</div>|<div class="num">10.0</div>
해운대 동백호텔|<div class="txt">성수기에 저렴하게 예약 해서 너무 좋았어요!<br/><br/>위치가 정말 좋아서 해수욕장이든 광안리든 금방 갈 수 있다는 점이 너무 좋았어요! 버스정류장이랑 역이 정말 가깝구 해리단길이랑도 가깝고 해수욕장이랑도 가까워서 정말 너무 편했어요...٩(♡ε♡ )۶<br/><br/>수건이랑 일회용 숟가락 젓가락이 필요한 만큼 더 쓸 수 있도록 2층에 비치되어있는것도 너무 편했습니다&gt;_&lt;<br/><br/>그리구 드라이기 풍량 쎄서 바닷가 갔다가 샤워하고 머리 말리는데 너무 편했어요!<br/><br/>이런 사소한 곳들에서 만족도가 높아서 정말 편했어요<br/><br/>와인잔이 있을 줄 알았는데<br/>아직 준비되어있지 않았던거랑 넷플 연결이 어려웠던게 조금 아쉬웠지만🥲<br/><br/>그 점은 그닥 신경 쓰이지 않았을 정도로 너무너무 좋았어요!<br/><br/>주변 사람들에게도 추천하고싶은 숙소에요&gt;_&lt;<br/>부산 여행이 덕분에 너무 즐거웠어요!</div>|<div class="num">10.0</div>
해운대 동백호텔|<div class="txt">귀여운 동백이가 맞아주는 동백호텔<br/>역이랑 가까워서 대중교통 이용하기도 좋고 해운대 해수욕장, 해운대시장, 막창거리, 해리단길도 도보로 가까워요!<br/>수건과 비품이 셀프 서비스라 좋고 사장님도 친절하셔요~!<br/>무엇보다 피부 타지 말라고 썬스프레이 구비해놓으신건 진짜 센스 대박 ㅠㅠㅠ <br/>연박 했는데 잘 쉬었다 갑니다! 감사해영!</div>|<div class="num">10.0</div>
