name|reviews|star
사상 미스터브릭 호텔|<div class="txt">(10번째 방문) 계속 대실을 이용하다가 까다로운 여친이 숙박하자고해서 이번에 이곳에 처음으로 숙박을했습니다. 여기로 바꾸기전에 다른숙소들은 맨발로 다니기에는 찝찝하고 청소도 미흡한곳이 많았는데 이곳 "미스터브릭"은 모든게 완벽하네요 물론 신설이라서 그렇다고 생각하는부분도있겠지만 신설이라고해도 여러사람들이 이용하기어 놓치는 부분도있고 미흡한부분도 생길텐데 이곳 "미스터브릭"은 단점을 찾아볼수가없어요 장점만 가득합니다. 완벽해요 앞으로도 자주 이용할려고합니다. 비용도 다른지점들이랑 비교하면 적자가아닐까? 싶을정도로 저렴한편이에요</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">진쯔 마약침대.. 너뮤너무 편하게 숙면햇어요 진짜 침구가 좋아서인건지 여러번 생각햇어요 오랜만에 너무 푹 자서.. ㅋ 객실도 너무 깨끗하고 편하게 쉬고 놀고 갑니다 또 갈 계획이에용</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">위치도 저희 일정이랑 잘 맞는 곳이었고, 주차장도 넓게 잘 되어있어서 편리하게 이용할 수 있었습니다. 리뷰에 사진들이 이뻐서 도착하자마자 확인하니 기대한만큼 괜찮았습니다. 시설.청결.서비스 모두 만족스러워서 재방문 의사 있습니다.</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">가성비 최고고 이 가격에 이정도 시설이면 부산 최강이 아닐까 생각함<br/>뷰도 좋습니다 리버파크뷰 낙동강 삼각지뷰<br/>리뷰 귀찮아서 안남기는데 정말 좋았어서 남기고 갑니다.</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">사진 그대로 정말 너무 이쁘고 좋았어요~~ 샤워용품 향도 너무 좋고 욕조도 이뻐요 ㅎㅎ 꼭 오세요 후회 안 합니다 별점 100점 줄 수 있었다면 100점 주고 싶네요 악!!!!!!!</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">깔끔하고 좋은 숙소였어요~!<br/>신축이라서 그런지<br/>룸 컨디션도 정말 좋았고<br/>무엇보다 수압이 세서<br/>씻기 편했던 것 같아요:)<br/>사장님도 친절하시고<br/>주차자리도 널널해서<br/>혹시나 주차 걱정 안하셔도 돼요</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">분위기도 인테리어도 대박이엇어요<br/>까ㅓ끗하고 좋아요</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">네 그냥 그래요 그냥 그냥...</div>|<div class="num">4.0</div>
사상 미스터브릭 호텔|<div class="txt">거리가 조금 있는곳으로 잡았지만 전혀 후회가 안될만큼 만족하게 이용했습니다ㅎㅎ 새로 리뉴얼을 해서 가성비가 좋은 호텔이고 침구류 및 구조도 복층 비슷한 형태여서 신선하고 넓은느낌이라 좋았습니다ㅎㅎㅎ 재방문 의사 100프로 입니다~~ 담에 가도 잘 부탁드려용~</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">좋아요 조효ㅡㅂ니다</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">정말 좋아요 재방문의사 100%</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">깨끗한 곳 찾아 왔어요!!! 글구 모텔 특유의 노란 불빛이 싫어서 여기 찾아왔어요<br/>사진은 주황 빛이 아니라서요ㅠㅠ글구 호텔이라 적혀 있어서 비즈니스 호텔은 되겠지 생각했는데 그냥 모텔이였어요ㅠㅠㅠ<br/>딱 주황빛 불빛이였슴당 ㅜㅜ깨끗하긴 했어요!<br/>근데 사진은 수정 하셔야 될 거 같아요 ㅠㅡㅠ</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">신설이라 시설도 깨끗하고 좋습니다<br/>2층 형식으로 되어 있어서 인테리어도 독특하고 욕조 변기 샤워실이 다 분리되어 있어서 편해요 화장실 냄새가 약간 나는편인데 문이 있어서 닫아두면 잘 때 괜찮아요!</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">카운터도친절하십니다 비록 택시타고 찾아가고 시내중심가로 나오고해야하지만 두번째방문이었습니다. 근처에배달오는맛집도있습니다. 깨끗하고 침구류도 편안합니다. 복층형태라서 그런지 공간이넓고 만족</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">시설 좋고 재방문 의사 ㄱㄱ</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">최고에요 입구부터 정말 깔끔하고 예쁘고 방 구조도 너무마음에 들고요 창도 커서 해도 잘들어요! 욕조도 있네요 최고에요!!</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">일정이 변경돼서 들리게 되었는데 전반적으로 굉장히 좋았습니다. 이 가격에 이 정도 퀄리티라니 대박이에요. 청결상태도 좋고 깔끔했습니다. 다음에 근처 가게 되면 또 갈 것 같습니다.</div>|<div class="num">9.6</div>
사상 미스터브릭 호텔|<div class="txt">오픈한지 얼마 되지않았다고해서 방문했습니다.<br/>새로 오픈한거 치고는 룸컨디션이 좋은편은 아닌거 같아요.<br/>청소는 정말 조금 더 신경써주셔야 할거같습니다.<br/>다른 사람이 사용했던 물건도 발견했구요.<br/>그냥 보이는곳만 치우시는거 같네여...<br/>결론적으로 재방문 의사는 없습니다..</div>|<div class="num">3.6</div>
사상 미스터브릭 호텔|<div class="txt">객실이 넓고 욕조가 있어서 좋아요<br/>구조가 신기해요<br/>저녁 늦게 와서 아직 해 들어오는건 못봤지만<br/>좋을거 같아요</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">차가 없으면 가기 좀 불편할거 같네요. 요즘은 날이 많이 덥고 습해서 편의점도 걸어가기 좀 애매한 거리에 위치해 있어요. 숙소 이용하시기전에 필요한거는 미리 다 사가지고 들어가시는거 추천드립니다.</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">와 진짜 좋아요,,,<br/>진짜 펜션 모텔 호텔 다 많이다녔는데<br/>들어가자마자 와진짜좋다 라고 생각한적<br/>처음이에요,,, 대왕추천💙❤️🦋🦋</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">주차장도 넓고, 이중창이라 바깥쪽 방음이 잘되어서 좋았습니다. 전반적으로 깔끔하고 시설도 좋았구요. 딱 한가지 샤워실 문을 닫으면 안쪽에 수건이나 옷을 둘 곳이 없어 아쉬웠습니다. 그거 하나 빼고는 모두 만족스러웠던 숙소였네요.</div>|<div class="num">10.0</div>
사상 미스터브릭 호텔|<div class="txt">진짜 100점만점에 100점입니디 ..!! 사장님도 너무 친절하시고 !! 발 스파랑 그냥 욕조랑 완전 피로푸는데 최고였아요 ..!! ㅎㅎ 다들 거리도 멀다 하는데 생각보다 안멀었어요</div>|<div class="num">10.0</div>
