name|reviews|star
청주 넘버25-터미널점|<div class="txt">일단 주차장도 넓어서 마음에들고! 시설대비 가격도 저렴한 편이네요 ㅎㅎ 주변에 많은 숙소들이 있지만 넘버25는 앞으로도 자주 이용할 수 있겠어요 ㅎㅎ 편안하게 잘쉬다가갑니다! 번창허세요!</div>|<div class="num">10.0</div>
청주 넘버25-터미널점|<div class="txt">좋았어요! 깔끔하고 물과음료도 자유로가져다먹어서좋았고요..얼음도 준비돼있구..시원한게 커피마실수있어좋음 방컨디션도 깔끔하고.. 수압도세고 비데도 있고..가격대비 만족~~~~~~~~~</div>|<div class="num">10.0</div>
청주 넘버25-터미널점|<div class="txt">청결하구 좋았어용 샴푸랑 치약도 넘 좋았구용 ㅎㅎ 시설 전반적으루 다 만족합니다 !! 이렇게 좋은곳을 왜 이제 알았는지 ,, 앞으로 종종 자주 이용하겠습니당 사장님 번창하세요^^~~~</div>|<div class="num">10.0</div>
청주 넘버25-터미널점|<div class="txt">주말에 여자친구랑 애견동반으로 예약했어요<br/>사정상 멍멍이랑 같이가지는 못했지만<br/>하루종일 뒹굴뒹굴 놀았네요<br/>침대위생상태도 너무 깔끔하고<br/>스타일러까지 완벽! 티비도 커서 같이 드라마보면서 놀기 좋네요 ㅎㅎ</div>|<div class="num">10.0</div>
청주 넘버25-터미널점|<div class="txt">너무 깨끗하고 친절하셔서 편하게 잘 이용했습니다.<br/>근처에 음식점, 편의점등이 있어서 불편함없이 숙박할수 있었어요~~<br/>주차도 불편함이 없었고<br/>청주 터미널도 가까워요<br/>출장와서 숙박 했는데 매우 만족합니다^^</div>|<div class="num">10.0</div>
청주 넘버25-터미널점|<div class="txt">친절하고 좋았어요 편히 쉬다갑니다~</div>|<div class="num">10.0</div>
청주 넘버25-터미널점|<div class="txt">사장님도 친철하고 룸 컨디션도 쾌적하네요 <br/><br/>출장을 자주 다니는데 좋은 숙소 만난 것 같아 좋아요!<br/><br/>근처 맛집도 많아 이용에 아주 편리했습니다. <br/><br/>침대도 편하고 아메니티도 딱이였습니다.<br/><br/>다음에 다시 방문하겠습다. 고맙습니다.</div>|<div class="num">10.0</div>
청주 넘버25-터미널점|<div class="txt">깨끗하고 좋아요~~</div>|<div class="num">10.0</div>
청주 넘버25-터미널점|<div class="txt">깔끔하고 사장님도 착해요 가격도 착하고 저번에 왔었는데 또 생각나서 왔어용</div>|<div class="num">10.0</div>
청주 넘버25-터미널점|<div class="txt">여자친구와 급하게 잡고 방문했는데 처음 따뜻한 물이 안나왔지만 친절히 대응해주셨습니다. 주차장이 넓고 방이 깔끔했습니다. 티비도 크고 침대도 편해서 잘 있다가 갑니다. 👍👍👍👍👍👍👍</div>|<div class="num">9.3</div>
청주 넘버25-터미널점|<div class="txt">어르신 분들이 운영하시는데 <br/>너무 깔끔 하고 너무 친절 하십니다 ~<br/>자주 이용 해도 후회 하지 않을거 갓아요 ~</div>|<div class="num">10.0</div>
청주 넘버25-터미널점|<div class="txt">만족합니다 <br/>만족합니다</div>|<div class="num">10.0</div>
청주 넘버25-터미널점|<div class="txt">갈때마다 대만족입니다! 주변 상권이 조용해서 푹 쉬기 좋습니다! 방도 깨끗하고 주차자리도 많습니다! 조금 걸어나가면 먹자골목 있어서 먹거리도 많고 사장님도 친절하십니다! 담에 또 갈께요!</div>|<div class="num">10.0</div>
청주 넘버25-터미널점|<div class="txt">방도 좋고 조용해서 맘에듭니다</div>|<div class="num">10.0</div>
청주 넘버25-터미널점|<div class="txt">편하게 이용하고 나왔습니다<br/>전체적으로 쓸만한 컨디션으로 구비된 일반 모텔이에요<br/>또 방문해보규 싶네여~~</div>|<div class="num">7.3</div>
청주 넘버25-터미널점|<div class="txt">리뷰는 제가 어지간하면 안 남기는데<br/>여기든 시설도 시설이지만 주차공간도 넓어요<br/>그리고 직원분이 정말 친절해서 들어오면서부터<br/>기분이 좋아집니다 ㅎㅎ<br/>앞으로 자주 오게 될 것 같습니다 ㅎㅎ</div>|<div class="num">10.0</div>
