name|reviews|star
청주 es Hotel|<div class="txt">생각보다 깨끗해서 좋았습니다.<br/>냄새도안나고 에어컨이 조금떨어져있어 비로시원하진않았지만 잘때 감기안걸리고 방은 시원해서 좋았습니다.<br/>가성비도좋고 주차장도 넑고 1층에 음료 밈편히가져갈슈있어서좋았습니다.라면도 무한으로먹을수있게 세킹되어있어서좋았습니다</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">가끔 이용하는 곳인데 저렴하고 아늑하고 조용해서 편리합니다<br/>운영하시느라 고생이 많으실텐데 바닥 청소에 조금 더 신경 써 주시면 더이상 바랄께 없겠네요!!! 기회되면 또 찾을께요^^ 감사합니다!!</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">연일  지속되는  무더운 날씨속에  편안히 휴실 취할수 있는 쉼터같은  숙소입니다..<br/>청소상태나  친절은  말할것도 없구요..<br/>더운날  에어컨 과 함께  영화보기  딱 좋은듯 했어요..^^</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">저번이랑 다르게 이번엔 스타일러 잘 작동해서 좋았습니다!<br/>온수도 금방 잘 나오고 방음도 잘 되는지 조용하게 푹 쉬었습니다ㅎ<br/>로비에 얼음컵, 라면, 음료 등 부족하면 가져갈 수 있는 것도<br/>너무 좋더라구요!<br/>근데 에어컨이 작동되다가도 안되는것도 있었고<br/>티비도 갑자기 화면 꺼지길래 다시 켜봐도 안되고<br/>껐다 켰다를 여러번 반복해야 확실히 켜지더라구요ㅠㅠ<br/>방 청소하시는 분들이 계속 밖에 계셔서 신경쓰이고<br/>깜짝깜짝 놀라긴했지만 그거 외에는 다 좋았습니다ㅎ</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">오늘도  무더운 날씨 였네요..<br/>숨막히게  더운날씨에  들러서  시원하게  잘 머물고 갑니다.  언제쯤  더위가 사그라들지  모르정도로  덥기만 하네요..편안하게  잘쉬고 와서 좋았습니다..^^</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">1.시설은 그냥 쓸만함. 주변중에선 괜찮은편인듯 싶음.<br/><br/>2.청소상태 불량. 전에 이용하던사람들이 술을 먹었는지 소주 병뚜껑이 바닥에 뒤집어져있어 밟았으면 피봤을수도.<br/><br/>3. 친절도 최악. 무슨 기분나쁜일 있으셨는지 예민한날일지는 모르겠지만 말투부터 최최악ㅡㅡ</div>|<div class="num">1.0</div>
청주 es Hotel|<div class="txt">휴가 기간이라서  오랜만에  들러보았습니다..<br/>예약시간보다  조금 일찍 방문드렸는데  친절하게 안내하여  주시고  무더운 날씨  숙소내 에어컨 바람시원하게  쐬며 편안히 묵고 왔네요..^^</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">사장님 너무 친절하시고, 청소상태 나이스~ 좀 어두운<br/>것 빼고 조용하고, 가성비 최고인 객실 넓이 주차공간<br/>따로 확보항 필요없는 일체형 너무 종아 계속 방문 하고<br/>있습니다. ㅎㅎㅎㅎ</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">날씨가 너무더워  숙소를 잡고1박을 오랜만에 했는데 여전히 깔끔한 침실과 화장실, 로비에 준비되어있는 부식 종합 선물세트(라면,커피,각종음료,얼음컵)는 든든한 지원군이였습니다.<br/>더운여름 시원히1박하고 갑니다</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">시설 깔끔해서 좋아요</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">사장님도 친절하시고 방도 좋아용</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">사장님 너무 친절하시고, 청소상태 나이스~ 좀 어두운<br/>것 빼고 조용하고, 가성비 최고인 객실 넓이 주차공간<br/>따로 확보항 필요없는 일체형 너무 종아 계속 방문 하고<br/>있습니다. ㅎㅎㅎㅎ</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">직원들은 친절한테 사장 마인드가 shit! <br/>고객 응대하는걸 보니 망하겠네.                         <br/>종종 이용했었는데 Adios Basura~!<br/><br/>직원들은 친절한테 사장 마인드가 shit! <br/>고객 응대하는걸 보니 망하겠네.                         <br/>종종 이용했었는데 Adios Basura~!!!</div>|<div class="num">4.3</div>
청주 es Hotel|<div class="txt">사장님 너무 친절하시고, 청소상태 나이스~ 좀 어두운<br/>것 빼고 조용하고, 가성비 최고인 객실 넓이 주차공간<br/>따로 확보항 필요없는 일체형 너무 종아 계속 방문 하고<br/>있습니다. ㅎㅎㅎㅎ</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">잘쉬었다가 갑니다 감사합니다</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">뭐  자주  들러서  특별히  할말은  없지만  ~~ <br/>항상  깔끔하고  마실걸도  충분하고  객실도  ~~ <br/>깔끔하고  좋아요  또  들르겠습니다 ~~<br/>돈많이  버시고  번창하세요</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">바쁜터라  오랜만에  들러본듯 하네요..  무더위도 무더위 지만 갑작스런 소나기도 내리고  휴가철로  접어들어서 오랜만에  들러보았습니다..항상 편안하고  한결같이 좋은 숙소입니다..^^</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">1. 이벤트 특가로  좋은객실을 득템할수 있다.<br/>2. 주차걱정 안해도 됄만큼 주차공간 좋음.<br/>3. 직원분들 친절하시고 <br/>4. 로비에 각종 음료와 스넥바가 있다.<br/>5. 한강라면도 있음 ㅋㅋㅋ<br/>6. 편안한 침구와 아늑한 공간에 시간도 넉넉하서 좋음.</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">사장님 너무 친절하시고, 청소상태 나이스~ 좀 어두운<br/>것 빼고 조용하고, 가성비 최고인 객실 넓이 주차공간<br/>따로 확보항 필요없는 일체형 너무 종아 계속 방문 하고<br/>있습니다. ㅎㅎㅎㅎ</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다. 잘 쉬었습니다.</div>|<div class="num">8.0</div>
청주 es Hotel|<div class="txt">입실시간이 빨라서 넘 좋아요~~<br/>주차장도 넓고 편의점도 완전 가까워요<br/>엘베앞에 물이랑 음료수도 있어서 마음껏 가져다먹어도 되구 방도 넓습니당<br/>따로 뭐먹을수 있는 쇼파랑 테이블도 있어오~</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">사장님 너무 친절하시고, 청소상태 나이스~ 좀 어두운<br/>것 빼고 조용하고, 가성비 최고인 객실 넓이 주차공간<br/>따로 확보항 필요없는 일체형 너무 종아 계속 방문 하고<br/>있습니다. ㅎㅎㅎㅎ</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">이에스호텔 늘좋아요 대실시간도길고 티비좋고 침구좋고 화장실도좋고 조명도 좋고 이때 들어간곳은 담배냄새도 전혀없어서 쾌적하게 잘 쉬다가 왔습니다. 에어컨도 잘 돌아가서 시원하게 잘 쉬었어요.</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">편히 잘 쉬었다 갑니다.<br/>여기어때 결제가 몇번이나 자동취소 돼서 살짝 짜증이ㅜㅜ났는데 그것빼곤 다 괜찮았어요.<br/>드라마랑 영화랑 재밋게 보고 편하게 쉬었어요.<br/>자주 들리는 곳인데 다음엔 결제가 잘 돼었으면 합니다.</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">청주최고의 숙소☆☆☆계속 재방문</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">늘 잘쉬었다갑니다 청소상태 늘 만족합니다</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">항상 가는곳입니다~ 룸이 넓어요~ 항상 가는곳입니다~ 룸이 넓어요~ 항상 가는곳입니다~ 룸이 넓어요~ 항상 가는곳입니다~ 룸이 넓어요~ 항상 가는곳입니다~ 룸이 넓어요~ 항상 가는곳입니다~ 룸이 넓어요~</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">자주  가는곳이라  딱히  뭐  할말은  없지만<br/>항상  깨끗하고   좋아요 앞으로도   지금처럼<br/>유지하면  좋을것  같아요  간간히  쉬다갈께요<br/> 무더위에  수고하세요 ㅎㄹㅎ  ~~~</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">너무너무 좋아요~~!</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">프론트 직원분 친절하고 다양한 음료가 있어 좋습니다<br/>주차장도 넓고 객실도 깨끗하네요<br/>화장실도 넓고 편안하게 잘 쉬다갑니다<br/>다음에 또 재방문하겠습니다<br/>재방문 재방문 재방문 재방문 재방문</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">사장님 너무 친절하시고, 청소상태 나이스~ 좀 어두운<br/>것 빼고 조용하고, 가성비 최고인 객실 넓이 주차공간<br/>따로 확보항 필요없는 일체형 너무 종아 계속 방문 하고<br/>있습니다. ㅎㅎㅎㅎ</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">너무너무 좋아요~~!</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">장마로 인한  폭우가  어마무시 내리는 하루였네요.. 비가 많이 내려서  습한기운이 가득할줄 알았는데  실내는 뽀송했어요.. 편안하게  잘 묵고갑니다..<br/>항상 친절하시고  감사합니다..</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">잘 이용했습니다....... 잘 이용했습니다....... 잘 이용했습니다....... 잘 이용했습니다....... 잘 이용했습니다....... 잘 이용했습니다....... 잘 이용했습니다....... 잘 이용했습니다....... 잘 이용했습니다....... 잘 이용했습니다....... 잘 이용했습니다....... 잘 이용했습니다....... 잘 이용했습니다....... 잘 이용했습니다....... 잘 이용했습니다.......</div>|<div class="num">5.0</div>
청주 es Hotel|<div class="txt">늘 편하게 잘 이용하고있습니다</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">사장님 너무 친절하시고, 청소상태 나이스~ 좀 어두운<br/>것 빼고 조용하고, 가성비 최고인 객실 넓이 주차공간<br/>따로 확보항 필요없는 일체형 너무 종아 계속 방문 하고<br/>있습니다. ㅎㅎㅎㅎ</div>|<div class="num">10.0</div>
청주 es Hotel|<div class="txt">너무너무 좋아요~~!</div>|<div class="num">10.0</div>
