name|reviews|star
충주 가나무인텔|<div class="txt">늦은 시간에 입실했는데도 바로 문의한거 답변해주시고 너무 친철하섰습니다~숙소도 리모델링을 한건지 너무 깔끔했어요~다음에 이용할 일 있으면 또 이용할게용~👍</div>|<div class="num">10.0</div>
충주 가나무인텔|<div class="txt">잘 사용하였습니다 컩디션 너무 좋습니다 번창하시길 바랍니다 좋아요<br/>잘 사용하였습니다 컩디션 너무 좋습니다 번창하시길 바랍니다 좋아요<br/>잘 사용하였습니다 컩디션 너무 좋습니다 번창하시길 바랍니다 좋아요</div>|<div class="num">10.0</div>
충주 가나무인텔|<div class="txt">집사람이랑  6일 골프여행 중 마지막날  묵은곳이다  영덕에서 올라왔다 주인장의 자세하고 친절한 안내에 잘찾아와서 짐을풀었다 한적하고 조용하고 깨끗하고 이불도 호텔급이상이었다 그리고 관리하시는 주인장의 어머님은 텃밭에서 농사지으신 따끈한 맛있는 옥수수도 주시고 빨래감이 많았는데 세탁기좀빌리려하니까 골프갔다오니 잘개서 방문앞에놓아주셨다 말로 표현할수 없을 정도로 감사했다  돌아는데  주인장 친절하게 문자도 주셨다 정말 고마운분들이시다 다음에 근처오면 또  오겠다고 집사람이랑 말했다 210호</div>|<div class="num">10.0</div>
충주 가나무인텔|<div class="txt">오랜만에 충주 여행 하는길에  숙소 고르기가 힘들어는데 찾아보니 신장개업이라 예약하고 가보니 조용하고 깨끗한 숙소인거 같아 좋았습니다. 사장님이 반갑게 맞이해주시고 애들 위해 간식도 챙겨주시고 이번 여행은 정이 넘치는 여행이었습니다. 노은면 근처 식당들도 친절하시고 맛도 있고 좋네요. 충주 시내 숙소 못지않게 불편하지 않고 좋았습니다. 다시 충주여행 가면 여기로 또 예약할렵니다. 감사합니다.ㅎㅎ</div>|<div class="num">10.0</div>
충주 가나무인텔|<div class="txt">친절하게 입실전 문자메세지 이용후 문자메세지<br/>가분좋고 문자에 이용방법 설명해주시니 좋네요<br/>가격조 저렴하고 조용하게 편안하게 쉬고갑니다<br/>재방문할께요<br/>퇴실할때 사장님내외부 두분이서 청소하러 다니시는거같은데 보기도좋네요</div>|<div class="num">10.0</div>
충주 가나무인텔|<div class="txt">가성비 최고네요~ 실내도 깔끔합니다</div>|<div class="num">10.0</div>
충주 가나무인텔|<div class="txt">가성비로  봐선  좋은 무인텔입니다       다시  리모델링해서  청결하지만     이왕이면   에어컨도 다시 설치 하시지    대우 에어컨  첨봄    조금더   투자 하셨음  더좋은 숙소가  됬을거라 생각합니다</div>|<div class="num">10.0</div>
충주 가나무인텔|<div class="txt">정말 너무 깔끔하고 조용합니다.<br/>라운딩 때문에 1박하게 되었는데<br/>사장님도 친절하시고 내부도 깨끗해서<br/>편안하게 잘 쉬고 왔어요.<br/>원래 리뷰 안쓰는데 정말 추천합니다.<br/>근처에 라운딩 갈때마다 숙소 때문에 애먹었는데<br/>가성비 좋은 새로운 곳을 알게되어 다행입니다.<br/>다음에 가게되면 꼭 재방하겠습니다.</div>|<div class="num">10.0</div>
충주 가나무인텔|<div class="txt">근처에 새벽 라운딩 일정이 있어서<br/>하루 묵게 되었습니다<br/>입실 시간이 늦어 문의드렸는데 친절하게 답변해주시고<br/>감사했습니다<br/>밤에 들어가는 입구가 어두워서 운전 조심히 가야하고<br/>아 제가 103호 묵었는데<br/>잘때 냉장고 소리가 너무 커서 코드 뽑고 자고<br/>아침에 다시 꼈어요 ㅎ</div>|<div class="num">10.0</div>
충주 가나무인텔|<div class="txt">도착해서 방배정받는데 얼마안기다렸는데 너무 미안해하셔서 제가 진상손님된줄 ㅎㅎㅎ 너무 친절하시네요 리모델링했는지 방안도 깔끔하고 화장실도 깔끔햇어요 화장실바닥에 온기가 느껴져서 좋았어요 뜨거운물도 빨리나오고 담에 또 이용할게요 즐겨찾기햇어요</div>|<div class="num">10.0</div>
