name|reviews|star
중리 만월 호텔|<div class="txt">여기너무 좋고 담배 냄새도 안 나요 편하게 쉬었습니다~~여기너무 좋고 담배 냄새도 안 나요 편하게 쉬었습니다~~여기너무 좋고 담배 냄새도 안 나요 편하게 쉬었습니다~~여기너무 좋고 담배 냄새도 안 나요 편하게 쉬었습니다~~</div>|<div class="num">10.0</div>
중리 만월 호텔|<div class="txt">컴터좋고 잘쉬고갑니다.<br/>컴터좋고 .잘쉬고갑니다<br/>잘쉬고갑니다<br/>잘쉬고갑니다<br/>잘쉬고갑니다<br/>컴터좋고 잘쉬고갑니다.<br/>컴터좋고 .잘쉬고갑니다<br/>잘쉬고갑니다<br/>잘쉬고갑니다<br/>잘쉬고갑니다<br/>컴터좋고 잘쉬고갑니다.<br/>컴터좋고 .잘쉬고갑니다<br/>잘쉬고갑니다<br/>잘쉬고갑니다<br/>잘쉬고갑니다</div>|<div class="num">10.0</div>
중리 만월 호텔|<div class="txt">확실히 사진에 보이듯이 일본풍에 히노끼탕은 좋았습니다.<br/>아쉬운점은 더운 여름에 에어컨이 제대로 작동하지 않아 <br/>땀 흘리며 자고, 요즘 왠만하면 다 나오는 <br/>넷플릭스도 개인적으로 로그인해야 한다는점이 아쉽네요..</div>|<div class="num">7.3</div>
중리 만월 호텔|<div class="txt">컴터좋고 잘쉬고갑니다.<br/>컴터좋고 .잘쉬고갑니다<br/>잘쉬고갑니다<br/>잘쉬고갑니다<br/>잘쉬고갑니다<br/>컴터좋고 잘쉬고갑니다.<br/>컴터좋고 .잘쉬고갑니다<br/>잘쉬고갑니다<br/>잘쉬고갑니다<br/>잘쉬고갑니다<br/>컴터좋고 잘쉬고갑니다.<br/>컴터좋고 .잘쉬고갑니다<br/>잘쉬고갑니다<br/>잘쉬고갑니다<br/>잘쉬고갑니다</div>|<div class="num">10.0</div>
중리 만월 호텔|<div class="txt">종종 오는 곳인데 올 때마다 컨디션이<br/>나쁘지 않아서 올 때마다 만족하는 편입니다. 티비도 잘 나오고 피씨도 문제 없고 청소상태도 양호합니다. 앞으로도 이 컨디션 오래 유지해서 오래 영업해주세요</div>|<div class="num">10.0</div>
중리 만월 호텔|<div class="txt">욕실 바닥이 넘 미끄러워서, 결국 미끄러지고 말았어요.<br/>하마터면 큰일 치를뻔 했습니다.</div>|<div class="num">8.0</div>
중리 만월 호텔|<div class="txt">출장 때문에. 정말. 많은 숙소 이용하는데<br/><br/><br/>이곳 정말 좋습니다. 가격도 저렴하고. 시설도.  <br/><br/>깔끔합니다<br/><br/>배달음식 시켜 먹기도. 편하고<br/><br/><br/>만족합니다.  재이용 의사 충분히 있습니다</div>|<div class="num">10.0</div>
중리 만월 호텔|<div class="txt">아름다운 봄날 주말 여행중에 마땅한 숙소를 찾던중에<br/>여행지와 가까운 곳을 선택했는데<br/>의외로 아늑하고<br/>깨끗하고<br/>또한<br/>친절해서 좋았네요.<br/>비품도 잘 준비되어 있어서 <br/>부족함이 없었습니다.<br/>편안하게 쉼하고<br/>갑니다.</div>|<div class="num">8.0</div>
중리 만월 호텔|<div class="txt">잘쉬다 왔습니다. 좋아요</div>|<div class="num">10.0</div>
중리 만월 호텔|<div class="txt">사장님이 친절하시구요.<br/>방이 따듯해서 뚝쉬다가 나갈수 있었습니다.<br/>다음에또 방문하고 싶습니다.<br/>추천드립니다.. 수고하세요.<br/>T<br/>감기조심하세요......굿굿굿굿굿굿<br/>굿.. ㅎㅎ 잘셧어여</div>|<div class="num">10.0</div>
천안 어반스테이|<div class="txt">천안IC에서나와서 가까히 자리에잡혀잇고 찾아오기도편리합니다 주차하기도 편리하고  일층에 편의점도 잇어서 더욱 편리하여 편히쉬다갈수잇어서좋습니다<br/>사장님도 엄청 친절하세요~</div>|<div class="num">10.0</div>
천안 어반스테이|<div class="txt">여행중에 잠시 쉬어가느라 대실했어요<br/>요청사항이 있어 바꿔주셨는데<br/>컨디션  너무 좋아요!!<br/>주차장도 넓고 좋고 화장실도 깨끗<br/>수압 좋고 티비도 크고 인테리어 작은 디테일까지<br/>신경 많이 쓴것같은게 보여요<br/>가격대비 너무 깨끗합니다 <br/>주말마다 종종 천안에 올 일이 많은데<br/>여기만 올 것 같아요^^</div>|<div class="num">10.0</div>
천안 어반스테이|<div class="txt">방이 깨끗하고 넓고 물도 잘 나와서 좋았어요!! 에어컨도 잘 나와서 시원하게 잘 잤던 것 같네요 티비도 넷플릭스가 제공되어서 재미있게 시청했네요!! 다음에도 두정역 주변에 방문하면 꼭 이용하겠습니다!</div>|<div class="num">10.0</div>
천안 어반스테이|<div class="txt">넷플릭스 보려는데 리모컨 반응속도가 느린게 아쉬웠어용 전에 방문했을땐 안이래서 이 방만 그랬던 것 같아요 ~~ 담배냄새도 안나고 나머진 괜찮았어요 !<br/>하나 아쉬운건 나가는데 청소 아주머니가 한숨쉬면서 흘겨보듯 쳐다보셔서 돈내고 이용한건데 뭔가 눈치보였네요..ㅎ..ㅎ.. 저희한테 하신게 아니시겠죠..^^..</div>|<div class="num">10.0</div>
천안 어반스테이|<div class="txt">일단 주차장이 넓어서 주차하기 좋았습니다.<br/>사장님도 친절하셔서 기분좋았습니다. 가족과 같이 방문했는데<br/>욕실도 넓구 욕조도 커서 애들 씻기기도 참 좋았네요 따로 작지만 개인 테라스도 있다보니 마음에 들었고요.<br/>단지 리모콘 인식이 잘 안되서 채널 돌리기가 조금 힘들었던거 같습니다. 재방문 할거 같아요.<br/>잘쉬다갑니다. 번창하세요.</div>|<div class="num">9.0</div>
천안 어반스테이|<div class="txt">깨끗하고 사장님도 친절하셔서 출장오면 항상 방문</div>|<div class="num">10.0</div>
천안 어반스테이|<div class="txt">건물도 크고 주차장도 넓었어요<br/>숙소도 깔끔하고 좋았습니다</div>|<div class="num">10.0</div>
천안 어반스테이|<div class="txt">잘 쉬었기에 연박했습니다.<br/>그만큼 숙박하는데 문제 없던거 같네요<br/>잘쉬다갑니다 ~</div>|<div class="num">9.0</div>
천안 어반스테이|<div class="txt">바닥에 먼지같이 까슬까슬한게 좀 있었구요 화장실에도 물기가 있었어요 청소 방금 한 방 들어간 느낌 그래도 전체적으로 깔끔했구요 교통도 좋아서 배달도 빨리 왔어요 재방문의사 있습니다~~~</div>|<div class="num">10.0</div>
천안 어반스테이|<div class="txt">방이 엄청 넓어서 좋았습니다. 테라스있는 곳 원했는데 딱 알맞은 크기여서 좋았습니다. 욕조, 티비 등 큼지막해서 좋았어요. 스타일러도 있어서 꿉꿉해진 옷 잠시나마 해결할 수 있었어요</div>|<div class="num">10.0</div>
천안 어반스테이|<div class="txt">종종 잘 일 있으면 오는 곳인데 사장님도 너무 친절히 대해주시고 시설도 좋아요~ 침구 상태도 넘 깨끗해서 늘 보송보송 하게 잡니당 에어컨도 빵빵히 잘 나와요 ~~~ 자주 예약해도 실망스럽지 않아요</div>|<div class="num">8.6</div>
천안 어반스테이|<div class="txt">천안 출장이 자주 있는데 출장 올때마다 여기만 이용하는거 같습니다. 침구류 및 욕실 등 청결 상태 만족하구요. 주변에 맛집도 많아 좋습니다. 직원분들 항상 친절하구요. 다음 출장때도 재방문 할거 같습니다.</div>|<div class="num">10.0</div>
