name|reviews|star
공주 호텔금강|<div class="txt">다리건너 공산성 등 관광지와도 매우 가깝고<br/>터미널 및 공주대학교 근처라 음식점이나 편의 시설 등이 너무 잘되어 있었습니다<br/>시설은 조금 노후되었지만 하룻밤 묵는데는 전혀 문제 없었습니다</div>|<div class="num">10.0</div>
공주 호텔금강|<div class="txt">공주 오면 다시 찾게되는 꿀잠 숙소!<br/>항상 친절하고 가성비가 좋아서 이번에도 실패없이 잘 쉬다갑니다~<br/>전기충전기 점검해주세요~</div>|<div class="num">10.0</div>
공주 호텔금강|<div class="txt">세종출장와서 숙소로 이용하였는데 가성비 좋고 구조도 마음에 들었습니다~~~<br/>주차장도 넓은편이고 만족스러운 숙소였습니다<br/>공주 주변에 오시는분들은 한번쯤 이용해보시면 좋을것같습니다~~~~</div>|<div class="num">8.0</div>
공주 호텔금강|<div class="txt">일요일 저녁인데도 주차장에 차가 가득해서 놀랐습니다. 좋은 숙소니까 그렇겠지요. 저는 저녁에 일하는 사람이라 조식은 못 먹었지만, 조식도 제공해주시고 방 컨디션도 매우 좋습니다. 자주 이용할 것 같습니다.</div>|<div class="num">10.0</div>
공주 호텔금강|<div class="txt">객실 상태 청결했습니다. 대각선으로 금강이 보이는 방에 묵었습니다.<br/>어메니티도 양호하고, 인테리어 양호하나<br/>TV크기 조금 아쉬웠습니다.<br/>출장으로 인해 방문하기 되었는데 잘 쉬다 갑니다.</div>|<div class="num">8.0</div>
공주 호텔금강|<div class="txt">1. 담배냄새가 이번방은 심했네요<br/>2. 방충망이 안닫혀 환기를 못했네요<br/>3. 에어컨에 먼지가 너무 많았어요</div>|<div class="num">6.6</div>
공주 호텔금강|<div class="txt">싸게 잘 쉬다 갑니다~</div>|<div class="num">10.0</div>
공주 호텔금강|<div class="txt">잘이용하고 왔습니다 .........</div>|<div class="num">10.0</div>
공주 호텔금강|<div class="txt">항상 잘 이용하는곳입니다 시설 깨끗하고 좋아요</div>|<div class="num">10.0</div>
공주 호텔금강|<div class="txt">가성비 좋습니다ㅜ조식까지 주네요</div>|<div class="num">10.0</div>
공주 호텔금강|<div class="txt">시설이 매우 깔끔하고 청결했습니다 침구류도 깨끗하고 내부시설도 좋았구요 조용하게 잘 묵고 갑니다 주변에 편의시설도 가깝게 있어서 더 좋은 것 같아요 조식서비스도 된다고 했는데 일찍 나오는 바람에 이용 못한것이 아쉽네요</div>|<div class="num">10.0</div>
공주 호텔금강|<div class="txt">깔끔하고 조식 괜찮고 좋네요</div>|<div class="num">10.0</div>
공주 호텔금강|<div class="txt">잘 이용했습니다.......</div>|<div class="num">10.0</div>
공주 호텔금강|<div class="txt">깨끗하고 좋아요.단</div>|<div class="num">10.0</div>
공주 호텔금강|<div class="txt">지난 주에 이어 다시 세종 출장으로 인해 출장지와 가까운 이곳 공주 호텔금강으로 재방문하게 됐는데, 역시 프런트 직원분께서 친절하게 맞이해주셔서 기분이 좋았습니다. 크기가 큰 회사차량 역시 숙소건물 바로 앞쪽에 주차할 수 있어서 너무 편리했네요. 객실은 좁지 않고 침구류도 잘 정돈되어 있어서 편히 쉬기에 딱 좋았습니다. 하지만 세면대 배수구가 물이 빠르게 내려가지 않아 살짝 아쉬웠네요. 그래도 아침에 무료조식도 제공되고 여러모로 가성비가 참 좋은 숙소인 거 같습니다. 주변에 음식점이랑 편의점도 가까이 위치해 있어서 불편한 점이 없었네요~</div>|<div class="num">8.6</div>
공주 호텔금강|<div class="txt">깔끔하고 좋습니다...</div>|<div class="num">10.0</div>
공주 호텔금강|<div class="txt">결론부터 말씀 드리자면, 잘 쉬다 갑니다. 시설 깨끗하고 주변에 편의시설 다 있고 샤워시설도 좋아요. 사장님께서도 친절하시고 불편할게 없어서 너무 좋았어요. 다음에 또 기회되면 이용하고싶네요.</div>|<div class="num">10.0</div>
공주 호텔금강|<div class="txt">세종 쪽에 출장이 있어서 출장지와 가까운 곳으로 숙소를 검색해서 이곳으로 오게 되었는데 일단 외부 주차장이 크고 넓지만 저희 회사차가 높이가 높은 관계로 진입이 좀 어려울거 같아 말씀드리니 숙소 건물 바로 앞쪽에 주차를 할 수 있게 해주셔서 너무 감사하고 편했습니다. 프런트 직원분께서 무척 친절하셨어요. 룸은 적당히 크고 깔끔해서 좋았습니다. 침대도 커서 편했어요. 그리고 무엇보다도 조명이 밝아서 좋았습니다. 주위에 편의점이랑 식당도 많은거 같아서 편했어요~ 근데 여기서 아침에 무료로 조식도 이용가능해서 아주 좋은거 같습니다!</div>|<div class="num">9.0</div>
공주 호텔금강|<div class="txt">시설도 깨끗하고 좋습니다... 잘사용했습니다...</div>|<div class="num">10.0</div>
공주 호텔금강|<div class="txt">객실 침구류 깨끗해요<br/>욕실 위치가 베란다 참문쪽에  있는데 창문 열고 환기 시키면 되겠더라고요<br/>다만 tv가 벽걸이가 아니라 조금 아쉬웠어요</div>|<div class="num">10.0</div>
