name|reviews|star
동대구역 헤라|<div class="txt">대구 대학병원에서 수술을하고,<br/>퇴원 이틀 후에 또 병원가야되서 왔다갔다하기 힘들어 <br/>3박정도 할곳을 찾다가 헤라로 결정해서 예약하게 됐습니다<br/>수술직후라 걸을공간이 있음했고, 조용한곳을 찾고 있었는데<br/>탁월한 선택이였습니다.<br/>다른방 문닫는 소리에 한번씩 깜짝하긴했지만, <br/>그 외에는 너무너무 조용해서 어떤소음도 듣지 않고 푹 쉬고 잘수 있었습니다.<br/>에어컨도 넘 잘되서 수술부위에 땀으로 인한 염증걱정 할일도 없었고, 넷플릭스도 볼수있어서 심심하지도 않았습니다<br/>3박하는동안 계속 배달음식을 시켜먹을수밖에 없었는데<br/>직원분이 바로바로 치워주시고, 더 필요한건 없는지 챙겨주셔서  <br/>모자른거 없이 3박 푹 쉬고 왔습니다. 감사합니다</div>|<div class="num">10.0</div>
동대구역 헤라|<div class="txt">여기는예전에신랑이랑같었는데너무좋았어요 다시가고싶은곳입니다 그래서남동생한대추천해줘는데너무좋타고 다음에또가고싶다고하네요 사장님도좋고 기차역이랑도가까워서너무좋아요 방도깔끔하고 시설도좋아요 다음에또가고싶어요~♥</div>|<div class="num">10.0</div>
동대구역 헤라|<div class="txt">헤라 특실은 처음 이용해 봤습니다.<br/>일단, 음~~ 다소 올드하다는 느낌!!<br/>소파도 그렇고 시설이 좀 오래됐는데,<br/>그럼에도 편안한 침구라서 잘 쉬었습니다.<br/>다음에는 스위트룸으로 가려구요.</div>|<div class="num">8.0</div>
동대구역 헤라|<div class="txt">하늘이열리는 룸을 이용했습니다.<br/>에어컨이 새제품  쾌적하게 보냈습니다<br/>2층 스낵코너에 아이스크림, 음료, 식빵, 컵라면..<br/>직원분들도 전부 친절하고요<br/>동대구역에서 가깝습니다.<br/>가성비좋고, 티비도 커서 영화감상하기 좋습니다<br/>다음에 또 이용하고 싶네요</div>|<div class="num">10.0</div>
동대구역 헤라|<div class="txt">가성비 좋아요 가성비 좋아요가성비 좋아요 가성비 좋아요 가성비 좋아요 가성비 좋아요 가성비 좋아요 가성비 좋아요가성비 좋아요 가성비 좋아요 가성비 좋아요 가성비 좋아요 가성비 좋아요 가성비 좋아요가성비 좋아요 가성비 좋아요 가성비 좋아요 가성비 좋아요 가성비 좋아요 가성비 좋아요가성비 좋아요 가성비 좋아요 가성비 좋아요 가성비 좋아요 가성비 좋아요 가성비 좋아요가성비 좋아요 가성비 좋아요 가성비 좋아요 가성비 좋아요 가성비 좋아요 가성비 좋아요가성비 좋아요 가성비 좋아요 가성비 좋아요 가성비 좋아요</div>|<div class="num">10.0</div>
동대구역 헤라|<div class="txt">좋아용 동대구 쪽 갈 일 생기면 여기만 이용 합니다 ㅜ</div>|<div class="num">8.0</div>
동대구역 헤라|<div class="txt">편리하고 좋았어요 ㅎㅎㅎ</div>|<div class="num">10.0</div>
동대구역 헤라|<div class="txt">동대구  모텔중에  서비스최고</div>|<div class="num">10.0</div>
동대구역 헤라|<div class="txt">정말좋은 숙소였어요!!! 대구에 와서 처음으로 고민을했는데 이렇게 좋은 모텔이 있는디 알았으면 고민안했겠어요ㅜㅜㅜ 깨끗하고 사장님 친절하고 최고의 숙소였어요! 앞으로 도 고민안해도 되겠어요!</div>|<div class="num">10.0</div>
동대구역 헤라|<div class="txt">사진에는 쇼파가 있었는데<br/>방에는 쇼파가 없구요.<br/>빔 있는건 좋았지만<br/>컴터가 너~~~무 느려요<br/>진짜 엄청 느려서 빔 사용하지도 못했네요</div>|<div class="num">8.0</div>
동대구역 헤라|<div class="txt">역시나. 가성비는 최고임니다</div>|<div class="num">10.0</div>
동대구역 헤라|<div class="txt">객실 컨디션은 상당히 괜찮은 편이었습니다. 찜질방을 개인적으로 쓸 수 있어서 굉장히 좋았습니다. 수압도 좋고 씻을때 무척 기부니가 좋았습니다요. PC는 2대나 있지만 켜보진 않았습니다. TV 넷플 잘 나옵니다. 조식은 없지만 스낵코너 빵 있고오 소프트아이스크림 슬러시 무료로 주십니다. 원두커피도 주십니다. 원두커피에 아이스크림 넣어서 아포카토 만들어 먹으면 아주 좋습니다. 네 다음에도 방문예정입니다.</div>|<div class="num">10.0</div>
동대구역 헤라|<div class="txt">무인 처음 갔는데 시스템이 신기했습니다<br/>다만 들락 날락 거리기는 안좋아 보였습니다<br/>방도 넓고 넷플릭스도 되고 좋았습니다<br/>하루 잘 묵고 갑니다<br/>다음 번 또 재방문 의사 있습니다!! 번창하세요</div>|<div class="num">10.0</div>
동대구역 헤라|<div class="txt">주차공간 많고 사장님께서 주차까지 도와주시고 편했습니다. 냉장고에 음료도 마련돼어 있고 샤워실도 깨끗하고  비대설치도 돼어있고 매우 만족하고 사장님이 너무 친절하세요 ㅎㅎ 잘묵고갑니다</div>|<div class="num">10.0</div>
동대구역 헤라|<div class="txt">에어컨은 소리나고 침구류는 불편하고 화장실은...</div>|<div class="num">4.0</div>
동대구역 헤라|<div class="txt">숙소는 오래됐지만 친절한 사장님과 안내데스크에서 라면과 식빵, 커피, 아이스크림, 슬러시 물등 맘데로 가져가 먹을수가 있습니다.<br/>방크기는 상당히 크고요 욕실또햐 큽니다. 청소도 잘되는편이구요</div>|<div class="num">10.0</div>
동대구역 헤라|<div class="txt">주차공간 많고 사장님께서 주차까지 도와주시고 편했습니다. 냉장고에 음료도 마련돼어 있고 샤워실도 깨끗하고  비대설치도 돼어있고 매우 만족하고 사장님이 너무 친절하세요 ㅎㅎ 잘묵고갑니다</div>|<div class="num">10.0</div>
동대구역 헤라|<div class="txt">이번에는 스위트A 하늘룸을 이용했습니다.<br/>편하게 푹 쉴수 있어서 좋았어요<br/>에어컨 새제품으로 시원하고 쾌적하니 좋네요<br/>직원분들도 전부 친절하고요<br/>동대구역에서 가깝습니다.<br/>가성비좋고, 대형티비로 영화감상하기 좋습니다<br/>다음에 또 이용하고 싶네요</div>|<div class="num">10.0</div>
동대구역 헤라|<div class="txt">옛날 모텔 딱 그정도</div>|<div class="num">10.0</div>
동대구역 헤라|<div class="txt">동대구역 헤라<br/><br/>1실1주차(무인실)(연박불가)대실<br/>체크인7.15(토)14:00 체크아웃7.15(토)17:00<br/>사장님 인성이 좋습니다.<br/>시간좀 많이 썼는데 조금만 내고 가라고하셨습니다.</div>|<div class="num">10.0</div>
