name|reviews|star
중리 만월 호텔|<div class="txt">객실내부상태와 욕실등은 정말 깨끗했습니다! 원래<br/>대흥점을 이용했었는데 이번에는 중리점을<br/>이|용하게되었어요. 특실은 대흥점이 더 큰것같지만<br/>청결상태는 여기가 더 깔끔하게되어있네요.<br/>넷플릭스 안된다는 말이있었는데 티비에 넷플릭스<br/>있습니다! 컴퓨터에는 없었어요 ㅠ<br/>TV :넷플릭스 0, 유튜브 X<br/>컴퓨터: 넷플릭스 , 유튜브 0<br/>특실 기준이고 다른 방들은 모르겠네요,<br/>아 참 ! 여름이라 모기도많고 벌레도 많을 줄<br/>알았는데 벌레, 모기 없이 편안하게 짜네요 !!<br/>다음에도 이용하겠습니다~</div>|<div class="num">10.0</div>
중리 만월 호텔|<div class="txt">아주아주 만족했어요. 깨끗하고 친절하시고 좋았습니다. 요즘 처럼 더운 폭염 여름에는 밖에 안돌아다니고 이랗게 시원하게 노는게 최고로 안전한거 같아요. 잘 놀다 갑니다. 재방문 의사있어요</div>|<div class="num">10.0</div>
중리 만월 호텔|<div class="txt">친절하시고 깨끗한 편이에요 사진으로 보이는것보다는 훨씬 낙후되고 오래된 느낌이기는 한데 그냥저냥 괜찮았어요 가운 같이 생긴 유카타는 말씀드리면 주시는데 상태가 그렇게 좋지는 못했지만 예뻤음</div>|<div class="num">10.0</div>
중리 만월 호텔|<div class="txt">시설 : 아주 만족하였습니다.<br/>청결 : 깔끔하고 관리가 잘 되는 것 같아요<br/>잠자리가 굉장히 편했고 방음도 잘 되는 것 같아서 아주 좋았습니다.<br/>출장을 자주 다니기 때문에 자주 방문할 것 같아요</div>|<div class="num">10.0</div>
중리 만월 호텔|<div class="txt">시설이랑 인터리어 인근식당이 많아서 좋으나 베게 시트가 너무 낡고 누래서 찝찝했습니다 침대패드는 너무 작아서 속에 비닐이 자꾸나오네요</div>|<div class="num">10.0</div>
중리 만월 호텔|<div class="txt">사진상은. 내부가 크다 보였는데 실제는 넘 좁네요. 다 보통인거 같아요. 친절?  남직원 1명이라 대화는 엄는듯. 주차도 조금은 불편하네요. 다음은 좀 생각하고 방문할듯</div>|<div class="num">2.0</div>
중리 만월 호텔|<div class="txt">방도  깔끔하고 시원해서  좋았습니다</div>|<div class="num">10.0</div>
중리 만월 호텔|<div class="txt">사진으로 첨부합니다</div>|<div class="num">1.0</div>
중리 만월 호텔|<div class="txt">신랑하고 하루 편하게 지내다 오려구 늦은 퇴실예약하고 갔는데<br/>엉망엉망 욕만 나옵니다 욕실은 곰팡이 냄새에 샤워기도 고장나고 <br/>방은 먼지구더기.. 한달에 한번씩 나가서 자고 들오는데 이런곳은 보다보다 첨봅니다  샤워기 꽂는 것도 고장나고 청소는 하는지 안하는지 먼지..  9만원이나 주고 예약했는데 더러워서 씻지도 못하고 <br/>나왔네요  핸펀 충전기도 안됩니다<br/>예약하시는분들 참고하세요<br/>입실하실때 카운터에서 받아가야 한대요</div>|<div class="num">2.0</div>
중리 만월 호텔|<div class="txt">화장실에 곰팡이 뭡니까... 담배냄새는 진짜 답없움.</div>|<div class="num">6.0</div>
