name|reviews|star
유성 K7 PC텔|<div class="txt">접근성이 좋고 주차가 편리합니다. 객실이 넓고 밝아서 참 좋습니다. 창도 크구요. 침구류와 컴퓨터의자도 푹신푹신합니다. 사장님과 직원 분들도 친절하십니다. 체크인도 빨라서 좋아요!</div>|<div class="num">10.0</div>
유성 K7 PC텔|<div class="txt">항상 유성온천역 올때 이용하는 숙소입니다. 친절하시고 교통편도 좋아서 만족합니다. 서비스도 괜찮은 편입니다.<br/>항상 유성온천역 올때 이용하는 숙소입니다. 친절하시고 교통편도 좋아서 만족합니다. 서비스도 괜찮은 편입니다.</div>|<div class="num">10.0</div>
유성 K7 PC텔|<div class="txt">방또 깔끔하고 따뜻한 물도 빠르게 잘 나오고 전기장판이 있어서 너무 따뜻하게 쉬고 나왔어요 넷플릭스도 가능하고 ㅎㅎ 근처에 배달 가능한 음식점도 많아서 이것저것 배달도 시켜먹었어요 또 이용할게요!!</div>|<div class="num">10.0</div>
유성 K7 PC텔|<div class="txt">출장으로 숙박이용했는데 같이 갔던 직원들도 모두 만족하고 나왔습니다 카운터에 계시는분들도 너무 친절하시고 주변에 편의시설도 많아서 사용하는데 너무 편했습니다 다음에 또 대전 출장있으면 무조건 여기로 올듯합니다^^</div>|<div class="num">10.0</div>
유성 K7 PC텔|<div class="txt">출장으로 숙박이용했는데 같이 갔던 직원들도 모두 만족하고 나왔습니다 카운터에 계시는분들도 너무 친절하시고 주변에 편의시설도 많아서 사용하는데 너무 편했습니다 다음에 또 대전 출장있으면 무조건 여기로 올듯합니다^^</div>|<div class="num">10.0</div>
유성 K7 PC텔|<div class="txt">흠... 리뷰 보고 저도 그런 방을 주실 주 몰랐는데 무슨 1층에 있는 방 주셔서 그러려니 하고 갔는데 사진과 정말 다른 싱크대 있고 가스렌지 있는 방 주심... 다른 사람처럼 방 업그레이드를 바란 것도 아니고 그저 사진과 같은 평범한 방 원했는데 여자 혼자 와서 이용한다고 저런 찌끄레기 방 같은 걸 주신 느낌... 두번은 이용 안할것 같네요</div>|<div class="num">1.0</div>
유성 K7 PC텔|<div class="txt">여사장님 친절하십니다.감사합니다</div>|<div class="num">10.0</div>
유성 K7 PC텔|<div class="txt">출장차 가서 잘 쉬다왔습니다.<br/>가격면에서도 괜찮고 친절합니다.</div>|<div class="num">10.0</div>
유성 K7 PC텔|<div class="txt">사진보고 방을 예약 했는데 전혀 다른 이상한 방을 주셨어요 객실에 가스레인지랑 싱크대가 있길래 황당해서 고객센터에 전화해서 사진이랑 방이 다르다고 말을하고카운터에서는 같은 일반실이라며 고객센터라랑 통화중이라고 하니 방을 바꿔주겠다며 일방적으로 끊더군요 <br/>싱크대를  장식품이라고 하시면서 방을 바꿔주긴 했는데 기분 나쁜 티 내시면서 응대하시는데 참 그랬습니다<br/>다신 갈 일 없겠지만 이용 하시는분들 참고 하시라고 리뷰 남깁니다<br/><br/>방 사진은 다른 리뷰 보다보니<br/>사진과 같은 다른방 줬다는 리뷰사진<br/>캡쳐하였습니다</div>|<div class="num">1.0</div>
유성 K7 PC텔|<div class="txt">룸 업그레이드 해줘서 너무 좋았어요 ㅎㅎ 커플 pc 방으로 주셨는데 컴퓨터 상태도 괜찮구 넷플릭스 볼 수 있어요 침대도 폭신하고 그럭저럭 만족하면서 항상 자주 방문 하는 곳이에요 !!</div>|<div class="num">9.0</div>
