name|reviews|star
강릉 파인시티호텔|<div class="txt">전체적으로 만족스러웠어요! <br/>바다랑은 거리가 조금 있지만 중앙시장과 시내랑은 나름 가까워서 놀러 다니는데에는 문제가 전혀 없었어요~!<br/>시설은 깔끔했어요:)<br/>예쁜 인테리어는 아니지만 먼지없이 깔끔했네요 ㅎㅎ</div>|<div class="num">8.6</div>
강릉 파인시티호텔|<div class="txt">강릉 출장 때 마다 왔던 호텔인데 코로나 때문에... 오랜만에 방문했습니다!<br/>원래 조식이 되는 곳이었는데 사장님께서 코로나로 인해 안 한다고 하더라고요🥲  (아쉽아쉽)<br/>방도 엄청 넓고 침대도 크고!<br/>그리고 호텔 바로 앞? 옆?에 편의점도 있어서 멀리 안 나가도 돼요ㅋㅎ<br/>중앙시장도 가깝고 차로 10분 정도 걸렸나~~<br/>전반적으로 대만족입니댱!!!!</div>|<div class="num">10.0</div>
강릉 파인시티호텔|<div class="txt">넓고 답답하지않아 좋았어요 <br/>화장실도 문이 있어 편하게 사용할 수 있었어요.<br/>넷플릭스가 안되서 아쉽긴하지만 <br/>다음에도 강릉여행하면 숙소예약할 예정입니다.</div>|<div class="num">10.0</div>
강릉 파인시티호텔|<div class="txt">강릉에 오면 보통 경포대<br/>아니면 교동에서 숙소를 잡았었습니다<br/>이번에  옥천동은 어떨까 싶어서<br/>처음으로 예약해봤습니다<br/>강릉 옥천동으로 검색해보면<br/>숙소들이  많긴한데<br/>느낌상 알록달록 모텔들로 느껴지는곳들이<br/>대다수인지라 그나마 깔끔해보이는<br/>파인시티 선택했습니다<br/>전체적으로 무난했고요<br/>살짝 연식이 느껴지긴 하지만<br/>직접 이쪽 동네 와보니<br/>구도심 느낌이 물씬나고 역시나 알록달록<br/>모텔들뿐이어서 선택지가 파인시티말곤<br/>없어보였습니다<br/>동네 자체가 구도심인지라<br/>인근에  노래주점/가라오케 같은 곳들밖에<br/>없고 혼밥 혼술할만한 곳들 찾기 쉽지 않네요<br/>중국집 분식집 한두개는 있습니다<br/>주차는 모텔 앞옆으로 주차 공간<br/>마련되어있고 없으면 주차타워 입고입니다</div>|<div class="num">8.0</div>
강릉 파인시티호텔|<div class="txt">전에강릉갔어 한번숙박했던 숙소에 이번에도 예약하고 갔어 숙박을하고 와어요 전화했어 욕조있는 방으로 부탁을 했던니 사장님이 준비해 주셨어 감사했어요 좀늦게 도착했어 우리차는 탑차랐어 옆에주차을하고 저녁을 먹고들어와어요 방도 깨끗하고 모던게 좋아서요 우리는 볼일때문에 아침 일찍 8시즘 준비했어 나와어요 다음에 또 강릉가면 예약하고 가겠습니다 잘 쉬어다가 와어요~~~</div>|<div class="num">10.0</div>
강릉 파인시티호텔|<div class="txt">좋아요.<br/>방 상태도 그렇구</div>|<div class="num">10.0</div>
강릉 파인시티호텔|<div class="txt">깨끗하고 넓고 좋았습니다.</div>|<div class="num">10.0</div>
강릉 파인시티호텔|<div class="txt">넓고 깨끗하고 조용해서 편하게 보내고 왔습니다.<br/>직원분도 친절합니다</div>|<div class="num">10.0</div>
강릉 파인시티호텔|<div class="txt">최고입니다 항상다시오고싶네여</div>|<div class="num">10.0</div>
강릉 파인시티호텔|<div class="txt">사장님이 너무 친절하시고,욕실도 크고 너무 깨끗해서 좋았습니다.</div>|<div class="num">10.0</div>
강릉 파인시티호텔|<div class="txt">시설도 깔끔하고 쾌적해서 좋았어요~~</div>|<div class="num">10.0</div>
강릉 파인시티호텔|<div class="txt">보여지는 그대로의 마음에드는 숙소  만족합니다</div>|<div class="num">10.0</div>
강릉 파인시티호텔|<div class="txt">친절하게 해주시고 무엇보다 조금 늦게 나왔는데 배려해주셔서 감사합니다:) 급하게 잡아서 갔는데 좋았습니다:)<br/>다음에 강릉 들를 때 또 이용할 것 같습니다!! 시설도 깔끔하고 좋았어요</div>|<div class="num">10.0</div>
강릉 파인시티호텔|<div class="txt">깨끗하고 조용하니 좋습니다.</div>|<div class="num">10.0</div>
강릉 파인시티호텔|<div class="txt">룸은 깨끗함.<br/>여긴 생수가 문제있음.<br/>혹시 수돗물 받아서 생수병에 채우남요??<br/>생수병이 다 떠져있음.<br/>찝찝해서 안먹음..<br/>이런건 뉴스에서 본적 있는데<br/>물에 뭘 탔을수도 있고 불결하고..<br/>객실에 커피없구.그흔한 녹차티백도 없구<br/>매직기도 없음.<br/>새벽에 들어왔지만 아저씨도 피곤한지 무뛱뚝함.</div>|<div class="num">3.0</div>
