name|reviews|star
동해 델루와|<div class="txt">망상 해수욕장 근처에 있는 슥소입니다!<br/>방에 따라 다르겠지만 객실에서 바다가 보이긴 헤요! 바베큐장이 있어서 바베큐 하실분들은 참고 하시면 좋을거 같습니다!<br/>근처에 편의점도 많고 공영주차장도 있어서 주차하는데 큰 문제는 없을겁니다!<br/>객실 상태도 깨끗하고 수압도 세고 따듯한 물도 잘 나옵니다!<br/>다만 넷플릭스나 왓챠 같은건 안나옵니다! 일반 티비는 나와요!<br/>전체적으로 깔끔하고 부족함 없는 객실이었습니다!</div>|<div class="num">8.6</div>
동해 델루와|<div class="txt">출장을 매주 당이는 영업사원입니다<br/>그래서 모텔은 한달에 15일 이상 이용합니다<br/>제 나름대로 주관적 모텔 예약시 사항 입니다<br/>첫번째 깨끗한가???<br/>둘째 가격 가성비가 좋은가???<br/>셋째 주차시설이 잘 되어있는가???<br/>넷째 편의시설 있는가???<br/>제가 생각하기에 이 모텔은 9.2점정도 입니다<br/>모텔 많이 이용하시는 분들 참조하시면 좋을겁니다<br/>감사합니다</div>|<div class="num">10.0</div>
동해 델루와|<div class="txt">너무 깨끗하고 깔끔, 조용해서 더 편안한 숙면, 본인 실수로 폰을 잠깐 분실해서 순간 당황해 까다롭게 굴었음에도 변함없이 친절하심, 이런 숙소있으면 무조건 안심하고 편안하게 쉬다올수 있음.</div>|<div class="num">10.0</div>
동해 델루와|<div class="txt">바다가 바로 보이고 바로앞에 음식점이며 식당 편의점이 있어서 이용하기에 편했고 시설은 무난하게 좋았습니다. 다음에 또 이용할게요~</div>|<div class="num">10.0</div>
동해 델루와|<div class="txt">시설은 깨끗했어요.<br/>여름이라 냉방이 중요한데 <br/>에어컨 , 선풍기 같이 있어서 좋았네요.<br/>바다와 가깝고,  주차도 크게 문제되지 않았고요.<br/>단지, 주변 맛집이 딱히 없다고 해야 할까요 ^^</div>|<div class="num">8.0</div>
동해 델루와|<div class="txt">일단 주차를 편하게 할수있어서 좋았어요. 입실이 16시인데 1시 넘어서 숙소에 혹시 일찍 입실 가능한지 연락 해봤는데 신속히 알아보고 바로 연락을 주셨고 입실도 일찍 가능하다셔서 물놀이후 일찍 입실 할수있었어요. 숙소 상태는 모던한 편이고 깔끔했으나.. 욕실 휴지통에 쓰레기 버리려구 열었다가 쓰레기통에 쓰레기가 가득 쌓여 있고 응가 묻은 휴지가 떡하니 있어서 좀 당황 했어요. 휴지통 안비운 숙소는 난생 첨이네요. 수건은 보송한데.. 쿰쿰꼬릿?한 냄새가 쫌 나서~청결 부분은 그래서 여러모로 찝찝 했습니다. 화장실에서 응가 냄새 같은게 계속 나서 불쾌했어요. 객실 입구에 디퓨저가 있던데... 사용이 다된건지 향이 안남.  글고 욕실 샤워기가 뜨거운 물이 수시로 찬물로 바꼈다해서 스트레스 받음.ㅠㅠ 이용한 다른님들 후기 정말 잘 참고가 됐어요. 객실에 에어컨이랑 선풍기가 같이 있어서 이건 좋았구요~ 숙소는 바닷가와 정말 가까웠구~ 1층에 빨래 널수 있는 건조대나 빨랫줄이 있어서 젖은 빨래들 널어서 말리기에 넘 좋았구~  빨래 너는곳에 모래를 씻어낼수 있는 수압 좋은 샤워기가 몇개나 있어서 이런 부분은 편리했습니다!  청결을 조금 더 신경 써주시고 샤워기 물 나오는걸 어케 고쳐진다면  넘 좋겠습니다.  여기 해수욕장 상권에 주인분들이 다들 친절하셔서 기억에 남았어요~ 글서 다시 한번 가볼까해요ㅋ</div>|<div class="num">7.3</div>
동해 델루와|<div class="txt">원래 저 리뷰 안 씁니다<br/>바다와 가까운 점 장점! 이라생각해서 숙소 예약했는데... <br/>리모델링 해서 깨끗 합니다. 침구도 깨끗하네요.<br/>하지만 물 수압도 낮고 물이 온수 냉수 왔다갔다하면서 씻는데 힘들어요 ㅠ ㅜ<br/>전기 콘서트가 머리 맏에 있어 충전만 가능 함요<br/>충전기는 따로 챙겨가야합니다 객실엔 없어요!<br/>또 드라이할때도 콘서트가 멀리 있어 거울보며 머리 말리는건 꿈도 못꿉니다. 냉장고 위에 거울이 있어 화장도 냉장고 위에 놓고 해야 하네요<br/>넘 불편해요.<br/>또  tv도 넘 작구요. 방향도움직일수 없어  정면으로봐야 하네요<br/>방 조명도 수동이라 손으로 일일이 끄고켜야 하네요.<br/>그리고 가장안좋은점 방음 1도 안됨요. 옆방 말소리 다른소리까지 다 들립니다. 헉!!<br/>아이들이랑 이곳에 묵 었을거 생각하면 아찔 합니다.<br/>기차가 숙소옆을지나다녀서 시끄럽네요 ㅠ ㅜ<br/>또 엘리베이터도 없어요 무거운 짐가방 3층까지 직접 들고 왔다갔다 해야 하네요<br/>이 가격에 이 숙소 아니라고  봅니다.<br/>생수도 딱 2개 냉장고 속에 있더군요<br/>다시는 안 오고 싶은 숙소입니다.</div>|<div class="num">4.0</div>
동해 델루와|<div class="txt">가성비 좋은 숙소입니다. 주변 접근성이 좋네요</div>|<div class="num">10.0</div>
동해 델루와|<div class="txt">토요일에 신랑이랑 계획없이 동해로 떠났다가 여기어때에서 급히 숙박 예약해서 잘 머물다 왔습니다^^<br/>새로 리모델링한 객실이라 깔끔해보이고  무엇보다 저는 숙박시설 선택할때 하얀색 이불만 고집해서 <br/>그중에 델루와 가격이 젤 저렴한 것 같아 델루와로 예약(토-일 1박7만원) 했습니다.<br/>바로 옆건물은 드루와 호텔인데 드루와랑 델루와는 같은곳이며 체크인은 드루와 카운터에서 해야한다고 하셔서 드루와에서 체크인하고 바로 키 받았습니다~<br/>안내하시는 분들도 친절 하셨어요^^<br/><br/>먼저 장점 적어보겠습니다~<br/>1.망상 해수욕장이 바로 호텔앞~ 걸어서 1분 거리<br/>2.(3층)바다뷰로 안내해주셔서 객실창문에서 바다가 잘 보였습니다^^<br/>3.주차장이 넓고 주차하기 편해요~<br/>4.주위에 편의점도 많고 카페도 있고 식당도 많아요~<br/>5.객실이 깨끗하고 이불도 습하지안고 뽀송뽀송 해요^^<br/><br/>단점<br/>1.실내 슬리퍼 가운이 없어요.(개인적으로 저는 1회용슬리퍼 차에 갖고 다니고 가운 슬리퍼 사용 안해서 상관 없어요  )<br/>2.방음이 좀 약해요 ㅎㅎ(옆방인지... 아주머니 아저씨께서 새벽4시반부터 큰소리로 이야기 나누심 ~잠 다 깸 ㅠ ㅎㅎㅎ)<br/>3.엘리베이터가 없었어요.<br/><br/>가격 위치 위생적으로  가성비 너무 좋아요~^^  바닷가에서 쉬다 오고 싶을때 재방문 할거에요~</div>|<div class="num">10.0</div>
동해 델루와|<div class="txt">가장 장점인거는 바다가 바로 앞이라는게 가장이고<br/>단점은 충전기,가운도 없습니다 그리고 정말 말도 안될 정도로 방음이 취약합니다 예약 하시는 분들 생각 잘하시고 예약 하세용 위치는 정말 좋습니다</div>|<div class="num">10.0</div>
