name|reviews|star
속초 호텔잠자리|<div class="txt">저희 가족 4명이라 급하게 찾느라 한참을 찾다가 여기가 4인허용~~~ 깔끔하고 주차할때 별도의 넓은 주차장이 있어서 너무 좋았어요~근처에 맜있는 고기집( 연예인까지 들려주는~~~)  찾아서 먹고 기분도 짱 좋아요~~<br/>그리고 주차할때 입구에서 친절하게 설명해주시는 사장님? <br/>감사합니다~~ 다음에 또 온다면 여기 들리고 싶어요👍😄</div>|<div class="num">8.0</div>
속초 호텔잠자리|<div class="txt">깔끔합니다. 출장 간 머물렀는데<br/>주차장 별도로 하나 더 있고<br/>방에 수건 충분, 로션, 드라이기, 고데기, 빗이랑 스프레이까지 구비. 샴푸,린스,바디워시랑 치약까지 기본 구비되어 있고 칫솔이랑 면도기는 별도로 로비에서 주시네요. 티비도 크고 옷걸 공간도 오픈, 에어컨 추울 정도로 잘 나와요. 잘 머물다 갑니다.</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">여행으로 이용하게 됐습니다. 방도 그냥 평범합니다. 일단 주차 자리도 많고 편하게 되있어서 좋더라구요. 사장님도 친절하시고 앞으로 출장으로 방문이 있으면 이쪽으로 계속 올것 같아요. 감사히 잘쉬다 갑니다~!</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">즉흥적으로 떠난 여행이라 출발이 늦어서 속초에 새벽 도착 예정이었어요. 그래서 급하게 예약한 건데, 급하게 잡은 숙소치고는 만족했습니다!<br/>잠도 잘 왔고, 사장님도 친절하셨고, 주차장도 넓어서 만족했어요!</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">속초 갈때 금요일에 출발하면 매일 첫날에 가는 숙소예요<br/>넘 깨끗하고 껌껌해서 잠도 너무 잘와요<br/>근처에 속초 포장마차가서 한잔하고 자니까 너무 개운하네요 카운터 여사님오 너무 친절하세요</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">대체로 깔끔하고  조용한방입니다편안하게  잘쉬고  갑니다</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">너무좋고 쾌적합니다</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">항상 이용 만족도 높은곳입니다ㆍ<br/>주차장ㆍ주변상가 등</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">연박하려고했는데 시간이안맞아 연박은못했습니다. 근데 연박하고싶은만큼 깔끔하고 쾌적했습니다.  침구류도 깨끗하고 정돈도 잘 되어있어서 편희 쉬었습니다.<br/>다시 방문해도 이쪽으로 잡을것 같습니다.</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">숙소 깨끗 합니다ㆍ그리고 별도의 주차장도 있네요ㆍ<br/>주변에 중국집도 있고 이마트편의점도 있네요ㆍ<br/>저는 컴퓨터를 이용하려 선택 했는데  충분히 만족 합니다ㆍ</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">가격도 나쁘지 않은데 방도 넓고, 무엇보다 사장님께서 친절하게 대해주셔서 너무 감사했습니다! 컴퓨터 성능도 만족스러웠고, 바로 옆에 편의점이 있어서 너무 좋았어요! 나중에 재방문 의사 있습니다!</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">깔끔하고 넓고 좋네요 감사합니다 잘 묵고 갑니다 ㅎㅎㅎㅎ 깔끔하고 넓고 좋네요 감사합니다 잘 묵고 갑니다 ㅎㅎㅎㅎ 깔끔하고 넓고 좋네요 감사합니다 잘 묵고 갑니다 ㅎㅎㅎㅎ 깔끔하고 넓고 좋네요 감사합니다 잘 묵고 갑니다 ㅎㅎㅎㅎ</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">입실 시간보다 일찍 도착했는데도 입실 시켜주시고 사장님이 너무 착하십니다</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">빠른입실 서비스를 이용하진 못했지만 충분히 메리트가 있었습니다<br/>넓은 주차장도 있고 친절하셔서 매우 만족하고 사용했습니다 다음에도 이용 할 예정입니다<br/>주변 상권도 좋아 놀기좋네요!!</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">속초 오랜만에 놀려갔습니다~~단점은 슬리퍼도 없구,  칫솔 치약은 쫌 구식이구 불도 리모컨으로 못키고 수동이지만 모니모니해도 침대와 베게가 좋아야합니다. 근데 속초 잠자리는 침대 S급. 베게S급.<br/>잠진짜 겁나잘옵니다 굿!!  잘 놀다갑니다. 조금만 업그레이드되면<br/>최고의 호텔이 될 수 있을꺼 같습니다^-^</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">시설 위생상태 좋습니다<br/>주차장도 넓고 편안하게 쉬다가 갑니다<br/>물론 요즘같이 날이 추운 날에는 난방이 빵빵한게 좋죠 <br/>출장차 방문했는데 가격 대비 이정도 숙박업소 없다고 봅니다<br/>편안하게 잘 쉬다가 갑니당ㅎㅎ <br/>다음에도 이용할게요~<br/>카운터 분도 친절하시고 좋네요~!!!</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">항상 잘 이용하는 곳입니다. 사장님도 친절하시고 방도 비교적 깨끗하고 좋아요. 주변에 먹거리도 많아서 좋았어요. 다만 주변에 유흥시설이 있어 간혹 시끄러울때도 있지만 크게<br/>신경쓰이진 않습니다.</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">속초 여행 할 때 위치도 딱 좋았고 숙소 컨디션도 나쁘지 않았어요! 무엇보다 가격이 넘 저렴해서 다른 거 다 제끼고 그냥 가성비 갑입니당!!!! 담에도 또 이용할 것 같아용 추천드립니당</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">속초로 여행 갈때마다 들리는 잠자리 호텔..<br/>기본적으로 주차 시설이 너무 잘 되어있고 가격도 저렴하고 시설자체도 리모델링 한듯하네요..<br/>주말에 미리예약안하면 방잡기 힘들더라구요ㅜㅜ <br/>자주이용할게요!</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">방ㅇ이이이이이이이이ㅣㅇ</div>|<div class="num">2.0</div>
속초 호텔잠자리|<div class="txt">너무잘쉬다갑니다너무잘쉬다갑니다너무잘쉬다갑니다<br/>너무잘쉬다갑니다너무잘쉬다갑니다너무잘쉬다갑니다<br/>너무잘쉬다갑니다너무잘쉬다갑니다너무잘쉬다갑니다</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">주차장이용이 조금불편하긴 했지만 <br/>객실은 모두 만족함니다<br/>무료로 객실 업글도 해주시고<br/>사장님이 친절히 설면도해주시고<br/>감사했습니다<br/>오랜만의 여행에서 편안하게 해주셔서 감사합니다</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">늦은 퇴실시간은 만족스러우나  숙소가  전체적으로 약간 추위를 많이타시는분들은  비권장할게요<br/>시설은 전체적으로  깔끔햇고<br/>베란다가잇던게 인상적이네요</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">화장실이 깨끗해요. 방도 생각보다 커서 좋았어요.<br/>컴퓨터가 2대나 있고 좋아요. 욕조도 엄청큰게 있네요.<br/>사장님도 친절하셔서 좋아요. 티비는 안보지만 넷플릭스도 된다고 하니 넷플릭스 좋아하시는분께 추천해요.</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">화장실이 깨끗해요. 방도 생각보다 커서 좋았어요.<br/>컴퓨터가 2대나 있고 좋아요. 욕조도 엄청큰게 있네요.<br/>사장님도 친절하셔서 좋아요. 티비는 안보지만 넷플릭스도 된다고 하니 넷플릭스 좋아하시는분께 추천해요.</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">오래간만에 갔는데 리모델링해서 깨끗하고 친절하네요.<br/>담에 또 올께요~~~</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">여기 진짜 암막커튼도 너무 잘 쳐져있고 방온도도 엄청 따뜻하고 해보러갔다가 자고 밤에 또자고 잠을 부르는 객실이예용 12시 입실 12시 퇴실 진짜 미쳤네요 또갈거예요 여기는 정말롱</div>|<div class="num">10.0</div>
속초 호텔잠자리|<div class="txt">시설깔끔하니추천합니다 <br/>시설깔끔하니추천합니다 <br/>시설깔끔하니추천합니다 <br/>시설깔끔하니추천합니다 <br/>시설깔끔하니추천합니다 <br/>시설깔끔하니추천합니다 <br/>시설깔끔하니추천합니다 <br/>시설깔끔하니추천합니다 <br/>시설깔끔하니추천합니다</div>|<div class="num">10.0</div>
