name|reviews|star
충장로 브라운도트 충장로점|<div class="txt">침대가 딱딱하긴 하지만 룸컨디션은 좋아요!<br/>3층에서 조식을 먹을수 있는데 이틀 묵는동안 두번 다 먹었어요. 손맛이 좋으셔서 음식이 다 맛있었어요!<br/>룸 사진은 못찍고 조식 사진만 찍었네요ㅋㅋㅋ</div>|<div class="num">10.0</div>
충장로 브라운도트 충장로점|<div class="txt">광주출장은 여기다싶을정도로 좋았어요.<br/>너무 좋구요.<br/>방음도 잘되고 시설이 모두 깨끗해서 좋았습니다.<br/>광주출장은 여기다싶을정도로 좋았어요.<br/>너무 좋구요.<br/>방음도 잘되고 시설이 모두 깨끗해서 좋았습니다.<br/>광주출장은 여기다싶을정도로 좋았어요.<br/>너무 좋구요.<br/>방음도 광주출장은 여기다싶을정도로 좋았어요.<br/>너무 좋구요.<br/>방음도 잘되고 시설이 모두 깨끗해서 좋았습니다.</div>|<div class="num">10.0</div>
충장로 브라운도트 충장로점|<div class="txt">전체적으로 깔끔하고 기분 좋게 이용했습니다.<br/>다만 수영장 이용객이 만아 사용이 여의치 않고 물이 더러웠습니다</div>|<div class="num">8.6</div>
충장로 브라운도트 충장로점|<div class="txt">광주동구 출장은 여기다싶을정도로 좋았어요.<br/>너무 좋구요.<br/>방음도 잘되고 시설이 모두 깨끗해서 좋았습니다.<br/>광주동구 출장은 여기다싶을정도로 좋았어요.<br/>너무 좋구요.<br/>방음도 잘되고 시설이 모두 깨끗해서 좋았습니다.<br/>광주동구 출장은 여기다싶을정도로 좋았어요.<br/>너무 좋구요.<br/>방음도 잘되고 시설이 모두 깨끗해서 좋았습니다.<br/>광주동구 출장은 여기다싶을정도로 좋았어요.<br/>너무 좋구요.<br/>방음도 잘되고 시설이 모두 깨끗해서 좋았습니다.<br/>광주동구 출장은 여기다싶을정도로 좋았어요.<br/>너무 좋구요.<br/>방음도 잘되고 시설이 모두 깨끗해서 좋았습니다.</div>|<div class="num">10.0</div>
충장로 브라운도트 충장로점|<div class="txt">한 스무번째 재방문하는데<br/>대실이고 숙박이고 너무만족합니다<br/>늘그래왔듯 숙소 컨디션좋구요 주차도 좋고<br/>사장님이 간간히 방업그레이드도 해주시고<br/>여러모로 집보다더편한 숙소입니다 사장님 또뵐게요</div>|<div class="num">10.0</div>
충장로 브라운도트 충장로점|<div class="txt">208호 였는데 tv 화면이 계속 깜빡였어요;; 그 점 빼고는 만족했습니다</div>|<div class="num">9.3</div>
충장로 브라운도트 충장로점|<div class="txt">시설 깔끔하고 머무르기<br/>좋아요!</div>|<div class="num">10.0</div>
충장로 브라운도트 충장로점|<div class="txt">대실 자주 예약해서 이용하는데 너무 좋아요</div>|<div class="num">10.0</div>
충장로 브라운도트 충장로점|<div class="txt">주변에 먹을꺼리도 많고 잘 쉬었다 갑니다. 특히 바로 옆에 백반집은 혼자서 갔지만 너무 든든하게 먹었네요~숙소에서도 가깝고 시설이 깔끔한건 이 곳의 징점인거 같아요~재방문의서 아주 많아요 ㅋ</div>|<div class="num">10.0</div>
충장로 브라운도트 충장로점|<div class="txt">재방문 한 건데 방이 마음에 안 들어서 사장님에게 바로 바꿔달라고 했는데 바꿔주시고 물도 하나 더 주셔서 매우 만족했어요</div>|<div class="num">10.0</div>
