name|reviews|star
상무지구 수 호텔|<div class="txt">시댁 방문하기 전날, 미리 광주로 가서 머문 숙소입니다. 따뜻하다못해 더웠던 룸 너무 좋았구요! 스타일러에 다음날 입을 옷들 넣어 돌렸더니 산뜻하니 너무 좋았어요. 티비도 엄청크고 방도 크고 욕실도 넉넉해서 푸욱 잘 쉬었어요. 반신욕도 잘했습니다ㅎㅎ 무엇보다 방이 환해서 마음에 들었어요! 후기에서 본대로 원룸같은? 그래도 편안하고 아늑한 느낌까지 좋았어요.</div>|<div class="num">10.0</div>
상무지구 수 호텔|<div class="txt">상무지구 갈때마다 자주 가는곳입니다<br/>여자친구랑 가는데 편의점도 가깝고 주차도 해주시고 차량벨도 있어서 내려오기 전에 차량도 앞에 준비 해줍니다 그리고 무엇보다 시설이 굉장히 깔끔해서 좋고 사장님이 친절하셨던 기억이 남아요^^</div>|<div class="num">10.0</div>
상무지구 수 호텔|<div class="txt">위치가 참좋은 곳에 있어 조아요<br/>직원분들도 상당히 친절하고, 청결상태도 매우 좋습니다.<br/>편한 잠자리와 큰 티비로 영화 보기도 좋습니닺<br/>공기청정기도 있어 상당히 좋구요<br/>스타일러 까지 있어 의류도 관리하기 참 조아요</div>|<div class="num">10.0</div>
상무지구 수 호텔|<div class="txt">갑작스레 잡힌 지방 스케줄이라 괜찮아 보이는 곳으로 급하게 예약했는데 생각보다 너무 좋았어요~ 사장님도 넘 친절하시구 무엇보다 방이 너무너무 깔끔해요!! 티비도 커서 넷플릭스 진짜 편하게 봤어요ㅎ 앞으로 지방 올땐 맘편히 여기로 와야겠어요 신경 써주셔서 감사합니다~~</div>|<div class="num">10.0</div>
상무지구 수 호텔|<div class="txt">객실컨디션이 좋아서 기분좋게 머물다 갑니다.<br/>로비에서부터 친절한 미소로 맞이해 주셨고 체크아웃까지 친절 그 자체였어요.<br/>1층에서 생수도 여유있게 가져갈 수 있는 점도 마음에 들었습니다.<br/>침구와 배게도 깔끔+깨끗+보송해서 꿀잠자기 좋았어요.<br/>화장실과 욕실도 청결했고 어메니티와 수건도 여유롭게 준비되어 있어서 편안했어요! <br/>넥플릭스 보면서 호캉스 제대로 즐겼습니다👍</div>|<div class="num">10.0</div>
상무지구 수 호텔|<div class="txt">숙소 깔끔하고 담배냄새도 안나고 청결했습니다</div>|<div class="num">10.0</div>
상무지구 수 호텔|<div class="txt">보통 상무역쪽 숙소를 이용하는 편인데 당일 예약하게되면서 예약마감된 숙소가 많더라구요ㅠㅠ 번화가쪽은 소음때문에 선호하지 않지만, 과거 방문 때 깔끔했던 기억이 있어서 재방문하게 되었습니당<br/><br/>✔️ 체크인아웃<br/>기재되어있는 체크인 시간이 조금 지나서 체크인하게 되었습니당. 2층 배정을 받고 바깥 소음이 우려되어 혹시 다른 층은 안될지 여쭤보았는데, 특가예약은 아무래도 다른 방을 주는건 어렵다고 하셨어요. 차량을 이용하지 않고 도보 이용 조건의 특가로 랜덤배정이라고 생각했지만, 특정하게 저층으로 정해진 룸이 있는지는 몰라서 조금 당황스럽긴 했어요😥 아직 어플에서 예약이 마감된 상태도 아니었고... 그래서 조금 서운하긴 했지만... 지불가격순으로 룸을 배정해준다고 하면 뭐 어쩔 수 없는거니까요😭 하지만 다른 선택지를 제시해주셨던 부분은 감사했어요! 가능한 부분 안에서 신경써주시려고 하셔서 감사했습니당:)<br/><br/>✔️ 객실<br/>2층 배정받았고 역시나 창문은 살짝도 열어두긴 어려웠어요! 밤에 옴총 시끄럽습니당 바로 주변에 술집이 즐비한 번화가라서 심심치 않게 큰소리가 들려와요~ 에어컨 틀고! 공기청정기 틀어서! 기계소음을 백색소음삼아 바깥 소음은 숨겼습니당😁 에어컨도 금방 시원해지고 불쾌한 냄새도 없었어요~<br/><br/>룸은 정말 깔끔했어요! 침구는 얼룩 없이 깨끗했고, 불쾌한 냄새도 전혀 없었습니다. 티비도 큰편이라서 넷플보기에 딱이었고, 이용설명서도 티비아래에 놓여있었어요! 테이블과 의자가 있어서 간단하게 배달음식과 맥주한잔하기 편했습니다.<br/><br/>어메니티는 두개씩 놓여있더라구요. 부족함 없이 여유있게 사용할 수 있어서 좋았습니당👍 수건도 얼룩없이 깨끗했고 향기는 없지만 딱 깨끗한 냄새가 나서 좋았어요:)<br/><br/>✔️ 욕실<br/>개인적으로 중문이 하나 더 있고 출입문과 중문 사이에 욕실이 있는 구조가 룸이 습해지지 않아서 좋다고 생각하는데, 이곳이 딱이었어요:) 샤워기는 깨지거나 물때 낀 곳 없이 깨끗했고 수압이 좋았습니다👍 욕실 자체도 곰팡이가 있거나 물때가 낀 곳 없이 관리가 정말 잘되고 있더라구요~ 욕실 상태는 정말 손에 꼽게 좋았던 것 같아요!<br/><br/>✔️ 위치 &amp; 주변시설<br/>주변에 식당들도 많아서 밖에서 식사하고 술한잔 하기에는 더 없이 좋은 위치입니당. 롯데마트랑도 멀지 않아요!! 주변에 편의점도 많이 있어요! 주차공간은 넓지 않은 듯 한데, 대중교통을 이용하기에도 편한 위치는 아닙니당. 아무래도 번화가 한복판이라는 부분이 장점이자 단점일 수 있을 것 같아요:)<br/><br/><br/>술집이나 주변 상가들을 이용할 일이 있다면  룸컨디션이 매우 좋았고 깔끔했던 이미지가 강해서 재방문 의향 있습니다:)</div>|<div class="num">10.0</div>
상무지구 수 호텔|<div class="txt">일단 객실이 깨끗해요! 청소 상태도 좋고<br/>티비가 커서 영화보기에도 좋아요.<br/>번화가 쪽이라 밤에는 약간 시끄럽긴하지만<br/>괜찮습니다!<br/>직원분들 친절하게 맞아주시고<br/>가격도 이정도면 좋아요~ (퇴실 시간도 12시)<br/>재방문 의사100%</div>|<div class="num">10.0</div>
상무지구 수 호텔|<div class="txt">상무지구 출장 단골 숙소입니다. 여전히 친절하신 여사장님 지난번 객실 배정 실수를 인정하시고 객실 업그레이드 해 주시네요. 비가 많이 왔음에도 주차장도 비를 맞지 않는 시설이고 복도 객실도 포송한 느낌입니다. 이번에도 잘 쉬다 갑니다^^</div>|<div class="num">10.0</div>
상무지구 수 호텔|<div class="txt">객실 깔끔하고 사장님이 넘나 자상하십니다<br/>출장가서 세미나 오후2시에 끝났는데 그때까지 차를 두어도 <br/>되냐고 여쭤봤더니 흔쾌히 허락해주시고<br/>체크아웃 하면서 와이프가 생일선물해준 모자를 깜빡 두고 나와 사장님께 말씀드렸더니 우체국택배로 집에 보내주셨음<br/>장사하시면서 귀찮으실수 있고 유실물 없다고 거짓말 할수도 있는데 사장님 너무 친절하십니다<br/>다음 출장도 무조건 여기 묵을생각</div>|<div class="num">10.0</div>
