name|reviews|star
구미 HOTEL 컨티뉴|<div class="txt">정말 깔끔합니다.어메니티가 좀 간소하긴한데 방이 깨끗하니  좋아요. 그리고 조식도 맛있어요. 토스트만들어 먹거나 간단한 한식 아침도 되니까 이게 제일 인듯.</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">1. 객실컨디션<br/>제 코가 개코라 매우 예민한 편인데 객실에서 담배냄새가 안나서 무척 좋았습니다. 3박 투숙하면서 객실 클리닝도 해주시고 불편함 없이 쾌적하게 이용 하고 갑니다.<br/>2. 가장 좋았던 점<br/>하루 묵고나서 3박까지 하기로 결심한 가장 큰 이유가 바로 조식서비스 때문입니다~!!<br/>그동안 여러 곳을 가봤는데 이정도 조식 서비스를 주는 곳은 잘 없었거든요. 토스트나 라면. 시리얼 스낵바는 있어도 한식 반찬과 밥, 스크램블 에그까지 나오다니 진짜 감동 그 자체ㅠㅠ <br/>덕분에 매일 아침 든든히 배채우고 일하러 갈수 있었습니다~!<br/>더더욱 번창하시길🤗</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">호텔측 실수로 대실 입실하자마자 당황스러웠지만 신속하고 정확하게 해결해주셔서 감사합니다. <br/>늘 믿고 방문하는 컨티뉴!! 요즘 날이 엄청 더운데 더 자주 갈 것 같아요~ 다음주에도 갈게요 !!</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">부족함 없이 너무 좋았습니다. 구미가 처음이라 숙소 결정 하는데 오래 걸렸는데 너무 잘 선택 한거 같아요 일단 위치가 너무 좋아서 주위에 먹거리가 천지!!! 너무너무 친절한 사장님 그리고 아주아주  깨끗한 방!! (너무 감사하게도 방 업그레이드 시켜 주신건 안비밀 ㅋㅋ) 그리도 제일 좋았던 조식서비스 까지!! 다음에 구미를 오게 된다면 꼭 다시 이용 할수 밖에 없을거 같아요~~</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">친절하고 깔끔하고 그래서<br/>자주 방문해요!! 나중에 또 숙박하거나 대실 할일 있으면<br/>방문 할게영<br/>친절하고 깔끔하고 그래서<br/>자주 방문해요!! 나중에 또 숙박하거나 대실 할일 있으면<br/>방문 할게영</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">자주 방문하던 곳인데 사장님 바뀌고부터 여러모로 별로예요. 오늘 4시에 예약했는데 타지에서 가는거라 미리 전화드려서 조금 일찍 들어가도 되냐고 연락드렸고, 다른 날은 안되는데 오늘은 빈방이 있어서 가능하다고 해주신 부분은 감사합니다. 혹시나해서 문의 드렸더니 .. 덕분에 무더운 날씨에 빠르게 입실했습니다.<br/><br/>그래서 3:15분에 입실했는데요~ 7시에 전화와서는 청소해야한다고 퇴실하라고 하셔서 당황스러웠습니다.<br/>4시간 예약했어서 저희 3:15분에 들어왔다고 말씀 드렸더니 7시까지로 예약했다고 하셔서 일단 알겠다하고 퇴실했습니다.<br/><br/>그런데 지금 확인해보니 8시까지로 예약했네요?<br/>그럼 7:15분까지 이용 가능한거 아닌가요?? <br/><br/>의문이라 문의드립니다.</div>|<div class="num">7.6</div>
구미 HOTEL 컨티뉴|<div class="txt">깨끗합니다 <br/>아늑합니다<br/>조아요</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">사장님이 굉장히 친절하십니다!<br/>그리고 룸 컨디션도 좋아요 :)<br/>츌장 차 방문했는데 에어컨도 잘 나오구,<br/>침구류도 깨끗했습니다!<br/>스파욕조 있어서 퇴근하고 힐링도 했어요!<br/>3박4일동안 잘 묵다 갑니다!</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">1. 룸은 사진상으로 보는바와 같이 깔끔하고 군더더기가 없고 이불도 상쾌하여 숙박에 전혀 문제가 없을 만큼 적당하가고 표현한다. 적당하다는 이야기는 아주 좋다는 의미이다.<br/>2. 욕실은 아주 큰 욕실로 물을 채워서 반신욕을 하여도 상쾌할만큼  좋은 상태이다. 이렇게 큰 욕조에서 반신욕은 온 몸의 피로를 풀기에 아주 좋았다<br/>3. 기타 모든 상태가 좋아서 쓸 말이 없다.<br/>4. 특히 조식은 왠만한 식당보다 더 좋아서 뭐라고 할 말이 없다<br/>이상 감상평 적습니다.</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">좋았어요~~ㅎㅎ 추천합니다</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">너무너무 맘에 드는 숙소였어요~  <br/>사장님이 엄청 친절하시고 무엇보다 객실이 깨끗했어요 화장실도 깔끔깔끔 욕조가 있었는데 담에 방문하면 욕조에 반신욕도 해야겠어요~~!!! 잘 쉬다가 가요😆</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">이번이 두범째 방문 입니다. 고속도로ic 근처라 접근하기 쉬워서 좋구요 숙소 주변에도 나름 ㅇ음식점들이 있습니다만 혼밥하기 좋은곳은 별로 없습니다. 주차장은 충분히 넓어서 좋았고 숙박 체크인은 17시인데 16시에가도 사장님이 침절하게 일찍 들여보내 주십니다. 아침 조식도 간단히 먹기 꽤 괜찮았고 맛도 좋았습니다. 방 내부는 깔끔하고 기본적인 시설이 잘 되어 있습니다.</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">역시나 좋았어요^^ 오늘은 비가 많이 왔어서 그런지 조용하더라구요! 저희는 이런날 무조건 컨티뉴가요! <br/>컨티뉴에서 맛있는거 먹고 낮잠 자고 ㅎㅎㅎ 얼마나 좋은지 몰라요~~ 컨티뉴는 사랑이예요:)</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">오늘은 방바닥청소를  안했네요<br/>앞에 이용한손님 머리카락이 너무 많아서 기분이 나쁩니다</div>|<div class="num">7.0</div>
구미 HOTEL 컨티뉴|<div class="txt">넷플릭스 사용이 이제 안되는건 아쉽지만 그래도 깨끗하고 불편함없이 잘쉬다 갑니다 넷플릭스 사용이 이제 안되는건 아쉽지만 그래도 깨끗하고 불편함없이 잘쉬다 갑니다 넷플릭스 사용이 이제 안되는건 아쉽지만 그래도 깨끗하고 불편함없이 잘쉬다 갑니다</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">구미 출장올때 마다 이용하고 있는데 좋습니다.<br/><br/>다른 숙소와 비교할때 방 크기도 크고, 방 컨디션도 좋은편입니다.<br/><br/>또 주차장도 넓은 편입니다.<br/><br/>앞으로 구미 출장올 때마다 사용 생각입니다.<br/><br/>잘 쉬었다 갑니다~!!</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">가격 조식 주차장 깨끗한객실 친절<br/>모두 만점입니다.</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">대구에서 출장차 와서 숙박한 업소입니다.<br/>시설도 깨끗하고 무엇보다 침대가 무척 마음에 듭니다.<br/>욕실도 깨끗하고 따뜻한 물도 잘나옵니다.<br/>확실히 이부근에서는 좋은편에 듭니다.<br/>편하게 잘쉬고 갑니다.</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">컨티뉴 오랜만에 갔는데<br/>여전히 깔끔하고 좋았어요 ㅎ̌̈ㅎ̌̈ㅎ̌̈<br/>나중에 또 방문 할게여<br/>컨티뉴 오랜만에 갔는데<br/>여전히 깔끔하고 좋았어요 ㅎ̌̈ㅎ̌̈ㅎ̌̈<br/>나중에 또 방문 할게여<br/>컨티뉴 오랜만에 갔는데<br/>여전히 깔끔하고 좋았어요 ㅎ̌̈ㅎ̌̈ㅎ̌̈<br/>나중에 또 방문 할게여</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">일정이 늦어져 새벽에 도착했지만 친절하게 안내해주시고 조식도 훌륭합니다. <br/>주변에 5분정도 걸어가면 먹을 것도 많아보입니다.<br/>시설은 말할 것도 없이 깨끗하구요 <br/>주차장부터 객실까지 엘베가 있어 편합니다.<br/>구미에 가실일 있으시면 여기서 하루 보내세요.</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">생각했던거보다 엄청 깔끔하고 내부도 넓어서 아주 편하게 쉬다 왔습니다:) 주차장도 넓고 주변 상권도 좋아서 이동하기도 편했어요:) 다음에 또 기회가 된다면<br/>방문 의사 있습니다! 잘 쉬다 왔습니다:)</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">시원하고 깨끗하고 편리하고 모자람없었습니다<br/>시원하고 깨끗하고 편리하고 모자람없었습니다<br/>시원하고 깨끗하고 편리하고 모자람없었습니다<br/>시원하고 깨끗하고 편리하고 모자람없었습니다<br/>시원하고 깨끗하고 편리하고 모자람없었습니다</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">스낵바도 잘 마련돼있고 조식을 먹고 싶었지만 넘 늦게 일어나서 아쉽게 못 먹었어요 조식바 가니깐 맛있는 냄새는 나더라구요 방도 청결하고 스파도 잘나오고 심지어 입욕제도 마련돼있더라구여 굉장히 좋았습니당</div>|<div class="num">10.0</div>
구미 HOTEL 컨티뉴|<div class="txt">편안하게 쉬다가 갑니다</div>|<div class="num">8.0</div>
구미 HOTEL 컨티뉴|<div class="txt">제목은 넷플릭스 방인데 막상 들어가니 넷플릭스도 안되고 연박이니 방 치우지말아달라했는데 맘대로 방치우고 방 바꿔주는 바람에 매우 불편했습니다 에어컨에선 드득드득 소리나고 냉장고도 하나도 안시원해요 사장이란 분이 퀄리티 운운하시던데 방 컨디션이 퀄리티 운운할 정도로 엄청 좋은것도 아니고 넷플릭스된다고 허위광고나 하면서 퀄리티 따질건 아닌것 같습니다 이용 전 참고들 하세요</div>|<div class="num">1.0</div>
