name|reviews|star
김천 747무인텔|<div class="txt">747모텔 청결하고 가성비 아주좋은 모텔같아요 이가격에  필요한 세면도구 다있구요 생수2음료2개 <br/>사장님 남는게 있을지 궁금할.정도입니다<br/>청소상태도 우수하고 담배냄새도 안나고 좋아요<br/>자주이용해야겠어요</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">김천 올때마다 항상 방문하는 숙소 입니다 위치도 시내랑 가깝고 24시간 무인편의점도 있고 공기도 여전히 좋고 방음 잘되고 조용한 곳이라 김천에선 제 기준으로 탑3안에 든다고 생각합니다 사장님도 너무 친절하세요~ 담달에 또 방문할께요~</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">203호  객실 이용했는데  비데쪽에 누수가  있는것 같은데 조치 취하셔야할것 같고 객실에 반지놓고  왔는데 친절하게 보관해 주셔서 잘찾아 갔습니다 사장님 수고하세요</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">조용한곳에 위치해서 좋았고 내부장식도 괜찮습니다.<br/>편안한 휴식을 원하는 분들에게는 좋습니다</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">청결하고 편안합니다 가격도 너무 착하고 김천오면 747만 이용합니다 불편상황있음 사장님께서 친절하게 대처해주십니다 김천 여행오시면 꼭 한번 이용해보시길 추천 드립니다 아주많이 만족 하실겁니다</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">너뭊ㅎ아요오오오오오</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">사장님 친절하시고<br/>주변에서도 가장 시설이 좋습니다 ^^<br/>가격도 저렴하고요<br/>대만족</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">연박숙박했을때 따로 나가지않고 있을시에 추가요금이 붙는거에대해서 문자나 전화로 따로 통보하셨으면 합니다.<br/>귀찮은 일일수도 있지만 저같이 기분 나쁘게 받아들이는 사람이 생길수 있단 생각이 드네요.<br/>솔직히 예약하면서 규정을 일일이 보는사람 없다고 봅니다.<br/>요새는 버튼하나 누르면 객실예약 완료이니 손님을 위해서 배려는 꼭 필요하다고 봅니다. 아니면 크게 적어두시던지요.<br/>제가 수백번수천번 모텔을 가봤지만 이런 운영규칙은 첨 보네요. <br/>에어컨 비용든다고 손님한테 이야기하는건 좀 아니지 않나요?^;;<br/>냉장고가 일단 커서 좋았지만 무게가 가벼워서 그런지<br/>냉장고가 많이 움직이네요. 밑에 미끄럼 방지패드 좀 붙이시고요. 침대는 청결하고 좋았습니다.<br/>침대밑에 거미줄은 수시로 좀 치우시고요.<br/>보통 침대옆에 콘센트가 있어야하는거 아닌가요?<br/>다른곳도 콘센트가 없어서 당황했네요. 결국 전자렌지,포트기 선 뽑아서 충전했습니다.<br/>그리고 넷플릭스 이용시 리모컨을 제가 따로 달라고 해야하는 그런일은 손님을 불편하게 합니다.<br/>넷플릭스 사용시 프론트에 전화바랍니다. 이런 문고하나가 배려이라 생각합니다. 손님의 불만사항을 한귀로 듣고 한귀로 내뱉지 마시고 운영 잘 좀 부탁드립니다.</div>|<div class="num">2.0</div>
김천 747무인텔|<div class="txt">깔끔하고 좋았습니다...출장...</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">깨끗하고 좋습니다 ~</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">그냥 저냥 잘만했습니다!</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">침대옆 콘센트가없어 침대누워 충전하면서 폰을 할수없네요ㅎ<br/>소소하지만 중요한...ㅜ</div>|<div class="num">6.0</div>
김천 747무인텔|<div class="txt">출장이 많은 직장인입니다  일주일에 최소 삼일  사일 정도는 하곤합니다 많은 경험을 토대로 여기는 깨끗하고 깔끔하게 정돈 되어있고 룸 디자인이 깔끔하고 심플해서 좋았습니다 다음에도 근처로 출장오게되면 들를 의향이 있습니다</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">1.주변에 아무것도 없으니  야식은 미리 준비하셔요<br/>2.냉장고는 커서 맘에 들었는데 밤새 소리가 크네요<br/>3.트윈베드객실에 들어갔는데 작은베드는 잘 사용을 안해서 그런지 시트도 지저분하고 이불도 별로였습니다. 큰 침대는 깨끗했어요</div>|<div class="num">8.0</div>
김천 747무인텔|<div class="txt">초행길이라 사장님께 문의 드렸는데...친절하게 자세히 설명해주셔서 쉽게 찾아갈 수 있었어요.<br/>숙소는 깔끔하고 관리가 잘 되어서 만족스러웠습니다.<br/>다음달에도 이용할 예정입니다.</div>|<div class="num">5.0</div>
김천 747무인텔|<div class="txt">객실.컨디션 너무 좋았습니다. 자주 이용하는곳인데 방문할때마다 감탄합니다 이가격에 이정도라고 ㅎ ㅎ<br/>부족한것이 없어요 여행들 오셔서 방문해보시길 적극 추천합니다 충분히 만족하실겁니다</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">청결하고 친절하고 넘 좋아요<br/>자주 이용합니다</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">출장시 자주 이용하는 곳입니다 <br/>가격도 적당하고 인테리어도 무난하게 괜찮은거 같습니다 <br/>수압도 괜찮은거 같구요 <br/>청소상태도 깨끗하고 좋은 곳입니다 <br/>앞으로도 출장시에 자주 방문하겠습니다<br/>감사</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">너무 청결하고 쉬었다가기 딱 좋아요<br/>매번 이용하는데 747만큼 좋은곳 못봤어요 이가격에 이런.컨디션 모텔 찾기힘들어요 최고에요<br/>사장님도 엄청 친절하답니다 오셔서 편히 쉬었다 가세요.</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">핸드폰 데이터가 안터져요..</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">함안 낙화놀이 구경차 경유지로 설정해서 방문한 숙소였는데 가성비가 좋아서 나름 만족스러웠습니다~ 일단 1실 1주차라서 주차가 용이하고 주차하고 바로 방으로 들어갈 수 있는 구조라서 엄청 편했어요~ 객실로 들어가니 방도 넗고 화장실도 커서 매우 좋았습니다. 특히 냉장고가 일반 모텔이나 호텔에 비해 좀 더 큰 중형이고 냉장&amp;냉동 기능도 너무 빵빵하게 잘돼서 엄청 좋았습니다~ 근데 주변에 식당이나 편의점 등의 편의시설이 아무 것도 없어서 좀 아쉬웠네요~ 그렇기 때문에 입실전에 미리 먹을 거리를 좀 사가면 좋을 것 같습니다~ 객실에 전자렌지도 구비되어 있어서 간단한 즉석조리 식품을 쉽게 먹을 수 있을 거 같아요!</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">주차장과 객실이 같이 있는 무인텔은 처음이라서 특이했는데 주차장을 흡연실로 이용하는게 저는 좋았습니다 잘쉬다갑니다</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">정말 산길을 외딴 곳으로 한참을 갔네요 사실 김천직지사 근처 숙소로 검색했는데 이렇게 먼곳일줄 몰랐어요 숙소는 그냥저냥 그랬어요</div>|<div class="num">4.0</div>
김천 747무인텔|<div class="txt">습기가 많고 터가 안좋은지 숙면을 취하기 어려웠습니다. 창밖은 아무것도 안보이며 뷰는 없습니다. 퇴실 후 보이는 매드맥스 풍경이 이채롭습니다. 시멘트 공장 등..</div>|<div class="num">7.0</div>
김천 747무인텔|<div class="txt">급출장왔다가 숙소가 걱정됬었는데 왼전 대박이네요~가격 룸컨디션 다 강추입니다!!!</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">조금 외진곳이지만 김천 시내랑 은근 가깝고 조용하고 일반실임에도 불구하고 엄청넓고 바닥도 타일이라 깔끔하고 인테리어도 이쁘고 전체적으로 아늑하기 까지 합니다 또 전자렌지 까지 구비되어 있어서 너무 편리하게 잘 쉬고왔습니다 김천 내려가면 담에 한번더 들리겠습니다~</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">밤에 찾아갔는데 일행이 무섭다고 다시 돌아가자고 했지만<br/>특수부대 출신이라고 구라치고 계속 가는데 무서웠슴.<br/>도착해서 환하게 불이켜진 숙소를 보니 사막에 오아시스 찾은것처럼 반가웠슴.<br/>모텔 투숙하면서 느낀건 싸고 좋은건 없고? 다 제값주고 사야한다는거 느낌.<br/>배가 고팠지만 무서워서 못나간다고 그냥 취침.<br/>자동 다이어트되고 아침에 일어나니 몸이 가벼워짐.<br/>덕분에 날씬한 몸으로 집에 돌아왔습니다.</div>|<div class="num">8.0</div>
김천 747무인텔|<div class="txt">출장시마다 어플로 현장주변에 깨끗하면서 차량특성상 주차자리와<br/>숙소주변 식당등을 검색해보고 예약하는데<br/>이번에도 굿초이스였네요<br/>방 깨끗하고 조용했으며 청결상태도 만족스럽습니다<br/>자주이용하고 있습니다ᆢ</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">광주에서 울진가기전의 중간숙소<br/>사모님 친절하시고 복층은 아니닌데 바로 4층의 무인 1인1주차<br/>담배 피우는데 바로 주차장나가서 피우믄 방안의 담배냄새 없어서 좋았습니다<br/>사업 번창하세요</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">늘 조용하고 편하게 쉬다가 갑니다~</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">주변에 비해서 무난한 곳 입니다<br/>가격도 비싸지 않고 적당하고 <br/>인테리어도 무난하게 괜찮은거 같습니다 <br/>수압도 괜찮은거 같아요 <br/>청소상태도 깨끗하고 좋은 곳입니다 <br/>앞으로도 출장시에 계속 이용 하도록 하겠습니다<br/>추천합니다</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">친절하시네요ㆍ 편히 쉬다 갑니다</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">시설좋고 깨끗하고 조용하고 좋았습니다<br/>담배 냄새도 안나고 청결하고 좋네요<br/>대실 숙박이용하시는 분들께 적극 추천 합니다<br/>다음에도 이용할예정입니다<br/>감사합니다 또 뵙겠습니다 <br/>너무좋아요</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">조용하게 쉬었다 갈수있어요~ 깨끗하고 친절합니다<br/>주변 편의점이 없으니 간식은 미리 사가시는게 좋아요</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">위치가 생각보다 많이 안쪽에 자리하고있어 혹시 뭔가 편의점 이용 계획있으시면 사오시는걸 추천드려요. 그이외는 특별이 나쁜점 없고요..전자렌지.포트. 안에 있어서 좋았어요..잘쉬다갑니다.</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">밤에 도착해서 잠만자고 일찍 나왔는데 편하게 있다가 왔어요 굿</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">조용하고 계단없어서 좋고 청결상태도 만족스러웠습니다.<br/>요즘 숙박비가 많이 오르고 있어서 저같은 출장직들은 부담이 되고 있는데 가성비가 좋은 곳입니다.<br/>다만 주변에 식당등 부대시설이 없는게 아쉽고 청소를 너무 깨끗히하시려고 그러셨는지 속독약 냄새가 많이 나더라구요.<br/>사장님께서 제글을보신다면 청소때 소독약쓰시고 물로 충분히 헹구는걸 추천드립니다.<br/>그럼 다음 출장때! 재방문 하겠습니다.</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">외진데 있는거 말고는 조용하고 지내기 좋다.</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">한달에 한번정도 가는곳인데 이날은  청결상태가 별로였던듯  하지만 그래도 가성비적으로는  자주가볼만한  몇안되는 최애  숙소</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">부산가는길에 잠시쉬어가려 들렀는데 아주좋네요 사장님도 친절하시고 객실도 깔끔하고 넓고 개인주차장과 객실이 연결되어있어서 편리합니다. 스마트리모콘도 구비되어있으니 많은 이용 하세요~</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">조용하고 편하게 쉬다왔어요!</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">밤에 찾아가는데 깜깜한 곳에 위치해 있어 좀 놀람 <br/>조용하고 주변에 진짜 아무 것듀 없어요 <br/>방에 휴지가 하나도 없어요  수건은 보통 4개 있던데 여긴 3개… 전기장판듀 없고 요줌 쌀쌀한데  침대 위 너무 으슬으슬</div>|<div class="num">6.0</div>
김천 747무인텔|<div class="txt">음...김천에 숙소가 없어 방문을 했습니다. 무인텔로 기존에 생각하시던 모텔이라고 하면 매우 당황스러우실것 같습니다. 자가용은 필수이고 인근 먹거리가 없으니, 사전에 필히 구매하여 방문하시기를 추천합니다.</div>|<div class="num">10.0</div>
김천 747무인텔|<div class="txt">조용한편이라서 숙소로 4번째 방문이네요.윗층에서 짧은시간정도 물소리.발소리가 들리지만 다른숙소에 비해  조용해서 꿀잠잡니다. 매번 반상시월에서 저녁먹고 오는데 처음으로 편의점 들리다보니 2키로 안에 칼국수.동태탕.빵집.등등 밥집이 있네요. 방 따뜻하고 물 온수 잘나오고 꿀잠은 덤이니 추천합니다.</div>|<div class="num">10.0</div>
