name|reviews|star
포항 맨션6-MANSION 6|<div class="txt">객실에 향이나고 참 깨끗한것같습니다!!<br/>휴가기간이라 그런지 사람이 많았네요 이번에는<br/>그럼에도 잘쉬고 잘먹고 잘씻고 잘자고 갑니다.<br/>저만알고싶은 숙소입니다...<br/>강추강추강추!!!!!!</div>|<div class="num">10.0</div>
포항 맨션6-MANSION 6|<div class="txt">이숙소는 무조건 포항갈때마다 갈려그요<br/>센스있게 셀프세탁도 되고<br/>방이며 욕실이며 너~~무깨끗깨끗<br/>믿고사용할수 있는곳!<br/>오죽하면 첫예약후<br/>다른지방갓다가 포항다시와서<br/>고민1도없이 다시숙소 예약했어요<br/>근처 하나로마트도 가깝고<br/>맛집도 넘쳐나고 딱이였어요</div>|<div class="num">10.0</div>
포항 맨션6-MANSION 6|<div class="txt">저번에 왔다가 너무 좋아서 재방문했어요!<br/>사장님도 친절하시고 숙소도 깨끗하고 너무 좋아요🥹<br/>라면바도 잘 되어있어요!! <br/>다음에도 또 오고싶어요</div>|<div class="num">10.0</div>
포항 맨션6-MANSION 6|<div class="txt">객실 컨디션 좋았고요 미리 숙소 명함 끼워서 에어컨 틀어놓는 센스 좋았어요. 그리고 1층 로비 냉장고에서 생수,음료 꺼내마시기도 편리했구요. 커피머신기에 원두가 없어서 그런지 안되더라구요.<br/>나중에 다시 뽑으니 원두를 보충해놓으셨는지 추출이 잘되서 커피 잘 마셨습니다. 그리고 주차는 도보로 좀 걸으셔야하는데 제2주차장이 있구요 숙소 마당에는 6대 주차 가능합니다.<br/>주차공간 그게 좀 아쉬웠어요. 운전 몬하는 것들은 좀 차를 안끌고 왔으면 좋겠다고 생각했구요~ 주차 제대로 안한 인간같지도 않은거 하나 있었는데 주인분이 후진 똑바로 하라고 전화까지했는데 밖에 나간척하고 숙소 방구석에 짱박혀서 다음 날까지 똑바로 주차 안해놨더라구요ㅋ 그 과학똥차 하나 때문에 주차공간 한자리 비어있었는데 좁아서 주차도 못하고 여러차 피해보는거 들락거림서 봤네요ㅋ 이 리뷰보면 반성 좀 해라 과학똥차야~ㅋ 그거 말곤 기분 좋게 이용했습니다~ 담에 또 재방문 의사 있습니다.</div>|<div class="num">10.0</div>
포항 맨션6-MANSION 6|<div class="txt">도착하니 주차공간이 부족하여 꽉차 있었는데, 직원분이 바로 나오셔서 골목길에 공간으로 안내를 받아 잘 주차했어요.<br/>숙소도 업그레드해주셔서 세탁기하고 스타일러도 잘 사용했습니다. 방도 깔끔하게 관리되어 하룻밤 잘자고 갔네요.<br/>그리고 음료수, 라면 무료에 조식까지 기대 이상이었습니다.</div>|<div class="num">10.0</div>
포항 맨션6-MANSION 6|<div class="txt">깔끔합니다<br/>친절합니다</div>|<div class="num">10.0</div>
포항 맨션6-MANSION 6|<div class="txt">너무 깔끔하고 좋았어요 다음에 포항오면 또 오고싶은 곳이었습니다 🥹👍</div>|<div class="num">10.0</div>
포항 맨션6-MANSION 6|<div class="txt">너무 괜찮았던 곳 직원분도 친절하고 우선 청결하고 깨끗했었어요~</div>|<div class="num">10.0</div>
포항 맨션6-MANSION 6|<div class="txt">포항에 출장을 와서 미리 예약없이 숙소를 찾아봤더니... 새상에 가격이 전부 2배 가까이 올랐네요. 평소 가던 라테라스, 팰리스도가격이 15만원, 10만원이라 깜짝 놀랐습니다. 그런데 맨션6모텔에서 방이 하나 나왔는데 8만원~ 냉큼 눌러서 와 봤더니 딱 제 스티일 입니다. 있을건 다 있고, 불필요한 공간 1도 없이 딱 출장용입니다. 일본 비즈니스호텔 와 있는 느낌이었습니다. 에어컨이 털털털 소리가 약간 나서 그렇지 밤에 잠도 잘자고 침구도 푹신해서 편안했습니다~ 조식도 무료,  야식라면 코스도 무료 , 음료 커피 다 무료~ 애용할게요~</div>|<div class="num">10.0</div>
포항 맨션6-MANSION 6|<div class="txt">저희는 캠낚하는 부부예요<br/>낮에 아무리바닷가에서 원투해도 이날씨에는 못버틴다<br/>생각하고 숙소잡고 긴대실 시간에 에어컨의 시원한바람에<br/>재충전할수잇어서 너무좋았어요<br/>딱위치가 남구.북구 양쪽바다 무난하게 갈수있는 위치라좋았고 <br/>주변맛집도 많아서 좋았어요<br/>시설은 정말 최고중에 최고로 깨끗했고<br/>구성품또한  모두 일회용품이라  믿고사용 했어요<br/>오죽하면 이틀상간으로 두번갔어요ㅋ<br/>울진낚시가기전에 쉬고 울진갔다가 포항에서 낚시할려고<br/>내려와서 또 급 숙소예약했어요<br/>낚시하러 올때마다 몇박몇칠한다면 무조건 여기요!<br/>나름 숙소잡을때 예민해서 철저하게 알아보는데<br/>여기가 제가 잡은숙소중 손가락3개안에 꼽힙니다!<br/>주차장이 작던데 혹시 만차면 어디주차해야되는지<br/>제가 안내문을 못본건지 궁금해요~~<br/>이벤트 렌즈액과 통도 잘받았어요<br/>정말 최고의 숙소였어요~~!</div>|<div class="num">10.0</div>
포항 맨션6-MANSION 6|<div class="txt">포항에서 제일좋은 숙소 중 한곳이라 생각듭니다.<br/>우선 컨디션이 너무좋고<br/>좋은향밖에 안나요!!!<br/>주차장도 넓은곳에 하나더있고 조식도주고<br/>화장실도깨끗~~수압도좋고<br/>부족한게없습니다.<br/>저만알고싶습니다.</div>|<div class="num">10.0</div>
포항 맨션6-MANSION 6|<div class="txt">작은 자취방같는 느낌의 포근함이 있는 곳<br/>깨끗하고 폭신한 침구랑 <br/>사장님의 섬세한 센스들이 가득했어요!<br/>고데기도 있는게 최고<br/>너무 더웠는데 푸우욱 잘 쉬다 가요! <br/>(근데 샤워실에 따뜻한물이 잘 안나왔어요)<br/>그거 말곤 포항 여행오면 또 이용하고 싶은 숙소입니다!!</div>|<div class="num">10.0</div>
포항 맨션6-MANSION 6|<div class="txt">어디갈지 찾아보다 우연히 찾은 곳 주말임에도 불구하고 입실 시간이 3시라고?! 대박하며 바로 예약했어요 4시반쯤 도착했는데 사장님께서 엄청 죄송해하시며 어플오류로 3시 입실로 풀려있었다며 조금 기다려야할것같다 말씀하셔서 지하로 내려갓어요 생각보다 아늑하고 정갈하게 꾸며져있어서 너무 마음에 들었네요 1시간쯤 기다리니 준비됫다하시면서 퇴실시간을 2시간 늘려주셨다고 하셨어요 대처가 빠르고 무엇보다 정말 친절하셔서 기분이 좋았네요 키를 받아서 올라가 방에 들어갓는데 들어가자마자 너무 예쁘고 깔끔해서 감동ㅠㅠ 드라이기 고데기 빗이 있었는데 빗이 새거길래 놀랬어요 침구류도 너무 깨끗했고 베게 이불 다 폭신폭신 침대도 폭신 너무 편하게 잣네요 방음도 잘됫고 티비가 짱 커서 좋았어요 늘 어디 갈때마다 컴퓨터 있는 방을 고르는데 가봤던 어느곳보다 속도도 빠르고 좋았어요 스타일러와 세탁기까지 작동도 잘되고 또 세제와 섬유유연제도 카운터에 문의해서 받아올수있어서 좋았던거 같아요 깔끔한 인테리어와 조명 그리고 암막도 잘되어있어서 빛이 조금이라도 있으면 잠을 잘못자는 저에겐 너무 큰 기쁨이였어요 ㅎㅎ 1층에서 과자와 물 음료가 무제한으로 잘 구비가 되어있어서 야무지게 잘먹었네요 늦잠을 자서 조식을 못먹은게 한이지만 다음엔 꼭 지하에서 다양한 먹거리를 찾아 먹어보겠습니다! 1박이 너무 짧게 느껴져서 아쉬웠지만 다음을 기약하며 좋은 하루 보내다 갓습니다~!!</div>|<div class="num">10.0</div>
