name|reviews|star
의정부 오레|<div class="txt">일단 방이 매우 넓었습니다.<br/>넓은데 청소가 잘 되어있더라고요!<br/>그리고 화장실도 일단 넓고 보기에 딱 좋은 색상이였어요 컴퓨터도 두대 모두 아주 잘 되더라고요. 다음에 또 방문할 의사는 있으나 조금 비싼것은 고려되네요.<br/>푹 쉬다 갑니다.</div>|<div class="num">10.0</div>
의정부 오레|<div class="txt">객실깨끗하고요 주차편리해요.<br/>의정부역에서가까워서 이용하기편리해요<br/>의정부 경전철역에서도 가깝네요.<br/>주변에 신시가지 맛집거리가있어서 쉽게이용할수있어요.<br/>편의점도가까이 있어서 이용시좋습니다.</div>|<div class="num">10.0</div>
의정부 오레|<div class="txt">항상이용하는곳입니다.방컨디션 아주좋습니다<br/>직원분들도 친절합니다.<br/>직원분들도 친절합니다.<br/>직원분들도 친절합니다.<br/>직원분들도 친절합니다.<br/>직원분들도 친절합니다.<br/>직원분들도 친절합니다.<br/>직원분들도 친절합니다.</div>|<div class="num">10.0</div>
의정부 오레|<div class="txt">항상이용하는곳입니다.방컨디션도 아주 좋고 침구류도 깔끔하고 화장실 수압도 좋아서 샤워할때 아주 개운합니다.<br/>직원분들도 아주 친절하셔서 이용할때마다 만족감을 느낍니다.주변에 모텔이 많은데 적극 추천합니다</div>|<div class="num">10.0</div>
의정부 오레|<div class="txt">항상 애용하는 곳입니다.룸컨디션 아주좋고요 무엇보다 화장실 수압이 아주 좋습니다 샤워할때 개운합니다<br/>일회용품도 잘구비되어 있고 직원분들도 아주 친절하십니다.주변에 숙박업소가 많은데 이곳을 추천합니다</div>|<div class="num">10.0</div>
의정부 오레|<div class="txt">항상 이용하고 있는데 친절하고 청결해서<br/>강추합니다</div>|<div class="num">10.0</div>
의정부 오레|<div class="txt">담배냄새가 역시 일반적인 의정부 모텔</div>|<div class="num">8.0</div>
의정부 오레|<div class="txt">항상 느끼지만 친절하고 청결하고 굿 입니다</div>|<div class="num">10.0</div>
의정부 오레|<div class="txt">언제가도 괜찮아요^^<br/>친절하고 청결하고 깔끈하네요!<br/>추천 합니다</div>|<div class="num">10.0</div>
의정부 오레|<div class="txt">항상이용하는곳입니다 <br/>룸컨디션 아주좋습니다<br/>직원분들도 무척 친절합니다<br/>화장실 수압도 아주 쎄서 만족하며 이용하고 있습니다<br/>전체적으로 굉장히 흡족하게 이용히고 있습니다<br/>재방문 의사 굉장히 많습니다</div>|<div class="num">10.0</div>
의정부 오레|<div class="txt">오레는  추천할만한 숙박  업소중 하나입니다.  주차도 편하고  리모델링해서   깔끔하고요..  특히 티비가 커서 구태여  영화관 안가도 된답니다.   주변 먹을 곳도  많고.. 대실은  시간도  여유롭고요.. ♡♡♡</div>|<div class="num">10.0</div>
의정부 오레|<div class="txt">처움방문햐보는데  너무너무좋어요 왜이제야 방문했을까싶어요 ㅠ의정부역에서도 가까워서 뚜벅이인 저에겐  천국이에요  세라잼 있는  힐링방 예약했는데  내부  화장실  엄청넓고   전자렌지  .공기청정기와  웨이브 유튜브 넷플릭스있어요<br/>숙소 내부  쾌적허고  깔끔하네요  사장님은  너뮤친절허시고  다음에또방문하고싶어요</div>|<div class="num">10.0</div>
의정부 오레|<div class="txt">의정부역앞에 위치해 있어서 교통도 편하고 주차장도 넓어서 주차하기 편하네요~^^ 시설도 깨끗하고 관리 잘해주셔서 좋았어요 자주 이용하는데 직원분들도 친절하셔서 좋습니다 앞으로도 계속 이용할께요~^^앞으로도 계속 이용할께요~^^앞으로도 계속 이용할께요~^^앞으로도 계속 이용할께요~^^앞으로도 계속 이용할께요~^^앞으로도 계속 이용할께요~^^</div>|<div class="num">10.0</div>
의정부 오레|<div class="txt">객실깨끗하고요 주차편리해요.<br/>의정부역에서가까워서 이용하기편리해요<br/>의정부 경전철역에서도 가깝네요.<br/>주변에 신시가지 맛집거리가있어서 쉽게이용할수있어요.<br/>편의점도가까이 있어서 이용시좋습니다.</div>|<div class="num">10.0</div>
의정부 오레|<div class="txt">조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요 조아쬬요</div>|<div class="num">10.0</div>
의정부 오레|<div class="txt">오레는 방이랑 화장실도 넓고 TV도 커서 이용하기 참 좋아요~~<br/>넷플릭스 잘보고 가네요~~~<br/>방바닥에 머리카락이 떨어져 있는건 좀 흠이지만 전체적으로 괜찮아요~~<br/>그리고 주차가 편해서 좋아요!!!</div>|<div class="num">10.0</div>
