name|reviews|star
용인 리젠드|<div class="txt">자주이용하긴했지만 역시 이곳만한곳이 없네요 공간도 넓고 깨끗하고 합리적인 가격으로 잘 이용했습니다 예전에 아이스크림 기계가 있었던 것으로 기억하는데 그건 없어진듯 하네요 그래도 편히 잘쉬었습니다!!!</div>|<div class="num">10.0</div>
용인 리젠드|<div class="txt">갈때마다 응대도 잘해주시고 티비랑 물도 잘 나오규 티비 잘 나오규 조항요 그리규 물이 너무 시원해서 돟고 에어컨도 ㅂ발빵하니좋네여. 그리구 다름레도 여기로 올 거ㅛ같아여 다름에도 올게요 감사함가</div>|<div class="num">10.0</div>
용인 리젠드|<div class="txt">잘쉬다가 가요 애용 하는 곳이에요<br/>잘쉬다가 가요 애용 하는 곳이에요<br/>잘쉬다가 가요 애용 하는 곳이에요<br/>잘쉬다가 가요 애용 하는 곳이에요<br/>잘쉬다가 가요 애용 하는 곳이에요<br/>잘쉬다가 가요 애용 하는 곳이에요</div>|<div class="num">10.0</div>
용인 리젠드|<div class="txt">간만에 용인수지 출장중 가게된 숙소<br/>이용시간이 아주 길어서 좋구요 주차장 넓어요<br/>프론트도 깔끔하구 먹거리도 아주 좋아요<br/>객실상태 아주 양호하고 깨끗합니다<br/>욕실도 넓고 좋아요 재방문예정</div>|<div class="num">10.0</div>
용인 리젠드|<div class="txt">근처 숙소를 알아보다가 이숙소로 결정해서 와봤습니다.<br/>방도 더러운 곳없이 화장실까지 청소 깔끔하게 잘 되어 있었구요.<br/>다른 곳들에 비해 깨끗해서 좋습니다.<br/>주변에 먹거리도 아주 다양해서 좋구요.<br/>다른숙소보다 좋은점이 많네요.<br/>앞으로도 자주 이용하겠습니다.</div>|<div class="num">10.0</div>
용인 리젠드|<div class="txt">수지 대장 모텔<br/><br/>무슨 말이 더 필요할까요.</div>|<div class="num">10.0</div>
용인 리젠드|<div class="txt">깔금하고 좋아요..</div>|<div class="num">10.0</div>
용인 리젠드|<div class="txt">깨끗하고 친절하고 좋아요</div>|<div class="num">10.0</div>
용인 리젠드|<div class="txt">너무 좋아요 다음에 또 이용할게요</div>|<div class="num">10.0</div>
용인 리젠드|<div class="txt">리뷰 처음으로 남깁니다..<br/>방음 역대 최악이며 직원분 서비스 태도 너무 불친절해서 기분이 안좋습니다. 진상짓을 한 것도 아니고 뭐 물어보기만 해도 한숨 팍팍쉬면서 얘기하는데 너무 기분 나쁩니다.<br/>옆방은 거짓말 안하고 정확히 남자 둘 목소리에 여자 하나인 것 같은데 제재도 안한 듯 술파티에 너무 시끄럽고 살려달라는 신음 소리에 잠을 자지 못했습니다.<br/>욕실에는 머리카락 뭉탱이가 쌓여잇엇고 퇴실 1시간전부터 전화하는 것도 불편합니다. 다른 분도 숙박 퇴실 1시간 전 전화 받앗다고ㅠ하던데 제가 착각한 거 아닙니다. 사실입니다<br/>절대 비추천합니다</div>|<div class="num">2.0</div>
용인 리젠드|<div class="txt">자주이용 합니다. 갈때마다 만족하고 옵니다.</div>|<div class="num">10.0</div>
용인 리젠드|<div class="txt">항상 애용하는 장소인데  늘 깨끗하고  시설도 좋고 샌드위치등 간식도 있어서 너무 좋습니다.직원분들도 친절하시고  항상 감사하고 앞으로도 자주 애용할 계획입니다</div>|<div class="num">10.0</div>
용인 리젠드|<div class="txt">용인수지구청에서 가장 가격대비 촤고의 모탤입니다 <br/>주차장도 넓고 직원분들 친절하시고 무엇보다 스낵바가 너뮤다양하고 좋아요~ 방안에는 쟌자랜지에 안마의자에 스타일러까지 진짜 방도ㅠ깨끗하고 촤고네요</div>|<div class="num">10.0</div>
용인 리젠드|<div class="txt">청소상태 좋아요<br/>청소상태 좋아요<br/>청소상태 좋아요<br/>청소상태 좋아요<br/>청소상태 좋아요<br/>청소상태 좋아요<br/>청소상태 좋아요<br/>청소상태 좋아요<br/>청소상태 좋아요<br/>청소상태 좋아요<br/>청소상태 좋아요<br/>청소상태 좋아요</div>|<div class="num">10.0</div>
용인 리젠드|<div class="txt">501호에서 쉬다갔는데 직전에 누가 썻던 방인지 눅눅하고 화장실은 물바닥이고 냉장고에 물도 하나도 안시원했어요ㅜㅜ<br/>전체적으로 습하고 눅눅해서 쾌적하지않았어요</div>|<div class="num">4.6</div>
용인 리젠드|<div class="txt">리젠드 잘 이용하고 있습니다. 이번에는 조금 작은 방을 이용해서 욕조는 없었는데 그 점만 빼면 아쉬운 점은 없었던 것 같아요 그리고 살짝 욕실 등은 어둡습니다만 크게 상관 없었어요.</div>|<div class="num">8.6</div>
