name|reviews|star
김해 NO.25-삼계|<div class="txt">객실상타 너무너무 좋고 카운터 직원분이 너무 친절하게 응대해주셔서 너무 좋앗습니다 그리고 러비에 먹거리등이잇어서 간편하게 먹기 좋앟고 롸장실 객실 청결상태도 굿이엿습니다 다음에도 또 이용학겟습니다</div>|<div class="num">10.0</div>
김해 NO.25-삼계|<div class="txt">스타일러와 안마의자있는 룸.<br/>방은 깨끗하고 청소도 잘되어있어요.<br/>화장실도 넓고 쾌적해요.<br/>안마의자가 좀 낡아서 가죽이 벗겨져있어서 사용은 안했지만 스타일러는 사용했어요.<br/>가격대비 만족스럽습니다.</div>|<div class="num">10.0</div>
김해 NO.25-삼계|<div class="txt">주차장도 넓고 내부시설도 깔끔하고 좋았어요. 가운을 그냥 옷걸이에 걸어놓는곳도 많은데 여긴 비닐에 들어있어 맘에 들어오. 다 좋았는데 욕조는 깊고 2인용이긴한데 길이가 좀 짧아요. 반신욕용인듯.  퇴실시간이 길어서 푹쉬다왔네요</div>|<div class="num">10.0</div>
김해 NO.25-삼계|<div class="txt">기대하지 않았는데 생각보다 깔끔해서 좋았습니다<br/>비품도 잘돼어있고 시설도 전반적으로 만족스럽네요<br/>근처에 음식점 있어서 끼니 해결하기도 좋아 출장올때<br/>간간히 들릴듯 합니다 사장님도 친절하시고 지금처럼<br/>계속 운영잘하시길 기대합니다</div>|<div class="num">10.0</div>
김해 NO.25-삼계|<div class="txt">시설도 너무 깔끔하고좋고 주차장도 상당히 넓어서 두차할 공간도 많아 좋앗습니디 데스크 직원분도 너무 친절하시고 잘대해주셔서 좋앗고 화장실 객실 너무너무 좋은거같슺니디 다음에도 이용하겟슺니아</div>|<div class="num">10.0</div>
김해 NO.25-삼계|<div class="txt">항상 께끗하고 친절해서 자주 찾는 곳입니다.</div>|<div class="num">10.0</div>
김해 NO.25-삼계|<div class="txt">깨끗하고 널찍해서 좋았어요</div>|<div class="num">10.0</div>
김해 NO.25-삼계|<div class="txt">넒고 편안하게 잘시ㅟ고왔어요</div>|<div class="num">10.0</div>
김해 NO.25-삼계|<div class="txt">전체적으로 깨끗하고 시설도 좋아요.<br/>가성비가 좋은듯. 추천합니다.</div>|<div class="num">10.0</div>
김해 NO.25-삼계|<div class="txt">청결하고 편하게 숙박했음. 단지 흠이라면 침대 커버가 찢어진 상태로 있어 별로...</div>|<div class="num">6.0</div>
