name|reviews|star
양산 버튼-북부점|<div class="txt">블로그보고 알게되서 휴가를<br/>간단하게 즐길 수 있는곳으로 딱 적당했어요<br/>시설도 깨끗했고 인테리어가 사진찍기도 예뻤어요<br/>조카랑 같이 간 수영장이었는데<br/>조카가 너무 좋아했고 요청사항도 잘 들어쥬셨어요 :) <br/>조카가 자고 가고싶은데<br/>조금만 놀다가서 너무 아쉽다고 하더라구요 ㅋㅋ</div>|<div class="num">10.0</div>
양산 버튼-북부점|<div class="txt">여기 진짜 좋아요 일단 가격도 싸고 주차장도 넓고 근처에 시켜먹을곳도 많아서 좋고 시설은 완전 깨끗하고 컴퓨터도 좋고 다 좋았어요 다음에도 또 가야겠어요 간만에 힐링히고 갑니다 ㅎㅎ</div>|<div class="num">10.0</div>
양산 버튼-북부점|<div class="txt">시설도 깨끗하고 사장님이 되게 친절하십니다<br/>주차 자리도 매우 넉넉하고 주차안내도 잘해주십니다 물도 자유롭게 가져갈 수 있도록 인포데스크 옆에 있습니다<br/>_ 가격도 저렴하게 잘 쉬다가 갑니당</div>|<div class="num">10.0</div>
양산 버튼-북부점|<div class="txt">생기고 2번째 방문입니다 항상 깔끔하고 커피에 과자까지 로비에 구비되어 좋아요 객실 청소상태도 맘에 들어요 욕조에 몸담그고 피로 풀고 물이 보들보들하니 피부가 매쓴해지는 기분이네요 왠만한 목욕탕 보다 좋네요 담에 또 방문 예정이에요</div>|<div class="num">10.0</div>
양산 버튼-북부점|<div class="txt">북부동 버턴은 처음으로 예약을 하고  갔어요  석산동쪽으로는 자주갔어는데 좀노후되어서 믿고 북부동 으로 2박3일 예약하고 잘쉬어다가 와어요 선택을 잘한거 같애요 카운트 여사장님 너무 친절하시고 기분좋아서요 방컨디션도 마음에 들어고 침대 이불 다 깨끗하고 욕조도있고 욕실이 크고 좋아서요 비데도 설치되어있어요 청소하는 인모님들도 친절하시고 모던게 마음에 들어서요  바로앞에 나오면 아침식사도 할수있어요 세자매식당 아침식사 맛있어요 주위에 식당들도많아요 다음에 또 예약하고 갈깨요</div>|<div class="num">10.0</div>
양산 버튼-북부점|<div class="txt">또 올께요^^<br/>좋아요</div>|<div class="num">10.0</div>
양산 버튼-북부점|<div class="txt">신축이라 깨끗하고 좋습니다</div>|<div class="num">10.0</div>
양산 버튼-북부점|<div class="txt">좋아오 또올게오<br/>좋아오 또올게오<br/>좋아오 또올게오<br/>좋아오 또올게오<br/>좋아오 또올게오<br/>좋아오 또올게오<br/>좋아오 또올게오<br/>좋아오 또올게오<br/>좋아오 또올게오<br/>좋아오 또올게오<br/>좋아오 또올게오<br/>좋아오 또올게오</div>|<div class="num">7.0</div>
양산 버튼-북부점|<div class="txt">깨끗하고 넓고 최곱니다~~~<br/>직원분들도 친절하시구요...</div>|<div class="num">10.0</div>
양산 버튼-북부점|<div class="txt">19개월 아이랑 다녀온 후기❤<br/><br/>오픈특가로 예약을 하게되어 매우 기분좋은 가격에 기분좋게 다녀왔습니다 🙂 리모델링 후 오픈한지 얼마 안되어그런지 진짜 모두 새거새거였어요!<br/><br/>주차공간도 꽤 넉넉했고, 로비에는 차와 얼음이 나오는 정수기, 추가 생수와 음료가 비치되어있었고 흡연가능한 쉼터가 따로 마련되어 있었어요.<br/><br/>어린아이랑 가는거라 넓은객실, 큰탕(수영장) 보다는 그것보다는 작은 가족탕같은 객실을 예약했는데 좋은 선택이었던것 같아요👍🏻<br/><br/>다만, 온수1회제한이라는 표시를 그 어디에서도 못보았는데 체크인 시 이야기 해주시더라구요. 탕이 작아 물이 금방 식어 아쉬운 부분이었습니다. 날이 더워 크게 개의치 않고 이용했지만요. 온수에 대한 부분을 미리 명시해 주시면 좋을 것 같습니다.<br/><br/>그리고, 전체적으로 객실은 깨끗하였으나 완벽을 바라는것은 아니지만 군데군데 떨어진 머리카락이 눈에 띄었고 침대 옆쪽은 전혀 청소가 이루어지지 않는듯해서 아쉬웠습니다. 이런 곳은 청결이 생명이니만큼 더 신경써주시면 좋을 것 같습니다.<br/><br/>그래도 이용하는 내내 화질 좋은 큰 텔레비전, 스타일러 덕분에 정말 잘 이용하고왔어요!<br/><br/>새벽1시 넘도록 윗층 객실 풍덩거리는 소리는... 나름의 스트레스였지만 저희도 피곤해서 골아떨어진 후에는 듣지못했고 다행히 아이가 그 소리에 깨거나 하지않아 따로 연락드리지않고 지내고왔지만 체크인 시 물놀이 시간을 어느정도로 제한(?)해주면 좋을것 같습니다...... 거의 새벽2시가 다되도록 풍덩거릴줄 몰랐어요🥲ㅎㅎ...<br/><br/>아!<br/><br/>그리고 어플에는 버튼호텔 양산북부점이라 되어있는데 타지에서 온 사람은 양산 북부가 어디인지 모르거든요...🥲네이버지도에서 검색한곳으로 갔는데....거기가 북부점이 아니라고했고 저희도 그 때 확인해보니 버튼호텔이 양산에 한군데가 더 있었고 네이버지도에는 양산시청점이라 되어있더라구요...<br/><br/>그리고 어플에는 신주소가 아닌 구주소로 되어있어 타지인이 보기에는 혼동이 오기쉬워 그 부분 개선되었으면 좋겠습니다.</div>|<div class="num">10.0</div>
