name|reviews|star
부평 호텔 ORA-오라|<div class="txt">좋아요 자주 이용할게요~~좋아요 자주 이용할게요~~좋아요 자주 이용할게요~~좋아요 자주 이용할게요~~좋아요 자주 이용할게요~~좋아요 자주 이용할게요~~좋아요 자주 이용할게요~~좋아요 자주 이용할게요~~</div>|<div class="num">10.0</div>
부평 호텔 ORA-오라|<div class="txt">깔끔하고 침구까지 모두 쾌적해요 직원분도 <br/>친절해요<br/>깔끔하고 침구까지 모두 쾌적해요 직원분도 <br/>친절해요<br/>깔끔하고 침구까지 모두 쾌적해요 직원분도 <br/>친절해요<br/>깔끔하고 침구까지 모두 쾌적해요 직원분도 <br/>친절해요</div>|<div class="num">10.0</div>
부평 호텔 ORA-오라|<div class="txt">퇴실시간이 늦어서 좋았어요(평일 월~목은 2시 퇴실 나머지 3시)<br/>테마거리 술집이랑 근접해서 좋았어요<br/>고데기가 있어 좋았어요<br/>화장실이 넓어 좋았어요<br/>1층에 물 더 가져갈 수 있어 좋았어요<br/>수건 더 요청하면 더 주셔서 좋았어요<br/>직원분이 친절해서 좋았어요</div>|<div class="num">10.0</div>
부평 호텔 ORA-오라|<div class="txt">첨가봤는대 너무 깨끗하고 수압도 좋ㄷ고 너무 조앗아요 청결한거같았고 음 만족스러워서 또 재방문할거에요 !!!!!! 사장님도 친절하시고 여러모로 좋습니다 ~~~~ 다음애 또 방뭄할게요~~</div>|<div class="num">10.0</div>
부평 호텔 ORA-오라|<div class="txt">퇴실시간이 늦어서 좋았어요(평일 월~목은 2시 퇴실 나머지 3시)<br/>테마거리 술집이랑 근접해서 좋았어요<br/>고데기가 있어 좋았어요<br/>화장실이 넓어 좋았어요<br/>1층에 물 더 가져갈 수 있어 좋았어요<br/>수건 더 요청하면 더 주셔서 좋았어요<br/>직원분이 친절해서 좋았어요</div>|<div class="num">10.0</div>
부평 호텔 ORA-오라|<div class="txt">항상 올때마다 만족하구 방도 넓고 티비도 크고 직원분들도 친절하셔서 항상 오라만 갑니다</div>|<div class="num">10.0</div>
부평 호텔 ORA-오라|<div class="txt">깔끔하고 컴퓨터 좋아요 엄청 친절하세요</div>|<div class="num">10.0</div>
부평 호텔 ORA-오라|<div class="txt">올때마다 느끼는거지만 카운터분이 굉장히 친절하시고 건물이 전체적으로 깔끔하고 세련된것같아요. 방 내부도 깔끔하고 담배냄새가 나지 않아 좋습니다. 요즘 자주 이용하게 되는 것 같아요.</div>|<div class="num">10.0</div>
부평 호텔 ORA-오라|<div class="txt">에어컨 시원하고 침대푹신해요.<br/>욕실두크고 비치지않아서 좋습니다.<br/>근데 방문이 닫히지않아서 소리가 새어나갈수있다는 점이 불편했네요</div>|<div class="num">7.0</div>
부평 호텔 ORA-오라|<div class="txt">솔직히 부평 자주오는 동네이고 여기서 이용한 숙박업체도 많은데 그 중 가격대비 퀄리티가 가장 뛰어난 곳 중 하나 입니다. 싼데 그렇다고 연식이 막 오래된 것도 아니구 나름 모던하구 좋아요</div>|<div class="num">10.0</div>
부평 호텔 ORA-오라|<div class="txt">좋아요 다음에 또 갈게영좋아요 다음에 또 갈게영좋아요 다음에 또 갈게영좋아요 다음에 또 갈게영좋아요 다음에 또 갈게영좋아요 다음에 또 갈게영좋아요 다음에 또 갈게영좋아요 다음에 또 갈게영</div>|<div class="num">10.0</div>
부평 호텔 ORA-오라|<div class="txt">여기 자주 오는데 너무 좋아요! 담배 냄새도 안 나고 티비도 크고 너무 조아요!! 침대도 푹신합니다~~ 사장님도 친절하시고 아주 편하게 잘 쉬다 갑니다~~~~ 여기 너무 좋아요!! 감사합니다!</div>|<div class="num">10.0</div>
부평 호텔 ORA-오라|<div class="txt">편하게 쉬다가 갑니다~~~~~~~~~~~~~~~편하게 쉬다가 갑니다~~~~~~~~~~~~~~~편하게 쉬다가 갑니다~~~~~~~~~~~~~~~편하게 쉬다가 갑니다~~~~~~~~~~~~편하게 쉬다가 갑니다~~~~~~~~~~~~~~~편하게 쉬다가 갑니다~~~~~~~~~~~~~~~편하게 쉬다가 갑니다~~~~~~~~~~~~~~~편하게 쉬다가 갑니다~~~~~~~~~~~~~~~~~</div>|<div class="num">10.0</div>
