name|reviews|star
제주 나비스호텔|<div class="txt">제주로 출장오면 자주 이용하는 숙소네요~~<br/>주변 상권도 좋아서 지내는데 만족합니다~~<br/>객실도 깨끗하고 수압도 좋구 사장님도 친절하고 <br/>주차도 편합니다~~<br/>가성비 좋은 숙소인거 같아요~~~</div>|<div class="num">10.0</div>
제주 나비스호텔|<div class="txt">커튼 열면 바로 바다가 보이는 오션뷰로 하루 잘 쉬다 갑니다! 애월이라 근처 식당도 많아서 저녁 먹기도 좋았습니다. 건물은 전제적으로 노후 됐으나 침구는 깨끗했습니다. 키오스크로 비대면 체크인도 빠른 대응이어서 좋았어요. 주차나 가격대비 가성비 숙소인듯합니다! 추천이요</div>|<div class="num">8.6</div>
제주 나비스호텔|<div class="txt">제주도갔는데<br/>편하고 좋아요 꽤 넓고 편했네요 바로 앞에 바다도있어서 새벽에 일어나서 다녀왔는데 너무 좋았어요 저렴하고 이정도면 나쁘지않네요! 다들 추천합니당ㅇ다아ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ</div>|<div class="num">10.0</div>
제주 나비스호텔|<div class="txt">왜 별로인지 이해가 안가요~~<br/>전에 갔었을 때도 이번이 두번짼데 너무 편안하게 잘 썻어요<br/>가성비 갑이고 실내도 이정도면 깨끗한 편인데..<br/>전 다음에 가도 여기만 이용할거 같아요 좋아요</div>|<div class="num">10.0</div>
제주 나비스호텔|<div class="txt">1. 청결도(총점 4점)<br/>- 화장실은 머리카락 한두가닥보임(4점)<br/>- 방 전체적으로 깨끗함 (5점)<br/>- 침구류 침대커버 이물질 자국 3개이상 있음.(3점)<br/>2. 직원서비스(총점 5점)<br/>- 크게 마주칠일 없이 무인으로 운영, 키 자판기쪽 가면 응답해줌.(5점)<br/>3. 이용시설(3.5점)<br/>- 내부에서 취사, 취식 안됨.(1점)<br/>음료취식가능. 배달시켜먹으려했는데 이용안내를 못본건지.. <br/>제 잘못이죠..ㅠ<br/>- 오후1시 퇴실(5점)<br/>- 바로옆 호텔에 있는 gs편의점 이용가능(4점)<br/>편의점 안에서 취식가능 하지만 의자없고 공간좁음.<br/>- 내부 문부셔저있음.(4점)<br/>4.총평 (4점)<br/>리뷰 예전거와 최근거 보고 갔습니다. 일단 가성비는 좋으나 안에서 취식 안되는 것을 감안하면 제값하는거같고 최신리뷰들이 좋길래 갔는데 문은 도어락으로 다 바껴있고 내부도 깔끔했습니다. 식사하고 온다면 방에서 간단히 맥주정돈 할수있고 갓성비론 괜찮을듯합니다. 총평점 4점드리겠습니다. 안에서 취식까지 가능하다면 5점받을수있을거같습니다. 문수리도 꼭 해주세요 ㅇ_~</div>|<div class="num">8.0</div>
제주 나비스호텔|<div class="txt">다시한번 방문 하고싶네여</div>|<div class="num">10.0</div>
제주 나비스호텔|<div class="txt">최악이다.<br/>놀러와서 이게 뭔지??<br/>싼게 비지떡? 아무리! 그래도 이건 아니다.<br/>냄새에 더럽고 청소 안하고 기본 서비스도 안되고 에어콘도 청소도 안되있어 냄새나고 곰팡이에 더워서 사용중이나.지금 목이 아프고 애들도 계속 기침하고 여기어때에 컴플레인 걸고..<br/>제대로 해결이 안되고.. 2시간정도 대책미련할 시간이니 기다려 달라고 했는데 3시간 30분 기다리다 리뷰 작성중..<br/>이건 아니다..다른곳 더 비싸도 가고싶다. 취소해달라고 했는데 답변이 없다. 상담원과 통화 녹음을 알리려고 작성했음.<br/>여기어때는 업체에 수수료만 받으면 그만이걸..왜 소비자를 신경을 써야하냐? 소비자말만 믿고 취소가 안된다.<br/>그럼 내가 올린 사진봐라!!!...  <br/>엘베냄새.복도냄새.화장실냄새.방냄새.곳곳에 곰팡이에 병이 걸리면 걸리지 이건 아니라고 봄...지금도 기침한다...<br/>나와 애들이... 이거 어떻게 할까?<br/>병원가서 진단서 받아와야겠다.<br/>여기어때도... 책임을 져야기될것이다.</div>|<div class="num">1.0</div>
제주 나비스호텔|<div class="txt">숙소의 구조에 놀라고 예상과 다른 객실 상태에 놀람</div>|<div class="num">8.6</div>
제주 나비스호텔|<div class="txt">5인실에 투룸이라고 기대했는데...<br/>시설이 많이 낡고, 부서진 장, 유리도 고치지 않아서 위험하네요.<br/>에어컨에는 곰팡이도 있어요.<br/>바닥도 깨끗하지 않고, 체크인 직원분도 1층에 없고 카메라와 마이크, 스피커로만 체크인하려고 해서 이름을 못알아들어서 답답했어요. 아이들과 함께 하는 여행인데... 깨진 유리가 그대로 있는건 정말 너무하지 않나요?<br/>사진만 보고 결정한 숙소라 아이들에게 미안하다고 했어요.<br/>사진상으로는 침대 3개만 보여서 괜찮아보였는데...<br/>수압은 세고, 따뜻한 물은 잘 나와요.<br/>자기 전에는 없던 참새시체가 떡하니 바닥에 있는데 너무 놀랐어요.<br/>아이들과 함께온 첫날 밤이었는데 아침 식사도 못하고 도망치듯 나왔어요.</div>|<div class="num">4.0</div>
제주 나비스호텔|<div class="txt">2년전쯤에 자주 가던 숙소였는데 사람이 비꼈네요. <br/><br/>트윈방예약후갔는데 더블줘서 다시내려가서 키바꿔왔는데.<br/><br/>.복도끝엔 매트리스가 자리못찾고 쌓여있고<br/><br/> .방은 페인트칠을 셀프로 하다 만건지.......<br/><br/>화장실은 불도 절반만 들어오고샤워기엔 여자머리카락이 뭉탱이로 붙어있고..<br/><br/>.가격이 싸서 참아야할 수준이 넘어가네요.<br/><br/>예전 사장님은 친절하긴했는데...이젠 방에서 뭐 취식금지도 붙어있는것같고.....</div>|<div class="num">4.0</div>
