name|reviews|star
제주 스위트캐슬 호텔|<div class="txt">전반적으로 숙소 외관과 내부가 깔끔하고 청결했으며,<br/>직원분들이 매우 친절하게 설명해주셔서 좋았어요:)<br/>주차장 또한 자리가 많이 마련되어있어 편했고,<br/>부대시설로 수영장과 루프탑 스파가 마련되어있더라고요.<br/>수영장은 별다른 요금 없이 호텔 투숙객이면 이용가능하지만 <br/>저희는 일정상 수영장은 이용하지못했어요 ㅠㅠ아쉽 ㅠㅠ<br/>많은 투숙객분들이 놀고계시는 것만 봤어요~<br/>(특히 아이들이 엄청 좋아하더라고요?!)<br/>무엇보다 숙소 내에 신발 건조기도 구비되어있어서 <br/>신기했어요! 바닷가 주변 숙소라 준비해놓으신 것 같아요!<br/>넷플릭스도 나와서 편하게 쉴수있었고,<br/>호텔 로비에는 24시 편의점도 위치해 있어서 필요한 물품이 있을때 사용하기 좋았어요:)<br/>스위트캐슬 호텔 별 기대없이 예약했지만 <br/>생각보다 깔끔하고 좋아서 추천드리고 싶습니다!</div>|<div class="num">10.0</div>
제주 스위트캐슬 호텔|<div class="txt">예전에 두번 왔던곳인데 미취학 초저학년이 놀기 딱좋아요 물총도 쏘고 옆에 편의점에서 입맛대로 사와서 취식가능합니다. 1박 숙박비 만큼 사먹은듯하네여<br/>ㅎㅎ  근데 이번에는 5개월 아기가 있어서 망설였는데 너무 잘지내다 왔어요 기대안했던 '아기욕조'랑 '침대가드'가 있네요 미리 요청했었는데 꽤 튼튼하고 상태가 좋았어요~~~~~ 우리 아기 첫수영 너무 잘했어요 그늘도 있어서 캠핑매트 깔고 있으니 편했네요 동남아 많이 가봤지만 동남아처럼 고급지게 호캉스할려면 한국에서는 50만원넘는데 여기는 한국적이게 편하고 저렴하게 호캉스 가능합니다 사장님 오래오래 장사해주세요 ㅎㅎㅎ</div>|<div class="num">10.0</div>
제주 스위트캐슬 호텔|<div class="txt">객실은 깨끗하고 뷰도 이쁘고 좋았습니다<br/>에어컨 내부도 깨끗했고요 단점은 화장실<br/>샤워기가 수압이 진짜 너무너무 약했어요..!<br/>그리고 뭔가 이 호텔이 좀 오래 됐구나 싶은<br/>느낌을 받았어요 그런데 그런 느낌을 받은거 치고는<br/>관리가 너무 잘 되고 있어요 프론트 직원분들<br/>너무... 너무 너무 너무 친절했어요 대화만 하면<br/>기분이 좋아질 정도로요.. 1층에 편의점 사장님까지<br/>친절하더라고요 ㅋㅋㅋㅋㅋ 저는 수영장을 이용하지<br/>않았지만 수영장도 깨끗하고 꽤 넓어서 놀기<br/>좋아보였어요! 호텔이라는 이름에 걸 맞는 숙소인거<br/>같습니다 짱 추천!<br/>프론트 직원분들 너무 친절해요 심지어 1층 편의점<br/>사장님도 친절해요... 연박을 묵게 되어서 방 청소는<br/>하지 말아달라는 팻말을 걸고 나갔다 왔는데<br/>봉투에 새수건들과 새로운 물들을 담아서 방문에<br/>걸어놓으셨더라구요..ㅠㅠ 정말 너무 감동적이고..<br/>감사드리고... 이렇게 인류애가 생기는 숙소는 처음<br/>입니다... 최고의 숙소입니다!! 정말 감사합니다 행복하게 잘 묵었습니다!</div>|<div class="num">10.0</div>
제주 스위트캐슬 호텔|<div class="txt">객실은 깨끗하고 뷰도 이쁘고 좋았습니다<br/>에어컨 내부도 깨끗했고요 단점은 화장실<br/>샤워기가 수압이 진짜 너무너무 약했어요..!<br/>그리고 뭔가 이 호텔이 좀 오래 됐구나 싶은<br/>느낌을 받았어요 그런데 그런 느낌을 받은거 치고는<br/>관리가 너무 잘 되고 있어요 프론트 직원분들<br/>너무... 너무 너무 너무 친절했어요 대화만 하면<br/>기분이 좋아질 정도로요.. 1층에 편의점 사장님까지<br/>친절하더라고요 ㅋㅋㅋㅋㅋ 저는 수영장을 이용하지<br/>않았지만 수영장도 깨끗하고 꽤 넓어서 놀기<br/>좋아보였어요! 호텔이라는 이름에 걸 맞는 숙소인거<br/>같습니다 짱 추천!</div>|<div class="num">10.0</div>
제주 스위트캐슬 호텔|<div class="txt">아이와 놀기 좋은 함덕해수욕장이랑 1km거리로 굉장히 가까워 좋아요. <br/>수영복 말리기 위해 건조대도 빌려주셔서 아무 문제 없이 잘 말렸습니다. 이 이후 다른데선 건조대 대여는 없더라고요<br/>주변에 수산집이 있어 야식으로 사다 먹기도 좋았고 화장대 의자 하나만 있어 큰 소파를 옮겨와야 둘이 앉아 먹을 수 있어요 <br/>룸컨디션도 기대이상이었고요^^<br/>1층 식당에선 조식도 합리적인 가격으로 제공되니 역시 후기대로 만족스럽게 머물렀습니다~<br/>다음번에도 함덕에선 이곳에서 머물거 같아요!</div>|<div class="num">10.0</div>
제주 스위트캐슬 호텔|<div class="txt">전체적으로 가성비가 좋았습니다! 바다랑도 가까워요!</div>|<div class="num">8.6</div>
제주 스위트캐슬 호텔|<div class="txt">깔끔하고 좋았습니다!!</div>|<div class="num">10.0</div>
제주 스위트캐슬 호텔|<div class="txt">함덕에서 차로 10분정도?걸리네요. 번화가에서 떨어져있어서 밥먹으러 갈때는 약간 불편했네요. 오션뷰도 해수욕장 뷰가 아니라 아쉬움이 있다.<br/>그렇지만 멀리로 보이는 오션뷰도 운치있고<br/>좋았네요.<br/>외딴곳이라 숙소가 조용하다는 점이 장점이네요.<br/>아쉽게도 수영장은 운영하지 않았네요.<br/>내부는 다른 호텔에 비해 약간 넓었구요<br/>청소상태가 아주 깨끗해서 쾌적했습니다<br/>침대 매트리스도 쫀촌했어요</div>|<div class="num">10.0</div>
제주 스위트캐슬 호텔|<div class="txt">일단 오션뷰이긴 하지만 아주 멀리서 보입니다ㅋㅋ<br/>그래듀 저렴한 값에 아주 깨끗한 룸 컨디션이라 마음에 들었어요 그리고 프론트 직원분 너무 친절해욤!! 기분 좋개 머물다 갑니다~~~~</div>|<div class="num">10.0</div>
제주 스위트캐슬 호텔|<div class="txt">특가로 떠있길래 줍줍 했는데 와대박사건 최고였습니다</div>|<div class="num">10.0</div>
