name|reviews|star
목포 호텔 라임|<div class="txt">시설 깨끗하고 냄새도 없고 주변도 조용해서 잘 쉬었습니다.<br/>조식은 씨리얼, 스프, 식빵, 컵라면 나와서 간단하게 먹기 괜찮았고 커피맛도 좋았습니다.<br/>출장때문에 묵은거라 개인적으로 스타일러가 가장 중요한데, 스타일러 관리가 잘되어서 옷도 깨끗하게 입고 기분좋게 나왔구요.<br/>다음 출장때 또 뵐게요^^</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">웬만한 호텔보다 훨씬 좋습니다. 최근 이용해본 숙소 중 모텔급에선 최곱니다. 신축이라 모텔 특유의 냄새 없고 침구 매우 깨끗합니다. 직원분들 친절한 건 당연하구요. 아침에 조식도 제공되는데, 늦게 내려갔음에도 불구하고 컵라면까지 챙겨주셨어요. 다음에 목포 가면 여기 꼭 묵겠습니다.<br/>근처에 주택가라 조용하고 평화광장까지는 택시로 5분 정도 거리인 거 같네요.</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">도심 속의 파라다이스<br/>여기 어때에서 찾아보다 우연히 숙박하게되었습니다. 직원분은 호텔이 최근에 만들어졌다고 말씀하셨습니다. 최신 스타일러, 공기 청정기, 에어컨 등 최신 가전기기들이 지친 몸을 이끌고 간 저를 감싸주었습니다. 욕실은 또 엄청 커서 물 받아놓고 수영하고 싶더군요. 깔끔하고 향기 좋은 샴푸, 린스, 바디워시도 마음에 쏙 들었습니다. 퇴실이 13시라 어기적어기적 방 정리를 하고 1층으로 내려오니, 전날 미처 발견하지 못한 요기거리가 눈에 띄더군요. 콘푸로스트, 코코볼, 식빵, 커피, 음료수까지.. 모든 게 공짜였습니다. 여기 남는 게 있나요..? 호텔경영을 시원시원하게 해주셔서 감사했습니다. 이 자리에 오래오래 남아서 전설의 호텔이 되어주세요.</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">좋아요좋아요어어오오엉 좋아요좋아요어어오오엉 좋아요좋아요어어오오엉 좋아요좋아요어어오오엉   좋아요좋아요어어오오엉 좋아요좋아요어어오오엉 좋아요좋아요어어오오엉 좋아요좋아요어어오오엉 좋아요좋아요어어오오엉</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">2번째 이용<br/>건물1층 주차장 협소 100m정도 떨어진곳에 외부주차장 있음 이게 좀 불편함<br/>방 무료 업그레이드해줌<br/>시설 좋음 깨끗함<br/>간단한 조식 제공 컵라면있음</div>|<div class="num">8.0</div>
목포 호텔 라임|<div class="txt">좋아용    따봉  정말끼ㅣㅣ끗</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">청결하고 조용해서 좋아요</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">여행중에 그냥 잡은 숙소인데 가성비 끝판왕 숙소였어요! 깔끔하고 티비도 크고 기분 좋게 쉴수 있었어요. 밤에 숙소 앞에 우정식당이라고 유명한 곳이 있어서 늦게라도 바로 다녀올수 있었어요!</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">주차장도 넓고 깨끗해서 좋아요</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">시설이 깔끔하고 주변에 편의점이 있어서 좋았어요!</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">사진과는 달리 곳곳에 녹이 슬고 얼룩도 많아서 미관상 별로였어요  스타일러도 먼지통 안 비워서 경고 뜨길래 직접 먼지통 청소까지 해서 사용했네요<br/>먼지통에 나뭇가지랑 벌레랑 좀 심각하네요</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">우선 방은 깔끔해서 마음에 들었어요. 모텔과 호텔의 장점을 모아 놓은거 같이 편안하게 잘 쉬다 왔네요. 근처에 걸어서 갈수있는 식당이 많아서 편했고 오전에 조식을 이용할수 있는점도 좋았어요. 조식으로는 토스트랑 컵라면. 그리고 씨리얼과 원두커피가 준비되어 있었는데 7시30분에 내려갔는데  씨리얼은 아직 준비되지 않아서 쬐금 아쉬웠어요. 2박3일 여행하고 내려가기 늦어서 숙박하고 가기에는 좋았어요. 스타일러도 있어서 약간의 옷정리도 가능해서 전체적으로 만족한 숙소였어요.</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">숙박 예약했는데 방 바닥에 머리카락들 및 욕실도 마찬가지 침대 모틍이쪽도 먼지랑 머리카락 바닥이 그냥 발로 지나다니면 찝찝한 느낌<br/>마치 대실하고 정리만 대충하고 다시 방을 내어준 느낌을 받았습니다</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">한번가고 가격도 좋고 시설도 깔끔해서 정착하고 있어요ㅎㅎ 앞에 숯불구이집도 있어서 배달 시키기도 좋고 프론트에 물도 구비되 있어서 여유있게 물 마실수 있는점도 좋아요 냉장고에 기본으로 물도 3개 들어있고 스타일러에 넷플릭스 유튜브 까지 있어서 편하게 있다 나올 수 있습니당 완전 추천이에요!</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">방 컨디션도 좋았구.. 직원도 친절해서 좋았음.. 나중에 다시 이용해도 괜찮을 숙소네요</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">생각했던것 보다 훨싼 깨끗하고 아침에 조식도 제공이 됩니다.<br/>다만 주차공간이 작아서 도로에 주차를 했던것이 조금 아쉬웠던 점입니다. 다음에 또 목포를 초게 된다면 꼭 다시 찾겠습니다.<br/>잘쉬고 갑니다..</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">가족들이랑 목포 여행차 방문했는데 깔끔하게 정리정돈 되어 있었고 주변 조용했어요. 주변에 식당들도 괜찮았어요. 직원분도 친절했고 간단한 조식도 좋았어요</div>|<div class="num">8.6</div>
목포 호텔 라임|<div class="txt">숙소 깨끗했어요  조식 챙겨주셔서 컵라면 토스트 주스<br/>잘 챙겨먹었어요 <br/>근처 편의점도 있고 술한잔할곳도 있었고요<br/>이불이 무겁고 여름인데 이불자리가 덥더라고요<br/>그래서 에어컨아래에서 조절하면서 잤고요<br/>여행가서 잘 자고 갑니다<br/>감사합니다</div>|<div class="num">8.0</div>
목포 호텔 라임|<div class="txt">목포 간만에 갔는데 숙소에 침대가 너무 좋았어요<br/>스타일러도있고 고데기도 있고<br/>편하게 잘 자고왔습니다<br/>아침에 조식있다고했는데 없어서 잠시 당황했지만<br/>카운터전화하니 바로 준비해주셔서 잘 먹었습니다<br/>스프가없어서 좀 아쉽긴했지만ㅋㅋ <br/>목포에 맛집들과 가깝고 좋아용</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">넓고 깨끗한 객실과 조식도 나와서 좋았어요 아쉬운점은 화장실 샤워기 수압이 너무 쎄서 아팠어요</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">시설도 너무 깨끗했구요<br/>너무너무 좋았어요 ㅎㅎㅎㅎ<br/>다음에 목포 올때도 여기에서 쉬고 가려고 생각중이에요<br/>들어갈때보니까 애들이랑 같이온 가족도 보이던데<br/>가족끼리 오기에도 괜찮은 곳 같아요!!!</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">좋았어오~~~~~~~~~</div>|<div class="num">7.0</div>
목포 호텔 라임|<div class="txt">좋아요 숙소 여기한번씩가는데 흠잡을곳 크게없고 주차장구비 잘되어있고 번화가랑도 가깝고 배달도 잘와서 잘쉬다갑니다<br/>좋아요 숙소 여기한번씩가는데 흠잡을곳 크게없고 주차장구비 잘되어있고 번화가랑도 가깝고 배달도 잘와서 잘쉬다갑니다</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">일년에 목포에 4~5번정도 내려가는데 그럴때면 숙소는 항상 라임에 묵게됩니다.<br/>거의 가족들과 함께 가는거라 깔끔한 숙소를 첫째로 두게되요.<br/>숙소가 깔끔하고 조용해서 좋아요~<br/>직원분들도 친절해요<br/>조식도 있어서 아침에 간단히 좋아요</div>|<div class="num">10.0</div>
목포 호텔 라임|<div class="txt">일단 깔끔하고 리모델링 한지얼마안되<br/>모든 집기비품들 너무좋습니다<br/>티비도크고 스타일러도 쓰기좋구요<br/>청소상태깔끔합니다<br/>직원분들도 엄청친절하시구요<br/>침구류도 좋습니다<br/>가성비너무좋아요~잘쉬엇다감니다</div>|<div class="num">10.0</div>
