name|reviews|star
여수 호텔 라임-HOTEL LIME|<div class="txt">넷플릭스볼려구 특실로 예약했는데,입구부터 딱트인 느낌이 좋았어요  방에 들어가자마자 '우와 넓다 !'  전공을 살려 한컷 찍었어요 ㅋ 모든게 새것같고  깨끗해서 좋았고 방에들어가는 음료 일회용품들도 좋은걸 넣어 마음에 들었어요 ~또 올께용</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">깔끔하고 좋아요.<br/>화장실.침구류 맘에 들고 좋습니다.<br/>출장가면 꼭 여기 이용하는데 늦게가면 자리없으니 예약하고 가세요~                         <br/>.TV 도 좋습니다.</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">깔끔하고 좋아요.<br/>화장실.침구류 맘에 들고 좋습니다.<br/>출장가면 꼭 여기 이용하는데 늦게가면 자리없으니 예약하고 가세요~                         <br/>TV 도 좋습니다.</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">가격대비 시설이 좋습니다..<br/>가격도 저렴한데 욕조도 있습니다.<br/>숙소도 꽤 넓어서 둘이 자기 좋습니다.<br/>TV도 큽니다.<br/>와이파이 넷플릭스도 됩니다.<br/>재방문 의사 만땅입니다<br/>자주 이용할게요</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">깔끔하니 너무 좋아요~!! 주인분이 친절하세요<br/>위치도 찾기 쉬운곳에 있고 넓직하니 편하게 있다가 갑니다 ㅎㅎ</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">잘 쉬다가 갑니다~</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">완전 흡족하고 가네요~~^^</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">깔끔하게 잘 쉬다 왔습니다</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">먼지 않나고 깨끗하고 방 넓어서 좋았습니다!</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">깔끔하고 좋아요.<br/>화장실.침구류 맘에 들고  좋습니다.<br/>출장가면 꼭 여기 이용하는데 늦게가면 자리없으니 예약하고 가세요~                         <br/>TV 도 좋습니다.</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">잘 쉬고 갑니다. <br/>다음에 오면 재방뮨 의사 있습니다.</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">1. 매우 깔끔하고 새로 지은 곳 같은 느낌의 숙소입니다. <br/>2. 가격에 비해 시설과 서비스가 좋습니다. <br/>3. 방에 냄새도 없습니다. <br/>4. 사장님이 매우 친절하십니다. <br/>5. 다만 한가지 이불을 빨고 잘 말리지 않았는지 이불에서 퀴퀴한 냄새가 나서 다소 찝찝하였습니다. 4명이 두 방을 예약했는데 두방 모두 이불에서 제대로 말리지 않아 냄새가 났습니다. <br/><br/>이불에서 냄새가 난 것을 제외하고는 매우 만족스런 숙소였고 재방문의사 있는 곳입니다.</div>|<div class="num">8.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">깔끔하고 좋아요.<br/>화장실.침구류 맘에 들고 좋습니다.<br/>출장가면 꼭 여기 이용하는데 늦게가면 자리없으니 예약하고 가세요~                         <br/>TV 도 좋습니다.</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">모텔도좋고 깔끔하고 디지니등등 다 시청할수있어서<br/>좋았어요</div>|<div class="num">9.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">여수에서 가장 깨끗한 숙소라 감히 말씀드리고 싶네요.<br/>어떻게 청소하면 이렇게 깨끗하게 하는지 배워가고 싶습니다.<br/>다만 방향제 너무 많이 뿌리지 마세요.<br/>안 뿌려도 깨끗해요.<br/>매우 만족합니다!</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">깔끔하고 좋아요.<br/>화장실.침구류 맘에 들고 뷰도 좋습니다.<br/>출장가면 꼭 여기 이용하는데 늦게가면 자리없으니 예약하고 가세요~                         <br/>TV 도 좋습니다.</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">깨끗하네요<br/>추가이불이 없는게 불편</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">트윈베드인데 둘 다 퀸사이즈라 넓직하게 사용했어요! 청결한 편이고 깔끔해요 잘 묵고 갑니당</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">다시 찾은 라임! <br/>친절하고 상냥한 데스크 레이디! <br/>널직하고 깔끔한 룸과 욕실, 깨끗한 침대 시트! <br/>소모 물품 비치 양호, 냉장고 안의 시원한 물과 캔음료 굳! 에어컨 성능까지 굳! <br/>욕실 샤워부스 수압도 따봉! <br/>생수와 수건 추가 지원에 감사를 덧붙이며!<br/>여수여행엔 라임에서!</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">새로 리모델링한 숙소라서 시설도 깨끗하구 방도 넓고 좋아요. 중심가에 위치한 속소임에도 별도 야외주차장이 있어서 주차공간도 넉넉하구요. 가격도 저렴해서 가성비 좋은 모텔이에요. 다음에도 다시 이용하고 싶어요</div>|<div class="num">8.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">고흥에 출장갓다가 주변에 아무것도 없어서 다음날 업무볼 장소가 여수라서 급하게 밤에 늦게 방을 잡앗는데 잘 쉬다 왓습니다. 직장상사분이랑 지내는거라 트윈침대방 잡앗는데 생각보다 깔끔하니 좋앗습니다. 잘쉬다 왓어요. 번창하십쇼</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">주차공간 :  보통<br/>주차대수 : 보통<br/>객실 넓이 : 넓음<br/>침구류 형태 : 솜이불 <br/>간단한 조식 : 커피제공<br/>주변 소음 : 양호<br/>주변 상가 및 식당 :  양호<br/>실내조명 : 우수<br/>작업공간 :  양호<br/>고데기 비치 :  없음<br/>주변운동 또는 산책 환경 : 보통<br/>객실청결 :  보통</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">물건을 두고와서 전화했는데 친절히 응대해주셨다. 이불도 깨끗하고 무엇보다 샴푸, 린스, 바디워시를 일회용으로 줘서 정말 좋았다. 통에 담겨서 모두가 쓸수있는 공용은 뭔가 찝찝한데 ... 일회용 짱!  그리고 방도 컸다.</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">물도 요청했더니 두개밖에 못준다고 하시고 세면대에 물때가득 머리카락 가득 이였어요</div>|<div class="num">2.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">주차장 방 이며 가격이며 어디따질게없다<br/>진심와서 즐겨봐라 아담한 하루밤 잘보내다갑니닼ㅋㅋ<br/>여러분들도 이용해보세요<br/>전잘있다가갑니더ㅋㅋㅋㅋㅋ따신물 물팍팍잘나오고 <br/>정말나가기귀찬음 ㅋㅋㅋ이용하세요 ㅋㅋㅋ</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">진짜 가성비 최고!!!<br/>부삼에서는 여기가 제일 깔끔하고 가격도 좋은것 같습니다<br/>주차장 크기도 넓구요~! <br/>넷플도 되구요!!!! 깔끔한 여긴 라임 ! 최고</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">급하게 잡은<br/>숙소였는ㄷㅔ 너무 잘 쉬다 왔어요 :)<br/>짱깔끔! !!!!!남자친구가 숙소 잡을 때 청결도를 중요시하는데 너무 만족했고 특히 화장실이 넓고 수압도 좋았어요 ㅎㅎㅎ다시 갈 마음 있어요~</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">OTT 다 있어서 보고 싶었던 거 다 볼 수 있어서 좋았어요</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">깨끗하고. 넓고 .  조용하고   친절합니다. 일회용품도 다양합니다.  <br/>샴푸. 린스. 바디워시. 등등  여럿이  쓰는거 아니고  전부다  일회용품이라  정말  좋았너요ㅡ^^~연박 하려고  문의했더니. 추가비용없이  오커이  하시고   짱이네요^^~<br/>화장대도  조명있고  나무랄데없습니다. 곳곳 마다  적절한조명 칭찬해요^^~  주차장 실내. 실외   넓습니다</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">늦은시갸 잘머물다가갑니다 수압부분 너무좋습니다<br/>물도빵빵하니 잘나오고 너무 매력적이엇어요 넷플릭스도되고 너무아늑햇어요 주차공갸도 쾌척하니 좋앗습니다<br/>모든게마음에들엇습니다 다음에또이용하겟습니다</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">외관이 깨끗해 보이고 인테리어도 괜찮아서 예약했는데<br/>사진이랑 똑같아요 ! 깨끗하고 되게 넓네요<br/>보통 금연구역이여도 담배 냄새 심한곳 많은데 <br/>여기는 담배 냄새 안 나서 좋았어요 ~ <br/>다음에도 여기로 예약하려구용</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">사장님 친절하시고 내부시설 깔끔하고 좋아요</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">너무너무돟아요~~!</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">깨끗하고 아주 좋아요ㅎㅎㅎ깨끗하고 아주 좋아요ㅎㅎㅎ깨끗하고 아주 좋아요ㅎㅎㅎ깨끗하고 아주 좋아요ㅎㅎㅎ<br/>깨끗하고 아주 좋아요ㅎㅎㅎ깨끗하고 아주 좋아요ㅎㅎㅎ깨끗하고 아주 좋아요ㅎㅎㅎ깨끗하고 아주 좋아요ㅎㅎㅎ<br/>깨끗하고 아주 좋아요ㅎㅎㅎ깨끗하고 아주 좋아요ㅎㅎㅎ 굿~</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">자주이용하는 숙소입니다 저렴하게 가격올라올때만 이용합니다, 다음에도 이용하겠습니다</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">사장님 친절하시구요<br/>주차장 자리가 넓고, 번화가에 있어서 위치도 넝수너무 좋아요<br/>방은 정리가 잘 되어있고 청소상태 깨끗하고 집기들도 깨끗이 잘 정리되어 있어서 무엇하나 부족함이 없네요<br/>추전합니다</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">식당도 근처에 많고 깨끗하고 리모델링한지 얼마 않되서 편하게 잤어요</div>|<div class="num">8.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">사장님 친절하시고 깔끔은 합니다만 화장대 의자에ㅡ양반다리로 앉아있다가 의자 다리 두개가 부러지는 바람에 엉덩방아 찧고 충격 때문에 너무 놀랬어요 <br/>신혼부부인데 혹시라도 임신중이었으면 큰일날뻔 했어요</div>|<div class="num">6.3</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">2번째 방문입니다. 여전히 친절하시고, 깨끗해요. <br/>또 올게요.</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">이순신광장 근처로 예약을 했어야 하는데 이순신공원 근처로 착각하고 예약하는 바람에 고생을 좀 했지만 잘 이용하고 갑니다. 청결하고 좋았어요. 모텔촌이라 가족이나 혼자 이용하기는 좀 그래요.</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">객실이 깨끗하고 넓어서 아주 만족스러웠습니다. 사장님 친절하시고 주차장도 야외까지 있어서 좋았습니다. 추천합니다.</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">중심가에 호텔이 있어서 찾기도 쉽고 근처에 먹을디도 좀 있고해서 너ㅡ무 좋구요. 왠만한 필요 시설이 호텔 주변에 있어서 어딜 따로 가지 않아도 되서 위치도 너무 좋습니다. 객실 청결도 만족스럽고, 욕실도 깨끗하니 좋았습니다. 출장 오면 자주 이용합니다.</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">리모델링한지 얼마안된 깨끗한 건물이구<br/>침구 비품 상태좋구요.<br/>주차장넓어 좋구요.<br/>문제점은 방문이 심하게 소리가나네요.<br/>에어컨 바람에도 문이 삐걱되서 계속 소리가.<br/>자다께다 자다께다 푹못잤어요.</div>|<div class="num">7.6</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">직원분 친절하시고<br/>객실에 담배냄새 안나서 좋았는데 야간에는 누가 피시나봐요ㅠ<br/>침대가 더블이라 약간 불편했는데 그래도 객실은 시원하고 넓었어요<br/>주차장도 넓고 야외도있어서 좋았어요!!!!</div>|<div class="num">8.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">중심가에 호텔이 있어서 찾기도 쉽고 근처에 먹을디도 좀 있고해서 너ㅡ무 좋구요. 왠만한 필요 시설이 호텔 주변에 있어서 어딜 따로 가지 않아도 되서 위치도 너무 좋습니다. 객실 청결도 만족스럽고, 욕실도 깨끗하니 좋았습니다. 출장 오면 자주 이용합니다.</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">여기가 학동에서 최고입니다</div>|<div class="num">10.0</div>
여수 호텔 라임-HOTEL LIME|<div class="txt">여수에 출장와서 숙소를 잡기위해<br/>여러 모텔을 검색하고 후기를 참조하여<br/>결정했는데 선택을 잘 한거 같네요.<br/>방도 무척 넓고 깨끗하고 조용했습니다.<br/>다음 번 출장시에도 이용하게 될거 같네요.</div>|<div class="num">9.3</div>
