name|reviews|star
동대문 대경|<div class="txt">건물은 좀 오래되어 보일 수도 있으나, 실내는 매우 깔끔하고 화장실이 매우 넓었습니다. 화장실에서 축구도 할 수 있을 것 같았습니다. 역에서 가까워서 접근성도 좋았습니다. 근처 방문할 일 있으면 재방문의사 있습니다.</div>|<div class="num">10.0</div>
동대문 대경|<div class="txt">완전 아늑해요!!! 뭔가 신기하게 생겼고 욕조도 있어요! 엄청 귀엽지만 ㅎㅎ 특히 좋았던게 물 수압이 정말 세요!! 드라이기도 바람 엄청 세서 좋았어요 침대도 완전 푹신 가격이 좀 비싼게 단점인거 같아요 ..! 잘 쉬다 갑니다 ㅎㅎ</div>|<div class="num">10.0</div>
동대문 대경|<div class="txt">미니룸이라 엄청 작지않을까 걱정했었는데 비오는 날 두명이서 쉬기에 딱 좋은 크기였어요!! 방도 쾌적하고 깨끗해서 좋았습니다 ^____^ 다음에도 이 근처 오면 또 방문하고 싶어요 !!!</div>|<div class="num">10.0</div>
동대문 대경|<div class="txt">객실 깔끔하고 연식있눈 건물인 것 같은데 컨디션 괜찮아요 다시 리모델링한 것 같아요 화장실은 조금 옛날 느낌이 있지만 욕조 있고 넓은편인 것 같어요. 동대뭄역사 공원 근처라면 괜찮아요</div>|<div class="num">10.0</div>
동대문 대경|<div class="txt">서울 올 일이 있어서 올라왔다가 기차시간까지 잠깐 시간이 비어서 쉬려고 들어왔습니다. 동대문역사문화공원역과 가까이 있어서 쉬었다가 바로 이동할 수 있다는 점이 장점인 숙소입니다. 번창하세요</div>|<div class="num">10.0</div>
동대문 대경|<div class="txt">깨끗하고 좋았습니다</div>|<div class="num">10.0</div>
동대문 대경|<div class="txt">많이 기대하지 마세요!동대문 쇼핑갈때 유리하다 근처에 먹을 게 많다 그냥 그럭저럭 한 모텔 수준 샤워기가 고장나서 힘들었다 화장실도 다 너무 오래 됐다 가성비 갑인 모텔</div>|<div class="num">4.6</div>
동대문 대경|<div class="txt">잘사용하고 왔습니다.</div>|<div class="num">7.0</div>
동대문 대경|<div class="txt">조금 좁지만 기분좋게 이용했어요.</div>|<div class="num">8.0</div>
동대문 대경|<div class="txt">잘 쉬다갑니다!ㅎㅎ</div>|<div class="num">7.6</div>
동대문 대경|<div class="txt">항상 잘 다녀갑니다~!</div>|<div class="num">8.6</div>
동대문 대경|<div class="txt">근처에 방문 했다가 너무 더워서 대실해서 좀 쉬려고 방문했어요! ㅎㅎㅎㅎ 급하게 잡았고 가격도 넘 저렴해서 괜찮을까 고민했는데 깔끔하고 가성비 좋았습니다! 덕분에 더위 잘 피하고 가요!!</div>|<div class="num">10.0</div>
동대문 대경|<div class="txt">위치는 좋은데 좁아요. 침구 세탁에 조금만 더 신경써주세요^^*</div>|<div class="num">8.0</div>
동대문 대경|<div class="txt">깨끗하고 좋았어요!</div>|<div class="num">9.3</div>
동대문 대경|<div class="txt">이전에도 몇 번 왔었는데 늘 좋았습니다. 미니룸이라 방이 작긴한데 청결하고 아늑하고요. 넷플릭스도 잘 나와서 영화 잘 봤습니다. 역에서 그리 멀지 않은 것도 장점인 거 같습니다. 잘 쉬다가 갑니다.</div>|<div class="num">10.0</div>
