name|reviews|star
강남 더 뮤즈|<div class="txt">위치는 역삼역 8번출구 도보로 3분이내여서 너무좋았어요 화장실에서 알수없는 냄새가 좀 나긴하는데 전반적으로 컨디션은 나쁘지않았어요 방이 생각보다 작고 1층에 전자레인지가 있어서 불편하긴하지만 이금액에 이정도면 만족합니다</div>|<div class="num">10.0</div>
강남 더 뮤즈|<div class="txt">으아으아으아아아으아으아르아르르르르아르라으라으라르라르라르ㅡ라르라르라르 갠찬았습니다아아으으으아아으으으앙아으으아아아으으으아아아으르으라라라르르르르라라라라르르르르라라라라라르르르르라라라라라르르를</div>|<div class="num">10.0</div>
강남 더 뮤즈|<div class="txt">처음  방문하였는데  룸  상태도  매우  깨끗하고  에어컨도  잘 나와서  더운날  잘  쉬다가  갑니다~  <br/>혹시나  다음에 또 역삼쪽  갈 일  있으면  재방문  의사  있어요</div>|<div class="num">10.0</div>
강남 더 뮤즈|<div class="txt">처음 이용하는 숙소 였습니다~ 위치는 비교적 접근성이 좋아서 만족했습니다~ 시설은 1층 프론트는 깔끔한 편이나 전체적으로 약간 노후화된 시설로 보여집니다~ 큰무리는 없앗습니다~ 방은 대체적으로 작은편이궁</div>|<div class="num">10.0</div>
강남 더 뮤즈|<div class="txt">객실 컨디션 좋았고 깔끔했습니더 하루동안 잘 머물다 갔어요 다음에 또 이용할 생각 있슺니다 주위 위치도 좋았고 굉장히 편했습니다 프론트 직원분도 굉장히 친절하섰어요  감사합니다 ~~</div>|<div class="num">10.0</div>
강남 더 뮤즈|<div class="txt">편하게 쉬다가 갑니당</div>|<div class="num">10.0</div>
강남 더 뮤즈|<div class="txt">직원분이 친절해서 좋았어요</div>|<div class="num">10.0</div>
강남 더 뮤즈|<div class="txt">깔끔하고.좋아요 ㅎ</div>|<div class="num">10.0</div>
강남 더 뮤즈|<div class="txt">잘 이용하고 갑니다 최고예요 또갈게요 강추입니다 이근처 최고의 가성비입니다 주차장 넓습니다 잘 이용하고 갑니다 최고예요 또갈게요 강추입니다 이근처 최고의 가성비입니다 주차장 넓습니다</div>|<div class="num">10.0</div>
강남 더 뮤즈|<div class="txt">좋은 위치에 좋은 가격에 잘 이용했습니다.<br/>주변에 맛집도 많고 좋았습니다.<br/>다만 방이 조금 작습니다. 제가 묵었던 방에서는 담배 냄새가 안나서 좋았는데 자려고하니 밑에층에서 냄새가 올라오더군요.<br/>제가 방문한날 비가 많이 왔는데 우산대여 서비스도 있고 홍초도 먹고 좋았습니다.<br/>푹 잘쉬고 갑니다.<br/>다음에 또 드를께요~~^^</div>|<div class="num">10.0</div>
강남 더 뮤즈|<div class="txt">잘 쉬었다 갑니다.</div>|<div class="num">10.0</div>
강남 더 뮤즈|<div class="txt">충전기 놓고 갔는데 찾아주셔서 감사합니다</div>|<div class="num">10.0</div>
