name|reviews|star
건대 호텔 K World|<div class="txt">좋아요~~~~~좋아요~~~~좋아요~~~~~좋아요~~~~~좋아요~~~~좋아요~~~~~좋아요~~~~~좋아요~~~~좋아요~~~~~좋아요~~~~~좋아요~~~~좋아요~~~~~좋아요~~~~~좋아요~~~~좋아요~~~~~좋아요~~~~~좋아요~~~~좋아요~~~~~</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">건대 방문 시 이용하는 곳입니다. 건대역에서 멀지 않고 커먼그라운드에서 가까워서 좋아요. 객실 컨디션도 깨끗하고 공기청정기가 있어서 혹 담배냄새가 나도 금방 사라져요. 넷플릭스 시청도 가능하더라구요:)</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">건대에서 그나마 깔끔한편에 속해서 가는 곳이에요~~ 담배냄새도 아예 안나진 않지만 다른 곳에 비해선 덜나고 청소도 잘 되어있는 편이에요 앞으로도 깨끗하게 관리해주셨으면 좋겠습니다~~</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">항상 올 때마다 좋은 것 같습니다. 이용할 때마다 늘 느끼는 거지만 직원 분들이 항상 친절하고 매너가 좋으세요. 객실에 음료가 없다고 음료챙겨가라고 또 챙겨주세요 객실 내 일회용품도 잘 구비가 되어있고 화장실도 깨끗하고 객실 컨디션도 너무 좋고 손색이 없어요! 항상 만족하면서 이용하고 가는 곳이라서 언제나 좋은 것 같습니다! 티비도 잘 나오고 넷플릭스도 돼요</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">건대주변에서 놀려고 잡은 숙소인데 위치도 걸어서 10분정도 걸려 위치로 너무 만족스러웟어요!  주변에 편의점도 잇어서 이용하기 좋구 시설도 깔끔하고 좋았습니다~ 주차장도 넓은거 같아 이용하기 좋을거같아요</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">친절,청결,가격 어느하나 부족함이없고 판매하는맥주 너무맛있어요</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">정말 깔끔해요!! 가격만큼 서비스도 좋아요<br/>티비가 진짜 커요</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">객실컨디션좋구 깔끔합니다!굳</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">시설 좋아요 good</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">좋아요\__~~~~~</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">최고입니다<br/>조식까지.. 가성비 신급</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">객실이 너무 깔끔합니다 성수에서, 건대에서 놀다가 잠시 쉬었다가시는분들께 최고의 공간이라고 생각합니다</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">깔끔하고좋네요 잘쉬다왓습다~~~~~~깔끔하고좋네요 잘쉬다왓습다~~~~~~깔끔하고좋네요 잘쉬다왓습다~~~~~~깔끔하고좋네요 잘쉬다왓습다~~~~~~깔끔하고좋네요 잘쉬다왓습다~~~~~~</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">올 때마다 쾌적하게 잘 쉬고 갑니다~!!</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">방상태도 청결하고 가본 모텔 중에서도 완전 신식에 속하는 컨디션 상태입니다 침대도 푹신하고 넷플릭스도 볼 수 있어서 넘 좋았어요 에어컨도 시원하고!! 방음도 잘되었던것 같습니다 굿구수굿</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">진짜 넘 좋았어요 시설 짱짱이에용</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">잘 이용하고갑니다. 다음에 또 들릴게요. 잘 이용하고갑니다. 다음에 또 들릴게요. 잘 이용하고갑니다. 다음에 또 들릴게요. 잘 이용하고갑니다. 다음에 또 들릴게요. 잘 이용하고갑니다. 다음에 또 들릴게요.</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">객실 깨끗하고 좋았습니다. 방음이 조금 안되었으나<br/>어매니티 잘 갖춰져있고 객실 랜덤배정이지만 좋은 방 준비해주시어 감사히 잘 쉬다가 갑니다. 주차타워가 있어 주차도 좋았구요 직원분들도 매우 친절하셔서 다음에 또 이용하겠습니다.</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">직원이 매우 친절하고 객실 상태도 양호하여 좋았습니다</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">룸 컨디션이 늘 좋습니다. 수건과 침구는 냄새나거나 얼룩있는거 하나 없이 다 깨끗합니다. 타 숙박업소 중 간혹 바닥이 끈적이는 곳이 있는데, 여긴 그런거 하나 없이 깔끔하고, 테이블 조차 깨끗해요.</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">어플로 봤을때 방이 깨끗해보여서 예약해서 갔는데 사진처럼 깔끔하고 깨끗해서 만족했습니다. 직원분들도 친절하셔서 더 좋았습니다. 마음에 들어 다음에 또 예약해서 갈 재방문 의사있습니다.</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">시설도 괜챃고 깨끗했어요 좋네요</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">깔끔하고 냄새안나고 청결해서 일단 좋았습니다. 살짝 좁긴해도 군더더기 없어서 좋아요.  근처에 먹을것도 많아서 잠깐 쉬고 갔는데 위치도 괜찮고 좋습니당 나중에 또 이용헐거 같네요.</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">항상 깔끔하고 기분좋은 친절함이 다시찾게만들어요</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">직원분 말도 정말 친절하게 하시고 서비스도 좋음 레이트체크아웃 했는데도 넘어가주셔서 감사했음 건대 주변에선 여기만 가는듯,,, 얼음컵 로비에 있는 것도 좋고 음료수 편하게 가져가라고 하심</div>|<div class="num">9.3</div>
건대 호텔 K World|<div class="txt">항상 애용합니다.깔끔해요</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">깨끗하고 주변상권도 좋아요<br/>깨끗하고 주변상권도 좋아요<br/>깨끗하고 주변상권도 좋아요<br/>깨끗하고 주변상권도 좋아요<br/>깨끗하고 주변상권도 좋아요<br/>깨끗하고 주변상권도 좋아요<br/>깨끗하고 주변상권도 좋아요</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">잘 머물다 갑니다.</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">너뮤좋아요______</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">푹신푹싱하고 좋아요 푹신푹싱하고 좋아요<br/>푹신푹싱하고 좋아요 푹신푹싱하고 좋아요<br/>푹신푹싱하고 좋아요 푹신푹싱하고 좋아요<br/>푹신푹싱하고 좋아요 푹신푹싱하고 좋아요<br/>푹신푹싱하고 좋아요 푹신푹싱하고 좋아요</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">너무자주와서  무슨말을 해야할지 모르겠지만서두<br/>일단 화장실이 깨끗해서 너무 좋네요 방 청결 상태도<br/>너무좋구 자주애용하는 1~2호라인으로 배정해주셔서<br/>술을 마니 먹구 갔는데두 아침에 개운하게 인나서 출근합니다 감사 드려요~~</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">우선 로비 들어갔을 때 좋은 향이 나서 괜찮았어요!!객실 침구가 푹신한 덕분에 푹 쉴 수 있었던 것 같구요 ㅎㅎ 그래도 객실 전체적으로 쩐내(?)는 안 나서 좋았고 화장실도 깨끗해서 다음에도 근처에 오면 쉬러 올 것 같아여!!!</div>|<div class="num">9.3</div>
건대 호텔 K World|<div class="txt">쿠 잘쉬다갑니다~~</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">직원 분들이 항상 친절하고 좋아요 부담스럽지 않게 응대해주시고 주차도 항상 기분 좋은 매너로 도와주세요 객실 컨디션도 늘 좋고 티비도 잘 나오고 테이블도 잘 있어서 저녁 먹기도 항상 편한 것 같아요. 건대나 성수에서 접근성이 참 좋아서 쉽게 방문하기도 너무 좋은 것 같습니다. 항상 여기는 주차걱정이 없는 점이 참 좋은 것 같아요! 늘 기분 좋게 이용하고갑니다.</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">친구들이랑 건대에서 술 약속이 있어서 제일 가까운 숙소로 찾았는데 발렛주차도 해주시고 퇴실시간도 1시여서 여유롭게 담날 푹 자다가 퇴실했습니다 다음에도 건대숙소는 케이월드입니다~~</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">구우웅우우우우우우웃</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">방마다 디자인이 조금씩 달라서 갈때마다 새롭고 재밌어요. 공기청정기도 있어서 더 쾌적하고 넷플릭스, 유튜브, 왓챠 등 다 볼수있어서 편하고 좋아요! 방도 크고 방문할때마다 만족합니다.</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">객실 깨끗하고 편리해서 자주 이용중입니다. 접근성도 좋고 주차도 좋으며 직원분들 서비스도 훌륭하네요. 어매니티 및 편의시설, 기본 비치된 음료까지 잠깐 쉬어갔지만 즐거운 경험이었습니다. 또 이용하겠습니다.</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">나름 지역방문시 이용하는 공간인데 안내직원의 응대가 너무 좋았구요 객실상태도 최상 청소상태도 최상이었습니다!<br/>근방 먹거리 놀거리도 많아서 접근성 완벽하고요, 2호선이 있기에 편한 지리조건입니다! 또 방문해볼게요</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">깨끗하고 너무 좋아요</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">객실 컨디션이 아주 좋았어요 가본 곳들 중에 손에 꼽을 정도였습니다. 대실도 늦게까지 되어서 잘 쉬다가 왔네요 건대 번화가 근처라서 접근성도 좋았습니다 다음에도 재방문 의사 있습니다!</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">대실로 이용했구 일단 건대입구역에서는 5~7분 걸었고, <br/>시설이 매우 깔끔해서 좋았습니다.<br/>근데 피임기구가 들어있을줄 알았는데 안들어 있어서 아쉬웟어요 대실이라서 안주신건지....</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">급하게 예약하고 갔는데도 만족합니다</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">벌써 세 번째 방문이네요 이 근방에서 여기만한 곳이 없는 것 같아요. 평일에 와도 주말에 와도 늘 만족하고 가는 것 같습니다. 직원분들는 항상 친절하고 매너있으세요. 객실 컨디션도 항상 좋고 주차도 바로 발렛해주시니까 너무편하게 잘 주차해서 좋습니다. 불편한 점도 항상 딱히 없고 에어컨 작동이 잘 안돼서 전화드렸더니 방법도 바로 알기 쉽게 알려주셔서 바로 가동시켰어요 고맙습니다.</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">비오는날 이용하게 되었는데 꿉꿉한 것 없이 쾌적해서 좋았습니다. 방이 랜덤 배정이라 기존과는 다른 방이라 조금 당황했지만 역시 이용하는데 큰 무리는 없었습니다. 직원분들도 친절하시고 가깝고 깨끗해서 자주자주 이용할 예정입니다.</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">위치좋고 서비스도 좋았습니다! 무엇보다 욕조가 커서 만족스러웠습니다  <br/>하지만 화장실 문이 잘 안열리는 방에 배정받아서 좀 힘들었고 TV리모컨도 잘 안눌려서 시설 개선이 필요해 보였습니다<br/>아침에 배고팠는데 조식 서비스가 있어서 간단하게 해결했습니다<br/>잘 묵고 갑니다</div>|<div class="num">6.6</div>
건대 호텔 K World|<div class="txt">내부 넓고 주차시설도 잘되어있어 역시 호텔이구나 했습니다.<br/>직원분들도 친절하셨고 커피머신 등 편의시설도 좋았고,<br/>간단히 가져갈 음료도 만족스러웠습니다.<br/>내부 깨끗했고 쾌적해서 다음에 또 이용할 예정입니다.</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">건대랑 성수 주변엔 마땅히 쉴곳이 없는데 푹 쉬기 딱 좋네요!! 다음에 또 방문하겠습니다!^^</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">잘 이용했네요 <br/> 감사합니다<br/>건대는 가격이 다 너무 비싸네요ㅠㅠ<br/>그나마 여기가 건대역과 가깝고 가격이 괜찮습니다<br/>내부 시설은 다 좋았고 청소도 잘되어있었습니다<br/>욕조도 깨끗해서 푹쉬다갑니다</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">잘 쉬다갑니다~! 방이 무엇보다 금연방이라 냄새 안나고 깨끗해서 좋았고요 티비도 넷플릭스 잘되고 화장실도 깔끔하게 되어있어서 편하게 쉬다 갈수 있었어요 :) 핸드폰 충전기가 망가진 경우가 많이 있던데 여기는 다 괜찮아서 그것도 좋았네요 ㅎㅎ 번창하세요~</div>|<div class="num">10.0</div>
건대 호텔 K World|<div class="txt">올 때마다 늘 만족하는 것 같습니다. 주차도 항상 해주시고 외관부터 실내 인테리어까지 만족합니다. 직원 분들 응대도 친절한 것 같고요. 다만, 티맵만 그런 건지는 모르겠지만 티맵으로 네비를 찍고 가면 건물 뒤편 좁은 골목으로 안내를 하더군요. 가능하다면 티맵 측에 이 부분 수정을 요청해주시면 좋을 것 같습니다. 티비도 크고 잘 나오고 넷플도 되고 참 좋습니다</div>|<div class="num">10.0</div>
