name|reviews|star
명동 밀리오레호텔|<div class="txt">진짜 너무너무 깨끗햇고 비즈니스 호텔 미만일줄 알았는데 이상이었어요! 다음에 재방문의사 더 있구  주차나 시설이나 너무 괜찮았어요~~ 오히려 너무 괜찮았어서 많이 안알려졌음 좋겠어요. ㅠㅠㅠㅠㅋㅋㅋㅋ</div>|<div class="num">10.0</div>
명동 밀리오레호텔|<div class="txt">조아요 깔끔하고 편했습니다~~!!!!</div>|<div class="num">10.0</div>
명동 밀리오레호텔|<div class="txt">깔끔하고 뷰도 좋고 편히 잤어요</div>|<div class="num">10.0</div>
명동 밀리오레호텔|<div class="txt">엄마께서 하루 묵으셨어요 !<br/>에어컨이 안됐는데 바로 룸체인지 해주시고 감사했습니다<br/>늦은시간임에도 불구하고 빠르게 조치해주셔서 좋았어요!<br/>명동에서 이가격에 이런 호텔이면 진짜 좋은 것 같아요 <br/>시설도 깔끔하다고 좋아하셨네요 😄 재방문 의사 있습니다!</div>|<div class="num">10.0</div>
명동 밀리오레호텔|<div class="txt">금연실인 줄 모르고 예약해서 조금 불편했지만<br/>친절하게 응대해주셔서 감사했습니다.<br/>열리는 창문이 작고 밑에 있어서 조금 아쉬웠지만<br/>남산타워가 바로 눈앞에 보이는 엄청난 뷰...<br/>이 가격에 이런 뷰의 호텔을 이용할 수 있다는 것만으로<br/>추천합니다!<br/>호텔다운 서비스와 객실상태 만족스러웠습니다!</div>|<div class="num">10.0</div>
명동 밀리오레호텔|<div class="txt">일반호텔 &amp;모텔 보다는 <br/>관광호텔 입니다 .<br/><br/>일본인 중국인 유럽인 등등 외국인들 겁나 많고 <br/>객실도 엄청 엄청 많아요 그래서 하루에 호텔유동인구가 천명은  넘어 가는듯해요 .<br/><br/>위생 &amp;주차공간 등 좀  눈감고 넘어가면 <br/>하루 이틀정도는 숙박할만 합니다 . <br/><br/><br/>주말이용은 비추 . <br/>평일이용 추천 . <br/>직원들 은  싸가지 없는편 ..<br/>주변에<br/>먹을곳은 많아요 :.</div>|<div class="num">6.6</div>
명동 밀리오레호텔|<div class="txt">항상 찾아갑니다.<br/><br/>감사합니다.</div>|<div class="num">7.3</div>
명동 밀리오레호텔|<div class="txt">직원응대 안좋음~~~~*</div>|<div class="num">3.6</div>
명동 밀리오레호텔|<div class="txt">명동으로 출장시 항상이용하는 밀리오레입니다.<br/>언제나 만족하며 이용하였습니다.<br/>연박이 안잡혀서 오늘 다시 예약하고 이용합니다.ㅎ</div>|<div class="num">10.0</div>
명동 밀리오레호텔|<div class="txt">1. 3층 메인 데스크에 외국인 손님들이 정말 많습니다.<br/>그래서 좀 소란스러울 때가 있습니다.<br/>그래도 캐리어나 짐 보관할 수 있는 사물함이 있어 이용하기에 편리합니다.<br/>시설은 오래됐지만 깨끗합니다</div>|<div class="num">10.0</div>
명동 밀리오레호텔|<div class="txt">장점<br/>뷰 와 거리성은 매우 좋습니다<br/>남산타워 및 명동이 아주 가깝습니다 <br/>방음도 나쁘지 않네요 <br/>직원분들 서비스도 좋습니다<br/>주차도 가능합니다<br/><br/><br/>단점<br/>다만 객실이 조금 오래되었고<br/>생각 보다 좁네요<br/>에어콘 컨트롤이 되지 않습니다<br/>로비가 1층이 아닌 3층에 있는점 <br/> <br/>그래도 이정도면 만족합니다</div>|<div class="num">8.0</div>
명동 밀리오레호텔|<div class="txt">객실청소와 침구류 정리는 항상 깖금합니다. 명동역에 일 있을때마다 이용합니다. 외국인들도 많이 이용하고 조용하니 하루 숙박하기 좋습니다. 명동역에서 엄청 가깝고 상권도 좋고 이용함에 좋습니다.</div>|<div class="num">10.0</div>
명동 밀리오레호텔|<div class="txt">진짜 최악입니다 제가 가본 숙소 중에서 제일 원망이였습니다..</div>|<div class="num">2.0</div>
명동 밀리오레호텔|<div class="txt">깔끔한시설에 접근성도 좋았습니다</div>|<div class="num">10.0</div>
명동 밀리오레호텔|<div class="txt">카운터에 계시는 분들도 친절하시고 위치도 좋습니다</div>|<div class="num">10.0</div>
명동 밀리오레호텔|<div class="txt">시설이 오래되고 낡긴했지만 <br/><br/>깔끔하고 직원분들이 친절하십니다.<br/><br/>새로 바뀐 객실인지 이번 객실은<br/><br/>암막커튼만 있고 흰커튼이 없어서 <br/><br/>밖을 보려면 다 열어야해서 불편했어요<br/><br/>개선바랍니다!</div>|<div class="num">9.3</div>
명동 밀리오레호텔|<div class="txt">편하게 잘 쉬다 갑니다</div>|<div class="num">6.0</div>
명동 밀리오레호텔|<div class="txt">일로 왔다가 급하게 숙박해야해서 찾아왔습니다.<br/>급하게 왔는데도 불구하고 친절하게 응대해주셨습니다.<br/>깔끔하여 더욱 편히 쉬네요.</div>|<div class="num">10.0</div>
명동 밀리오레호텔|<div class="txt">출장때마다 자주 이용하는 숙소입니다.<br/>직원분들도 친절하고 내부시설도 깔끔합니다.<br/>특히 침구류가 깨끗하고 <br/>담배냄새도 안나서 좋습니다.<br/>가성비 좋은 숙소라 <br/>앞으로 계속해서 재방문 하겠습니다.<br/>감사합니다.</div>|<div class="num">10.0</div>
