name|reviews|star
잠실 첼로|<div class="txt">직원분은 상냥하고 친절하심. 근처에 공사장이있어 소음은 있으나 견딜만함. 시설감이 오래돼보이긴한데 나쁘진않음.  직원분은 상냥하고 친절하심. 근처에 공사장이있어 소음은 있으나 견딜만함. 시설감이 오래돼보이긴한데 나쁘진않음</div>|<div class="num">9.3</div>
잠실 첼로|<div class="txt">방이 넓고 좋아요~~~~~~~~~~~~방이 넓고 좋아요~~~~~~~~~~~~방이 넓고 좋아요~~~~~~~~~~~~방이 넓고 좋아요~~~~~~~~~~~~방이 넓고 좋아요~~~~~~~~~~~~</div>|<div class="num">10.0</div>
잠실 첼로|<div class="txt">담배냄새도 안나고, 푹신한 매트리스 덕분에 쾌적하게 쉬었습니다!<br/>TV도 화질 쓰레기가 아닌 좋은 TV가 떡하니!<br/>괜찮은 호텔을 찾은거 같네요 +_+!!<br/>다음에도 여기로 와야겠어요ㅎㅎ</div>|<div class="num">10.0</div>
잠실 첼로|<div class="txt">자주 방문하고 항상 편하게 쉬고 오는데 이 날은 좀 아쉬웠어요 잠깐 외출나갔다오는데 청소하시는 분들이 저희 호실 그냥 문을 열어놓으셨더라고요<br/>숙박에 대실 연장하고 잠깐 1층 내려가려는데 또 오셔서 문 열고 가라고 하시고 좀 불편했어요</div>|<div class="num">8.3</div>
잠실 첼로|<div class="txt">영화 보면서<br/>맥주 한 캔 하면서 <br/>편안하게 하고 싶은대로 하다 갈 슈 있는 곳입니다 .<br/>그리고 퍈안한 숙면을 보정하는 매트리스가 아주 좋습니다. <br/>편한 잠을 원하면 좋은 곳입니다.</div>|<div class="num">10.0</div>
잠실 첼로|<div class="txt">너무너무너무누머 편해서 쉬다가 대실까지연장하고 푹쉬고 갔습니다 갈때마다 정말만족하명서 잘쉬고가요 너무너무너무누머 편해서 쉬다가 대실까지연장하고 푹쉬고 갔습니다 갈때마다 정말만족하명서 잘쉬고가요</div>|<div class="num">10.0</div>
잠실 첼로|<div class="txt">방이 먹자 골목 근처에 있어서 가기 편해요 ~~!!!<br/>카운터 분도 친절하셔서  좋았어요~~!!!!<br/>시설도 좋고 깨끗해서 편히 쉴수 있었던것 같아요 ~!!!<br/>다음에 다시 방문할 예정입니다~!!!</div>|<div class="num">10.0</div>
잠실 첼로|<div class="txt">객실 바닥이 조금 미끄러웠긴 한데 다른 시설 위생은 깨끗하고 좋았어요! 카운터 분도 친절하시고 침구도 푹신해요 이불도 얇고 부드러워서 푹 쉬기에 딱이에요 잠실 오면 항상 들르게 돼요ㅎㅎ</div>|<div class="num">10.0</div>
잠실 첼로|<div class="txt">가끔씩 이용하는데<br/><br/>침대 시트가 아주 좋습니다. <br/><br/>꿀잠 잘수 있도록 최적화 된 시트라고 생각합니다. <br/><br/>옆에 공사가 좀 심해서 <br/><br/>소음에 민감하신 분은 아침에 강제 기상할듯 합니다.</div>|<div class="num">10.0</div>
잠실 첼로|<div class="txt">일단 입구부터 깨끗하고 청결한 느낌이 들었고 카운터 직원분도 굉장히 친절하셨습니다. 방 내부는 화장실이 깔끔한 점이 좋았고 침대도 푹신해서 마음에 들었어요. 또 방문할 의향이 있는 숙소입니다</div>|<div class="num">10.0</div>
