name|reviews|star
신사 하이랜드|<div class="txt">먹자골목에서 그리 멀지 않고 주변에 맛집 식당도 많아서 좋아요. 직원분들 친절하시고 가격 대비 룸 상태도 괜찮은 편입니다. 근처에 가게 되면 재방문 의사 있습니다. 잘 쉬다 갑니다.</div>|<div class="num">8.0</div>
신사 하이랜드|<div class="txt">신사 근처에 숙소가 애초에 별로 없어서 선택지가 없어서 방문하게 되었습니다.<br/>큰 기대하지 않고 방문하였고 딱 그 정도의 시설이었습니다.<br/>화장실이 조금 지저분했던 점은 아쉬웠습니다.</div>|<div class="num">10.0</div>
신사 하이랜드|<div class="txt">나쁘지 않아요 또 이용 할 만 합니다~<br/>나쁘지 않아요 또 이용 할 만 합니다~<br/>나쁘지 않아요 또 이용 할 만 합니다~<br/>나쁘지 않아요 또 이용 할 만 합니다~<br/>나쁘지 않아요 또 이용 할 만 합니다~</div>|<div class="num">10.0</div>
신사 하이랜드|<div class="txt">사진보다는 조금 허름한거같아요 ㅜㅜ <br/>그래도 잘 쉬다 갑니다 사진보다는 조금 허름한거같아요 ㅜㅜ <br/>그래도 잘 쉬다 갑니다 사진보다는 조금 허름한거같아요 ㅜㅜ <br/>그래도 잘 쉬다 갑니다 사진보다는 조금 허름한거같아요 ㅜㅜ <br/>그래도 잘 쉬다 갑니다</div>|<div class="num">8.3</div>
신사 하이랜드|<div class="txt">시설도 깔끔하게 되어 있고 담배 냄새는 나지 않았습니다<br/>샤워 하는데 온수도 바로 나왔지만 수압은 쎄진 않았고<br/>방음은 안되어 있었는데 사용하는데는 괜찮았습니다<br/>다음에 수서역 온다면 재방문 의사 있습니다</div>|<div class="num">10.0</div>
신사 하이랜드|<div class="txt">하이랜드 자주 가요 괜찮아요</div>|<div class="num">7.0</div>
신사 하이랜드|<div class="txt">살면서 가본 숙소중에 가장 최악이였습니다.에어컨도 안나오고 냄세도 나고 직원 호출하니 그냥 알아서자라는식ᆢ병원때문에 제주도에서 어머님 모시고 갔는데 너무 고생하였습니다</div>|<div class="num">2.0</div>
신사 하이랜드|<div class="txt">무난무난하게 친절하시고 청소도 잘 되어있었습니다. <br/>다만 객식에 담배냄새가 베어있고 머무를 수록 진해지는 느낌이네요</div>|<div class="num">5.3</div>
신사 하이랜드|<div class="txt">위치는 대로변에 있어서 편하고 좋았어요 가격 생각해서 큰 기대는 안했지만 청결은 좀 더 신경 써주셔야 할거 같아요 화장실에 머리카락이며 휴지 새거 갖다 놓으신거엔 먼지가..ㅠ 에어컨이 오래되서 오래 틀어놔야 조금 시원하구요 드라이기는 부러진걸 테이프로 감아놔서 쓰는데 떨어질랑말랑 달랑거렸어요ㅋㅋㅋㅋㅋ티비는 안봐서 어땠는진 모르겠습니당 아!!! 방음 진짜 방음이 너무 안되서 자다가 앞방에 문열고 닫는 소리에 저희방 문 열리는 소리인줄 알고 깜짝 놀래서 깼구요 퇴실 시간 한참 전에 저희방 누가 열려고 문고리 돌렸다가 닫히는 소리도 났어요ㅠ 청소하시는 분인지 다른 손님분이 착각하고 열려고 했는진 몰라도 자다가 너무 놀랬었습니다ㅠㅠ 사장님들은 친절하고 괜찮으셔요</div>|<div class="num">7.3</div>
신사 하이랜드|<div class="txt">사용 잘 했습니다~!</div>|<div class="num">10.0</div>
신사 하이랜드|<div class="txt">회사 근처라서 자주 애용할거 같아요!</div>|<div class="num">10.0</div>
신사 하이랜드|<div class="txt">아무래도 연식이 있기 때문에 엄청 좋다고 하기는 힘들지만 여기 근처에서 공간 찾기가 쉬운게 아니라서 무난한 것 같아요. 딱히 특색이 있다고 하기는 어렵지만 부담없이 선택하기 좋아보이네요.</div>|<div class="num">5.0</div>
신사 하이랜드|<div class="txt">1. 세탁이 제대로 안된 이불<br/>2. 방안의 청소 미흡, 먼지가 많았음<br/>3. 모기에 많이 물려 잠을 못이룸<br/>4. 카운터 직원은 친절했음</div>|<div class="num">4.0</div>
신사 하이랜드|<div class="txt">잘쉬다갑니다 또 이용하겠습니다</div>|<div class="num">10.0</div>
신사 하이랜드|<div class="txt">방이 생각한 것 보다 작았고 들어왔을 때 담배 냄새가 났습니다<br/>환기를 시키니 나아졌지만 에어컨은 낡아서 시원함이 덜 했네요<br/>개인적으로 사용하는데는 괜찮았지만 방음이 잘 안되어 있습니다</div>|<div class="num">6.6</div>
신사 하이랜드|<div class="txt">편안히  잘  쉬었다  갑니다  깨끗하고  조용해요  재방문할  의향 있습니다  추천합니다  편안히  잘  쉬었다  갑니다  깨끗하고  조용해요  재방문할  의향 있습니다  추천합니다</div>|<div class="num">10.0</div>
신사 하이랜드|<div class="txt">에어컨에 먼지가 너무 많아요<br/>방에도 먼지가 너무 많았어요</div>|<div class="num">4.6</div>
신사 하이랜드|<div class="txt">사장님. 인터넷인지 티비 코드가 뽑혀있는건<br/>티비가 에러가 나서 고음의 지지직소리가 나는게 해결이 안나서<br/>손님들이 참다참다 빼놓는겁니다. 저도 그랬거든요.<br/>넷플릭스는 커녕 티비도 못보는 곳은 처음 묵어보네요.<br/>방을 또 바꾸긴 그래서 그냥 참았습니다.<br/>그리고 방에서 이상한 냄새가 나요.. 힘든 하루였습니다.<br/>이 가격에 바라면 안되는 부분은 아닌거 같아서<br/>솔직히 씁니다.</div>|<div class="num">2.6</div>
신사 하이랜드|<div class="txt">아주좋아요 아주좋아요</div>|<div class="num">10.0</div>
신사 하이랜드|<div class="txt">좋은 위치에<br/>잘 쉬다갑니다</div>|<div class="num">10.0</div>
신사 하이랜드|<div class="txt">연식은 조금 되어보이나 잘 관리되고있는 느낌이었고<br/>방하고 화장실 모두 넓어서 편하게 쉬다 왔습니다!</div>|<div class="num">10.0</div>
신사 하이랜드|<div class="txt">첨에 입구 들어갔을 때 향긋란 냄새 나서 좋았어요. 복도는 담배냄새 심하길래 설마 방도 그런가 했는데 그렇지는 않았어요. 이불이 보통 업체에 맏겨 빨래하면 그 자국이 있어야되는데 없어서 찝찝하긴 했어요. 티비 잘 됩니다</div>|<div class="num">9.3</div>
