name|reviews|star
신촌 앨리 - ALLEY|<div class="txt">깨끗하고 냄새도 안났어요 <br/>욕조도 있었습니다 근데 수압이 꽤 약해요<br/>이불이 푹신해서 좋았습니다<br/>넷플릭스 시청 가능했고 <br/>어매니티 2000원에 따로 구매하셔야해요<br/>천장에 곰팡이가 살짝 있었습니다</div>|<div class="num">10.0</div>
신촌 앨리 - ALLEY|<div class="txt">개인적으로 제일 좋아하는 숙소입니다! 가격도 위치도 룸 컨디션도 모두 마음에 들어요! 자주 이용할게요! 개인적으로 제일 좋아하는 숙소입니다! 가격도 위치도 룸 컨디션도 모두 마음에 들어요! 자주 이용할게요</div>|<div class="num">10.0</div>
신촌 앨리 - ALLEY|<div class="txt">객실 깨끗합니다.<br/>배달음식 시켜먹고 놀기에 딱 좋았습니다~<br/>넷플릭스도 잘 돼서 영화도 잘 보고 갑니다~<br/>놀고 가기 좋습니다~<br/>매트리스 상태도 좋았고 화당실도 만복스러웠습니다 다음에 재방문 할게요~</div>|<div class="num">10.0</div>
신촌 앨리 - ALLEY|<div class="txt">신촌에서 숙소가 정말 많은데 여기 앨리가 그중에서 제일 나은듯 합니다.<br/>환기가 잘 되어서 담배냄새도 안나고 객실 그컨디션도 신축이라 아주 좋습니다.<br/>항상 이 근처에서는 여기를 이용학니다.</div>|<div class="num">8.0</div>
신촌 앨리 - ALLEY|<div class="txt">깨끗합니다 나름 좋습니다 또 간다면 이용할거갓네요 주차장도 있습니다<br/>나름 좋습니다 또 간다면 이용할거갓네요 주차장도 있습니다<br/>나름 좋습니다 또 간다면 이용할거갓네요 주차장도 있습니다 <br/>나름 좋습니다 또 간다면 이용할거갓네요 주차장도 있습니다 <br/>나름 좋습니다 또 간다면 이용할거갓네요 주차장도 있습니다<br/>나름 좋습니다 또 간다면 이용할거갓네요 주차장도 있습니다<br/>나름 좋습니다 또 간다면 이용할거갓네요 주차장도 있습니다 <br/>나름 좋습니다 또 간다면 이용할거갓네요 주차장도 있습니다<br/>나름 좋습니다 또 간다면 이용할거갓네요 주차장도 있습니다<br/>나름 좋습니다 또 간다면 이용할거갓네요 주차장도 있습니다<br/>나름 좋습니다 또 간다면 이용할거갓네요 주차장도 있습니다 <br/>나름 좋습니다 또 간다면 이용할거갓네요 주차장도 있습니다</div>|<div class="num">10.0</div>
신촌 앨리 - ALLEY|<div class="txt">이불이랑 침구류가 아직 짱짱하긴한데<br/>그래도 조금시간이 지낫다고 이불에 뭐가 묻은자국도 생겻고<br/>침대도 조금 헤졋네요<br/>그래도 아직 이근방에서는 거의 제일좋은급이네요<br/>복도소음이 잘들리긴하는데 모텔에서 크게 바라진않고 그냥 잘쉬고 갑니다</div>|<div class="num">6.0</div>
신촌 앨리 - ALLEY|<div class="txt">이런 불쾌한 응대 처음이네요. 상당히 재밌어서 적습니다. ㅋㅋㅋ 제 여자친구가 65,000원 주고 특실 예약했습니다. 근데 문이 안 잠겨서 여자친구가 불안하다고 못자겠다해서 카운터 남자직원분(안경 끼신 분)을 불렀더니 수동으로 어떻게 해야 잠긴다고 하더군요. 가르쳐준대로 하니 10번 중 8번이 안 잠기다가 9번 만에 한 번 정도 잠기더라고요. 그래도 불안해서 잘 수가 없으니 다른 방으로라도 변경해달라 요청했지만 방이 없다기에 환불 요청했습니다. 근데 환불도 안 된다네요? 다른 문도 아니고 방을 들어오는 현관문인데 어떻게 맘 편히 잘 수가 있겠습니까? 이 방 밖에 없고 그냥 자라고 말한 뒤 문 닫고 내려가버리시더라구요. 더군다나 엘리베이터 바로 마주한 방이었습니다. 그리고 원래 문이 고장나있었으면 입실 전 문에 문제가 잇으니 주의해서 닫아야한다 라던지의 미리 고지를 해주는 게 기본 아닌가요? 원래 방문이 고장나있었냐고 물으니 ’수리했는데 또 고장이 났다‘ 라네요. 직원 본인은 이미 알고 있었음에도 이 방을 예약 잡아둔 거잖아요.<br/><br/>직원분 행동이랑 말투가 너무 불친절해서 아예 다른 숙소 예약하고 짐 싸서 다시 내려갔습니다. 1층에서 다시 사장님과 얘길 나눠보려하니 사장 연락처도 줄 수 없다고 하더라고요. 경찰을 불렀고 자문을 구하는 와중 그 직원이 몸으로 사람을 밀치면서 되려 우리에게 화내더군요. 문이 고장나서 다른 방으로 요청했고, 그게 안 된다해서 환불을 요청했는데 그게 우리의 잘못입니까. <br/>방 문이 고장났는데 그 고장난 방을 65,000원 주고 떡하니 예약잡아두는 게 말이 되냐구요.<br/>고객 입장은 전혀 생각하지 않는 이런 불쾌한 응대 처음이네요. <br/>10만원 주고 다른 호텔에 가서 잤지만 65,000원이 적은 돈도 아니고 조금 아프네요. ㅋㅋㅋ 사장 되시는 분은 부자 되시겠네요, 직원분이 충실하시니. 그냥 잘 먹고 잘 사시라고 올립니다.</div>|<div class="num">1.0</div>
신촌 앨리 - ALLEY|<div class="txt">직원분들 환불안해주려 악쓰고 모른 척 하는게 보임<br/>알고보니 환불 가능했는데 고지 안해줌<br/><br/><br/>정상적인 커플들 여긴 피해 ^^</div>|<div class="num">1.3</div>
신촌 앨리 - ALLEY|<div class="txt">일딴 청결하고 직원분들도 친절 단 흠이 있다면 컴퓨터는 바꿔야 할듯합니다.<br/>그것빼고는 ...</div>|<div class="num">9.3</div>
신촌 앨리 - ALLEY|<div class="txt">신촌 이대 근방 호텔 중 외관과 내부 모두 가격 대비 가장 깔끔한 곳이에요! 주위 다른 곳들보다 신축이라 그런지 더 깨끗합니다. 그래서 여러번 재방문하기도 했어요! 무엇보다 티비도 크고 넷플릭스를 볼 수 있어서 좋아요 다만 여전히 모텔 특유의 꿉꿉한 느낌이 남아있긴 합니다. 그래도 신촌 이대 쪽 위치도 좋아서 근처에서 놀기도 좋았네요! 깔끔한 가성비 숙소 찾으시면 추천드립니다</div>|<div class="num">9.0</div>
