name|reviews|star
영등포 Blvd 호텔오라|<div class="txt">영등포에서 제일 깔끔하고 가격도 괜찮은곳<br/>에어컨도 잘나오고 요번에 알았는데<br/>디즈니,웨이브,넷플,왓챠,티빙도 볼수 있더군요~<br/>그래도 나름 자주 온거 같은데 이번에 알아서 잘봤습니다. 더운여름 물도 두개씩 더줘서 좋았습니다</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">가성비 좋은 숙소입니다. 모든 면이 최상이라고 할 수는 없지만 가격대 근처 숙소에 비해 훌륭하고 24시간 운영되는 식당이 끼니를 해결하기에 좋습니다. 다음에 다시 방문할 의사 있습니다.</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">라면이 ㅋㅋㅋㅋㅋㅋㅋㅋ개꿀<br/>라면이 ㅋㅋㅋㅋㅋㅋㅋㅋ개꿀<br/>라면이 ㅋㅋㅋㅋㅋㅋㅋㅋ개꿀<br/>라면이 ㅋㅋㅋㅋㅋㅋㅋㅋ개꿀<br/>라면이 ㅋㅋㅋㅋㅋㅋㅋㅋ개꿀<br/>라면이 ㅋㅋㅋㅋㅋㅋㅋㅋ개꿀<br/>라면이 ㅋㅋㅋㅋㅋㅋㅋㅋ개꿀</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">여기 알기전에는 다른 곳 이용했었는데..이제 다른 곳 못가겠어요!!!!ㅋㅋ이렇게 깨끗하고 쾌적하고 좋은곳이 있었다니...한식 부페랑 라면이 무료라니..물 인심도 넉넉 하시고 ㅠㅠ 다음에 또 이용할께요 사장님 -부자되세요</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">가끔씩 이용하는데 시설 깨끗하고 괜찮았습니다<br/>식사도 먹기 괜찮고 방안에 공기청정기가 있어서 좋았습니다<br/>티비도 커서 보기 좋았습니다 일회용품 구매가 조금 아쉬웠습니다 청소 상태도 괜찮았네요</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">무난하게 잘 있다갑니다</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">깨끗하고 서비스가 넘 좋아요</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">티비큼<br/>청결함<br/>에어컨작동잘됨<br/>넷플릭스됨<br/>물많음</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">여성 3인 주말 대실을 이용했는데 55000원 여기어때에서 결제했어요. 전화로 여쭤보니 침대 2개 있는 방 하면 된다하셔서 그렇게 했어요. 그런데 가보니 추가 결제해야한다고 하셔서 당황했습니다. 2만원 추가 결제해서  75000원으로 3인 대실 이용했어요.<br/><br/>룸 분위기 좋고 깔끔합니다. 음식 먹을수 있는 것도 좋았어요. 다만 추가금 결제 부분은 아쉬웠어요~ <br/><br/>75000원 대실이용이라면 다른 곳을 갔을것 같아요! 나머지 부분은 괜찮았습니다!</div>|<div class="num">6.0</div>
영등포 Blvd 호텔오라|<div class="txt">깨끗하고, 친절하고, 대실시간 넉넉하고.. ^^</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">영등포 깔끔 대실숙소</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">그럭저럭 쉬다갑니다</div>|<div class="num">6.0</div>
영등포 Blvd 호텔오라|<div class="txt">잘 다녀 가요 ..</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">영등포에서는 가장 깨끗한 곳인거 같아요. 라면도 먹을수 있게 식당이 준비되어 있어서 그 점도 좋았고요</div>|<div class="num">8.0</div>
영등포 Blvd 호텔오라|<div class="txt">너무좋아요~~너무좋아요~~너무좋아요~~너무좋아요~~너무좋아요~~너무좋아요~~너무좋아요~~너무좋아요~~너무좋아요~~너무좋아요~~너무좋아요~~너무좋아요~~너무좋아요~~너무좋아요~~너무좋아요~~</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">방 업그레이드까지 해주셔서 감사히 잘 이용했습니다. 영등포역 근처에 좋은 숙소가 있다니 쾌적하고, 방도 이미지보다 컸습니다. 프론트 분들도 친절하시고 다음에 오게된다면 또 방문하겠습니다!</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">항상 잘 이용합니다!<br/>객실 컨디션 좋고 카운터 친절하시고 2층 세미 뷔페도 퀄리티가 너무 좋아서 가볍게 한 끼로 이용하기도 너무 좋습니다! 영등포 갈 때마다 올 것 같아요~ 추천합니다</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">직원분 친절하시고 대실시간 넉넉해서 좋아요</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">영등포에서 가격대비 깔끔함 숙소</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">근처에 일보다가 쉬개 되었는데<br/>너무 아늑하고 편해서 좋았오요ㅎㅎ 데에트 하기에도 좋고 직원분들도 침절하시구 꼭 또오ㅗ싳네여!!! 침재도 푹쉬기에<br/>최고!!! 다음에 꼭 다시<br/>올게옹ㅎㅎㅎ</div>|<div class="num">9.6</div>
영등포 Blvd 호텔오라|<div class="txt">자주  이용하고  있는  곳입니다  주말에는  입퇴실  시간이 정해져  있어서  엘베 타기가  힘들긴 합니다  그래도  전체적으로  깨끗하고  정돈된 건 최고라고 생각해서  자주  방문합니다</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">시설 깔끔하고 모던했으며 흠잡을 데 없이 무난했습니다. 특히 객실에서 담배냄새가 전혀 느껴지지 않는 건 정말 좋더라고요. 다만 건물이 꽤나 높은데도 엘리베이터가 한 대 밖에 없는건 다소 불편했습니다.</div>|<div class="num">8.0</div>
영등포 Blvd 호텔오라|<div class="txt">일단 방에 담배냄새가 안나서 좋았구 시간도 많이줘서 좋았습니다..<br/><br/>그리고 발릿을 해주는제 그게 너무 메리트가 큰 거 같습니다<br/><br/>또 무료스낵바가 있어 라면같은걸 먹을수 있어 너무너무 좋았습니다 ㅎㅎㅎ</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">번화가와 접근성도 좋거니와 깔끔하고 관리도 잘 되는 것 같아 너무 좋습니다.<br/>넷플릭스도 양호하고 피씨상태도 망가짐 없이 원활합니다. 구비물품도 꼼꼼하고 시설도 좋아요.<br/>자주 방문하겠습니다.</div>|<div class="num">8.0</div>
영등포 Blvd 호텔오라|<div class="txt">항상 깨끗하고 친절해서 만족하는곳 입니다</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">3년 전부터 시설에 좋아 자주 애용하고 있습니다. 근데 어제 손님들이 몰리지 않은 시간대였음에도 직원대응에 불쾌한 경험을 하여 리뷰를 남깁니다. <br/><br/>입실을 위해 안내데스크 앞에서 제이름을 얘기하니 어디 숙박사이트를 이용했냐고 묻더군요. 가격비교 후 저렴한 곳에서 예약하기 때문에 기억이 안났고 짐도 있어서 확인하기 번거로웠습니다. 직원분께 찾아달라고 말했더니 말안하면 못찾는다고 거절하고, 여기어때 아님 야놀자라고 하니 옆에 사람이랑 멍청하다는 듯이 비웃더라고요. 기싸움하기 싫어서 찾고 말씀드리니 이름을 다시 묻더라고요. 사이트 어딘지 말 안하면 들을 생각도 안한거 마냥요. <br/><br/>이게 무슨 경우입니까. 앞에서 명단 찾아서 키 주는게 그리 어려운거라고요. 저럴 시간에 충분히 제 이름 찾았겠습니다. 이름이 그렇게 찾기 어려우시면 엑셀을 쓰세요. 엑셀을 종이 인쇄한 다음, 이름 못찾는다 하는거면 누가 비웃음 당해야 하는걸까요. 안어려우니깐 배우시고요.<br/><br/>직원과 손님이 아주 적게 마주하는 숙박업에서 직원대응으로 기분이 나빠지는 경험 아주 새로웠습니다.</div>|<div class="num">5.6</div>
영등포 Blvd 호텔오라|<div class="txt">영등포 번화가랑 아주 가까워서 좋습니다. 번화가에서 놀다가 쉬러가기 딱좋네요 영등포 빌딩 호텔 오라 !!  무한으로 라면 먹을수 있어서 좋고 부페도 좋은데 ! 고기반찬이 있었으면 하는 아쉬움! 하지만~만족합니다~</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">이렇게 좋은 숙소가 영등포 한복판에 있다니요~<br/><br/>주차도 정말 편하고 객실도 깨끗하고 좋았는데<br/><br/>다들 만족해하시던 라면뷔페(?)와 웬만한 백반집보다 맛있던 식당도 기억에 남았습니다. 또 갈게요~</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">주차가 좀 불편한데 그거말고는 괜찮아요</div>|<div class="num">8.0</div>
영등포 Blvd 호텔오라|<div class="txt">한 번 갔을 때 좋았던 기억이 있어서 또 방문했습니다! <br/>방의 청결 상태는 보통이였던 것 같아요, 책상에 뭐가 묻었는데 안 닦여있더라구요..ㅜ 침대에는 딱히 더럽다고 <br/>보일 만한 곳은 안 보였어요. 다만 침대 옆에 있는 선반이 살짝 더러워보였어용.. 흑흑... 그 외에는 다 너무 <br/>좋습니다!!</div>|<div class="num">9.3</div>
영등포 Blvd 호텔오라|<div class="txt">1. 담배냄새안나서 좋았어요<br/>2. 깨끗하고<br/>3. 넷플릭스 가능<br/>4. 디즈니 티빙 등 개인아이디있으면 가능<br/>5. 침대도 편했어요<br/>6. 직원분들 친절해요<br/>7. 화장실 깨끗해요<br/>8. 어메니티 천원<br/>9. 주변에 쇼핑할곳 많아요</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">일단 너무너무 친절하셨고요.. 저희가 짐이 많았는데 다 보관해주셨구요ㅠㅠ 마지막에 나갈때도 엄청 친절히 안내해주셨습니다 <br/>방도 좋고 친절하신데 외않가...!!!!! 너무 좋아요 또 갈게욤</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">호텔 외관도 너무 멋있고, 방도 너무 깨끗하고, 욕조도 있고... 특히 2층  뷔페가 미쳤습니다...!! 사장님 혹시 남는게 있나요? 일회용품은 현금 1000원, 카드 1500원입니당</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">항상 영등포 가면 이용하는 숙소입니다 예전부터 이용해 왔는데 티비 사이즈도 커지고 공기청정기도 생겨서 상당히 쾌적하게 시간을 보낼 수 있어서 좋았습니다 2층에 셀프바를 이용 못한 게 아쉽네요~</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">가성비 좋은거 같아요 <br/>무엇보다 밥도 맛있고 근데 식당 에어컨 틀고 환풍기 있으면 좋겠어요 <br/>창문 열어놔서 벌레가 밥에 앉아서 석나갔습니다ㅏ...<br/>그거말곤 괜찮아오 ㅎㅎㅎㅎㅎ</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">시설도 괜찮고 대실 시간도 넉넉한 편이라 좋네요</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요 그럭저럭 좋아요</div>|<div class="num">10.0</div>
영등포 Blvd 호텔오라|<div class="txt">항상 차를 가지고 다녀야하는데 <br/>발렛 파킹 돼서 편하고<br/>한식 부페 너무 좋네요 <br/>라면 너무 편하고 맛있게 먹었습니다<br/>다음에도 근처 올 일 있으면<br/>여기 이용해야 겠어요<br/>룸 컨디션도 좋아요</div>|<div class="num">10.0</div>
