name|reviews|star
무거 시카고|<div class="txt">전체적으로 객실컨디션은 좋았고 깔끔했습니다 사우나 시설이 있는 객실을 찾아보기힘든데 신기하기도했고 사우나가 깔끔하네요. 커플, 부부 분들 이용하면  좋을거같고 목욕하려고 대실하기에도 나쁘지 않습니다</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">301호방을 이용했습니다만 음.... 에어컨 냉매가 많이 없는것 같습니다. 그점 빼곤 저는 잘 이용한것 같습니다.<br/>다음엔 꼭 안마기 1시간을 이용해보려고합니다 시원하고 좋았습니다...</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">디럭스같은 스탠다드 룸을 예약해서 방문해보았어요<br/>룸컨디션 가격대비 좋았고 <br/>무거동숙소 시카고 부근 식당,술집,커피샵 많아서 좋고<br/>교통도 편리하네요 주차시설도 넓고 쾌적해서 좋았어요</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">객실 컨디션 매우 좋았고 방 사이즈가 넓고 건물도 두개동이라 객실 수 도 많은 것이 장점인거같습니다. 욕조는 관리가 안될수도 있는데 매번 깨끗하여 만족하며 이후에도 종종 이용할 숙소인거같네요</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">객실 컨디션은 두말할 것 없이 항상 좋고 사장님도 친절하셔서 너무 좋아요 ㅎㅎ<br/>제가 자주 방문해서 그런지 매번 룸 업그레이드를 해주시더라구요..😉 감사합니다 사장님..!<br/>시간도 넉넉하고 접근성도 좋아서 항상 이용해요!</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">좋은곳 감사드립니다</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">넓고 좋습니다.<br/>살아도 될만큼 넓네요 ㅋㅋ</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">깨끗하고 깔끔한 객실 잘 이용하고 갑니다<br/>어느덧 3번이 넘어가네요 또 이용할께요</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">잘 이용하고 갖니다</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">에어컨 청소를 하셔야할것 같습니다.<br/>송풍구에 곰팡이가 가득 슬어있더라구요.</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">오랜만에 울산 출장와서 방문했어요.<br/>세월에 흔적이 묻어나는 곳이지만 대체로 깔끔 했습니다<br/>주차장은 넓은편인데 방문차량이 많아서 주차하기가 쉽지는 않았어요.<br/>한가지 아쉬운점은 선풍기가 좀.  청소가 필요해 보입니다.<br/>안내하시는 분은 친절하셨어요.</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">예약되었던방이다나가서vip룸으로업그레이드해주셨음^^</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">시카고 애용하는 사용자입니다 ㅎㅎ<br/>주차장도 넓고 사장님두 친절하시고 아주 좋습니다<br/>시설에 비해 금액이 저렴하기도 해서 이용자 입장에선 너무 좋아요..! ㅎㅎ 무거동에서 자주 애용합니다</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">일단신식시설이라서 상당히 깔끔했습니다 그리고 안이 스타일러도 있어서 상당히 갈끔한 느낌을 받으실수있으실겁니다. 그리고 이게 이제 사장님이 되게 친절하신분이라 정말 믿고 갈 수 있는 숙박 업소중에 하나라고 생각드실겁니다.</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">화장실 전구 다되었는지 자꾸 깜밖임.<br/>화장실 비데 안되요 화장실 휴지도 모자람</div>|<div class="num">8.0</div>
무거 시카고|<div class="txt">잘 쉬다 가요~~~</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">실내가 깔끔하고 좋아요</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">사우나가 제대로 작동안하고 먹다남은 오뎅꼬치가 2개 있었음... 스타일러스를 먼저 돌려서 귀칞아서 방 안바꿨음..</div>|<div class="num">6.0</div>
무거 시카고|<div class="txt">지방 출장을 항상 다니는 1인으로<br/>울산 출장중 처음 이용을 해보는 곳입니다.<br/>카운터에서는 밝게 잘 반겨 주셔서 감사합니다.<br/>세월의 흔적이 남아 있구여<br/>욕조 청소는 제가 다시 하고 사용을 했습니다.<br/>컴 사용을 해보았으나 키보드 불량으로<br/>교환을 해주셔야 합니다.<br/>지불하는 비용에 비해 시설은 관리 해<br/>주셔야 아깝다는 생각은 안할거 같아여<br/>비대 사용 불가,컴 1대 사용 안됨,욕조 불량<br/>에어컨 약함 등</div>|<div class="num">8.0</div>
무거 시카고|<div class="txt">시설 엄청 깨끗하고  청소상태 모든면에 완벽했습니다</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">스파도 있고 사용감도 없는 방이어서 너무 좋았어요<br/>다른 방들에 비해 넓은감이 있어서 쾌적해서 좋았고 조식도 있는게 매리트가 상당히 큰거같네요 건물도 두동이라 그 사이에 주차장이 넓은거도 좋은 부분이네요</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">괜찮음. 업그레이드 해주심. 또 갈 의향 있음.</div>|<div class="num">7.0</div>
무거 시카고|<div class="txt">이제 여름이라 에어컨 필터 청소 필수입니다<br/>너무 더러워서 안켤수도 없고해서 제가 씻어놓고 갑니다ㅡㅡ;<br/>사용해야하니 안씻을수도 없고 청소하는분께 <br/>전부 씻으라고 하세요</div>|<div class="num">6.0</div>
무거 시카고|<div class="txt">항상가던 곳인데 역시나 깔끔하고 실내가 넓어서 다시 방문하고 싶은곳입니다. <br/><br/>다른곳에 비하여 주차할 공간도 많고 넓어서 좋습니다<br/><br/>주변에 식사 및 간식 먹을 가게도 많아 언제든 방문하고 싶습니다</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">시설은 매우 세련되어 보이는 숙소입니다.<br/><br/>매우 친절하구요<br/><br/>주차장도 넓구요<br/><br/>그런데…<br/><br/>방이 방음이 잘 안됩니다.<br/><br/>옆방과의 방음이 아니라 <br/><br/>복도나 회징실 배관을 통한 소음이 많이 심합니다..<br/><br/>물내려가는 소리에ㅜ여러번 깻습니다..<br/><br/>에어컨도 시원하주않아 선풍기 켜고 잤습니다…<br/><br/>이런 부분을 빼고는 …<br/><br/>잘 쉬었다 왔습니다</div>|<div class="num">9.3</div>
무거 시카고|<div class="txt">실내가 쾌적하고 좋아요</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">지역 설정을 실수해서 잘못 예약했는데 날짜 변경해주었어요! 완존 감사. &gt;_&lt;<br/><br/>배정받은 룸은 낮은 층이었지만 완전 좋았구요. 방이 넓은데 깨끗해요. 생긴지 좀 된거 같은데 룸은 완전 말끔했어요. 고장난 데다 부서진 곳 없이 관리 잘 된듯. <br/><br/>게다가 8층에서 조식도 된다고하니…!<br/>이번에는 시간 없어서 조식 못 먹었지만, 다음에 여기에 또 오게 된다면 무조껀 조식 먹어봐야겠어요. <br/>프론트 안내에서 조식 맛있다고 했으니 그거 먹으러 일부러 와야할 듯요. ㅎ<br/><br/>요 근래 숙박한 곳 중에 꽤 마음에 든 곳이예요.</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">무거시카고 잘쉬었다 갑니다 무거시카고 잘쉬었다 갑니다 무거시카고 잘쉬었다 갑니다 무거시카고 잘쉬었다 갑니다 무거시카고 잘쉬었다 갑니다 무거시카고 잘쉬었다 갑니다 무거시카고 잘쉬었다 갑니다</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">1. 일단 무거동 대학가쪽랑 접근성이 좋음.<br/>2. 주차에 큰 문제 없음. <br/>3. 객실내에 엥간한 필요한건 다 있음.<br/>4. 방음관련해서는 주변에 공사만 안하고 있으면 조용함.<br/>5. 직원의 친절도도 문제 없음<br/>6. 다만 안마의자 기능이 생각보다 적어서 조금 아쉬웠음. 다리 및 팔 압박기능 없음</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">잘쉬다 갑니다 다음에 또 올께요</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">1. 일단 무거동 대학가쪽랑 접근성이 좋음.<br/>2. 주차에 큰 문제 없음. <br/>3. 객실내에 엥간한 필요한건 다 있음.<br/>4. 방음관련해서는 주변에 공사만 안하고 있으면 조용함.<br/>5. 직원의 친절도도 문제 없음<br/>6. 다만 안마의자 기능이 생각보다 적어서 조금 아쉬웠음. 다리 및 팔 압박기능 없음</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">다다다 만족합니다 친철하시고 조식까지 주시고  잘쉬다가 갈께요</div>|<div class="num">8.6</div>
무거 시카고|<div class="txt">숙소 시설도 너무 깨끗하고 직원분도 너무 친절하셨어요<br/>드라이기 고데기 넥플릭스 유튜브 전부 다 되고 <br/>물도 잘 나오네용<br/>기분좋게 잘 머물다 가네요!<br/>다음에도 재방문 의사 있습니다!<br/>너무 마음에 들어요 감사합니다~</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">회사가 근처라서 마음편하게 자주종종 이용하는곳인데<br/>안에 방도 넓어서 갑갑함이 없고 청소하시는분들도 많이 있어서 그리고 이불도 새것처럼 각이 잡혀있어서 너무좋았습니다. 다음에도 기회가된다면 또</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">저는 모텔 환기 잘 되는 곳을 선호하는데요, 여기는 창이 커서 시원하게 문이 열려서 좋았어요. 솔직히 사진으로 봤을 땐 어느 정도 고급진 느낌이었는데, 실제로는 그 정도까지는 아닙니다 그래도 준수한 곳이었어요!</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">잘 이용했습니다. 깔끔하고 괜찮았어요.</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">잘쉬었다갑니다<br/>늦은 시간이었는데도 친절하게대해주셔서 감사합니다</div>|<div class="num">10.0</div>
무거 시카고|<div class="txt">넷플릭스가 안되용 ㅠㅠ 넷플릭스 없는거 빼고는 다 좋고 시설 좋고 깨끗해여</div>|<div class="num">10.0</div>
