name|reviews|star
신라스테이 서부산|<div class="txt">부산에서 세미 호캉스 하고 싶어서 예약한 곳인데 너무 만족스럽고 좋았어서 후기남깁니다. <br/>객실은 깔끔하고 침구, 수건 모두 뽀송했어요 리버뷰도 좋았구요 <br/>제가 갔을때 수영장 이용객들이 별로 없어서 수영장도 쾌적하게 이용했어요. 조식 가격대비 맛있었고 경치도 시원시원하고 쾌적해서 좋았어요! <br/>물론 부산 중심지에서는 조금 떨어져있지만 1박 동안은 호텔 근처에만 계속 있어서 상관없었어요 근처에 스타필드 있어서 굿굿 부산가면 또 방문 하고싶어요</div>|<div class="num">10.0</div>
신라스테이 서부산|<div class="txt">신라스테이가 명지에 생겼다고 햐서 들뜬 마음으로 갔는데 역시나 신라스테이는 신라스테이였어요 ㅎㅎㅎ<br/>조식포함 되게 싼 가격에 갔는데 후회 안하는 야행이였어요!!! 직원분들도 되게 다 친절하시고 착하셔서 감동이였어요 하나하나 다 알려주시고 조식도 너무 맛있게 먹었습니다 ㅎㅎ 명지에 갈 일이 잘 없었는데 만약 가게된다면 숙소는 바로 여길 와야겠어요 덕분에 좋은 추억 만들다 가요 !!</div>|<div class="num">10.0</div>
신라스테이 서부산|<div class="txt">아이와 현대미술관 방문 후<br/>급하게 일박을 하기 위해<br/>근처 숙소를 보다가 잡았습니다 :)<br/>성수기에 아이와 함께 일박으로 딱 좋았어요!<br/>현대미술관, 낙조가 환상적인 다대포해수욕장도 <br/>가까운 거리여서 최고였습니다!<br/>에어컨도 빵빵하고 <br/>객실별로 온도조절할 수 있었구요,<br/>냉장고에는 생수 1병 있었어요.<br/>(실온 생수 1병과 커피, 차 종류 있었어요.)<br/>다음에는 수영장 티켓 같이 준비해서 예약해야겠어요!<br/>(일정상 못했는데 아쉬운...)<br/>참, 주차도 넉넉한 공간은 아니였지만  잘 했습니다!</div>|<div class="num">8.0</div>
신라스테이 서부산|<div class="txt">연인과함께 해도 손색이없는 호텔입니다<br/>수영장도 물이깨꿋하고 수영장에서 먹는 치킨에 맥주는 도시뷰를 더 아름답게 비춰주네요  한여름에 무더위를  신라스테이에서 이겨내보세요 가족들과함께해도 온수풀이있어서 좋겠어요</div>|<div class="num">10.0</div>
신라스테이 서부산|<div class="txt">새로지어져서 그런지 실내도 너무깔끔하고 직원분들도 친절하셨어요!<br/>탁트인뷰에 이용하는동안 너무 편하게 쉰것같아요.<br/>김해랑 가까워서 롯데워터파크 이용하실분들은 추천드립니다</div>|<div class="num">10.0</div>
신라스테이 서부산|<div class="txt">침대에서 점프하는게 좋을 만큼 편안했다고 딸이 그러네요.</div>|<div class="num">10.0</div>
신라스테이 서부산|<div class="txt">기대를 너무했던건가요~~ㅜㅜ<br/>생각외로 그냥그랬어요...<br/>룸이 생각보다 좁아서 다소 답답한느낌도있고..<br/>야외수영장도 ..2시간 제한이고   최대인원이 70명까지라고하시는데....흠~~30명정도까지되야 수영하고 거리유지하며 놀수있을것같아요ㅜㅜ<br/>그래도 직원분들은 모두 친절했어요</div>|<div class="num">6.0</div>
신라스테이 서부산|<div class="txt">수건도 찢어져있고 이불보도 찢어져있고 컵은 일회용컵을 다회로 사용하고 객실이 엄청 습해용 어메니티도 다회용인거는 상광없은게 일회용컵을 다회로 ㅛㅏ용할꺼면 그냥 유리컵을 세척햐서 쓰는게 나을거같기두</div>|<div class="num">6.3</div>
신라스테이 서부산|<div class="txt">전체적으로 만족스러웠던 투숙입니다.<br/>다만 제가 809호에 머물었었는데, 하우스키핑 메이드 분께서 제가 12시~3시까지 레이트아웃을 페이했음에도(사전 전화 요청 후 체크아웃 전에 내려가서 결제함) 최초 12시 30분 / 그리고 1시 30분에 연속으로 객실의 문 노크, 벨링, 오픈시도를 했습니다.<br/><br/>최초 12시 30분 문을 열려고 할 때, 자고있던 중이라 굉장히 당황스러웠던 것도 있었고 저와 여자친구도 민망한 옷차림이라 소리쳐서 레이트아웃한 객실이라고 말을 하니까 가시더라구요<br/><br/>근데 1시 30분에 재차 방문해서 같은 행동을 하셨습니다.<br/><br/>동일인물인지는 모르겠으나 어느 쪽이든 문제는 있는 상황이죠.<br/>그리고 전화로 안내받기로 귀사는 레이트 아웃이 일괄 3시까지로 고정된다고 들었는데, 최초 방문은 인수인계가 늦었다고 보고 넘어갈 수 있겠지만 이후의 문제는 아쉽다고 생각합니다.<br/><br/>노크,벨링,오픈시도는 메뉴얼상 약간의 간격을 두고하는 것이 메뉴얼인데 그 과정을 동시에 하시는 것을 본다면 청소를 빨리해서 할당된 유닛을 치우고 추가 배정 등을 원하신게 아닐까 싶습니다.<br/><br/>컴플레인을 해도 제 입장에서 문제될 것은 없지만, 그 외에 모든 부분에서 만족스러웠고 그래서 더 아쉬운 것 같습니다.<br/><br/>GRM께서 계신다면 해당 부분에 대해서 인지해주시고 관할부서 소장에게 인계 잘 부탁드립니다.</div>|<div class="num">8.0</div>
신라스테이 서부산|<div class="txt">좋고 편해서 두번째 왔네요<br/>조식도 맛나고 직원분들도 친절하시고<br/>오션쪽뷰도 좋아요 회원가입해서 무료커피도 마시고<br/>커피맛도 좋던데요 ㅎ<br/>앞으로 주기적으로 이용하려구요<br/>부산 인근이라 가기도 편해요</div>|<div class="num">10.0</div>
