name|reviews|star
H-에비뉴 광안리해변점|<div class="txt">시설 깔끔하고 광안리 해수욕장 뷰 이쁩니다<br/>컵이나 생수, 간단한어메니티, 냉장고, 옷걸이 등 필요한거는 다 있구요.<br/>조식도 조그마한데 있을건 다 있어서 기분 좋게 머물다 왔어요 <br/>프론트 분들도 아주 친절하세요</div>|<div class="num">8.6</div>
H-에비뉴 광안리해변점|<div class="txt">조식 맛도 괜찮았고 뷰도 좋았습니다 욕조도 있어서 좋았고 화장실은 따로 분리 돼있어 조금 불편했지만 다음번에도 다시 들린다면 가도 괜찮다라는 생각이 드네요 밑에 편의점도 있고 바로 앞에 광안리도 있어 다 좋았습니다</div>|<div class="num">10.0</div>
H-에비뉴 광안리해변점|<div class="txt">신랑이랑 여름휴가로 급 떠나왔습니다.<br/>부산여행은 첨인지라 1박만 예약하고 내려왔다가<br/>숙소 컨디션보고 바로 연박했지요..<br/>일출이 보이는 포인트는 아니지만<br/>붉은빛으로 물들어가는 하늘이 이쁘게 보여요.<br/>조식도 이용했는데<br/>조식 맛있어서..두번 놀랬네요..<br/>여행와서 먹거리 먹어야는데<br/>든든한 조식에 점심 안먹어도 될판..<br/>조식 하루더 먹자는 신랑 말리느라..ㅋㅋㅋㅋ<br/>h에비뉴가 한군데 더 있더라구요..<br/>초행길이신 분들은<br/>광안리해변점! 체크하시고 찾아오세요~~</div>|<div class="num">8.0</div>
H-에비뉴 광안리해변점|<div class="txt">호텔 직원분들도 친절하셨고 호텔도 깨끗해서 기분 좋았습니다. 뷰가 좋은방에서 머물지는 않았는데, 깨끗하고 코지하니 좋었습니다. 어매니티도 충분히 준비되어 있어서 편리했던것 같아요. 배게에 김치국물같은게 조금 묻어있던거 빼고는 다 좋았어요!<br/>그러고 아침 조식 포함된걸로 꼭 하세요!! 아침 메뉴도 다양하고 맛도있고 테라스에서 풍경즐기면서 먹는 조식 진짜 미쳤습니다</div>|<div class="num">9.3</div>
H-에비뉴 광안리해변점|<div class="txt">광안리에서 최고의 오션뷰라고 생각해요<br/>통창으로 되어있어 막힘없이 뻥 뚫린 바다를 보는 순간부터 너무 기분이 좋아져요 객실 컨디션도 깔끔하고, 체크인 전 미리 에어컨 틀어주신 덕분에 시원하게 입실할 수 있었어요 ㅎㅎ 이런 세심한 베려덕에 편안히 묵고 갈 수 있었네요 조식도 정말 맛있구, 바다보면서 먹으면 힐링 그자체 입니다 (오늘만 유독 해무가 많이 껴 사진상으로는 잘 안보이네요) 사실 이전에 3회가량 방문 후 오랜만에 다시 온건데도 여전히 좋더라구요 더더 자주 올게요 ㅎㅎㅎㅎ</div>|<div class="num">10.0</div>
H-에비뉴 광안리해변점|<div class="txt">잘 쉬다 갑니다! 뷰가 환상적이었고 직원분들도 친절했네요</div>|<div class="num">10.0</div>
H-에비뉴 광안리해변점|<div class="txt">객실도 깨끗하고 직원분들도 친절하고 조식도 나름 괜찮았습니다.</div>|<div class="num">10.0</div>
H-에비뉴 광안리해변점|<div class="txt">부산에서 좋은 여행 하고 갑니다~~</div>|<div class="num">6.0</div>
H-에비뉴 광안리해변점|<div class="txt">오션뷰가 너무 좋았어요.</div>|<div class="num">10.0</div>
H-에비뉴 광안리해변점|<div class="txt">광안리 해안을 측면에서 내려다 보는 입지의 호텔입니다. 다들 아시겠지만, 사실 오션뷰는 마주 보는 방향보다는 측면에서 바다와 모래사장의 굴곡지는 해안선을 조망하는 게 최고입니다.<br/>방에 따라서 오션뷰가 제대로 확보되지 않는 경우도 있겠으나, 이 호텔의 경우엔 조식이 제공되는 발코니 회장의 오픈된 창가 좌석이 극강의 뷰를 제공합니다. 8~9석 정도밖에 안 되어 경쟁이 치열합니다만, 아침에 그 경관 속에 커피를 마시면 최고입니다.<br/>조식 내용 자체는 하이퀄리티는 아니지만 극강의 가성비를 추구했다고 생각하면 떠오르는 딱 그 스타일입니다.<br/>민락 회타운 앞에 위치하는지라 밤에 회떠와서 놀기도 좋습니다.</div>|<div class="num">8.0</div>
