name|reviews|star
이비스 앰배서더 부산 시티센터|<div class="txt">매번 서면 여행때 가성비 좋은 호텔로 자주 이용했습니다 서면에 방문차 예약을 했고 타호텔에 비해 저렴한 가격에 빠른 체크인 그리고 오후 12시 까지 넉넉한 체크아웃 시간이  좋았습니다. 아무래도 옆쪽 공사탓에 공사장쪽이 아닌곳을 요청드리니 흔쾌히 옮겨주셔서 편안하고 시원하고 쾌적하게 묵을수가 있었습니다. 다만 살짝 아쉬운것은 스탠다드 더블만 그런건지 모르나 티비 채널은 많으나 그 흔한 유튜브나 넷플릭스가 지원되지 않아 조금은 아쉬웠지만 대체로 만족했습니다</div>|<div class="num">10.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">일단 깔끔하고 리셉션이 친절해요!! 위치도 역바로앞이고 서면이라 동선이 너무좋아요❤️❤️❤️ 숙소가 깨끗하고 고급스러워서 너무좋았고 침대도 편해서 꿀잠을 자버렸어요ㅎㅎ 근처 맛집도많구 너무만족했어용</div>|<div class="num">10.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">부산 서면 근처이고 부전역 바로 앞이라 위치가 좋아요! <br/>남자친구랑 부산데이트하려고 예약한 데인데 <br/>슈페리어 업그레이드라서인지 방도 꽤 크고 화장실도 넉넉했어용 <br/>침대도 편하고 티비보면서 쉬기에 넘 좋더라구요! <br/>날이 더워서 근처 시장이나 바깥 구경은 많이 못했는데 <br/>다음에 날좋을 때 가면 더 좋을 거 같았어용!ㅎㅎㅎㅎ <br/>다음에 부산 또 놀러가면 여기로 가려구용 :)</div>|<div class="num">10.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">서면 근처에서 머무르기 아주 좋은 호텔이였어요. 기본적인 부분들이 모두 너무 만족스러웠습니다. 다음에도 서면 근처에 숙박하게 되면 이용할 것 같아요. 짐보관도 무인보관함으로 이용할 수 있어서 깔끔하고 너무 편했습니다. 화장실 수압도 강해서 씻기에도 좋았습니다. 침대도 자기에 충분히 편했던 것 같아요. 냉난방도 잘되서 좋았습니다 근처에 버스정류장도 있고 역이랑도 가까워요</div>|<div class="num">10.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">바닥이 맨발로 돌아다닐 수 없는 곳이어서 조금 불편했고 화장실이 좀 좁긴 하지만 전체적으로 깔끔하고 좋았어요^^ 그리고 직원분들이 친절하심~</div>|<div class="num">10.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">깔끔하고 친절하고 좋았음</div>|<div class="num">10.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">직원분이 무척이나 친절하시고 전문적이셔서 기분좋게 이용했고 여행중이라 1층의 락커를 너무 유용하게 사용했어요! 방이 작고 티비도 무척 작았지만 볼 일이 없어서 괜찮았어요! 에어컨도 미세하게 온도 조절 가능하고 수압도 괜찮고 천장이 높고 창문이 커서 답답함이 없었습니다 아쉬운점은 수건조차 낡았는지 큰 타월 말고 작은 타월들 전부 발냄새 났어요… 얼굴 닦다가 사용한건 줄 알고 놀라사 맡아보니 전부 냄새가 ㅠㅠ 그 외에는 뷰도 좋고 전철 바로 앞이라 좋았습니다</div>|<div class="num">8.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">오래된 숙소 같았어요 하지만 깨끗하고 체크인체크아웃도 빠르고 1층에는 물품보관함이있어서 가볍게 다녔어요!</div>|<div class="num">10.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">레이트 체크아웃 너무 소중해요</div>|<div class="num">10.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">리셉션 알바?분 계속 중얼거리며 짜증내는 모습과 일행 결제완료된 예약내역 확인 못해서 몇시간 날리고 일행은 결국 다른 숙소로 감, 체크인 한 방에서 오줌냄새(방 교체) 등</div>|<div class="num">1.6</div>
이비스 앰배서더 부산 시티센터|<div class="txt">업무 차 부산에 가면 항상 이용하는 곳이예요. 지하철이랑 바로 연결 되있고 주위에 아침일찍 밥을 먹을 수 있는 식당 및 편의시설이 갖춰져 있어요. 직원 분들께서도 친절하게 응대해 주십니다.</div>|<div class="num">10.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">옆에 공사중인지 새벽7시부터 !!! 너무 시끄러워서 잠을 못잤습니다 !!! 너무 호ㅓ가나내요!!! 방음도안대고!!! 너무시끄러워요 창문 열면 옆에 공사 하는분들이랑 눈도 마주칩니다 !!!ㅡㅡ <br/>평일이면 방도 많을텐데 공사장옆에 방을... 너무시끄러웠습니다 <br/><br/><br/>그리고 방에서 쿰쿰한 냄새나서 한번 바꿧는데 역시나 너무 냄새나내요 ㅡㅡ</div>|<div class="num">1.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">출장용으로는 괜찮은데 생각보다 내부 공간이 협소하다고 느낄 수 있읍니다.</div>|<div class="num">10.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">위치가 좋아서 출장에 적합합니다</div>|<div class="num">10.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">환기 문제인지 냄새 나고, 나무의자는 10만원대 숙소로 아닌 듯 합니다.<br/>일본식 숙소로 좁은 방과 화장실을 개의치 않는 분만 갈만한..</div>|<div class="num">8.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">침구류가 깨끗하고 촉감이 좋아요.<br/>입지도 좋아요~</div>|<div class="num">10.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">청결하며 직원들의 친절합</div>|<div class="num">8.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">너무 좋았습니다 너뮤</div>|<div class="num">10.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">출장 목적으로 방문했는데 위치가 좋고 깔끔합니다~</div>|<div class="num">10.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">급여행가게되어서 급하게잡았는데<br/>위치도좋았고 만족스러웠습니다^^<br/>다음에 부산가면 또 이용할꺼같아요</div>|<div class="num">10.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">이제 부산 여행오면 여기서만 잘듯</div>|<div class="num">10.0</div>
이비스 앰배서더 부산 시티센터|<div class="txt">편하게 잘 쉬었습니다</div>|<div class="num">10.0</div>
