name|reviews|star
베이하운드 호텔|<div class="txt">1. 인포에 있는 덩치크신 남자분 엄청 친절하고 예의바르심 말씀도 너무 착하게하셔서 기분좋아지는 느낌<br/>2. 호텔내 잇는 카페테라스 직원도 친절함 감자튀김 퀄리티 좋구 맛잇엇음<br/>3. 조식뷔페는 가격에 비해선 좋은편 개인적으론 가격을 조금 올리더라도 아침에 간이좀 있는 떡볶이나 쏘야보단 차라리 스크램블에그 같은게 좋지않을까 생각됨<br/>4. 전체적으로 서비스, 객실내 상태(청결함, 욕실 등) 전체적으로 마음에 들었고 특히 인포에 계신분의 친절함덕분에 그렇게 느낀거같음 직원잘뽑으신듯<br/>5. 밤에 대교야경이 좋음 <br/>만족하며 부산 마지막날을 보냇던거같네요 감사합니다.</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">직원분들 수고하십니다. 아주 친절하시구요. 정말 잘 있다왔습니다.<br/>침대 수준 아주 좋습니다. 침구류 상태도 호텔급 맞습니다.<br/>하지만 객실 크기는 가격대비 아주 떨어지는 수준이구요. 뷰도 하버뷰 아닙니다.<br/>당연히 스위트라서 하버뷰일 줄 알았습니다. 객실 사이즈도 너무 작습니다.<br/>그리고 변기실 샤워실 분리된 곳인데... 그 흔한 비데 조차 없습니다.<br/>에어컨 컴프레셔가 약해져서 에어컨 상태도 안좋아 직원분들께서 고생이 많으셨습니다.</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">자주 이용하는 곳으로 규모는 작으나 청결하고 서비스 좋습니다<br/>그리고 포장마차 뷰 괜찮습니다</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">리뷰가 좋아서 가봣는데 진짜 좋더라구요 ㅎㅎ <br/>위치도좋고  뷰도좋고 근처에 가볼곳도많고 영도대교 가 바로 앞이라서 걸어서 남포동 가기도좋고 포장마차 도 앞에 잇어서 진짜 좋더라구요 ㅎ 내부도 깔끔하고 청결하고 직원분들이 친절하셔서 너무 좋았습니다 ㅎ <br/>가격대비 진짜 좋은것같네요 ㅎㅎ 조금 작은면이 잇긴햇지만 1박하기에는 불편함이 없엇고 보내기 딱좋앗슴다 ㅎ</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">영도에 볼 일이 있어 5박 했습니다. 주차장 있는 것이 가장 큰 메리트였구요 주차타워 자리 넉넉해서 걱정없이 묵다가 왔습니다. 오션뷰 선택해서 매일 아침 바다 보면서 하루를 시작하고, 저녁엔 포장마차가 바로 앞에 있어서 왁자지껄한 사람들 구경에 시간 가는 줄 몰랐네요.<br/>에어컨도 시원하고, 방도 깔끔하고 무엇하나 빠질 것 없는 좋은 숙소였습니다. 5박 하다보니 어느새 집처럼 느껴졌네요.</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">깔끔하고 청결해요.부산 영도에서의 하루 편히 잘지내다 갑니다~</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">휴가 잘 보내고 갑니다</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">갑자기 들어간 숙소인데 뷰도 괜찮고 아주좋았습니다.</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">가격 친절 만족<br/>바디워시향이조아서요<br/>아무리검색을해봐도 찾을수가없는데<br/>구입처좀알수있을까용</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">잘묵다갑니다잉이이이</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">감사합니다. 잘 머물고 갑니다.</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">매번 주변에 갈 곳이 마땅찮을 때 이용하는데..<br/>제일 짜증나고 불편한 것이 직원의 불친절함이다. <br/>특히 카운터에 젊은 여직원 둘.. 얼굴에 불만이 가득하고 말투도 되게 거슬린다. <br/>물건 좀 찾는다고 퇴실리 좀 늦었는데 그걸 또 추가금 빠득빠득 받는다고 난리다. <br/>사전 제대로 고시된 것을 보지도 못했다. <br/>목이 좋아서 이용하지 아니면 그닥 이용하고 싶지 않은 곳이다.</div>|<div class="num">5.0</div>
베이하운드 호텔|<div class="txt">아담하고 좋았습니다. 차 가지고 가시면 주차타워 직접 하셔야 하는거 빼곤 괜찮아요…..</div>|<div class="num">6.0</div>
베이하운드 호텔|<div class="txt">전 숙소를 예약하기 전에 고민 엄청하는데요. 리뷰 읽다가 단점 관련 글이 보이면 이미 예약했더라도 취소하기를 여러번... 그러다 단점후기글이 비교적 적어 보이는 베어하운드호텔을 예약했습니다. 포장마차 거리에 있어서 밤에 바다의 경치를 보며 술 마실 수 있는 곳이었어요.<br/><br/>조명<br/>숙소 조명이 많이 어두운 편이었어요. 어두침침해서 잠은 잘 올 것 같았지만 좀더 밝았으면 하는 아쉬움이 남아요.<br/><br/>세탁실<br/>정해진 시간(오전7시~밤9시까지)에만 이용할 수 있는 공용셀프세탁실이 9층에 있는데 드럼세탁기 2대 중 1대는 고장이더라고요. 분말세제 무료제공이라는데..  솔직히 빨랫감 가지고 왔다갔다 하는 건 불편하더라고요.<br/><br/>조식<br/>조식이 맛있다고 리뷰에 나와 있어서 돈 지불하고 먹어봤는데 제 입맛엔 맞지 않았어요. 너무 맛이 없어서 빵 먹었네요.<br/><br/>침구 상태<br/>트윈으로 예약했는데 침대가 완전 작은 편이 아니어서 침대에서 딸아이랑 둘이서 잘때 크게 불편하지 않았어요. 다음에도 꼭 트윈으로 예약하려고요. 어린자녀 있으신 분들 참고하세요.^^<br/><br/>뷰<br/>오션뷰라고 하기엔 애매한 뷰였어요. 배들이 있는 바다 일부가 보이고 건물들이 많아서 시티뷰에 가까웠거든요.<br/><br/>주변식당<br/>호텔 주변에서 저녁을 먹어야 했는데 주변에 맛집이 없더라고요. 식당보다는 호프집이나 포장마차가 많아서 가족여행 숙소로는 적합하지 않은 듯해요. 연인이나 친구들이 함께 가는 여행숙소로는 괜찮을듯요.<br/><br/>주차<br/>주차타워가 있어서 안전하게 무료 주차할 수 있었어요.<br/><br/>총평<br/>건물 전체가 깨끗한 느낌은 아니었어요. 고급스런 인테리어긴 하지만 관리가 소흘한지 먼지가 많았고 위치적으로도 포장마차 거리라 근처라 아이랑 해수욕장 물놀이 여행 계획이라면 최적의 숙소는 아니에요. 해수욕장 가려면 차타고 나가야 하거든요. 참고로 전 해운대해수욕장이랑 송도해수욕장에서 물놀이하고서 숙소로 체크인하러 왔는데요. 송도해수욕장보다 해운대해수욕장이 더 깨끗합니다. 송도해수욕장은 쓰레기가 너무 많이 떠다니고 물도 서해바다처럼 누렇더라고요. 수질이 깨끗한 물놀이를 계획하신다면 남해보다는 동해를 추전합니다.</div>|<div class="num">6.0</div>
베이하운드 호텔|<div class="txt">영도포차 바로 앞이고 좋았습니다</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">만족.. 만족합니다. 냄새도 나지 않아 너무 좋구요. 주차도 생각보다 불편하지 않아서 잘 이용했습니다. 조식은 늦어서 먹지 못했네요. 큰 기대없이 갔는데 아주 만족하고 갑니다. 객실 청결도 좋았구요. 조망이 아주 아주 좋았습니다. 사장님 친절하시고 좋았어요. 잘 쉬다 갑니다. 다음에도 또 이용할 예정입니다. 방이 생각보다 작은거 외에는 큰 불편함없이 이용했습니다.</div>|<div class="num">8.6</div>
베이하운드 호텔|<div class="txt">숙소가 일단 너무 깔끔하고 좋습니다 ~<br/>체크인으로 들어가자마자 좋은 냄새나고해서 기분이 좋았습니다^^<br/>인별로 영도포차거리 보고 간건데 비가 오는바람에 포차거리가 안해서 아쉬웠지만, 했다면 한잔하고 묵기에 최적인 숙소입니다.<br/>아쉬운 마음에 포차거리 사진만 찍었지만,<br/>사진에서 보이듯이 코앞이 포차거리입니다ㅎ<br/>뷰도 너무 좋고요 ~ 현지인한테 추천받아서 여기 숙소 잡은건데 너무 만족하게 잘 보내고 갑니다^^<br/>다음에 부산오면 또 이용할거같네요!</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">일단 생각보다 낡은 시설이 매우 아쉽네요. <br/>그리고 담배맴새가 잘 안 빠진 듯 합니다. <br/>드라이기도 고장나서 한 번 바꾸고 욕조도 낡고 까진 곳이 있으며, 냉장고도 시원하지 않았네요. <br/>주차 타워는 대수가 넉넉한 편이고 주변 포차 가기엔 용이할 지 모르지만 그닥 메리트는 없네요. <br/>뷰는 나쁘지 않네요. <br/>평이 좋은 것에 비해 그녕 무난하거나 그리 추천할 정도는 아닌 듯 합니다.</div>|<div class="num">6.3</div>
베이하운드 호텔|<div class="txt">기념일마다 사랑하는 사람과 영도를 오는데 올때마다 자주 애용하고 있어요~ 여러 다른 펜션도 많이 가보고<br/>다른 호텔들도 가봤지만 베이 하운드호텔이 가성비 최고 인거 같네요~ <br/> 오션뷰에서 보는 풍경은 하프오션뷰 느낌인데 다리, 바다, 밑에 영도포차거리 풍경이 한눈에 들어옵니다.<br/> 룸 컨디션은 깔끔하고 있을꺼 다있구요 <br/>직원분들도 친절하시고 부탁도 드린게 있었는데 잘 도와주셨어요 ㅎ<br/> 다음 기념일에 또 갑니다~!</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">영도 포장마차 가려고 예약했는데<br/>진짜 바로 코앞이라 너무 가깝고 편함<br/>(근데 비바람이 너무불어서 안열었음ㅠㅠ)<br/>그래도 주위에 맛집많고 <br/>더블베드 방 꽤 넓어서 정말 편하고 좋았음<br/>욕실 밑 객실 다 깨끗해서 영도갈땐 꼭 여기예약할거임</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">가격대비 정말 만족스러웠습니다<br/>위치도 좋았고 주차도 되어서 만족 합니다~</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">직원분들 친절하시고 편히 쉬다왔네요</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">오션뷰이라기보단 하버뷰에 가깝긴해용<br/>그래도 이 가격에 바다보이는 호텔 몇 없습니다❤️‍🔥<br/>가성비 좋고 룸도 깔끔해서 좋아요🫶<br/>욕조도 있는데 1인은 널널하고 2인은 좁은 정도?<br/>창문도 있어서 호캉스 안성맞춤이에요👍<br/>소파랑 테이블도 있어서 야식 먹기 좋습니다 ㅋㅎ<br/>조식은 2인 5000원에서 1인 5000원으로 올랐는데<br/>물가상승됐으니 당연한거같고… 맛있고 든든하게 먹었어요☺️☺️<br/>위치가 남포동 이동하기도 너무 좋아서<br/>다음번 영도-남포 여행올때 또 이용하려구요💗<br/>잘 묵고갑니다 ! 🥹</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">SUV 차량이라서 건물내 주차장을 이용했어요. 자리가 넉넉하지는 않네요. 그래도 승용차는 주차타워가 있어서 괜찮을 것 같아요. 제 차키는 데스크에 맡겼습니다. 날씨가 안좋아서 그런지 포장마차는 안하는 것 같았습니다. 저랑 동생은 근처 횟집가서 포장해와서 숙소에서 시원하고 편하게 마셨어요. 랜덤객실이라서 뷰는 좋지 않았지만 그 외에 다른것 다 괜찮았습니다.</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">서면에서 충무김밥 김치말이김밥 포장해가지고 분위기좋고 푹신한 침대에서 하루 보내니 좋네요~ 침대가 정말 푹신하고 좋아요 들어갈때 문이 잘 안열리는 거 빼고는 괜찮은 것 같아요 잘 쉬다감니다~</div>|<div class="num">9.0</div>
베이하운드 호텔|<div class="txt">딸이랑  부산여행 계획없이 떠났다가 숨어있는 착한곳을 알게되었네요~^^<br/>가격도 착하고~~ 저렴하면서 맛있는 조식~^^<br/>룸도 시원하고 넓고 깨끗한 침구~~^^<br/>조용해서 평일이라 손님 없는줄 알았는데 조식먹으러갔다가 딸이랑  깜짝놀랏답니다~^^<br/>직원분들이 친절하게 응대해주셔서 한번 방문은 재 방문을 하게 최면 걸릴거같아요~^^<br/>번창하시길 바랍니다 ~~^^<br/>조만간에 동생네 가족과 다시방문하겠습니다~^^</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">굿굿굿굿 !!!!!!!!!!!❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥🙂❤️‍🔥❤️‍🔥</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">방은 그럭저럭 괜찮고 방값은 싸진않네요ㅠㅠㅠㅠㅠㅠㅠㅠ<br/>영도다리앞이라 비쌀수밖에없는건가<br/>주차는 조금 불편했어요<br/> 에어컨은 처음에는 약했지만 그래도 나중되니 시원했어요<br/>방키두개줘서 좋았습니다<br/>방은 그럭저럭 괜찮고 방값은 싸진않네요ㅠ<br/>영도다리앞이라 비쌀수밖에없는건가<br/>주차는 조금 불편했어요<br/> 에어컨은 처음에는 약했지만 그래도 나중되니 시원했어요<br/>방키두개줘서 좋았습니다</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">편안하게 쉬었다 갑니다.</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">영도 포장마차존 바로앞이라<br/>포장마차 이용하고 싶어서 예약하고 갔었는데<br/>장마라 포장마차는 열지않아서 이용을 못했네요<br/>그래도 룸 업그레이드도 무료로해주셔서<br/>잘 쉬다 왔습니다<br/>욕조도 있어서 만족했어요~<br/>콘센트가 일본식 콘센트라 당황했지만 바로 잘사용했습니다~</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">로비도 깔끔하고 친절하세요!<br/>룸컨디션도 좋았어요ㅎㅎ</div>|<div class="num">10.0</div>
베이하운드 호텔|<div class="txt">이 가격이 이렇게 편히 쉴 수 있다니 가성비 장난 아니에요! 다리 건너 남포동 자갈치시장까지 10분~15분이면 갈 수 있어요! 접근성도 너무 좋구요ㅎㅎ 객실 청소상태 아주 좋았구요, 침대도 푹신하고, 외국인 관광객들이 많은 호텔이었는데 소음도 없었고 꿀잠잤습니당ㅎㅎ 생각보다 방도 넓고 간이쇼파?도 있어서 좋았습니다ㅎㅎ 출장 차 온건데 팀장님도, 다른 직원도 다 좋았다고 너무 잘 쉬었다고 하셨어요ㅎㅎ</div>|<div class="num">10.0</div>
