name|reviews|star
레고랜드 코리아 리조트|<div class="txt">레고랜드와 연결되어 있어서 아이를 데리고 방문하는 가족여행에 추천합니다~<br/>호텔 로비부터 아이들이 좋아하는 레고 피규어들이 가득하고 엘레베이터도 신나는 음악과 조명이 나와서 아이들이 정말 좋아할 분위기에요! 객실은 2층 침대가 있는 아이들 방과 큰 침대가 있는 객실 이렇게 2개가 있어서 여러명이 잠을 자기도 좋아요.<br/>부페는 평범하지만 아이들이 먹을만한 것들이 많고 식당에도 레고가 가득해서 신나는 분위기에요.<br/>레고랜드 다녀온 뒤에도 2층에 간단한 놀이 공간과 수영장, 레고 액티비티 룸이 있어서 즐겁게 놀 수 있어서 4살~10살 아이 가족 여행지로 추천합니다~</div>|<div class="num">10.0</div>
레고랜드 코리아 리조트|<div class="txt">일단 저희가족은 레고랜드 호텔 모든 테마객실을 <br/>다녀와봤습니다 <br/>1.킹덤<br/>가장 무난하고 제일 많은 객실을 보유하고있는 테마입니다  저희아이는 금고에 <br/>개구리가있다고 좋다고합니다 5층이 통으로 킹덤이여서 <br/>파크뷰이용시 좀더 뷰가 좋아보였습니다 <br/>2.해적<br/>생각보다 화려한 느낌을 받았습니다  <br/>단지 아이의 취향에 따라 약간호불호는 갈릴수 있을거같습니다 3,4층에 배정되는 타입입니다 <br/>3.닌자고 <br/>제일화려합니다 남자아이들이 특히 좋아할만한 구성입니다 그래서그런지 2층침대가 약간 삐걱거리는 느낌? 2,3층에 배정되어 있는 타입 입니다 <br/>4.프렌즈<br/>레고호텔에서 제일 적은객실을 보유하고 있는타입 입니다 생각보다 가장 평범하고 무난하다고 생각합니다 <br/>저희아이가 딸이다 보니 고생해서 예약했는데 <br/>생각보다 안좋아 합니다;; 2층에만  있는 타입이며 <br/>호텔 공연이나 식사하고선 빠르게 가능 객실로 갈수있는 장점이 있습니다<br/>다만 그동안 꽤가면서 평점이든 전부 좋게써왔던지라 <br/>아쉬운 부분을  이야기하자면 <br/>호텔공연등의 변동사항이 생기면 <br/>현장체크인을 하거나 전화연결해서 문의해야만 <br/>알수있습니다 저희아이가 7시에하는 공연을 좋아하는데 이번숙박때는 분명 매주수요일 휴연으로 알고있었는데 이번엔 화요일로 바뀌고 다른프로그램으로 대체되었더군요 <br/>그외 워터메이즈 운영시간등 초반에 준비하실때 <br/>그정보를 알기힘듭니다 <br/>인스타든 공식홈페이지등 좀더 세세하고 빠른 피드백이 있으면 좋겠습니다</div>|<div class="num">10.0</div>
레고랜드 코리아 리조트|<div class="txt">레고랜드 너무 재밌었습니다. 애들도 좋아하고 저도 신났어요. 여름에 오면 아주 좋은 것 같습니다. 해적선 물총 싸움 아주 재밌어요. 애들이 다음에 또 온다고 하네요. 노을 질때 미니랜드 롯데타워 찍은 사진 올립니다.</div>|<div class="num">10.0</div>
레고랜드 코리아 리조트|<div class="txt">호텔에만 머물러도 너무 좋아할 정도로 최고 입니다. <br/>다음에는 4번 자자고 하는 아들 덕분에 더 기분이 좋았어요 직원들도 친절하고 발렛 꼭 하세요 ㅋㅋ 완전 편함</div>|<div class="num">10.0</div>
레고랜드 코리아 리조트|<div class="txt">아들생일 기념으로 아들이 노래부르던 레고랜드를 다녀왔는데<br/>레고파크보다 호텔이 만족도가 더 높았어요!!<br/>일단 직원분들 왕친절하시구 아이들에게 다정하세요^^*<br/>입구에서부터 아이가 우와우와를 연발하고<br/>객실 들어가는순간 환호성을 질러요&gt;.&lt;ㅋㅋㅋ<br/>엘리베이터는 탈때마다 신나구요~<br/>호텔안에 키즈프로그램도 예약해서 잘이용했습니다<br/>하루종일 호텔안에서만 놀아도 될 것 같더라구요!<br/>가는 곳곳마다 브릭들이 있어서 아이가 조립하며 좋아했어요<br/>수영장은 미취학아동이 놀기엔 좋은데 좀 더 큰 아이들은 시시해할것같아요<br/>조식도 기대 이상으로 정말 맛있게 먹었어요~<br/>딱 먹을것만 알차게 있는 느낌?신랑이 맛있다고 계속ㅎㅎㅎ<br/>아이들 심심하지말라구 테이블마다 색칠할수있게 셋팅되어있는게<br/>인상깊었습니다<br/>요즘은 어딜가나 아이들데리고 다니면 뭔가 위축되고 눈치보이는데<br/>여기선 눈치하나도 안보고 마음편히 있을수 있어서 좋았어요<br/>집에와서 아이가 우주만큼 좋았다고 하네요😊<br/>덕분에 아이에게 최고의 엄마아빠가 되었어요🩷<br/>가격대가 높아서 자주는 못가겠지만 꼭 재방문하고싶어요!<br/>그날 마주쳤던 친절했던 직원분들 모두 항상 행복하세요🥰</div>|<div class="num">10.0</div>
레고랜드 코리아 리조트|<div class="txt">좋은 경험이었습니다</div>|<div class="num">10.0</div>
레고랜드 코리아 리조트|<div class="txt">아이동반 가족여행에 최고입니다</div>|<div class="num">10.0</div>
레고랜드 코리아 리조트|<div class="txt">깨끗했어요<br/>ㄷ<br/>ㄷ<br/>ㄷ</div>|<div class="num">10.0</div>
레고랜드 코리아 리조트|<div class="txt">애들이 정말좋아해요. 룸에 문제푸는 미션도좋아하고 엘베타자마자<br/>좋아합니다ㅋ 룸 곳곳  레고소품들이 많아서 좋구 뷰도 레고랜드뷰라 좋은데 ㄷ자형식이라 반대편룸이 훤히보여서 커텐쳐놧어요ㅜㅜ<br/>디너도 먹엇는데 가지수가 많진않아요. 직원분들도 빠릿빠릿은 않아서 접시 치워달라해야함.. 룸 2층침대는 아이들용이라 좁아요<br/>아이들은 2층침대 아기자기함ㅇㅔ 너무좋아해요<br/>2층침대옆에 문이 바로라 방음안됩니다ㅜㅜ 복도서 문 쿵쿵닫고<br/>다니고 얘기하는거  다들려서 잠깼어요ㅜㅜ</div>|<div class="num">6.0</div>
레고랜드 코리아 리조트|<div class="txt">여기어때가 가장 저렴하여 예약했습니다. 객실도 깔끔하고 아이들이 참 좋아하네요. 불꽃놀이를 안해서 아쉽지만 잘 즐기고 갑니다</div>|<div class="num">10.0</div>
