name|reviews|star
정동진 썬크루즈호텔|<div class="txt">객실상태도 좋고 서비스도 좋았습니다. 점심메뉴로 돈까스를 먹었고 저녁메뉴로 회를 먹었는데 호텔에서 운영하는 식당이 가성비가 상당히 괜찮았습니다. <br/>뷰도 좋고 호텔투숙객이 이용가능한 공원도 좋았습니다. 건물 야경사진도 이쁘게 잘 나옵니다. <br/>가족이랑 가도 친구들과 가도 괜찮은 호텔입니다. <br/>지하주차장이 없어서 밖에 주차를 했는데 비가 오는날이라 좀 불편했지만 주차장이 넓어서 괜찮았습니다.<br/>재방문 의사있습니다.</div>|<div class="num">10.0</div>
정동진 썬크루즈호텔|<div class="txt">썬크루즈호텔 7층에서 1박 했는데 창밖으로 보이는 풍경이 정말 일품이었어요<br/>다음엔 리조트를 꼭 방문해보고 싶습니다.</div>|<div class="num">10.0</div>
정동진 썬크루즈호텔|<div class="txt">빵,커피.편의점 이용이 편리했구요<br/>객실도 쾌적해서 아이들과 쓰기 좋았어요<br/>다음에 또 이용할것 같아요~~~<br/>큰 식탁과 전자레인지가 젤 맘에 들었어요.<br/>욕실 부스 도어가 꼭안닫힌게 조금 아쉽긴 하네요.</div>|<div class="num">8.0</div>
정동진 썬크루즈호텔|<div class="txt">장점:살면서 한번쯤 이용해야 할만큼 특별한 외관을 가지고 있습니다.<br/>본관과 신관을 연결해주는 브릿지에서 전망이 좋습니다.<br/>주변 경치와 잘 어울려 사진찍기 좋습니다.<br/>단점:주차장이 외부에 있어 차량이 많이 덥습니다.<br/>본관은 주차후 이동거리가 꽤 멉니다.<br/>습한편 입니다.<br/>본관은 덥습니다. <br/>한줄평:외관 및 시설은 끝내주나 숙소 내부는 그닥..</div>|<div class="num">10.0</div>
정동진 썬크루즈호텔|<div class="txt">수압,청결도 등 룸 컨디션 좋음<br/>경치가 진짜 예술임<br/>단점.룸서비스 피자<br/>너무 잘쉬고 갑니다~</div>|<div class="num">10.0</div>
정동진 썬크루즈호텔|<div class="txt">하필 태풍때문에 비가와서 산책을 하지는 못했지만<br/>비만 안왔으면 인생컷을 건질수있을정도로 공원은 잘꾸며져 있었어요~<br/>바다 아래쪽으로 산책로도 있는데 비가와서 막아놔서 가보지는 못했네요ㅠ<br/>방도 콘도형으로 공원뷰였는데 막상 입실해보니 파샬오션뷰여서 너무만족했습니다<br/>근데 방 곳곳에 머리카락과 화장실 세면대에 물때낀걸보고 실망스러웠었네요 아무리 오래된 리조트라지만 객실은 조금더 신경써서 관리해주셨음 하네요<br/>그리고 지하주차장이없고 야외 주차장밖에 없어서<br/>태풍왔을때 저희는 비를뚫고 차를타야해서 좀 불편했어요</div>|<div class="num">6.6</div>
정동진 썬크루즈호텔|<div class="txt">너무 좋았어요 잘 쉬다 갑니다</div>|<div class="num">10.0</div>
정동진 썬크루즈호텔|<div class="txt">시설과  숙소가 매우 만족합니다</div>|<div class="num">10.0</div>
정동진 썬크루즈호텔|<div class="txt">아주만족스럽고좋았습니다</div>|<div class="num">10.0</div>
정동진 썬크루즈호텔|<div class="txt">정동진 썬크루즈호텔 몇년만에 온건데 너무 좋았어요. 특히 조각공원은 추억을 불러일으키고 올때마다 감회가 새로워요. 넓고 편안한 객실에서 바다를 마주하며 머물 수 있어서 최고의 경험이었어요. 전망이 정말 멋지고, 일출과 일몰을 감상할 수 있어서 로맨틱한 분위기를 즐길 수 있었습니다. 날씨때문에 일출을 보지 못해 아쉬워요. 룸 인테리어도 세련되고 특별한 느낌이었어요. 룸은 사진이랑 똑같아요. 직원들의 서비스도 매우 친절하고 상냥하여 더욱 즐거운 시간을 보낼 수 있었습니다. 근처 정동진역, 레일바이크랑 바닷가도 너무 좋았어요. 다음에 또 오고싶어요.</div>|<div class="num">10.0</div>
정동진 썬크루즈호텔|<div class="txt">선크루즈 호텔을 가본게 2009년이었는데 그때에 비해 리모델링이 우수하게 잘되어서 너무 좋은 여행이 되었어요. 학생때 가족여행가보고 이제 여자친구와 다녀왔는데 너무 감동받아서 점수도 많이 땄어요ㅎㅎㅎ 주차는 물론이고 뷰도 정말 1도 걱정안하셔도 되는게 오션뷰가 아주 훌륭합니다. 숙소를 들어가자마자 눈이 휘둥그래지는데 너무 감동이었어요. 청경함도 만점드립니다. 레스토랑 뷰도 너무 좋아요</div>|<div class="num">10.0</div>
