name|reviews|star
휘닉스 평창 리조트|<div class="txt">휴가성수기여서 저녁 늦게까지 야외공연도 하고 <br/>루지,곤돌라,워터파크 ,포레스트캠핑 잘 즐기고 왔습니다.바다,폭죽놀이,조개구이등등<br/>ᆞ수영장은 깨끗하고 직원분들 친절하시고<br/>(진짜 주차안내 하시는분 등등 모두 월급 올려줘야함) ♡♡♡♡ 고학년 아이도 만족도 높았어요. 실내는 작은데 실외가 굳이였습니다. 특히 실외 유수풀~~<br/>특히 푸드코트 음식과 청결도는 워터파크 중에 탑 이였어요.누들 떡볶이 ,돈까스 꼭 드세요. 컵라면은 야외 중간쯤에서 판매하는데 가져와서 드시는 분들도 많으셨어요.  워터파크 가격은 할인전 어른8만 소인은 ?.  .카드할인은 최대30프로고 투숙객 할인은 20프로에요.<br/>아마도 시즌이여서 투숙 할인율이 낮은듯합니다. 베드나 평상은 3식구 이상이면  패밀리로 추천드려요.1인용은 4만5천원, 큰베드는 10만~13만이에요<br/>· 아이있는 가정은 포레스트 캠핑은 정말 꼭 하세요. 어른은 1인당 7만9천?  초등학생까지는 무료예요. 아이가 무료여서 나름 가성비,가심비도 좋고 특히나 아이가 신나게 뛰어 노는걸 볼수있어서 만족도 높았어요. 허나 어른 4명이면 <br/>굳이 ..ㅎㅎ 아이들 햇반,음료수는 챙겨가셔요.<br/>ᆞ조식은 호텔3층 온담에서 먹었어여.<br/>포스? 맞는분은 정말 최악이였어여 . 친절한 안내는 바라지도 않아여. 기분 나쁜표정으로 알아서 해라라는 식의 응대는 진짜 최악이여.<br/>다른 직원분이 몇명인지 물어보시고는 저희가 서있는데(거리가 1미터도  안 되고 저희만 있었어여)   계산담당직원은 키보드만  쳐다보고있어여. 제가 다가가서 조식 결제는 어떻게 해야 하는지 물었어여 .그제서야 화난표정으로  얼마입니다.ㅎㅎ 아침 처음으로 만나는 호텔 직원인데<br/>신경좀 쓰셔야겠더군요. 저희단지 시크한 편의점 알바학생은 친절사원이였더군요ㅎ<br/>조식은 어른 45000원 아이15000원 .. 자리여유 있었고, 음식도 만족스러웠습니다.<br/>총평. <br/>넓은 잔디밭, 깨끗한 부대시설, 깔끔한 음식들, 주변산책과 힐링가능한 공간이 많음<br/>아이가 고학년이여서 워터파크 실외 개장시즌에는 재방문의사 200퍼입니다^^<br/>꿀팁.. 첫째날 일찍 워터파크 다녀오시고 체크인.. 패키지면 체크인부터 하시고 티켓사용.<br/>근처 50분거리 사천해변 바다구경,폭죽 조개구이^^ 양때목장등등 알차게 계획짜보세요.</div>|<div class="num">10.0</div>
휘닉스 평창 리조트|<div class="txt">2박하였어요.<br/>리조트방문은 오래간만이라ㅡ재정비요청을 따로해야한다는걸 몰랐네요;;;미리 안내해주셨더라면 좋았을텐데ᆢ하는 아쉬움반 여행의즐거움반 ㅎ<br/>내부는 리뉴얼로 나름깨끗한듯<br/>그린동도 새로 리뉴얼오픈한거보니 한번 더 휘닉스 방문해야겠어요ㅡ^^<br/>한여름 폭염피해 평창산속은 자연바람에 여름나기엔 굿이더라고요.<br/>한겨울엔 스키장으로도ㅈ핫한그곳ㅈ<br/>서울과의 거리도 적당한 평창<br/>공연도 적당즐기고 잘 놀다왔어요</div>|<div class="num">10.0</div>
휘닉스 평창 리조트|<div class="txt">리모델링했다는 블루동에 숙박했어요~지하엔 아직세월의흔적이느껴지는 화장실과 주차장이지만 객실은 리모델링해서 깔끔했고 객실마다 렌지있어서 편했어요. 근데 화장실에 쓰레기통없고 객실휴지통도 하나뿐이라 좀 불편했으며 스탠다드객실이라 전실이좁고 에어컨이 노후되서 객실이 너무더웠어요 밖은 너무시원하고 좋았는데말이죠ㅠ 이것만빼면 워터팍, 조식, 곤돌라로 알찬패키지로 아이들과놀고오기 너무좋았어요. 특히 조식뷔폐나 객실클리닝해주시는 직원분들 하나같이 친절히 인사해주시고 안내해주셔서 너무좋았네요.</div>|<div class="num">10.0</div>
휘닉스 평창 리조트|<div class="txt">아이와 쉬기 너무 좋았습니다<br/>1박2일이지만 패키지로 블루캐니언 중식 곤돌라 볼링장 노래방<br/>알차게 놀았네요 중식뷔폐 깔끔하고 붐비지 않고 좋았고<br/>리모델링한 스위트 멀티룸에서 미니언즈2 재밌게 보았어요<br/>행복한 여름 휴가였습니다</div>|<div class="num">10.0</div>
휘닉스 평창 리조트|<div class="txt">1. 뷰 최고~아침에 일어나면 마운틴뷰 끝내줘여~가족과 함께한 휴가 느무 좋았습니다.<br/>2. 룸컨디션, 서비스처리 최상이었구요~필요한부분도 다 즉각처리해주셨어요~(선풍기 추가, 침구, 건조대등)<br/>3. 가장 키포인트~: 시원해요~헌여름인데 곤돌라 꼭대기는 가을날씨처럼 시원~리조트안에서다 해결할수 있어 심심치 않아요~<br/>4. 주변 인프라접근 좋아요~가까운 문학관,워터파크(삼푸 챙겨가셔야해요), 심지어 한우고기 식당은 대부분 픽업 드롭서비스 다해줍니다~대리운전 필요없어요~맘놓고 휘닉스 블루동 이름만 대면 데리러 옵니다~<br/>5. 거실에서 75인치티비로 영화즐기고 스륵륵 잠들어도 되는 편안함~안방에도 새벽까지도티비~<br/>6. 1층 요거트 상품은 추천해요~완전 맛나고 그리 달지 않은데 맛나요~신선~요거트 좋아하는 애들이 엄지척~!<br/>7. 편의점이 있어 다 있는데  좀 비싸서 필요한건 사전에 준비해가심좋아요~(과일은 사가시면좋아요)<br/>재방문의사 100%있습니다~^^</div>|<div class="num">10.0</div>
휘닉스 평창 리조트|<div class="txt">애기는 다양한 부대시설을 즐길 수 있어서 좋아했지만... 저는 재방문 의사 없습니다</div>|<div class="num">6.0</div>
휘닉스 평창 리조트|<div class="txt">조식도 맛나고 워터파크도 좋았어요</div>|<div class="num">10.0</div>
휘닉스 평창 리조트|<div class="txt">잘 이용했습니다.^^</div>|<div class="num">8.0</div>
휘닉스 평창 리조트|<div class="txt">오렌지동에서 3일 머물렀는데 시설은 나쁘지 않았고 주변에 식당가와 워터파크가 있어서 아이들하고 즐겁게 잘 쉬고 잘 놀고 잘 먹고 왔습니다 직원분들은 친절하셨고 오렌지동 뒤편에 산책로가 있어서 아침에 잠깐 산책하기 좋았습니다.<br/>휴가 기간 중이어서 차량 댈 곳이 부족해서 주차하는데 좀 어려움이 있었습니다. 볼링장 오락실 루지 타는 곳 곤돌라 타는 곳 등 근처에서 할 수 있는 것들이 많아서 좋았어요</div>|<div class="num">10.0</div>
휘닉스 평창 리조트|<div class="txt">가성비 좋네요 추천해요</div>|<div class="num">7.3</div>
