name|reviews|star
롯데리조트 속초|<div class="txt">시설도 좋고 특히 뷰가 너무 좋았어요!<br/>워터파크가 투숙객 할인 보다 카드사 할인이 더 되는건 조금 아쉬웠어요</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">설프체크인 아웃 편리해요. <br/>그래서 직원 만날 시간이 없어 친절한지 어떤지는 모르겠네요.<br/>아들이 손을 다쳐 수영장도 이용 못해서 그런지 호텔에 큰 감흥은 없었습니다. 욕실이 잘 나눠져 있어 편리 했고, 샤워실 수압은 좀 약한편...<br/>전날 씨마크에 묵었다가 와서 그런지 씨마크가 더 좋다는 느낌..<br/>어린 아이들이 많아서, 아이 있는 가족들에 맞는 리조트 같아요.</div>|<div class="num">8.0</div>
롯데리조트 속초|<div class="txt">깨끗하고 친절하고 너무 만족스러웠습니다<br/>객실뷰도 환상적이고 주변 식당들도 많아서 좋아요<br/>다만 워터파크는 많이 빈약합니다</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">숙소 넘 깨끗하고 속초해수욕장 뷰가 예뻐요<br/>침대가드도 추가요금 만원(1박당)을 내야하지만 높이도 높고 튼튼해서 대만족입니다<br/>조식도 깔끔하고 아이들이 좋아하는 메뉴가 많네요<br/>몇 년만에 방문했는데 속초롯데는 여전히 정말 좋네요<br/>직원분들도 친절하시고 좋으셨어요<br/>실내에 워터파크랑 키즈카페도 있어서 비오는 날에도 재미있는 시간 보낼 수 있어 참 좋습니다!<br/>산책로도 진짜 시원하고 good♡<br/>앗참 샤워부스 커서 애들 씻기기 진짜 편리하고<br/>다비네스 어메니티 향 너무 좋아요 킁킁<br/>쓰고보니 다 좋네요 ㅎㅎ</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">속초가 이렇게 아름다운 도시인줄 몰랐습니다. 음식도 맛있고 산과 바다 뷰가 멋진 도시네요.<br/>롯데리조트에서 멋진 뷰와 일출, 일몰이 인상적이었어요.<br/>아침 요가 프로그램도 기대이상으로 좋았습니다. 당일 일어나서 즉흥적으로 참가했는데 1대1수업으로 진행했어요.<br/>롯데리조트에서 하루만 묵고 떠나기 아쉽네요.<br/>근처에 맛집도 많고 위치도 최고입니다.<br/>또 다시 방문 하고 싶은 도시와 리조트 입니다.</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">너무 좋아요 <br/>아이들 데리고 가기 넘 좋아요 <br/>속초 간다면 무조건 여기!</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">속초갈때마다가는 숙소인데 너무좋아용 ㅎㅎ</div>|<div class="num">9.6</div>
롯데리조트 속초|<div class="txt">가격만 저렴했음..</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">비싼 호텔은 비싼 이유가 있는 법. 갈 때 마다 만족하는 강원도 최고의 호텔.</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">속초항이 보이는 뷰,<br/>룸 사이즈도 크고 깨끗하고 좋았어요.<br/>호텔 투숙객 인티니티풀 사용 가능한건 좋았는데, 파라솔 대여 5만원은 좀 심하다 싶었습니다.<br/>그래도 2박3일 동안 수영하고 멍때리고 쉬기에 좋았던 리조트 같아요.<br/>주변 바닷길 산책로도 너무 예쁘구요.<br/>외옹치항, 대포항이 가까이 있어서 먹거리도 많은 위치에요.<br/>속초항쪽 해변은 대관람차가 있고 야간에도 환하게 바다를 비치는 해변이 너무 예뻐요.</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">세상에나 마상에나 뷰를 보고 기절 하는줄 알았어요. 살면서 강원도를 수백번을 왔는데, 이렇게 예술적인 장면을 처음 봅니다. 너무나 황홀해서 잠도 제대로 못봤어요~~ 호텔 규모하며 시설 어떤것도 시시한게 없구요. 가족.연인.친구 모두모두 즐겁게 즐길수있고 포토스팟 넘치는곳이었어요. 요트투어도 했어요. 너무 행복한 추억 만들수 있게 해주셔서 롯데 사랑해요.다음에 또 재방문합니다</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">자주방문하는호텔입니다 강원도에서 관리잘된 호텔중하나입니다.호텔도 가보고 리조트도가봤는데 두군데다 흠잡을데가 없어요~</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">난생처음 방문한 롯데리조트 속초<br/><br/>평일이라 너무나 안심하고 갔는데 <br/><br/>세상에 주말인줄 알았습니다. 사람이 너무 많아요 🫢<br/><br/>2시 반경 도착했는데 웨이팅이 72번 🤒<br/><br/>물론 키오스크로 체크인 하면 웨이팅 없니 3시부터 가능한데<br/><br/>뷰는 랜덤배정이라 꾸욱(?) 참고 웨이팅을 기다린 후 <br/><br/>약 25분뒤 호출이 울려 약3시 30분경에 체크인 하였어요.<br/><br/>속초해수욕장 뷰는 선호도가 높아 가장 저층인 3층으로 배정 🥺<br/><br/>그래도 지대가 높아서 내려다 보이는 뷰는 최곱니다. 😄<br/><br/>🏨접근성<br/><br/>속초 해변라인에선 눈에 띄는 외관이라 한번쯤 가보리라<br/><br/>다짐하다 드디어 한번 묵어보네요 🤭<br/><br/>대포항과 외옹치항 속초해변이 모두 근처에 있어서 <br/><br/>해산물 좋아하시는 분들에겐 더없이 좋은 위치<br/><br/>거기에 전객실 오션뷰(속초해변,망망대해,외옹치항뷰)<br/><br/>🏨룸컨디션<br/><br/>제가 묵은 방은 그랜드 디럭스 더블룸 <br/><br/>침대 앞에 쇼파와 테이블이 있어서 음식을 먹으며 <br/><br/>티비보기 좋은 구성 입니다. <br/><br/>방은 생각보다 너무 넓었고 욕실도 거대 합니다.<br/><br/>다만 방크기대비 냉방은 중앙제어의 한계를 여실히 보여주네요.<br/><br/>한낮엔 26도 아래로 안내려가고 저녁 늦게 되서야 23도까지 <br/><br/>내려갑니다. 열많러에겐 단점이 됩니다 🤒<br/><br/>욕조 블라인드를 올리면 반신욕하면서 바다와 tv도 볼 수 있어요.<br/><br/>침대도 폭신하고 크리닝 상태도 만족스러웠습니다.<br/><br/>테라스도 방크기와 같이 거대하게 넓네요<br/><br/>밤에 비가 내렸지만 아침엔 날이 개고 화창한 속초해변 뷰👍<br/><br/>🏨편의시설<br/><br/>지하1층에 롯데 계열 엔제리너스 롯데리아 세븐일레븐 <br/><br/>그리고 코인세탁실 오락실 인생네컷 등 따로 리조트 밖을 <br/><br/>나가지 않고도 리조트 내에서 해결 할 수 있습니다.<br/><br/>그리고 세븐일레븐이 24시간 열려있는게 너무 좋습니다.<br/>(소프트아이스크림 🍦존맛)<br/><br/>그리고 호텔동 각층 16호 앞에 얼음 디스펜서가 있어서 <br/><br/>너무 잘 사용했습니다. <br/><br/>🏨총평<br/><br/>속초 고성은 자주 가지만 롯데리조트는 자주 못갈 수밖에 없는<br/><br/>평일에도 35만원 이상의 가격대지만 <br/><br/>기회가 된다면 재방문 하고 싶습니다.<br/><br/>다만 객실내 와이파이속도가 너무 느리네요 🤒</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">우리나라 최고 호텔입니다 무엇보다 객실 뷰 진짜 미쳤어요 너무 피곤해서 일출은 못봤지만 일어나자마자 테라스로 나가면 속이 다 뚫립니다. 조식도 진짜 너무너무 맛있어요. 빠른 입실 원하시는 분들은 지하에 셀프체크인 기계 있어요! 거기서 임실 신청 하시면 됩니다!</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">오션뷰 하나는 진짜 끝내 줍니다<br/> <br/>아무래도 리조트다 보니 5성급 호텔의<br/>서비스보단 약간 못한것 같기는 함</div>|<div class="num">9.0</div>
롯데리조트 속초|<div class="txt">청결이랑 뷰, 리조트내 시설까지 그냥 갓벽..☆ 주차장도 넓고 인피니트풀도 너무 좋아요!! 인피니트 풀 가기전에 락커랑 샤워실도 잘되어있고 정지말정말 만족스러운 리조트입니다!! 산책로도 잘되어있는 것같던데 낮에는 너무 더워서 못갔어요ㅠㅠㅠ 해지고 가고싶었는데 7시반까지만 산책로 이용할 수 있더라고요ㅠ 해는 7시반이후에 지는데ㅠㅠㅠ 그게 좀 아쉽.. 방 침대도 편안해서 꿀잠잤습니다ㅎㅎ 소음도 없구요 베란다 있어서 오션뷰를 더 즐길수있더라고요 담에 속초가면 또가규싶음</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">수영하고 잼있게 놀다갑니다.</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">도착해서 체크인 하는데 역시나 사람이 바글바글 ,, 평일인데 다들 부지런하시더라구요<br/><br/>저희는 지하에서 셀프 체크인을 했습니다<br/><br/>전객실 오션뷰라 뷰는 말할 것도 없이 좋았고 룸 컨디션 자체는 양호하나 저희 방에선 비릿하고 역한 냄새가 나서 외출시에 환기를 시키고 나갔네요<br/><br/>웬만한 워터파크보다 락커룸도 잘 되어있고 사우나에 샤워시설, 수건 등 엄청 잘 되어있습니다<br/><br/>호텔 풀장 이용할 때 항상 가운 걸치고 방에서 씻고 입고 했는데 여긴 안 그래도 될 것 같아요<br/><br/>놀이기구 줄 안 서고 바로바로 탈 수 있어서 좋고 매번 보던 속초 바다인데, 워터파크에서 보니 감회가 다르더라구요 <br/><br/>사실 다 큰 어른 둘이 놀아봤자 얼마나 재밌게 놀겠어라는 생각이었는데, 둘이 매점까지 뿌셨습니다<br/><br/>개인적으로 인피니티 풀 뷰보다 워터파크가 훨씬 좋으니 사진 찍으러 오시는 분들 참고하세요 <br/><br/>바닷길 산책, 바베큐, 지하에서 인생네컷까지 찍고 호텔에서 1박2일 야무지게 놀았습니다<br/><br/>그동안 다닌 것 중에 이렇게 알찬 적이 있었나싶을 정도라서 주절주절 적어봐요 ㅎㅎ</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">강원도 바다를 좋아하는 아이 둘 아빠입니다.<br/>롯데리조트 속초는 언제나 방문할때면 설레고 기대 됩니다. 하루의 휴식 또는 이틀의 휴식을 위해 가족 구성 원 모두가  왕복 7시간의 장거리도 힘들지 않습니다.<br/>계절에 따른 파도소리와 호텔의 동선 및 청결함 모두 고객을위해 배려된 것이 인상적입니다. 그리고 호텔 안에 여러 먹거리와 즐길거리 또한 많이 구비되어 있어서 좋습니다.<br/>한달에 한번 여행을 계획하는 아빠가 되고 싶습니다.</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">가족들과 함께 2박을 머물렀는데 깨끗하고 편안하게 지내고 왔습니다. 리조트 주변에 산책길이 잘 조성돼서 좋았어요.</div>|<div class="num">7.3</div>
롯데리조트 속초|<div class="txt">지은지 얼마 안된 곳이라 그런지 깔끔했습니다. 좋은 방 배정위해 애쓰시는 점에 고마움을 전합니다. 임신중이라 그런지 편의시설도 배려받고 편히 쉬다 갑니다. 속초에서 또 이렇게 편하게 머무를 수 있기를 바랍니다. 수영장 이용을 못해 아쉬운데 몸이 가벼워 지면 꼭 이용하고 싶습니다. 호텔에만 머물고 싶을 때 괜찮겠습니다. 오래된 쾌쾌한 냄새 없이 지낼 수 있고 전객실 바다뷰니까요.</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">키오스ㅡ 체크인하고 랜덤으로 배정받은 방 419호~<br/>1박이었지만 수영장 뷰만 보여서 조금 아쉬웠습니다</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">11시쯤 와서 짐 맡기고 바다길 산책하고, 식사하고 시간보내다 체크인 알림 10분전 떠서 바로 체크인 했어요.<br/>대기12번이어서 탑층 정면뷰 배정받았습니다.<br/>화려한 야경 원하시면 속초아이  방향이 나을실거같아요.<br/>휘트니스가 바다뷰라  더 좋았어요~<br/>바다가 바로 가까이라 파도소리 좋아요.<br/>일출은 못봤지만  푹 쉬고갑니다.</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">가족과 함께하는 여행에는 늘 롯데리조트 속초와 함께합니다. 먹을거리 가득하고 키즈카페까지 있는 가족 모두에게 행복한 날을 안겨주는 롯데리조트. 추천합니다.</div>|<div class="num">10.0</div>
롯데리조트 속초|<div class="txt">숙소가 정말 너무 좋았어요 <br/>콘도로 예약했는데 방도 넓고 화장실, 방도 두개라 엄청 편하게 이용했습니다 <br/>오션뷰도 너무 시원하게 트여있어서 좋았습니다 <br/>다만 콘도이다 보니 애기들.. 애들이 많아서 층간소음? 이 장난 아니었고요.. 복도에서 소리지르며 뛰어다닙니다 <br/>조용한거 좋아하시면 콘도 말고 호텔이용 추천드립니다<br/>숙소 위치도 대포항이랑 가까워서 좋았습니다 <br/>여러모로 너무 만족했고 재방문 의사 있습니다</div>|<div class="num">10.0</div>
