name|reviews|star
어반이스트 호텔|<div class="txt">어반이스트 호텔 원흥역 처음 와 받는데, 객실에 하노이 탕이 작지만 있어서 특이 하다는 생각을 ㅎㅎㅎㅎㅎㅎ<br/>주위에 맛집들도 많고 특히 코뚜레 고기집은 한우가 너무 좋네요 ^^<br/>식사 맛나게 하고 객실에 들어와 히노끼탕에 반신욕을 너무 잘 했네요 땀을 비오듯 ㅋㅋㅋㅋㅋㅋ<br/>저녁에 산책 하는 산책로도 있어 시원한 바람 맞으면 기분 좋게 산책 후 숙소에 들어와 꿀잠 잘 자고 체크 아웃 합니다^^</div>|<div class="num">8.0</div>
어반이스트 호텔|<div class="txt">카운터 직원분들도 다들 친절하시고 여자친구 몰래 이벤트를 준비해서 따로 부탁드린게 있는데 흔쾌히 부탁들어주셔서 정말 감사합니다^^ 내부 시설이나 창 밖 뷰도 너무 예뻤고, 저녁에 갑작스럽게 화장실 물로 인한 룸 업그레이드는 당황스러웠지만 오히려 좋았고 너무 좋은 곳에서 잘 머물다 갑니다~ 종종와서 힐링하고 가겠습니다^_^</div>|<div class="num">10.0</div>
어반이스트 호텔|<div class="txt">깨끗하고 시설도 좋고 직원도 친절해요<br/>뷰도 좋고 22층 레스로랑도 싸고 맛있어요<br/>다음에도 고양시에 갈 일이 있으면 이용하고 싶네요<br/>호텔주변에 지하철도 가깝고 식당 술집 등도 많아 생활에 불편함이 없었네요<br/>추천합니다<br/>호텔뷰가 죽여요 노을이 아름다웠습니다</div>|<div class="num">10.0</div>
어반이스트 호텔|<div class="txt">오랜만에 방문했는데 전보다 사람이 정말 많아짐. 이곳을 여행하러 오는 것 같지는 않고 주로 거쳐가는 느낌으로 숙박하는 사람들이 많은 것 같음. 커플 보다는 가족단위 정말 많음.<br/>🛌힐링 슈페리어 더블 룸컨디션.<br/>올때마다 거실과 침실이 분리된 곳에서만 묵다가 이번에 처음 슈페리어 더블룸을 이용해봄. 공간 분리가 안되어 있는 곳은 좁은 곳들이 많은데 어반이스트는 좁다는 느낌이 안들었음. 수하물캐리어, 기내용캐리어 두 개 펼칠 수 있는 공간도 충분했고 베란다에 있던 의자, 테이블 다 들고 들어와도 좁지 않았음. 침대는 크고 이불도 먼지가 잘 나지 않아서 비염환자에게 매우 괜찮았음. 실내화가 있지만 바닥이 집느낌(?)으로 장판이 깔려 있고 청소가 잘 되어 있어서 맨발로 돌아다님. 방음도 잘됨! 자는 동안 그 어떤 소음도 못들었음.<br/>베란다에는 반신욕을 할 수 있는 편백나무욕조가 있지만 덩치 좀 있는 성인은 들어가기 힘듦. 족욕정도 할 수 있는 아담한 사이즈임. 꼭 반신욕을 하지 않더라도 베란다에 편백향이 가득하니 향기를 즐겨보는 것도 추천함.<br/>🚻화장실/샤워실<br/>어메니티 칫솔,치약부터 시작해서 바디타올까지 다 준비되어 있음. 메이크업리무버, 폼클렌징만 챙겨오면 편하게 호캉스를 즐길 수 있음. 화장실, 세면대, 샤워실이 전부 분리되어 있어서 사용하기 편함. 샤워실은 물이 튀지 않는 구조로 설계가 되어 있어서 방정맞게 샤워해도 화장실이나 세면대 쪽에 물이 넘치지 않음. 수압도 좋고 뜨거운 물도 잘 나옴. 수건들도 깨끗하게 잘 관리되어 있음. 드라이기 성능 굿. 충전기와 고대기는 프론트에서 1만원 보증금 내고 빌릴 수 있음.<br/>➡️부대시설<br/>세븐일레븐이 1층에 위치해 있어 웬만한건 1층에서 해결 가능함. 근데 생각보다 물건이 많이 없고 좁아서 인근 다른 편의점 추천함. (아이스크림 냉장고가 바깥에 있어서 녹았다 얼었다를 반복하는 것 같음. 맛이 없음. 아이스크림 비추) 조금만 더 걸어가면 편의점도 있고 로또 1등인가 2등 당첨된 호두과자집도 있으니 산보겸 가보는 거 추천.<br/>헬스장 – 개인 운동복, 운동화, 양말 지참<br/>넓지 않고 기구가 많이 없어서 가볍게 운동하기 좋은 헬스장임. 사람이 많으면 운동하기 힘든데 사람이 많은 걸 본적이 없음. 혼자 전세낸 듯이 운동 가능.<br/>🅿️주차<br/>원래는 큰 차도 지하에 댈 수 있었는데 언제부터인가 못대게 함. 지하, 지상, 타워주차 이렇게 세군데 공간이 있지만 큰 차의 경우 늦게 가면 댈 자리가 없으니 빠른 체크인하는 걸 추천함. <br/>❣️총평<br/>가격도 저렴하고 조금만 걸어 나가면 원흥역 주변 맛집도 많아서 꽤 괜찮은 호텔임! 층간소음, 벽간소음 전혀 없어서 내집보다 더 편안하게 쉬다 갈 수 있음. 22층엔 레스토랑도 있고 체크인 할 때 할인쿠폰도 주니 잘 활용하면 만족스러운 호캉스를 즐 길 수 있음</div>|<div class="num">10.0</div>
어반이스트 호텔|<div class="txt">너무 완벽한 숙소였어요<br/>정말 시설이 최고급호텔 안부러웠고 로비에 대기하는공간이며 상시대기한 친절한직원분들과 24시간 운영하는편의점에 편했어요<br/>헬스장도 있고 세탁실도 유용하게 이용하고 룸서비스도 됩니다!<br/>그리고 루프탑카페도 있어서 최고예요 2박있는동안 불편한거없고 너무너무 만족스럽게 지냈어요<br/>주변에 배달되는곳도 많고 식당도 많아요~<br/>참고할건 주차가 기계식도있고 지하도 있는데 지하4층까지있어서 주차할공간은 넉넉합니다<br/>21층에 묵었는데 히노끼탕에서 야경보는것도 좋았어요~ 참 수압도 아주 짱짱합니다<br/>다음에도 꼭 놀러올게요~ :)</div>|<div class="num">10.0</div>
어반이스트 호텔|<div class="txt">항상 잘 사용합니다</div>|<div class="num">10.0</div>
어반이스트 호텔|<div class="txt">전체적으로 깔끔하고 전등을 키는 버튼도 다양하여서 좋았습니다!! 그리고 욕실도 굉장히 깔끔했고 욕조도 나쁘지 않았습니다! 한번씩 몸이 피로 할때에 제격인 것 같습니다!! 재방문 의사 있습니다!전체적으로 깔끔하고 전등을 키는 버튼도 다양하여서 좋았습니다!! 그리고 욕실도 굉장히 깔끔했고 욕조도 나쁘지 않았습니다! 한번씩 몸이 피로 할때에 제격인 것 같습니다!! 재방문 의사 있습니다!</div>|<div class="num">10.0</div>
어반이스트 호텔|<div class="txt">부모님과 함께 이용했는데 깨끗하고 좋았어요 편하게 묵고 가요</div>|<div class="num">8.0</div>
어반이스트 호텔|<div class="txt">깔끔하고 깨끗합니다. 가격대비 쾌적합니다. 이동네 재방문시 재이용의사 100%입니다.</div>|<div class="num">10.0</div>
어반이스트 호텔|<div class="txt">룸 인테리어 =&gt; 평범함. 뽀송하고 깔끔한 호텔방을 원한다면 맘에 차는 방은 아님. 가격 대비로 보면 중간 이상정도<br/><br/>위치 =&gt; 원흥역 도보 3분. 3호선 라인이라면 최고. 혹은 목적지가 3호선 라인이라면 상급<br/><br/>친절도 =&gt; 가격 대비 훌륭. 사무적 친절함 정도. 대응에 문제 전혀 없고 이정도면 충분하다고 생각.<br/><br/>청결 =&gt; 이물질 발견 못함. 욕실도 물자국 없이 청소 잘된편.<br/><br/>주변시설 =&gt; 원흥역 유흥가 바로 앞. 앞에 설빙 베라 술집 각종 야식집 다수 존재. 굳이 조식 운영 안하는 이유 이해 가능<br/>호텔 1층에 바로 편의점 존재. 크진 않지만 간단한 요깃거리와 술 사기엔 적합. <br/><br/>내부서비스 =&gt; 아쉽게도 조식은 제공 안함. 근데 이가격에 조식 내놓으라 하면 좀 도둑놈 같긴 함.<br/>루프탑 라운지와 식당 존재. 아마 조경보며 먹는 간단한 식사거리 판매한다고 보임.(입실시 할인쿠폰 받았음. 다주는지는 확실치 않음)<br/>룸서비스가 다양하진 않지만 꽤 괜찮은 가격에 제공.<br/><br/>어매니티 =&gt; 면도기 빗 샤워캡 칫솔치약 면봉 머리끈 등등 있을건 다줌. <br/>샴푸 컨디셔너 바디워시는 다회용기 제공. 향은 꽤 괜찮았음. <br/>객실 변기 비데. 수압 굳. <br/>냉장고 물 2병. 무료. 무난함.<br/>커피포트옆 카누와 차 제공. 굳.<br/><br/>특이시설 =&gt; 베란다 히노끼탕 존재. <br/>솔직히 이거 보고 갔음. <br/>185 기준 다리 좀 접고 담궈야 하는 정도 크기. <br/>그래도 조망 아무것도 없는 욕실내 욕조보다는 훨씬 성의있고 특이하고 좋음. <br/>더불어 옆에 테이블 하나 있어 거기에 술이나 찬음료 가져다 놓고 테블릿으로 유튜브 틀고 몸담그니 그거 꽤 괜찮음.<br/>이호텔 킬러기능임. 청소상태도 좋았음.<br/><br/>뷰 =&gt; 이가격에 뷰 바라는건 양심이...?<br/>뷰는 비닐하우스 + 도로  혹은 원흥역 뷰임. <br/><br/>결론 =&gt; 위치 + 히노끼탕 2가지 무기로 고양시민이나 근처 3호선 라인 주민들에게 어필이 꽤 좋음. <br/>로멘틱보다는 익숙한 연인과 가서 술먹고 뜨끈한물에 몸담그고 넷플보고 등등. 모텔은 좀 별로다 싶을때 참 괜찮은듯. <br/>혹은 오늘은 죽어도 집에서 자기 싫다 할때 가면 최고일듯.<br/><br/>추천대상 =&gt; 고양시 주민, 가성비 혼캉스족, 편한 연인, 이동시간 좀 잡아먹어도 편히 쉬고싶은 비지니스 출장<br/><br/>비추천 대상 =&gt; 뜨거운 연인, 가격과 시설의 밸런스를 못참는 사람,<br/>잠만자고 나가야 하는 출장, 겨울에도 냉수 샤워 해야되는 사람<br/><br/><br/>종합점수 4.3<br/>가성비 히노끼탕 혼캉스.</div>|<div class="num">8.0</div>
어반이스트 호텔|<div class="txt">이용하기 좋아요 ㅎㅎ</div>|<div class="num">10.0</div>
어반이스트 호텔|<div class="txt">에어컨 소음이 크네요<br/>그게 좀 아쉽네요</div>|<div class="num">8.0</div>
어반이스트 호텔|<div class="txt">지방에서 올라오신 엄마 친구분 예약 해드렸는데 편하게 잘 이용했다고 하더라구요~~</div>|<div class="num">10.0</div>
어반이스트 호텔|<div class="txt">편백욕조가 생각보다 커서 좋았습니다. 다리 뻗고 편하게 있을수 있었어요. 객실상태 깔끔하고 괜찮았습니다. 어메니티 치약 칫솔 샴푸 컨디셔너 바디샤워 로션 있어서 불편함 못느꼈습니다. 직원들도 모두 친절했습니다.</div>|<div class="num">10.0</div>
어반이스트 호텔|<div class="txt">재방문 했는데 역시 좋았어요 주변에 먹을 곳이 많아서 포장하기에 넘 편리하고 일층에 바로 편의점 있어서 조아요!!</div>|<div class="num">10.0</div>
어반이스트 호텔|<div class="txt">호텔 로비가 널찍해서 좋았습니다.<br/>객실 내부도 널찍해서 좋았지만, 테이블과 의자가 전부 베란다 쪽으로 빠져있어서 조금 불편했습니다.<br/>베란다에는 히노키 욕조가 있는데 문을 열어둘 시 욕조 특유의 나무향이 방 안까지 다다라 향에 예민하신 분들은 문을 열어놓고 있기 조금 힘드실 것 같습니다.<br/>TV 크기가 굉장히 커서 만족스럽습니다. 쉬면서 영화보기 딱인 사이즈예요.</div>|<div class="num">8.0</div>
어반이스트 호텔|<div class="txt">스타필드 이용후 가려고 제일 가까운곳 찾다가 예약한 곳입니다. 3성급이라고 해서 그래도 좀 기대를 해서 그랬을까요ㅠ 일단 룸 딱 들어가자마자 나는 담배냄새...때문에<br/>설마 금연룸이 아닌가 해서 방을 바꿔달라고 하려고 했는데 금연이라는 안내문이 있더라구요. <br/>베란다에 있는 히노끼욕조 때문인가도 생각 했는데 베란다랑은 확실히 다른 담배냄새였습니다.<br/>친구가 그냥 쓰자고 해서 룸체인지는 말씀안드렸구요.<br/>청소상태는 괜찮았는데 화장실이 일단 유리문...<br/>샤워룸은 그래도 딱 맞게 닫혔는데 볼일보는데...문이 딱 안맞구 앞뒤로 다 열리길래 그거때문에 갈때마다 신경쓰였구요,<br/>마지막으로 바깥소음은 전혀 안들리는데 에어컨소리는 무엇때문에 그렇게 클까요... <br/>자려고 불끄고 누워서 가만히 있는데 백색소음 틀어놓은거 마냥..ㅋㅋ.. 끄면 더울거 같구 그래서 새벽에 자다깨다 하면서 껏다가 켰다가 했네요ㅠ<br/>직원분들은 친절하셨고 원흥역이랑도 많이 멀지않아서 좋았지만 저 세가지가 좀 그랬네요ㅠ</div>|<div class="num">7.3</div>
어반이스트 호텔|<div class="txt">자주 이용하는데 좋습니다<br/><br/> - 룹컨디션 최상<br/> - 근처 식당 많음<br/> - 역 근방이라 접근성 좋음<br/><br/>ㅎㅎ 예약하셔도 후회 안하십니다</div>|<div class="num">10.0</div>
어반이스트 호텔|<div class="txt">잘 이용하고 갑니다.</div>|<div class="num">10.0</div>
어반이스트 호텔|<div class="txt">친한 지인들과 오랜만에 보는데 막차가 끊길때<br/>저는 택시보단 숙박을 택하는 경우가 많습니다.<br/>이유는 택시비가 상당히 올라서 흑흑<br/>아무튼 그러한 이유로 한 7시간 있었던 호텔<br/>일단 룸 컨디션은 매우 좋았어요.<br/>생긴지 얼마 안된곳이어도 안 그런곳도 있는데<br/>화장실 샤워실 분리부터 너무 좋았고<br/>특히 작은 저 전망을 보며 반신욕을 할수 있는 공간도<br/>좋았습니다. <br/>다만 한가지 제방만 그런지는 몰랐는데 에어컨 소리가<br/>좀 났네요!<br/>그렇지만 종합적으로 대 만족 입니다!</div>|<div class="num">10.0</div>
어반이스트 호텔|<div class="txt">시설 깨끗하고 좋았어요 물 수압도 좋았구요. 욕조도 있었지만<br/>아쉽게도 이용은 못해 봤네요 다음번엔 이용해 보려고 합니다</div>|<div class="num">10.0</div>
