name|reviews|star
호텔인카페 구리점|<div class="txt">사진과 객실 차이가 너무심하여  많이 불쾌했음.</div>|<div class="num">6.0</div>
호텔인카페 구리점|<div class="txt">여기어때 사진만보고 예약결제까지 다하고 갔는데 10시 입실인데 예약 확인결과 예약도 안되있고 예약번호로 확인하더니 다른사람이<br/>사용중이던 방이고  11시까지 방만들어주겠다고 얘기하고 다른방에대기해달라는데.....1시간동안 불편한방에서 대기.....그래도 참고 1시간 기다려 예약한 방에갔는데 와~~대박 ㅡㅡ;;;;<br/>청소상태 완전 엉망 여기저기 머리카락에 바닥 선반에 하얀먼지에<br/>이불은 세탁을한건지ㅡㅡ 여기저기 핏자국 있고...<br/>거기에 사진과는 다른 방에...스위트 예약하고 갔는데 사진과는 진짜다른.. 조금이라도 비슷한게 하나도없고...내가 순진한건지....<br/>정말 실망이고 다시는 가고싶지 않은 곳이네요. .<br/>사진은 믿을게못되네요.<br/>원래 리뷰 잘안다는데 여기는 다른분들 사진에 속지말라고 이렇게 리뷰 남겨요.</div>|<div class="num">2.0</div>
호텔인카페 구리점|<div class="txt">객실과 욕조크기를 보고 결정한 곳인데 욕조만 사용하기 좋고 다른 것은 다 별로입니다 객실위생상태가 아주 좋지 못했습니다 새로 교체했다는 침구류에는 알지못할 빨간 얼룩들이 있고 리모컨엔 먼지가 가득 쌓여있고 오래 사용하지 않은 듯 해보였습니다 방음도 안되고 중문이있지만 닫아도 방음이 잘되지않았습니다 하나 만족한 것은 욕조크기가 큰 것 밖에 없네요 다음에 또 이용하고 싶지 않은 곳입니다</div>|<div class="num">3.0</div>
호텔인카페 구리점|<div class="txt">잘쉬다갑니다~~~~~</div>|<div class="num">10.0</div>
베니키아 JD관광호텔|<div class="txt">깨끗하고 친절하며 정리정돈 잘되어있습니다. 광릉수목원과도 가깝고 주변먹고마실곳 많습니다. 다만 호텔자체주차시  입구와출구가 같아서 주의가필요합니다. 왕릉을 못가봐서 다음에 또 방문하고싶네요</div>|<div class="num">10.0</div>
베니키아 JD관광호텔|<div class="txt">1. 사장님 친절하십니다.<br/>    2박예약도 잘됩니다.<br/>2. 주창장이 좁습니다. <br/>    늦게 가면 옆건물에 주차해야 합니다.<br/>3. 퇴실 30분전에 알람해주십니다.<br/>4. 일회용품 2개씩 주십니다.</div>|<div class="num">10.0</div>
베니키아 JD관광호텔|<div class="txt">처음 방문하고 숙소가 너무 마음에 들어서 또 이용하게된곳 입니다~<br/>객실 역시 쾌적하고 주변에 이용할수 있는곳들이 많아서 좋습니다<br/>아쉬운점은 욕조가 작은거 말고는 모두 만족합니다^^</div>|<div class="num">10.0</div>
베니키아 JD관광호텔|<div class="txt">연박으로 이용한곳 입니다~<br/>호텔 주차장 입구 좁은거 말고는 주차하는데 어려움이 없어요~<br/>로비에 계신 남자 사장님 너무 친절하시고 저희는 연박으로 이용해서 다음날 청소까지 받고 이용했는데요<br/>객실 청소해주신 중년여성분께 완전 감동 받았습니다<br/>아무래도 연박이라 개인 소지품을 챙겨서 왔는데 제 화장품쪽 정리까지 해주시고 정말 감사했습니다~<br/>다음에 또 이용하겠습니다^^</div>|<div class="num">10.0</div>
베니키아 JD관광호텔|<div class="txt">출장으로 연박했습니다 전체적인 숙소 컨디션은 아주 좋아요 다만 흡연실때문에 복도 전체에 담배냄새가 나고 제가 지낸 방은 화장실에서 곰팡이 냄새가 많이나더라구요 눈에 보이지 않는거로 봐서는 안쪽 부분에 곰팡이가 많은것 같습니다..<br/>주차는 진출입로가 좁아서 어려운 편이구요 이미 많은 사람들이 긁은 흔적이 있더라구요 출차하는 차 때문에 후진도 한번 했는데 조금 더 일찍부터 경고사이렌 울리면 더 도움이 되지 않을까 싶습니다<br/>주변에 상가가 많아서 식사 해결하기에 아주 좋았어요</div>|<div class="num">8.0</div>
베니키아 JD관광호텔|<div class="txt">시설은 일반 숙소같아요<br/>1박할만해요<br/>주변에 음식점도있고편해요</div>|<div class="num">7.0</div>
