name|reviews|star
고려호텔|<div class="txt">상동에서 매번 숙박할 때 이용하는 호텔입니다 침대가 작아서 요청 드렸더니 친절하게 객실도 바꿔주시고 덕분에 편하게 잘 이용하고 갑니다^^ 직원분들 너무 친절하시고 객실상태는 더할나위 없이 깨끗하고 좋습니다 주변에 식당이나 카페도 많아서 퇴실하고 자유롭게 이동하기도 좋습니다^^ 다른분들이 부천 온다고 하시면 항상 추천해드리는 호텔이예요 오래오래 번창하세요^^</div>|<div class="num">10.0</div>
고려호텔|<div class="txt">침구류에 얼룩이 있어서 보자마자 기분이 좀 그랬습니다.<br/>화장실 세면대도 얼룩이... 그외에 전체적으로는 깔끔한데<br/>바닥이 카페트인게 좀 그렇더라구요<br/>직원분들은 엄청 친절하셨습니다.</div>|<div class="num">10.0</div>
고려호텔|<div class="txt">저번달에 숙박했던 부천포x타 호텔과 고려호텔중 고르다 고려로 택했네요 상동중심가에서 저녁 약속이 있는지라 엳시 이동거리가 편한 고려로 숙박을 다 좋은데 주차장 만석이라  지하 3층에서 어거지로 차돌려 나오는데 땀좀 흘렸네요 차한데 돌릴 공간도 없는데 수건 수거 업체 트럭이 떡하니 막고 이러지도 저러지도 못하게 구경만 ~..~</div>|<div class="num">10.0</div>
고려호텔|<div class="txt">묵었던 방에 창문이 고장나있어서 좀 난감했는데<br/>대충 응급처치해서 사용했던거 빼면<br/>시설은 좀 오래된 느낌이 있지만 전체적으로 깔끔하고 편하게 지냈습니다<br/>샤워실 굿 침대 굿<br/>근처에 식당이 많아서 굿</div>|<div class="num">10.0</div>
고려호텔|<div class="txt">근처에 피규어뽑기 방이 있다해서 갔다가 고려호텔 방문했습니다. 가끔 방문하던 곳이었는데, 항상 문제? 로 지적되던 부분이 욕조의 노후화 및 방마다 다른 컨디션 (어떤 방은 담배냄새, 지린내 남) 이었습니다. 이번에 방문하니 제가 좋은 방이 걸린건지, 화장실을 전체적으로 리모델링 하신건지 모르겠지만 욕조, 샤워기 전부 새거로 바뀌었더라구요. 방에서 냄새도 안나고요, 그래서 아주 만족스럽게 숙박하고 왔습니다. 딱 한 가지 아쉬운 점이라면 창문에 방충망이 없는 점이네요 그거 외에는 다 좋았습니다</div>|<div class="num">10.0</div>
고려호텔|<div class="txt">나름 좋네요<br/>가격만조금 내림</div>|<div class="num">10.0</div>
고려호텔|<div class="txt">인테리어가 깔끔하고 건물도 이뻐요 근데 바깥뷰가 철근같은게 보여서 좀 아쉬웠어요 물이모자라서 직원에게 물어보니 따로 구매해야한다고하네요 헬스장도 있다길래 들려봤는데 러닝머신이랑 아령뿐이었어요<br/>숙소만본다면 만족입니다</div>|<div class="num">6.0</div>
고려호텔|<div class="txt">출장시에 이용을 하였습니다. 객실 상태도 깨끗하고 전반적으로 만족합니다</div>|<div class="num">10.0</div>
고려호텔|<div class="txt">첫 방문이었는데 너무 좋고 깔끔하고 좋았습니다<br/>또 방문하려구요</div>|<div class="num">10.0</div>
고려호텔|<div class="txt">평범하고 직원분 잘보이지 않고</div>|<div class="num">10.0</div>
고려호텔|<div class="txt">그냥 적당하니 레진던스라 업무차 방문할때 편한거 같아요</div>|<div class="num">10.0</div>
고려호텔|<div class="txt">여기 깔끔하고 괜찮아요!!</div>|<div class="num">10.0</div>
고려호텔|<div class="txt">4일째인데 오늘 도식은 괜찮아요</div>|<div class="num">10.0</div>
고려호텔|<div class="txt">룸,직원은 최상인데 조식이 좀....</div>|<div class="num">10.0</div>
고려호텔|<div class="txt">부천 방문할때마다 숙소걱정 안해도 될정도로 좋았어요.<br/>조식도 맛있게 많이 먹었어요. 아침에 먹기 좋게 음식 종류도 다양했어요. 시부모님께도 호텔 권해드려서 같이 이용했는데 좋아하셨어요.<br/>다음에도 부천올때 이용할거에요^^</div>|<div class="num">10.0</div>
