name|reviews|star
라까사호텔 광명|<div class="txt">마운틴뷰 욕조에 예쁜 가구들로 잘 꾸며진 넓은 객실을<br/>비교적 저렴한 가격에 머무를 수 있어서 좋았어요<br/>체크인하고 방 들어갔을때 너무너무 쾌적하고 <br/>향기도 좋아요..! 체크아웃 시간이 12시로 늦은것도 좋아요<br/>호텔8층 피트니스센터는 너무 아담해서 <br/>운동을 하려는 목적으로는 비추에요 ㅎㅎ<br/>지하볼링장은 게임 1+1 이벤트중이라 <br/>야간에도 잘 놀았습니다<br/>주변에 먹을 것도 많고 쇼핑몰도 가까워서<br/>집가까운 곳에서 이틀 잘 쉬다 갑니당 !!</div>|<div class="num">9.6</div>
라까사호텔 광명|<div class="txt">광명역에서 걸어가도 금방가고 <br/>주변에 음식점, 편의점 등등 먹을곳이 많았습니다.<br/>체크인 시간이 늦어서 새벽에 했지만<br/>늦은시간에도 불구하고 친절하게 <br/>잘 도와주셨습니다.<br/>사진은 라까사 호텔 걸어가면서 찍은 사진이며<br/>광명역에서 내려서 도보로 7분정도 걸으면 도착합니다.</div>|<div class="num">10.0</div>
라까사호텔 광명|<div class="txt">좋아요~~~~바로앞이라서너무좋고~~주변에 먹을데랑 식당편의점등 너무너무 많아서 편리하게 이용했어요~~ 다음에도 또이용할게요 시원하고 침구도 깔끔해서 좋았어요 친절하시기도하셨어요~~~~!!!</div>|<div class="num">10.0</div>
라까사호텔 광명|<div class="txt">완전 만족해요~~~ 객실도 깨끗하고 스피커도 좋아서 분위기도 좋았고요~ 객실 키도 두개 주시고 너무 맘에 들어서 다음에 또 방문할려구요~~ 침대도 좋고 모든걸 다 만족해요 주변에 먹을것도 많고 객실 야경도 👍 👍 👍 👍 👍 👍  조식도 짱 맛있어요</div>|<div class="num">10.0</div>
라까사호텔 광명|<div class="txt">시설, 인테리어, 직원분들 친절함 모두 만족스러운 호텔입니다. 가격이 서울보다 비싼게 조금 그렇지만? ㅎ<br/>암튼 주변에 할머니맥주, 양고기 집, 와인한잔 등 먹을 곳도 많고, 백화점이나 코스트코도 가까워서 볼거리도 많습니다<br/>객실도 깔끔하고 좋아서 푹 자고, 출장도 잘 마치고 왔습니다. 이번엔 조식도 먹었는데 꽤 맛있고, 퀄리티도 괜찮았습니다. 다음에도 조식까지 먹어야겠네요</div>|<div class="num">10.0</div>
라까사호텔 광명|<div class="txt">너무 잘쉬었다 갑니다</div>|<div class="num">10.0</div>
라까사호텔 광명|<div class="txt">이케아 건너편이고<br/>깔끔하고 무난합니다</div>|<div class="num">10.0</div>
라까사호텔 광명|<div class="txt">슈페리어 그린 더블룸에서 몇차례 숙박했을때는 만족스러웠는데 디럭스 월넷 더블룸은 청소 상태에 정말 실망했어요..<br/>방바닥에 각질(?)같은게 떨어져있어서 일행이 보면 찜찜해 할까봐 몰래 살짝 치웠어요.. 화장실 변기 앞쪽 바닥에 남자 소변자국이 있었고 그위에 (ㄲㅊㅌ) 이 늘어붙어 있더라구요.. 샤워부스 벽면 타일에 검은색 물때가 그대로 있구요..샴푸통에 삼푸는 딱1번 머리감을 양먀 담겨있었고  바디워시는 단 한방을도 없이 비어있더라구요,샤워를 대충 마치고 사진찍어서 프론트에 가져갔는데..남자직원분이 "청소하시는분한테 전달해 놓을께요"<br/>라고 하는정도의 조치뿐이네요.. 대단한걸 바란건 아니었지만,ㅠ<br/>2박일정이었는데 다음달 외출후 돌아와서 보니 변기앞은 닦아놓으셨는데 샤워부스 벽면 타일은 그대로더라구요..<br/>실망실망했어요..<br/>저는 그래도 이번주에 또 2박일정으로 예약하려고 합니다.<br/>지켜보겠으~~</div>|<div class="num">5.0</div>
라까사호텔 광명|<div class="txt">호텔시설이 깔끔하고 직원분들이 친절해서 좋았습니다. 청소상태도 좋았고 침구류도 깨끗해서 편하게 이용할 수 있었습니다. 맞은 편의 뷰도 나름 괜찮아서 커텐을 치고 있어도 좋았습니다. 광명역 주변에 호텔이 많지가 않아서 선택지가 별로 없지만 주변에 편의시설, 맛집이 많아서 접근성도 좋았습니다. 편의점은 건물 맞은 편에 위치해있어서 조금 불편했지만 가까워서 괜찮았어요.</div>|<div class="num">10.0</div>
라까사호텔 광명|<div class="txt">예약후 호텔에 전화해서 숲뷰로 해달라고 요청하면 산조망을 볼수있는 객실을 줍니다..<br/>여름철에는 통유리로 되어있어서 햇빛이 많이 들어와 에어컨으로는 충분하지 않을 수 있다는 호텔직원의 말을듣고 선풍기를 준비해달라고 요청했는데 체크인 해보니 객실에 선풍기가 똭!!<br/>방도 넓고 뷰가 너무좋아요~~뷰하나만으로도 충분한 객실입니다<br/>주변에 이케아 코스트코 롯데몰 ak프라자 광명역이 있어요<br/>주변에 먹을것은 풍성합니다^^ 단점은 주차장에 공간이 많지 안아서 기계식으로 해야할 수도 있다는거에요~~</div>|<div class="num">10.0</div>
