name|reviews|star
코트야드 메리어트 수원|<div class="txt">100일 아가랑 호캉스 다녀왔어요! 룸컨디션이나 조식은 뭐 말할것도 없이 좋았습니다! 배달 픽업대는 건물 밖에 있어요~! 지하1층으로 옆 갤러리아 백화점 가서 구경하고 점심먹고 커피도 먹었네요! 더운 여름날 아기랑 콧바람 쐬고싶을때 가면 최고에요~ 더운 공기 없이 쇼핑몰까지 가고 필요한 것도 사고 ㅎㅎㅎㅎ<br/>아기용품 따로 대여하지 않고 트윈 베드 방으로 요청드렸어요. 아기가 아직 뒤집기를 못해서 엄마랑 한침대쓰고 아빠가 한침대쓰고 편히 쉬려구요! 더블사이즈 침대라 아기랑 둘이 자는데 불편하지 않았어요. 다만 침대가 벽에 붙어있지 않아서 움직임이 많은 아기는 아기침대나 침대가드 빌리셔야 될것 같아요. 처음 배정해주신 방은 욕조가 없었는데 욕조 있는 방으로 요청드렸더니 친절히 바꿔주셨어요^^ 덕분에 목튜브하고 난생 처음 수영도 시켰습니다 아기도 부모도 행복했어옹ㅋㅋㅋ바닥이 카펫이 아니라 오히려 먼지가 없어서 좋았어요! 조식은 건물2층에서 먹을수있는데 8시쯤 되니 사람이 많아서 웨이팅 하시더라구요. 조금 일찍 가심이 좋을듯하고 커피 테이크아웃 가능하니 조식 드시고 한잔 들고 나와서 체크아웃 하면 딱이에요^^</div>|<div class="num">10.0</div>
코트야드 메리어트 수원|<div class="txt">백화점이랑 호수공원 가까워서 위치좋고 연식이 오래되지않아서 아주 깔끔합니다 대로가 보이는 뷰가 너무 좋네요<br/>침구 너무 푹신해요ㅎㅎ <br/>백화점이랑 호수공원 가까워서 위치좋고 연식이 오래되지않아서 아주 깔끔합니다 대로가 보이는 뷰가 너무 좋네요<br/>침구 너무 푹신해요ㅎㅎ <br/>백화점이랑 호수공원 가까워서 위치좋고 연식이 오래되지않아서 아주 깔끔합니다 대로가 보이는 뷰가 너무 좋네요<br/>침구 너무 푹신해요ㅎㅎ <br/>백화점이랑 호수공원 가까워서 위치좋고 연식이 오래되지않아서 아주 깔끔합니다 대로가 보이는 뷰가 너무 좋네요<br/>침구 너무 푹신해요ㅎㅎ</div>|<div class="num">10.0</div>
코트야드 메리어트 수원|<div class="txt">침대와 배게 모두 푹신푹신해서 오랫만에 잠을 푹 잤습니다. 숙소도 상당히 청결했고, 깔끔하게 있을것들은 다 있었어요. 조식은 평일에 가서 그런지 종류가 많지는 않고 맛은 보통 정도 였어요. 라운지는 뷰도 좋고 음식 종류는 더 적었지만, 맛은 상당히 좋았고, 술과 음료 각종 디저트까지 여러 종류를 맛볼수 있어서 좋았습니다. 갤러리아 백화점과 지하 1층으로 연결되어 있어서 숙박중 백화점 투어도 가능하며, 전반적으로 비지니스 호텔다운 면모를 보여줬다고 생각합니다. 재방문 의사 있습니다. 감사합니다.</div>|<div class="num">8.3</div>
코트야드 메리어트 수원|<div class="txt">수원 광교쪽 쇼핑겸 들렸다가 방문하였습니다.<br/>장마기간이라 호수공원 산책 못한게 아쉽네요<br/>근처에는 갤러리아나 롯데아울랫 아이파크몰등<br/>실내에서 놀곳이 많이 있어<br/>여름에 위치적으로 좋은거같습니다.<br/>추가적으로 숙소는 깔끔<br/>조식도 만족했습니다.<br/>음료도 빨리채워주시고 음식도 맛 좋았습니다.<br/>확실히 4성급 되니 좋더군요<br/>헬스장은 24시간이라고했는데<br/>피곤해서 못들렸네요 다음에 가보려합니다</div>|<div class="num">10.0</div>
코트야드 메리어트 수원|<div class="txt">직원분들 모두 너무 친절하고 좋았어요! 그리고 시설도 깨끗하고 넓고 깔끔해요. 조식은 자느라 이용 못해봤지만 라운지바도 술 무제한으로 먹고 좋았어요! 다음에 재방문할 의사 있습니다~~</div>|<div class="num">10.0</div>
코트야드 메리어트 수원|<div class="txt">다 좋아요.<br/>위치 숙소 상태....<br/>근데 층간 소음을 호텔에서 처음 느꼈어요....<br/>진짜 밤 12시 이후로도 쿵쿵쿵...<br/>진짜 짜증나서 별의별 생각 다했다가...<br/>3월 25일 1509호 숙박한 ㅂㅅ아 발에 망치 박았냐?</div>|<div class="num">10.0</div>
코트야드 메리어트 수원|<div class="txt">편하게 이용하고 갑니다  , 조식및해<br/>피아워 음식 맛나네요.</div>|<div class="num">10.0</div>
코트야드 메리어트 수원|<div class="txt">해피아워랑 조식 다 만족스러웠고 객실도 깔끔했어요~<br/>주차장도 괜찮았습니다~</div>|<div class="num">9.3</div>
코트야드 메리어트 수원|<div class="txt">방도 깨끗하고 뷰도 좋았습니다.<br/>메리어트란 이름에 비해 좋은 느낌은 아니었습니다.<br/>단 광교 근처에 대안도 없습니다.</div>|<div class="num">10.0</div>
코트야드 메리어트 수원|<div class="txt">뷰를 기대했는데 예상외로 ..그냥 그랬고 통창인것은 좋았어요<br/>년식이 오래되지않아 물찌린내 및 숙박업소특유의 냄새가 없는것이 제일 좋았어요.쾌적한 느낌? 호수공원과 가까운점이 좋았고 디너뷔페이용했는데 작지만 알찬것같아 가성비 아깝지는 않았습니다. 생수 추가했는데<br/>로봇이 배달온것도 신기했고 외국인 손님들이 많네요. 발망치소리 좀 나긴했는데 신경쓰일 정도는 아니었어요. 네임벨류만 있고 서울 년식오래된 호텔보다는 나은것같아 재방문 의사 있어요.</div>|<div class="num">8.0</div>
