name|reviews|star
호텔 인트라다 이천|<div class="txt">깨끗하고 시설도 좋고 주위에 먹을곳도 많아서 좋네요 출장시 이용하기에 적헙한 숙소인듯 합니다</div>|<div class="num">10.0</div>
호텔 인트라다 이천|<div class="txt">깔끔하고 조아요 재방문 100프로 깔끔하고 조아요 재방문 100프로 깔끔하고 조아요 재방문 100프로 깔끔하고 조아요 재방문 100프로 깔끔하고 조아요 재방문 100프로 깔끔하고 조아요 재방문 100프로</div>|<div class="num">10.0</div>
호텔 인트라다 이천|<div class="txt">시설도 위치도 다 괜찮았는데 조식이 너무 별루였어요. <br/>다시 숙박하더라도 조식은 절대 이용하지 않을거 같아요.</div>|<div class="num">8.0</div>
호텔 인트라다 이천|<div class="txt">깨끗하고 룸컨디션도 좋았어요!<br/>화장실이 조금 좁고 변기수압이 조금 약하더라구요ㅎㅎ<br/>그거빼곤 조식도 맛있고 친절하게 맞이해주셔서 다 좋았습니다 :)<br/>이천 오게되면 다시 또 이용할게요!</div>|<div class="num">10.0</div>
호텔 인트라다 이천|<div class="txt">아이랑 갔는데 생각보다 너무너무청결하고 좋았숩니다.<br/>테르메덴갔다가 근처에 하이닉스라 맛집도 많아서 너뮤 좋았어용</div>|<div class="num">10.0</div>
호텔 인트라다 이천|<div class="txt">이천 여행 가서 가성비 좋게 묵을 수 있는 숙소에요!<br/>설봉공원, 예스파크 등 이천 주요 관광명소들과 차로 멀지 않은 거리라 왔다갔다 하기 편리하더라고요!<br/><br/>Sk하이닉스 바로 앞이라 상권도 잘 형성 되어 있어서,<br/>호텔 1층 편의점 뿐만이 아니라 근처에 음식점이 많아서 먹을것도 많더라고요~<br/><br/>체크인도 친절히 잘해주셨는데,<br/>주차 시스템이 조금 특이하더라고요!<br/>외출하고 돌아올때마다 주차등록을 다시 해야하는 시스템인데 무료주차는 하루에 두번만 가능하다고 해요!<br/>객실내 전화기 1번으로 프론트에 연결해서 주차등록을 다시 해야하니 외출하고 나서 잊지말기!<br/><br/>객실 내부도 침대도 깔끔하고 에어컨도 잘 나와서 시원하게 잘 잘수있었어요~<br/><br/>객실안에 스타일러가 있는것도 대박이였구요!<br/>요즘처럼 더운 날씨에 옷에서 냄새나기 쉬운데 스타일러가 있으니 옷 관리하기 참 좋았어요!<br/><br/>콘센트도 여기저기 많아서 배터리 충전도 정말 편리했구요! ㅎㅎ<br/><br/>안에 테이블도 있어서 음식 포장해서 먹기에도 좋을것 같아요!<br/><br/>이정도 깔끔함과 편리함에 이정도 가격이면 너무 좋은것 같아요!</div>|<div class="num">10.0</div>
호텔 인트라다 이천|<div class="txt">침구류가 편하고 직원도 친절합니다</div>|<div class="num">10.0</div>
호텔 인트라다 이천|<div class="txt">옆방 소음이나 층간소음도 없었으며 방음이 잘되는거 같았습니다. 아쉬운점은 없었습니다.</div>|<div class="num">10.0</div>
호텔 인트라다 이천|<div class="txt">이천 테르메덴을 방문하게 되면서 이용했던 숙소였습니다 방안에 스타일러가 있어서 수영복을 한번씩 돌릴수 있어서 좋았던 것 같아요 테르메덴이랑 차량으로 거리가 멀지않아서 좋았던 것 같아요 주변에 하이닉스가 있어서 걸어서 식사를 하고 술 한잔 할 수있는 곳들이 있어서 괜찮았어요 아쉬운 점은 베란다가 있는데 베란다는 청소를 안하시는지 거미랑 거미줄이 너무 많았어요 이것을 제외하면 좋은 숙소였습니다</div>|<div class="num">10.0</div>
호텔 인트라다 이천|<div class="txt">이천오면 항상 생각나는 숙소에요. 스타일러도 있어서 요즘처럼 꿉꿉한 날이 사용하기도 좋고 방도 깔끔해서 쉬기에 좋아요. 근처에 맛있는 곳도 많고 메인거리라 숙박하기 괜찮더라구요. 저는 맛집 때문에 방문할때마다 여기서 묵고있는데 평일/주말 요금이 비슷해서 주말에 가기에 좋은 것 같네요 ㅎㅎㅎㅎ 깔끔하고 무난해서 쉬기에 딱 좋습니다아 주차도 괜찬고 엘베도 나쁘지않아염!</div>|<div class="num">10.0</div>
