name|reviews|star
문경 STX 호텔&리조트|<div class="txt">4년만에 다시 방문했어요.<br/>애들 수영 시켜주기 좋았근요.<br/>객실은 청결합니다.<br/>다만 리모델링은 필요한 것 같아요<br/>공기도 좋고 산속 깊은 곳에 있어서 너무 조용하고 좋아요.<br/>직원들도 친절합니다.<br/>시설 개선을 하면 숙박 만족도가 더 좋아질 것 같아요<br/>조금 일찍 도착했는데 체크인 해주어서 좋았어요<br/>객실 방충망은 교체가 필요합니다.<br/>산책코스를 정비하면 좋을 것 같아요.</div>|<div class="num">9.3</div>
문경 STX 호텔&리조트|<div class="txt">올해 비가 많이 내릴것으로 예상된 여름휴가시즌이라 미리 가성비로 타사이트에서 1박 재검색중 어기어때 조식 패키지가 있어 1박,총2박3일 했습니다.아이들과 가는거라 리조트내 시설은 노후되었지만 아주 만족하며 지냈습니다 리조트내 직원도 친절하였으며 비가 강한소나기가 한번만 내렸을뿐 날씨도 너무 좋아서 잘쉬고 재미있게 지내다 왔내요,특히 산내음바베큐,스파에어바운스 추천합니다 !!!</div>|<div class="num">9.0</div>
문경 STX 호텔&리조트|<div class="txt">성수기에  가성비 좋게 잘다녀왔어요~^^ 바깥 에어바운스 수영장,미끄럼도 재밌게 놀기좋았네요~ 1층에 치킨포장해서 숙소에서 먹기좋구요 편의점에 먹을거리도 가득해서 편의점쇼핑도 했어요<br/>숙소는 조금 노후된 부분은 있지만 ~ 하루 놀기엔 적당한듯요<br/>침구는 푹신하고 좋았구요<br/>실내스파도 많이 붐비지않고  노천탕에서 보는 산뷰가 끝내주네요<br/>놀다가 소나기까지 왔지만. 더 운치있고 좋았어요~^^</div>|<div class="num">8.0</div>
문경 STX 호텔&리조트|<div class="txt">문경에 출장갈때마다 항상 고려만 했던 리조트입니다. 물론 예전에 숙박했던 기억이 남아있어서 다시 예약했는데 역시나 그 당시 선택이 틀리지않았음을 알게 되었습니다. 룸 상태도 깔끔하고 비품등이 잘 구비되어 있어서 따로 불편함을 느끼지 못했습니다. 특히 가끔 수압 등으로 인해 샤워시 짜증나는 불쾌감을 느끼는 경우가 많은데 여기는 그러한 불편함은 전혀 없었습니다. 그리고 요즘 숙박 업소 필수템들도 갖추고있어서  상당한 노력이 엿보였습니다. 아무튼 근처 숙박하실려는 분들에게 강추드리며, 절대 후회하지 않을 선택이 될거라고 감히 말씀드립니다</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">가족들과 즐겨찾는 리조트 입니다. 여름엔 에어바운스 수영장까지.. 비가왔지만 그래도 싄나게 놀다 저녁엔 바베큐에 맥주까지 한잔하니 천국이 따로 없네요. 사실 시설은 많이 노후되고 청결상태만 약간 개선된다면 더 자주 올 거 같아요. 아침잠이 많은편이라 조식은 패스하고 점심을  따로 밖에서 먹을 필요 없을만큼 맛도 좋았어요. 가족들과 즐거운 추억 남길 수 있어서 정말 좋았습니다.</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">시설은 좀 오래되었지만 시설내에서 고기도 먹을 수 있고 휴식하기엔 좋았어요</div>|<div class="num">9.3</div>
문경 STX 호텔&리조트|<div class="txt">화장실 물곰팡이가득 아에 청소를 안하는 것 같음. <br/>냄새도 많이 남.<br/>침대도 너무 불편해서 허리아파서 잠 거의 못 잠.<br/>화장실이 어떻게 이렇게 더러운지 찝찝했음.<br/>세면도구 없음. <br/>배게가 너무 낮고 1개만 줘서 거의 수건깔고 자는 정도 였음.<br/>이불이 너무 무거워서 숨막힘.<br/>들어가자마자 에어컨 안 틀어놔서 엄청 덥고, 냉장고도 다 꺼놔서 음식을 바로 넣어 놓을 수가 없음.<br/>배란다 엄청 더러워 빨래 깔아 놓을 수 없음.</div>|<div class="num">7.0</div>
문경 STX 호텔&리조트|<div class="txt">그냥 성수기엔 사람 많으니깐..<br/>많이 이해를 바랍니다~~<br/>비수기에 다시 가볼까합니다!!!!!!!!!</div>|<div class="num">6.0</div>
문경 STX 호텔&리조트|<div class="txt">리조트가노후화는 되었지만 조용하고 공기좋고 큰불편함은없었어요</div>|<div class="num">8.0</div>
문경 STX 호텔&리조트|<div class="txt">가족단위 고객들이 가기 좋네요~ 아이들이 놀수 있는 에어 바운스 물놀이장도 있고~ 산속에 있어 공기가 끝내줍니다^^</div>|<div class="num">8.6</div>
문경 STX 호텔&리조트|<div class="txt">가족들과 함께 하기 좋아요.</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">시설은 오래됐지만,관리 잘되고 청결한, 리조트입니다.<br/>주변경관도 우수하고 산책로도 좋았습니다. 5분거리에 계곡이 있어 좋았네요.</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">늦은 시간  리조트에 도착했는데 직원이 친절하게 안내해 주어습니다. 주말이라 방문 차량이 많아서 주차하기가 좀 불편했습니다.<br/>지하주차장에서 엘리베이터를 이용해 객실에 도착했습니다.<br/>객실 안은 쾌적한 편이고 깨끗하게 정비되어 있었습니다.<br/>거실 앞쪽 테라스 공간은 넓은 편이나 아침 풍경을 보기에 좋아습니다. 테라스 소파의자는 사용하지 않아  먼지가 쌓여 있었는데 사용할 수 없어 좀 아쉬웠습니다</div>|<div class="num">8.0</div>
문경 STX 호텔&리조트|<div class="txt">친구들이랑 다같이 놀러 가려고 여럿이서 묵을 수 있는 숙소를 찾아보다가 알게 되었어요. <br/>숙소 위치가 굉장히 구석이라 숙소 안 액티비티를 이용하거나 숙소 안에서 놀 수밖에 없었지만,<br/>편하게 잘 묵고 갑니다!!!<br/>숙소 근처 쌍용계곡 뷰가 너무너무너무 멋져요 !!!<br/>객실 내 샴푸린스가 아쉬웠고 수건도 너무 부족했지만..<br/>전체적으로 괜찮은 숙소였어요!!<br/>가족 단위로 참 많이 오더라구요.</div>|<div class="num">9.3</div>
문경 STX 호텔&리조트|<div class="txt">조용하고 시설은 나쁘지 않은데 화장실에 곰팡이가 너무 많아요 그것말고는 전체적으로 좋아요</div>|<div class="num">8.0</div>
문경 STX 호텔&리조트|<div class="txt">문경 여행은 처음 왔어요 stx 리조트는 예전 부터 눈여겨 보다가 이번에 예약을 해서 오게 되었네요~~문경 IC에서 진짜 꽤 들어 가더라구요 40분 정도요~리조트는 많이 낡았는데 불편할 정도는 아니었어요….산토리니 스파는 오후 6시쯤 들어갔더니 사람이 딱 두명 있었어요 규모가 크진 않았지만 스파, 온천욕 즐기기에는 충분히  좋았어요 전반적으로 휴앙림에 와있는 기분!</div>|<div class="num">6.0</div>
문경 STX 호텔&리조트|<div class="txt">stx리조트는 처음 방문했는데 정말 외딴(?) 곳에 리조트만 딱 있더라구요..! 방은 넓고 적당히 쾌적한 편이었어요~ 다만 기물들은 다소 오래된 느낌이 나서 그냥 가성비 생각하며 머물 정도인 것 같아요. 리조트가 전반적으로 더럽거나 하지는 않지만 그렇다고 막 깔끔하지도 않은 그런 느낌.. 그래도 방에 있으면 새소리가 asmr처럼 들려서 힐링이 됩니다 ㅎㅎ 스파도 이용했는데 사람이 없어서 좋았어요</div>|<div class="num">7.3</div>
문경 STX 호텔&리조트|<div class="txt">너무 외진곳에 있어서 배달되는 곳이 하나도 없지만<br/>한적하게 지내기에는 더없이 좋아요<br/>쌍용계곡 가실분들은 강추입니다</div>|<div class="num">8.0</div>
문경 STX 호텔&리조트|<div class="txt">정말 오랜만에 추억에 젖어 방문했어요<br/>예전에 연애 할때 한 10번 정도 꾸준히 방문했던 고객이었습니다<br/><br/>첫 체크인부터 불친절했어요<br/>남자분 여자분 인사도 당연히 안하고 여자분은 멀뚱히 자기 폰만 만지고 있네요<br/><br/>룸에 들어서자마자 절때 앉을수 없었던 쇼파가 눈에 들어왔구요 찢어진 방충망 베란다 바닥<br/>안방 창가에 죽어있던 날벌레들 ㅠㅠ<br/><br/>안내데스크 연락할려고 전화기들어보니<br/>전화기가 고장이네요 ㅜ<br/><br/>침대 이불 적시니 남 머리카락들 ㅠㅠ<br/>이불은 안 덮고 잤네요<br/><br/>일하시는 사람들이 다 외국인이던데<br/>급하게<br/>엘베 써서 내려가는데 청소 카트를 가지고 타니<br/>제 캐리어 가지고 같이 못타네요 ㅡㅡ<br/>서로 뻘쭘 <br/><br/>아무튼 잠만<br/>자고 부대시설은 아에<br/>이용안했어요<br/><br/>뭔가 리모델 보다는 직원들<br/>관리부터 해야할것 같아요<br/><br/>앞으로 가게<br/>될지는<br/>모르겠어요</div>|<div class="num">2.0</div>
문경 STX 호텔&리조트|<div class="txt">아주 넓고 좋았습니다. 옆방 소리가 들리는것이 ㅋㅋ 조금 민망함<br/>새벽에 추웠는데 온도제어가 안되어서 바닥도 차고 고생함</div>|<div class="num">8.0</div>
문경 STX 호텔&리조트|<div class="txt">1. 위치<br/> 산속이라고는 했지만 막상 가보면 정말 외진 곳에 위치해 있습니다. 돌고 돌아서 올라가고 주차장 입구도 제일 안쪽까지 돌아가야 합니다. <br/><br/>2. 시설<br/> 전반적으로 아쉬웠습니다. 호텔의 형태를 갖추고는 있으나 너무 낡고 오래된 호텔이에요. 티비도 작고 오래됐고 요즘 신식 모텔보다도 한참 부족해보였습니다. <br/>규모는 큰 편이에요. 디럭스 기준으로 방하나 거실하나 화장실 하나 있으니 꽤 크긴 한데 직접 보면 이것 저것 낡은 것이 느껴집니다.<br/><br/>3. 청결<br/> 사진 첨부했듯이 커튼이나 이불보가 관리가 제대로 안되어 있습니다. 청소를 하는지 의문이었습니다. 특히 베란다는 너무 더러워서 없느니만 못했어요. 관리를 안하는 듯.<br/><br/>4. 직원의 친절도<br/> 이부분도 아쉬웠습니다. 어느 직원은 요구사항을 다 들어줄 정도로 굉장히 친절한 반면, 그렇지 못한 분도 있었어요. 체크인이 늦은 시간이었긴 하지만 첨부한 사진처럼 방이 더러우면 교체를 해줘야 합당한것이 아닐까요? 돌아오는 대답은 "교체할 직원이 없다. 어쩌라고?" 하는 대답이어서 굉장히 횡당했습니다. <br/>그분도 나름 사정이 있었겠지만 진상을 부린 것도 아니고 시트가 더러우니 교체를 해달라는 요구뿐이었는데 화가 났습니다. 결과적으로는 사람없다고 아예 방키를 하나 더줘서 잠만 거기서 자라고 하긴했는데 좀 황당했어요 아무튼. <br/>기존 체크인 한 방과 한참 떨어진 방키를 줘서 그것도 불편했습니다. <br/><br/>5. 부대시설(온천)<br/> 그냥 낡은 목욕탕입니다... 물이 좋은지는 모르겠으나 워터파크 같은거 기대하지 마세요. <br/><br/>전반적으로 아쉬운 숙소였습니다. <br/>가격 생각하면 또 너무 많은걸 바라는 거였나 싶기도 하구요. <br/>싸니까요 뭐. <br/>아무튼 전반적으로 낡고 오래된 것에 그친다 정도라고 결론 지을 수 있겠습니다.</div>|<div class="num">3.3</div>
문경 STX 호텔&리조트|<div class="txt">룸상태 괜찮았구 편의점 오락실 노래방 있어서 잼있게 놀았어요<br/>온천이랑 스파 물이좋았구요 물놀이 아이가 너무 신나게 놀았는데 야외온천 있어서 저는 온천에 더 오래 있었던것 같아요 사우나도 있어서 왔다갔다 하니 더 좋았구요 비가와서 운치도 있고 야외온천하기 너무 좋았던거 같아요 레스토랑에서 문경약돌 삼겹이랑 목살먹었는데 리조트안에서 다 해결할수 있어서 편하게 쉬고 먹고 놀다왔네요 담에 또 가고싳어요</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">stx 리조트는 두번째방문입니다<br/>워크숍때문에 처음이용하고 1년만에 가족여행으로 선택<br/>물좋아하는 아이들과함께하니 더 합리적인가겨에 숙소였습니다. 기존에 평일이용에따른 휴게시설이용불편이 리조트앞 밀키트집이 해소해주는군요. 문경 주요관광지와는 20분정도 떨어진 산속이지만 충분한 휴식을 누리기에 충분한 공간입니다. 아늑한 수영장도 참좋았습니다. 베란다가 아주넓어서 애들은 물총놀이까지했어요.<br/>내년에 또이용할예정입니다</div>|<div class="num">7.0</div>
문경 STX 호텔&리조트|<div class="txt">애기들과 온천수영장 찾다가 방문했습니다 몇년전에 방문을 몇번했었는데 그때는 많이 못느꼈는데 많이 낡아버려서 시설보안이 필요해보이는점이 좀 있네요 객실내 쇼파는 다부서져서 가루가 풀풀 떨어지구 화장실은 곰팡이가..직원들 친절도는 크게친절한지 모르겠고.이번에 쿠폰으로 방문해서 그런지 많이들 힘들어보이시네요 객실할인으로 스파할인이 되어서 그나마 좀 저렴하게 다녀왔네요 담번엔 스파만 가도 될듯하네요</div>|<div class="num">5.0</div>
문경 STX 호텔&리조트|<div class="txt">숙소라 오래됐지만 깨끗하긴 합니다</div>|<div class="num">7.0</div>
문경 STX 호텔&리조트|<div class="txt">시설은 그닥저닥 깨끗지 못한것 같아요<br/>리조트 밖은 페인트칠해도 깔끔할것 같은데<br/>좀 안깔끔해서 그랬네요~~<br/>그리고 방은 그래도 쓰기좋았어요<br/>그런데 욕실 샤워실은 곰팡이에 너무 오래된<br/>흔적이 많아 좀 아쉬웠습니다.<br/>그런것만  좀 개선하고 고치믄 좋은 리조트가<br/>되지않을까요~~^.^<br/>그래도 공기도좋고 숙소에서 본 경치는 너무<br/>좋았어요~~ 잘 쉬고 잘 놀다온것 같아요^.^</div>|<div class="num">8.0</div>
문경 STX 호텔&리조트|<div class="txt">스파산토리니가 정말좋았어요</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">딸들과 문경새재 들렀다가 온천욕도 할겸 들렀습니다. 디럭스는 싱글침대 2개로 구성. 침구도 한채 더 있으니. 3인은 주무실수 있어요. 전자렌지랑 조리도구들이 잘 갖춰져 있고. 수세미도 새것입니다. 욕실엔 비누와 겸용샴푸+바디가 있습니다. 아예 비누와 수건 빼고 없다고 생각하심이. 뷰도 좋았구요. 스파는 그닥 넓지 않으니. 크게 기대는 마십시요. 온천수는 그닥 좋은줄~~모르겠나이다.</div>|<div class="num">7.0</div>
문경 STX 호텔&리조트|<div class="txt">리조트앞 밀키트 가게 만 있어요<br/><br/>리조트 안 치킨 피자 맛있습니다</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">문경에 처음 놀러왔는데  어딜 움직이려면 숙소에서 <br/>최소 30분은 차량을 이용 해야하는 불편함이 있고 <br/>스파는 숙소 규모에 비해선 너무 작아요<br/>수박 할인을 받더라도 비싼것 같아요<br/>방 뷰는 좋은것 같아요<br/>다음에 문경 온다면 시내로 갈것 같아요</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">침실상태도 양호하고 놀이시설 재밌었어요</div>|<div class="num">9.0</div>
문경 STX 호텔&리조트|<div class="txt">엄마와아이가너무좋아해요 온천에 5시간^^ 노천탕!!짱!! 산내음바베큐짱 펍에서 후라이드 테이카웃 지금까지이런치킨은없엇다 입니다!! 꼭드세요 너무좋은날씨에 2박잘쉬다갑니다</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">리셉션 직원분도 친절하시고 특히 맥주파는 곳 직원분이<br/>참 친절하셨어요. 5월6일 숙박했고 어린이날 이벤트로 4-5시 보물찾기랑 5시에 파인홀에서 마술쇼를 했습니다. 비가 와서 걱정했는데 즐거운 이벤트였던거 같아요. 하지만 안내가 좀 아쉬웠어요. 리셉션에서 체크인할때 말씀해주시면 좋을 것 같아요. 저희는 엘베에 붙은 안내지를 보고   이벤트가 있다는걸 알았는데 시간을 놓쳐서 마술쇼만 봤어요. 여든이 넘으신 할머니와 3살 아기 모두 즐겁게 봤습니다. 숙박도 관리가 잘되어있어서 편안하게 이용했는데 청소는 조금 더 신경써주었으면 했어요. 군데 군데 먼지가 많았어요. 그외는 재밌게 놀다가 갑니다.</div>|<div class="num">6.3</div>
문경 STX 호텔&리조트|<div class="txt">3시가 되면 줄서서 체크인 해야해요.<br/>사람들이 로비에서 대기하고 있었어요.<br/>오래된 느낌이지만 깔끔하고 깨끗해요.<br/>숲 뷰가 정말 좋았어요.</div>|<div class="num">8.0</div>
문경 STX 호텔&리조트|<div class="txt">한적한곳에 위치해 있어서 힐링하며 쉬기 좋았어요.다음에는 1박이상 머물고 싶네요</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">가족들과 함께 갔는데<br/>집처럼 넓고 편안하게 쉬고 왔습니다<br/>문경시내에서 멀리 있는 게 단점이지만<br/>가는길이 너무 이쁘네요</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">BBQ, 조식 등은 좀 부실하디만 잘 쉬다 갑니다</div>|<div class="num">8.0</div>
문경 STX 호텔&리조트|<div class="txt">오래된건 알지만 시설도 낡았고<br/>청소상태가 엉망이라 직원호출 했는데<br/>응대또한 최악이었네요.<br/>시설이용 설명서도 없고<br/>공기말고는 볼것이 없는<br/>다시가기 싫은곳 입니다.</div>|<div class="num">2.0</div>
문경 STX 호텔&리조트|<div class="txt">날씨 좋은날 왔는데 정말 좋네요 ~! 한적하고 공기도 좋고 직원분들도 모두 친절했습니다! 객실 내부도 깔끔하고, 어메니티는 따로 구비되어있지 않으니, 챙기시는걸 추천드립니다! 문경시청이랑은 조금 떨어져있지만, 그만큼 자연도 경치도 공기도 훨씬 좋아요~ 또 오고 싶네요 :) 월요일은 편의시설 및 부대시설이 많이 닫는 것 같아 참고하셔서 예약하시는거 추천드립니다!</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">숙소청소 상태는 매우 양호입니다 <br/>부대시설 BBQ도 만족합니다 날씨가 좋은날에 야외에서 먹으면 정말 좋을꺼 같아요 제가 간날에는 비가와서 무척이나 아쉬웠어요 오락실에서 잼나게 아이와 놀았지만 규모가 작아 좀 아쉬웠어요 스파 물놀이는 안해봤지만 후기가 좋아서 다음에 이용예정입니다 주변 산책길도 잘해놔서 아침에 산책하기 정말 좋아요 다시 방문하고 싶네요 재방문의사 100%입니다</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">객실컨디션 굳 직원분들도 친절하시고 잘쉬다왔어요.<br/>나중에 또 힐링여행하러 갈께요</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">경주 여행 가려고 중간지점 쯤에<br/>문경이 있어서 예약하게 된 숙소입니다. 일단 전반적인 숙소 컨디션은 나쁘지 않았고 잘 묵긴 했는데 침대 침구에 머리카락이 있어서 한쪽은 사용하지 못했습니다. 그리고 프론트 직원도 친절하진 않아서... 접근성 면에서도 너무 산속이라 다시 이용할지는 모르겠네요. 7시쯤 이른 시간에 산속 공기는 너무 좋더라구요. 전반적으로 아쉬운 숙박이었습니다</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">숙소에 올라가는 곳까지 경치가 매우 좋았어요.<br/>스파도 좋고, 모든 면에서 아이들이 놀곳도 많아서 좋았어요</div>|<div class="num">8.0</div>
문경 STX 호텔&리조트|<div class="txt">생각보다 너무 좋았어요 <br/>아이와 같이 온천스파 즐거웠습니다</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">호젓하게 잘 쉬다가 왔습니다 :)<br/>정적인 리조트 휴가를 계획하신다면 강추합니다.<br/><br/>bbq저녁도 친절하시고, 배려 느껴집니다!<br/><br/>또 방문하고싶습니다</div>|<div class="num">8.6</div>
문경 STX 호텔&리조트|<div class="txt">가족끼리 이용했는데 노후되긴 했지만 이용할만 했어요~<br/>산뷰가 좋았어요!</div>|<div class="num">8.0</div>
문경 STX 호텔&리조트|<div class="txt">잘쉬다 갑니다     .</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">시설은 오래되었지만 청소상태가 좋았어요<br/>아이들과 즐길 시설이 많아서 좋았고<br/>특히 노천스파가 좋았어요</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">시설이나 청결도는 괜찮아요 가족끼리 가서 놀기 좋은거 같아요 다만 근체에 아무것도 없어서 리조트내 음식점말곤 선택의 여지가없다는게 아쉽네요</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">문경 stx리조트는 시내보다는 속리산국립공원과 가까운 산지이고, 발코니 창문을 열어두면 그야말로 숲캉스 기분 제대로 낼 수 있는 숙소에요. 객실 크기가 넓은 편이고 가격이 합리적이라 생각하기 때문에 가성비 좋은 숙소로 제격. 요즘 들어서 티비에 문경 여행지, 관광지 소개가 많이 나오는데 착한 가격에 하루 이용하기에 편한 리조트로 추천. 4층 프런트 앞에 주차하면 체크인/체크아웃 할때 편함.</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">4인가족이서 8층 스위트룸 2박 했어요  <br/>날씨가 좋을 때 방문했더니 탁 트인 뷰에 기분 좋더라구요 시설이나 위생 관련 안좋은 후기를 너무 많이 봐서 정말 각오?!하고 갔는데 생각보다 괜찮았어요 침구도 얼룩이나 머리카락 없었고 쇼파도 가죽이라 찜찜하지 않았어요. 다만 식탁 의자가 페브릭 커버라 음식물 묻고 하는게 관리가 어렵지 않나 싶어요.. 그래도 큰 오염 보이는건 없어서 그냥 잘 썼어요. 화장실도 깔끔. 가족들이 실망할까봐 엄청 낡았을거라고 얘기하고 갔는데 다들 '괜찮은데 왜?' 반응이었어요 ㅋㅋㅋㅋ<br/>스파,식당,카페는 이용 안했고 오락실이랑 당구장에서 신나게 놀았어요. 문경 시내랑은 거리가 멀어 관광지 다닐때 한번에 싹 다 돌고 식사도 하고 돌아와야 해요. 근처 식당 찾다가 상주 읍내? 같은 곳에서 한번 식사했어요. 냄비 하나밖에 없었지만 밥도 해먹고 나름 잘 쉬다 가요!!</div>|<div class="num">8.0</div>
문경 STX 호텔&리조트|<div class="txt">숙소는 잘 관리되어 있어서 편하게 쉬었어요.<br/>와인오프너나 와인잔이 있었음 좋았을텐데..<br/>고거 하나 아쉽..<br/>아 주차장은 좀 으스스했어요<br/>온천은 시설이 동작 안되는게 많긴 했지만..<br/>가격 대비 잘 하고 온거 같아요.<br/>재방문 의사.있습니다</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">날씨 좋은날가서 매우 즐겁게 잘 놀다왔습니다~~! 가족들 모시고 갔는데 부모님은 물론이고 같이갔던 다른 분들도 좋아하셔서 아주 만족스럽습니다! 스파를 이용했는데 이용하길 잘한 것 같고 가니까 아가들 + 젊은 부부들이 90퍼센트 이상이였으나 저희는 저희끼리 나름 재밋게 잘 놀았습니다^^ 시설은 약간 노후화가 있었지만 프론트분들 직원들 너무 친절해서 좋았습니다</div>|<div class="num">10.0</div>
문경 STX 호텔&리조트|<div class="txt">잘 쉬다 왔네요. 주말이라 그런지 tv 때문인지 온천에 사람이 너무 많아 좀 아쉬웠음.  경치나 공기도 좋고 나름 좋았어요</div>|<div class="num">10.0</div>
