name|reviews|star
삼성호텔 거제|<div class="txt">여름휴가로 중딩고딩 애들과 같이 왔어요. 전반적으로 청결하고 침구가 좋았어요~ 저희는 사우나 이용이 좋았고<br/>주변에 편의점이 없어 들어오기전 따로 마트 들렸어요.<br/>하버뷰라고 했지만 창밖 풍경도 넘 좋았어요~<br/>조용하고 깔끔해서 다음에도 이용하고 싶네요~</div>|<div class="num">10.0</div>
삼성호텔 거제|<div class="txt">역시 5성급은 틀리긴합니다..!<br/>정말정말 급조한 가족여행이었고<br/>어머니와 친동생 저 이렇게 여자3인방이서<br/>즐겁게 즐기다왔습니다!<br/>실내수영장은 말그대로 일반적 수영장이었고 <br/>화장하고 못들어가게하며, 수경,수모 완전필수..<br/>수질관리 열심히하십니다~<br/>사우나도 나름 탕 3개(냉탕1/온탕2)있고 사우나2개있어서 괜찮아요!<br/>그간 고생하신 어머니를 위해 저녁에 뷔페이용하고 오전에 조식뷔페이용까지했습니다 :)<br/>저녁뷔페,조식뷔페 둘다 음식 퀄리티 상당히 높고 맛있게 잘먹었는데 생맥주 무한리필 이벤트! + 스테이크 한접시 인원수대로 줘서 좋습니다♡<br/>객실안에 욕조가 있어, 물받아서 오전에 피로풀고 잘 쉬다갑니다~♡</div>|<div class="num">10.0</div>
삼성호텔 거제|<div class="txt">몇년만에 다시와도 여전히 좋네요 매번 본관만 이용하다가 신관 이용이 처음인데 더 좋네요 두단계 업그레이드까지 해주셔서 넘감사하고 마운틴뷰도 좋았어요.저녁에 방문하려던 음식점이 휴가 가는 바람에 대략 난감했던것 빼고는 참 좋았어요. 택시 잡기가 너무불편했어요. 데스크에서 주신 콜번호에 감사했는데 역시 긴 거리가  아니라서 콜이 없나보더라구요. 걸어서 1킬로쯤 가서 식사하고 다행히 택시가 있어서 호텔 까지는 잘 왔습니다. 아침 조식도 몇년전처럼 쾌적하고 먹을것도 많아서 잘 쉬다왔습니다. 다음엔 호텔에서 저녁 아침 다 먹는 일정으로 와서 더 편히 쉬고 갈게요 감사했습니다.</div>|<div class="num">10.0</div>
삼성호텔 거제|<div class="txt">아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.아주좋아요. 객실 환풍구 에어컨 소리가 아쉬워요.</div>|<div class="num">10.0</div>
삼성호텔 거제|<div class="txt">서울 호텔 그 이상 조식도 환상적이에요 ,,, 직원분들도 친절하셔서<br/>행복한 휴가였습니다 !!  거제 오신다면 꼭 삼성호텔로 오세요 강추 !!</div>|<div class="num">10.0</div>
삼성호텔 거제|<div class="txt">모든거대i만족입니다</div>|<div class="num">10.0</div>
삼성호텔 거제|<div class="txt">조식도 맛있고 편히쉬다 갑니다<br/>다음에 수영하러 작정하고 오면  더 좋겠어요~  ㅎ</div>|<div class="num">10.0</div>
삼성호텔 거제|<div class="txt">신관으로 이용하시는거 추천 (다만 가격은 올라감)<br/>본관은 옛날 느낌이 다분합니다</div>|<div class="num">10.0</div>
삼성호텔 거제|<div class="txt">편안하게 쉬다 갑니다.<br/>재방문 의사있어요^^</div>|<div class="num">10.0</div>
삼성호텔 거제|<div class="txt">호텔 내 간단한 간식 등을 살만한 편의점이 없는게 좀 아쉽긴하지만 다른점은 다 좋았어요. 침대. 침구. 슬리퍼. 어매니티. 티브이 화질 등... 사우나 시설도 깨끗하고, 조식 뷔페도 넘 맛있어요. 스탠다드 룸이 다른 호텔은 비좁은데 여긴 공간 여유가 있었던 점도 기억에 남네요. 달리 5성급이 아니다  라고 느껴집니다.</div>|<div class="num">10.0</div>
