name|reviews|star
라한셀렉트 경주 |<div class="txt">친구랑 함께 갓는데, 조식도 너무 맛잇고 <br/>태풍 때문에 체크인 연장 신청했을때도 너무 친절하게 대응 해주셔서 감사했어요!! <br/>내부 식당은 이용하지 않앗지만, 다음에 기회가 된다면 꼭 이용해보고 싶어요😘<br/>단점은 방음이 잘 안된다는 점과 욕실내 변기있는데 문이 없다는 점 빼곤 좋앗습니다!!<br/>그리고 체크아웃전에 꼭 호텔내에 잇는 포토존? 아트뮤지엄? 거기 가보시길 바래영!! <br/>저희는 체크아웃하고 구경갈랫는데... 룸키가 없으면 입장이 안되더라구용 ㅠㅠ 못 본게 많이 아쉬웠습니당<br/>그외, 경주산책 북카페도, 숙박이용시 10% 할인되니! 꼭 들려서 책이나 음료 드셔보시길 바랍니당 ㅎㅎ</div>|<div class="num">10.0</div>
라한셀렉트 경주 |<div class="txt">객실 컨디션은 좋아요 베드 추가금은 비싼감이 있어요 조식은 깔끔하고 맛있어요 한번쯤은 먹어볼 만 할거같아요</div>|<div class="num">10.0</div>
라한셀렉트 경주 |<div class="txt">시설 깔끔 <br/>직원 친절<br/>조식도 맛있고 식당도 좋고 사진찍고 구경할것도 많음<br/>편의점이 소노벨까지 도보 약 5-10분 걸려요<br/>보문호수뷰 최고임</div>|<div class="num">10.0</div>
라한셀렉트 경주 |<div class="txt">가족들과 휴가를 즐기기위해 방문했습니다!<br/>수영장2인 조식2인 패키지로<br/>체크인 전에 수영장을 이용했습니다!<br/>4인 가족이라 아이들은 투숙객 할인 50%를 <br/>적용받아 이용했고 수영장은 전반적으로<br/>좋았습니다! 다만 오후에 입장하다보니<br/>썬베드에 자리가 없어 많은 사람들이<br/>썬베드를 찾아다니는 모습이 보였습니다!<br/>작년에 힐튼방문때는 수영장이 오전 오후<br/>파트로 나뉘어져 있어서 오후에 이용해도<br/>썬베드를 잡을수 있었는데 여기는 따로시간이<br/>나뉘어 있지 않아서 그런지 자리잡기가 <br/>힘들었습니다!<br/>룸컨디션은 크게불편함이 없었고 바닥이 카펫이 <br/>아니라 너무 좋았습니다!<br/>제가 라한호텔을 선택한 이유이기도 합니다!<br/>특히 아기가 있거나 먼지 알러지가 있는 <br/>아이들에게 좋을것 같습니다! <br/>수영장 이용후 5시쯤 체크인을 <br/>해서 5층을 배정 받았고 룸옵션에서 <br/>호수전망을 선택했기때문에 호수전망 <br/>객실을 배정 받았습니다!<br/>뷰는 상당히 좋았습니다!<br/>저녁은 호텔 1층에 있는 마켓338에서 먹었는데<br/>음식은 만족스러웠습니다! <br/>특히 짬뽕이 맛있었네요ㅎ<br/>다음날 아침 조식 또한 맛있게 먹었습니다!<br/>조식도 아이들은 투숙객 할인 적용 받았습니다!<br/>마지막으로 호텔안에 볼링장도 있던데 <br/>시간이 맞지않아 이용을 못했네요~<br/>너무 아쉬웠습니다! <br/>다음에 방문해서 이용해 봐야겠습니다!</div>|<div class="num">10.0</div>
라한셀렉트 경주 |<div class="txt">너무 깨끗하고 너무 좋습니다 놀때도 많고 너무좋아요 리조트도좋고 먹거리도 많고 수영장도 너무좋습니다 나름 만족하고 놀다가 왔습니다 너무자유롭고 간만에 힐링도 하고왔습니다 가족끼리 좋아요</div>|<div class="num">10.0</div>
라한셀렉트 경주 |<div class="txt">바닥이 마루바닥이라 너무 좋았어요<br/>2박 3일 있었고, 투숙객은 50% 할인이라<br/>키즈키페, 수영장도 반값으로 놀았습니다<br/>산 전망이었으나 뷰는 나쁘지 않았고<br/>리모델링해서 객실이 다 깔끔했습니다<br/>침대가 푹신해서 좋더군요<br/>룸서비스도 시켜서 먹고<br/>더운 여름에 에어컨 빵빵하게 틀고 시원하게 잘 잤습니다</div>|<div class="num">10.0</div>
라한셀렉트 경주 |<div class="txt">부대시설도 좋고 청결해서 넘 조음</div>|<div class="num">10.0</div>
라한셀렉트 경주 |<div class="txt">방에 거울 큰게 있으면 좋을것같은데 없어서 아쉬웠습니다 <br/>부대시설 산책로 등 마음에 드는 요소가 많네요 좋습니다</div>|<div class="num">10.0</div>
라한셀렉트 경주 |<div class="txt">직원들 친절하고 시설 깔끔했습니다.<br/>아기침대, 아기욕조, 소독기 대여 서비스가 있어 편리했습니다<br/>아기침대 시트에 이물질 묻은 흔적, 샤워기, 수전에 열전도율이 높아서 온수시 샤워기, 수전이 상당히 뜨거웠습니다.<br/>식당가 아기테이블관리가 미흡하여 사용자가 닦아 사용해야했습니다</div>|<div class="num">9.3</div>
라한셀렉트 경주 |<div class="txt">정말 기분 좋은 가족 여행이었어요.^^</div>|<div class="num">10.0</div>
라한셀렉트 경주 |<div class="txt">3일동안 다른 호텔을 사용했는데 <br/>경주 라한호텔이 제일 룸컨디션이 좋았어요❤️<br/>역시 5성급은 5성급이네용 ☺️</div>|<div class="num">10.0</div>
라한셀렉트 경주 |<div class="txt">호텔인데..추가이용 요금이 사악합니다<br/>키즈.수영장  요금 받는곳은  또 처음 이네요<br/>호텔 안에 편윽점 하나없어요</div>|<div class="num">8.0</div>
라한셀렉트 경주 |<div class="txt">8층 엘리베이버 근처 방 보문호뷰입니다! <br/>뷰 개오짐⭐️⭐️⭐️⭐️⭐️<br/>침구,화장실 모두 깨끗... 진짜 행복 그자체였구요.<br/>밥도 너무 맛있어요ㅠㅠ 조식 진짜 👍 👍 <br/>사람들 몰리는 시간 전 후로 가시면 좋을것같아요!<br/>전 7시 10분에 내려갔는데 바로 식사했습니다!<br/>가족끼리 가도 좋은 호텔이었어요❤️</div>|<div class="num">10.0</div>
라한셀렉트 경주 |<div class="txt">성수기시즌이라 그런지 바닥청소가 조금 부족해보였습니다. 대체적으로 시설은 만족스럽고 가족끼리 여행에 좋았습니다.</div>|<div class="num">10.0</div>
라한셀렉트 경주 |<div class="txt">라한에서 2박했어요. 여름휴가일정이 길어서 여기저기 옮겨다니며. .지역이동하며 여행중이였는데 일단 넘 예쁜 경주와 보문호수가 떡하니 자리잡은곳에 라한이 있었어요. 호수뷰가 너무 아름다운곳이였어요. 야경도 너무 아름답습니다. 올여름은 너무 더워서 밖에 돌아다니기 두려울정도인데 일단 체크인 3시부터라고 적혀있었지만 현장에서는 2시부터 키오스기로 체크인예약을 미리 받고있었어요. 1시반에 도착했는데 미리.체크인예약해놓고 프론트 옆에 넓은공간의 자리가 많아서 거기서 앉아서 조금대기하니 카톡으로 연락옵니다. <br/>프론트에 번호가 있고 다들 체크인상담중이여서 당황하고있을때 매니저님이 대기연락받으셨죠 이러면서 안내데크를 안내해주셔서 편하게 체크인도움받고 객실로 올라갔어요. 센스있는 매니저님 감사해요^^<br/>역시 5성이라그런지 직원분들.친절함은 말할필요없이.다들 친절왕이세요. 객실에서 수영장도 아래로 보여요. 아들과 남편다같이 지하1층으로 내려가서 바로 수영장으로 고고. 부대음식들은 바로 결제도 되고 나중에 체크아웃때 해도 되서 저희는 체크아웃으로 한방에 했어요 .<br/>2일 머무르면서 조식도 룸서비스로 받아 먹어봤는데 시간대가 겹쳐서 조금 늦게 받긴했지만 음식은 괜찮았어요.사진은 없지만 객실 컨디션도 괜찮았고요. 이불은 필요하면 교체도 해주식ㅎ 수건도 바로 갖다줘서 편하게 이용했어요. 욕실이 있는방이라서 편하게 입욕으로 여행의.피곤함을 날렸답니다. 아침에는 호텔에서 보문호트레킹길과 연결된곳으로 산책가능해서 조금 걷다왔어요.^^</div>|<div class="num">10.0</div>
라한셀렉트 경주 |<div class="txt">언제가도 만족도 높은 호텔입니다 수영장 투숙객 50%할인 받아 잘 이용했고 수영장 입장 후 객실당 샤워타올 2장 주니까 챙겨서 쓰시고 반납하면 되요 <br/>객실 바닥도 카펫이 아니라서 더 좋았습니다</div>|<div class="num">10.0</div>
라한셀렉트 경주 |<div class="txt">매우만족합니다. 깨끗하고 편했어요.</div>|<div class="num">10.0</div>
