name|reviews|star
라한호텔 포항|<div class="txt">저희 체크인시간이 지난 다섯시쯤 체크인을 해서 한산하게 체크인을 했어요<br/>아기와 함께한 여행이라 아기침대는 사전에 요청드렸고 전화로 안내받았을때 기존 룸보다 돈을 조금 더 주구 하나 더 업글 하길 권유 받아 예약 변경을 했습니다 <br/>체크인시 말씀드리니 일-월 여행이라 그런지 여유가 되었는지 운좋게 스위트로 업그레이드 받아서 아기와 아주 널찍하게 쉬다 올 수 있었습니다 <br/>방에 들어가자마자 에어컨이 너무 시원하게 틀어져 있어서 너무 좋았어요ㅠㅠ 해수욕장뷰도 너무 예쁘고, 모래놀이 하기에 딱좋은 모래여서 아기도 잘 놀았어요!!<br/>또 침실이 화장실, 욕실 옆쪽이라 아기가 깨면 어쩌지 걱정했는데 반신욕하고 샤워하는데도 크게 시끄럽지 않아서 아주 좋았습니다.<br/>스위트룸이라 그런지 전자레인지도 방에 있더라구요 아기 밥 데워서 바로 먹일 수 있어서 정말 좋았오요<br/>이 호텔은 다 좋은데 위치가 진짜 너무 좋아요 1층엔 베이커리 카페, 편의점도 있고 그건물에 밥집도 많고 도보로 좀 걸으면 맛집많고 카페도 많고ㅠㅠ 남편이랑 담에도 여기 예약해야겠다고 계속 말 할 정도였습니다. <br/>생일 맞이로 급 떠난 여행이였는데 친절한 응대와 쾌적하구 편한 침실로 힐링하다가 갑니다~~</div>|<div class="num">10.0</div>
라한호텔 포항|<div class="txt">여자친구랑 왔는데 진짜 둘다 너무 좋아서 기절 할 뻔 했습니다…  다음에 여자친구 또 포항오면 여기서 무조건 자자고 하네용!!</div>|<div class="num">10.0</div>
라한호텔 포항|<div class="txt">오션뷰 정말 만족스러웠어요! 다만 에어컨 소리가 너무 커서 소음부분이 아쉬웠고 연식이 느껴졌어요.</div>|<div class="num">9.0</div>
라한호텔 포항|<div class="txt">뷰가 진짜 최고네요 언니랑놀러왔눈데 둘다 감탄한다고 바빳오용 진짜 또올래요 진짜좋아요 침대도 너무편하고 방음도 좋고, 직원분들 모두 친절합니다!! 포항오면 무조건 라한호텔올래요</div>|<div class="num">10.0</div>
라한호텔 포항|<div class="txt">포항여행은 처음이였는데 신중하게 고른 숙소,,,!! 라한클럽 가입<br/>이벤트로 2인 2시간 얼리체크인해서 들어갔습니다! 뷰가 너무너무너무 예쁜데 한여름에 통창,,,,노후된 에어컨은 잘못 예약했나 싶게 더웠는데 커텐 치고 에어컨 틀면 시원해져서 괜찮아요! 룸컨디션 좋아서 여행하고 푹 쉬고 싶으신 분들에게 추천! 주변에 식당들도 많아서 좋고 해변산책로도 완벽합니다! 프론트 직원분들도 너무 친절해요!!! 다음에 포항에 가게 된다면 라한호텔 뷰를 잊지못하고 또 갈거 같아요!!! 13층에 투숙했는데,,, 뷰 진짜 짱,,!!!😍</div>|<div class="num">10.0</div>
라한호텔 포항|<div class="txt">호텔 안내데스크 직원분이 너무 친절하시고 호텔뷰도 너무 줗았어여.</div>|<div class="num">10.0</div>
라한호텔 포항|<div class="txt">입실하는 순간 바로 보이는 뻥뚫린 오션뷰가 인상적 이었습니다.<br/>룸 구조나 컨디션도 가격대비 매우 훌륭한편 입니다.<br/><br/>영일대해변 바로 앞이라 주변인프라가 아주 좋습니다.<br/><br/>주차공간도 넉넉한 편으로 밤 늦게 도착해도 주차가 가능 했습니다.<br/><br/>퇴실시 하우스 키퍼분께서 친절하게 인사 해주셔서 기분 좋게 퇴실한  것이 기억에 남습니다.<br/><br/>이후 포항을 재방문 한다면 다시 숙박할 의사가 있습니다</div>|<div class="num">10.0</div>
라한호텔 포항|<div class="txt">휴가지라  마찬가지라 생각했음,  얘들 악쓰는소리,  의자  끄집는소리,  다른분들도 같은 생각?</div>|<div class="num">10.0</div>
라한호텔 포항|<div class="txt">여기가 왜 3성인지.. ㅎㅎ 수영장 때문이겠죠? 수영장만 있으면  5성도 가능할것 같아요.. 직원분들 다들 너무 친절하시고 객실이랑 욕실 컨디션 좋아요.. 극성수기 당일 예약 급하게 했는데 만족해요.. 다만 해수욕장이 바로 앞에 있긴한데..  수질이 좀.. ㅜㅜ 수영장이 있었다면 정말 좋았을듯해요..  다만 한가지 아쉬운건 주차장 간격이 너무 좁아서 주차후 내릴수가 없어요..  뷰는 말할게 없어요.. 주변에 술집이 많아 커플이 오면 좋을 해요</div>|<div class="num">10.0</div>
라한호텔 포항|<div class="txt">장점<br/>객실이 깨끗하고, 뷰가 좋았으며, 조식이 가짓수가 많진않아도 딱 먹을것만 있고 생각보다 맛있었습니다<br/>해변에서 물놀이를 하진않았지만, 가까워서 산책하기 좋았습니다<br/><br/>단점<br/>주차장을 들어가는 입구가 좁아서 조심해야될거같고,<br/>일요일 체크아웃시 예식장을 방문하는 사람이 많아서, 차를 빼기가 어려웠습니다 ㅠㅠ<br/>조식 커피가… 너무 맹맛이었어요<br/><br/>다음에도 포항을 방문하면 다시 묵을 생각입니다^^!</div>|<div class="num">9.3</div>
라한호텔 포항|<div class="txt">영일대해수욕장 인접 접근성이 좋고<br/>호텔 침구컨디션도 괜찮았어요<br/>다만 베개 숨이좀 죽은 느낌적인 느낌..<br/>카페트 방라서 아쉽기도하고..<br/>하지만 대체적으로는 만족입니다.<br/>아이들과 잘머물다갑니다..<br/>경북과학원, 영일대전망대,포항함체험관,키카<br/>추천드립니다..</div>|<div class="num">10.0</div>
라한호텔 포항|<div class="txt">뷰가 너무 좋네요<br/>편하게 잘쉬다가요</div>|<div class="num">10.0</div>
라한호텔 포항|<div class="txt">뷰가 정말 예술입니다.<br/>그리고 깨끗합니다.<br/>위치도 좋아요</div>|<div class="num">10.0</div>
라한호텔 포항|<div class="txt">최근에 지어져서 깨끗합니다. 전 객실이  오션뷰로  되어  있어  객실타입만  잘  선택하면  좋을꺼  같아요<br/>가격은 조금  비싼편입니다<br/>생수는  한병 있었고  칫솔은  구비되어있었으니  비누는  없었어요  대신  핸드워시  바디로션등등은  있어요<br/>오션뷰로 조명 등  밤이 더욱  예뻤고 아침에는  흐려서  해가  뜨지  않았어요  베개가  편하다는  댓글이  있는데  저는  불편했어요~  낮은베개 두개기  있었으나 불편했어요^^ 직원분들도  친절했습니다</div>|<div class="num">10.0</div>
