name|reviews|star
진주 골든튤립호텔 남강|<div class="txt">주차장 넓은편이에요! 주차공간도<br/>넉넉해서 주차도 어렵지않게 했습니다<br/>엘리베이터, 복도도 엄청 깔끔했어요<br/>예전에 모텔이나 호텔에 숙소를<br/>잡으면 왜 때문인지 담배냄새가<br/>너무 많이낫던 기억이 있는데<br/>​그런점이 전혀 없어서<br/>깨끗하게 관리가 되고 있다는<br/>느낌이 들었습니다<br/>처음가봤는데 주변은 좀 휑하지만 안에들어가니 인테리어도 좋고 넓고...개별 난방도 잘됐고 욕조도 넓고큼...침대 도 크고 편했어요 딱히 단점이 없는 숙소 기본적인 세 면도구 구비되어 있고 시설이나 서비 스 최고였음!!또 가고싶어요~~</div>|<div class="num">9.3</div>
진주 골든튤립호텔 남강|<div class="txt">진주에서 특가로 예약만 가능하다면<br/>항상 오고 싶습니다 <br/>단점은 주차인데 주차초보분들은 너무 좁아서 올라가기 힘드실수 있어요<br/>그래도 자리가 없진 않습니다</div>|<div class="num">10.0</div>
진주 골든튤립호텔 남강|<div class="txt">키즈룸이 잘 되어 있어서 애들이 진짜진짜 좋아했습니다<br/>또 공간이 분리되어 있어 활용하기 편리했음</div>|<div class="num">10.0</div>
진주 골든튤립호텔 남강|<div class="txt">진주에 처음와서 묵는 호텔 인데 이미지가 나쁘지 않습니다  진주성 근처에 있습니다  직원들도 친절하시고 가격대비 시설도 좋은편입니다 직원들께서 전망도 좋은방으로 배정해주셔서 강가도 보이고 멀리서 <br/> 진주성도 보이는 방을 배정해주셔 정말 좋았습니다 이침 조식도 다른 호텔에 비해  깔끔하고 정갈한거 같습니다 이번주 토요일에 다시 묵을 예정입니다 그때도 잘 부탁드립니다</div>|<div class="num">9.0</div>
진주 골든튤립호텔 남강|<div class="txt">여름휴가차 여러군데의 숙소를 알아보고 정리하던차 가장 마음에드는 숙소가 이곳 골든튤립호텔이었습니다. 진주성 바로 인근이였고, 옥상의 경관, 숙소 창밖의 뷰가 좋았습니다.<br/>직원분들께서도 아주 친절하셨고, 숙소 내부에 있는 비품들도 편안하게 휴식 하는데 큰 도움이 되었습니다.<br/>호텔을 이용하려고 고민중인분들에게 작은 팁을 전달합니다.<br/>1. 환경부 정책에 따라 일회용품이 제공되지 않아 칫솔, 치약, 샤워타올은 꼭 챙겨오셔야 됩니다. (숙소내 샴푸, 린스, 샤워젤은 있음)<br/>2. 차량주차시 숙소 앞 주차장 이용시 2층으로 올라가는 길이 매우 좁다고하니 운전에 유의하셔야됩니다. 저는 숙소앞 작은 공간을 이용하여 주차하였습니다.<br/>3. 조식에대한 정보가 부족했는데 식사를 해보니 한식 위주로 구성되어있으며 음식의 종류도 다양했고, 맛도 일품이었습니다. <br/>조식이 포함되어있는 패키지 상품을 추천드립니다.</div>|<div class="num">10.0</div>
진주 골든튤립호텔 남강|<div class="txt">가족들과 여름 여행중 들른곳이었습니다.<br/>진주라는 도시는 처음 가본곳이었는데 나름 역사있는 도시였던거를 알 수 있었습니다.<br/>경상도 서남부 거점 도시 한반도 남부 거점도시이었던것도 알 수 있었습니다<br/>호텔 위치는 진주 남강 진주성 600m 거리정도에 위치<br/>진주 국립 박물관 진주 촉석루는 모두 진주상 안에 있습니다<br/>가격 만족 하나 주차장이 따로 있는데 주차장 오르내리기가 좀 버겁긴합니다<br/>청소 상태는 좀 개선이 필요해 보입니다<br/>밤에 진주성뷰는 볼만합니다<br/>먹거리는 근처에 많이 있습니다</div>|<div class="num">4.6</div>
진주 골든튤립호텔 남강|<div class="txt">3일전에 이용 재예약</div>|<div class="num">10.0</div>
진주 골든튤립호텔 남강|<div class="txt">편안히 쉬고 가는 숙소중 1곳입니다</div>|<div class="num">10.0</div>
진주 골든튤립호텔 남강|<div class="txt">정말로 편하게 쉬다왔어요</div>|<div class="num">10.0</div>
진주 골든튤립호텔 남강|<div class="txt">정말로 편하게 쉬다왔어요</div>|<div class="num">10.0</div>
