name|reviews|star
스탠포드 호텔앤리조트 통영|<div class="txt">다 좋았어요 여러번 묵기도 했구요 객실도 직원분들도 로션뷰도 대만족!! 다만...사우나 청결상태가 아쉬웠어요 바닥이 별로 안깨끗했어요 저는 그게 중요하거든요</div>|<div class="num">10.0</div>
스탠포드 호텔앤리조트 통영|<div class="txt">✔️거제벨버디어를 다녀오고 스탠포드를 갔는데 룸컨디션은 스탠포드가 훨씬 나음<br/>✔️그래도 샴푸 자국 발견..좀 더 청결했으면 싶은 부분은 있었음<br/>✔️수영장은 벨버디어가 훨씬 나음 수영장 너무 좁아서 수영포기<br/>✔️입장후 머무는 시간 제한있고 들어갈 때마다 금액 지불하는 부분 별로<br/>✔️냉장고 커서 유용했음<br/>✔️직원들은 엄청 친절해서 머무는 내낸 만족<br/>✔️조식 종류가 막 다양하진 않지만 있을거 다 있고 맛있게 먹음<br/>✔️엘리베이터…찐개선 필요해보임 기다리는 시간 너무 오래걸리고 만원이라 그냥 보낸게 몇번이나 되는지 모르겠음</div>|<div class="num">8.3</div>
스탠포드 호텔앤리조트 통영|<div class="txt">객실 뷰는  좋습니다. 앞에 가리는것 없이 시원한 오션뷰~<br/>밤에는 유람선에서 작은 불꽃놀이 하는걸 객실에서 구경했어요ㅎㅎ <br/>객실은 대체로 깨끗했으나, 변기 주변, 세면대 주변..<br/>실리콘 및 벽 쪽에 곰팡이가 있어서..보기 안좋았어요ㅜㅜ<br/>침구에도  이물질이 조금 묻어 있었어요..<br/>성인2, 미취학아동1명 지내기 괜찮았고<br/>수건은 1박당 2개만 제공..이후 추가비용 발생 되는것이..좀<br/>그랬네요..수영장은 생각보다 많이 좁아요ㅜㅜ<br/>그래도 잘 놀았네요ㅎㅎ<br/>조식도 가지수가 작은데.. 간단히 먹기 괜찮아요<br/>9시에 갔는데 웨이팅 10분정도 했어요<br/>그래도 가족여행으로는 가깝고 좋았어요</div>|<div class="num">10.0</div>
스탠포드 호텔앤리조트 통영|<div class="txt">콘도형 이용했는데 가족끼리 묵기 좋았습니다<br/>부대시설도 잘 되어있는 듯하고 괜찮은 숙소에요<br/>이용하기 전에 체크인이 오래 걸린다는 다른 분 후기를<br/>보았는데 정말 체크인하는데 꽤 기다려야했어요<br/>체크인해주시는 직원 분이 4분이 계시는데도 휴가철이라<br/>그런건지 웨이팅이 있었답니다<br/>그리고 베개가 좀 불편해요...너무 푹 꺼지는 푹신한 베개라<br/>자기에도 불편했고 일어나서도 목이 아프더라구요..<br/>저희 방만 그런건진 모르겠지만 와이파이가 잘 안 터져요..<br/>와이파이가 한 칸만 뜹니당..</div>|<div class="num">10.0</div>
스탠포드 호텔앤리조트 통영|<div class="txt">방안에 바로 뻥 뚫린 오션뷰 최고인데, <br/>비가와서 이쁜바다를 못본것이 아쉬웠어요.<br/>룸컨디션은 나쁘지않고 요청사항 친절히 들어주셔서 좋았습니다.</div>|<div class="num">10.0</div>
스탠포드 호텔앤리조트 통영|<div class="txt">깔끔하고 좋아요~<br/>산책로도 연결되있고 좋네료</div>|<div class="num">10.0</div>
스탠포드 호텔앤리조트 통영|<div class="txt">직원분들 친절합니다.<br/>다만 일요일에 40만원이 넘는 이용요금에 조식 별도, 사우나와 수영장 이용 요금 별도가 추세라면 어쩔 수 없고요.<br/>그래서 가성비 절대 안 나오는 숙소라 또 찾을 일은 없을 거 같습니다.<br/>해변 뷰 말고는..<br/>그리고 욕실의 샤워기는 말잇못..<br/>직접 확인해 보고 싶으시다면 예약 ㄱㄱ<br/>위치도 구도심에서 생각보다는 떨어져 있어서 저녁에 약주 한 잔 하신다면 대리나 택시 이용이 절대적이고요.</div>|<div class="num">7.0</div>
스탠포드 호텔앤리조트 통영|<div class="txt">내려올때부터 비가 많이 와서 강풍이 너무 심해서 <br/>인피니트풀 불가여서 숙박당일은 너무나 아쉬웠다<br/>아침에 오픈해서 인피니티풀 이용 가능 성인 10000<br/>어린이 8000원에 이용가능 따로 탈의실이 없고<br/>객실에서 수영복 입고 입장가능 하고 크기는 별로<br/>크지 않으나 가족단워로 즐기기 편했고 유아동반<br/>아이들이 놀기 좋음 놀고서 바로 객실로 내려와 씻을 수<br/>있다는게 너무 편리하고 좋았음 조식은 그동안 다른<br/>리조트와 비교하면 종류가 다양하지 않았으나<br/>가마솥 설렁탕이 인상적이었고 생각보다 맛있었음<br/>일하시는분들이 많아서 바로 바로 접시도 치워주시고<br/>이점은 굉장히 좋았다 객실도 굉장히 청결하고 소음이<br/>조금 심한점은 있었으나 호텔직원분들 전체적으로<br/>굉장히 친절해서 기분 좋은 여행이었다<br/>인피니풀은 홈페이지에서 시간을 확인하고 가는게<br/>좋다 1부제. 2부제등 성수기에 따라서 이용시간이<br/>달라서 확인하고 가는게 좋다</div>|<div class="num">10.0</div>
스탠포드 호텔앤리조트 통영|<div class="txt">[좋은점]<br/>1. 통영 앞바다 한려수도를 마음껏 감상할 수 있습니다.<br/>   (해무 사이 보이는 경치도 운치있습니다.)<br/>2. 주변 통영 관광 명소, 중앙시장, 맛집 등과 근접합니다.<br/>3. 호텔만의 프라이빗한 해변과 함께 이어진 해안 <br/>    산책로가 좋습니다.<br/>4. 각종 부대시설(조식.인피니티풀.바베큐장.베이커리.<br/>    이자카야.사우나.편의점)이 있어서 편리합니다.<br/>5. 객실이 다소 노후됬으나 상태는 청결합니다.<br/>6. 조금 이른(30분) 체크인이 가능하였고 직원분들이<br/>    매우 친절하십니다.<br/><br/>[아쉬운점]<br/>1. 객실내 어메니티는 다소 아쉽습니다.<br/>2. 바디프렌즈 라운지를 이용하려고 하였는데 에어컨이<br/>   안틀어져 있어 너무 더워서 이용을 못했습니다.<br/>3. 해수 사우나 정비일이라 이용을 못해 아쉽습니다.<br/>4. 타 객실의 물 사용시 배관 소리가 크게 들립니다.<br/>5. 테라스에 작은 테이블과 의자가 있었으면 더욱 <br/>    좋을것 같습니다.<br/><br/>[총평]<br/>1. 통영 최고의 호텔로 가족, 친구, 연인과의 여행에<br/>   모두 만족할 것 같습니다.<br/>2. 가족들과 통영여행을 계획하며 재방문할 예정입니다.</div>|<div class="num">10.0</div>
스탠포드 호텔앤리조트 통영|<div class="txt">부모님과 신랑이랑 다녀왔습니다~<br/>온돌방, 침대방 딱 좋았구요~ 객실에서 보이는 통영오션뷰는 말해모해~~♡<br/>해수사우나도 엄마랑 오봇하니 좋았어요~<br/>무엇보다 아침 8시에 사람없을 때 우리가족끼리만 루프탑 수영장에서 따뜻하게 좋은 시간 보내다가 9시쯤 다른 분들 오시기에 적절히 교대하고 왔습니다~ 기분좋은 행복한 추억만든 호텔이었어요^^</div>|<div class="num">10.0</div>
