name|reviews|star
강화 엘리야 리조트|<div class="txt">&lt;숙소 방문 후기!!😁&gt;<br/>가족끼리 강화도로 오랜만에 가족여행하게되어서 방문하게 되었습니다. 다들 퇴근하고 방문할 예정이였어서 독채나 이런거에서 바베큐를 못할 것 같아서 리조트로 잡게 되었습니다!^^<br/>9시 이후에 방문하게 되었는데도 프론트에서 친절하게 방문안내 해주시더라고요! 주차공간은 2공간있는데 1주차장이 금방차는 편이라서 보통 늦게 되면 2주차장에 대는 형식이였는데 거리도 바로 밑에 위치해있어서 주차도 어렵지않았습니다^^<br/>숙소는 깨끗하고 소음도 나름 잘막아졌습니다! 리조트라서 방음이 어려울줄 알았는데 제가 묵었던 날에는 다 매너있으신 분들만 있던지 진짜 가족끼리 얘기하기 좋게 방음도 잘되고 불편한 것도 없더라고요! 쓰레기통도 분리수거 하기좋게 나눠져있고 입구에 쓰레기 바로 버릴수 있게끔 되어있어서 정리하기도 편했습니다.<br/>냄비등 주방용품도 청결도 좋았으며 침구나 화장실 등도 깨끗하고 좋았습니다! 대신 어메니티?? 일회용품에 면도기나 이런부분이 없고 샴푸나 바디워시가 올인원제품이고 폼클렌징등이 없어서 민감하신 분들은 따로 챙겨가시는 것이 좋을 것 같아요! <br/>숙소에 풀도 있고 바베큐장도 바로 위치해있어서 부대시설이용하기도 좋고, 특히 1층에 무인편의점 운영하는게 너무 큰 메리트더라고요! 술먹고 아이스크림 너무먹고싶었는데 바로 구매가능하고 과자나 일회용품등 구비 잘되어있어서 좋았습니다.<br/>* 주류 구매는 12시까지만 가능하니 참고하세요!<br/>근처에 잠깐 나가면 후포항등등 산책하기도 나쁘지않아서 리조트 매우 만족하면서 1박보냈습니다! 리조트 덕분에 가족끼리 좋은시간 잘 보낸거 같아서 만족스러웠습니다😊</div>|<div class="num">10.0</div>
강화 엘리야 리조트|<div class="txt">바베큐장이<br/>너무 열악합니다. 할아버지가 쓰러지실 뻔 했어요</div>|<div class="num">3.6</div>
이코노미호텔 인천|<div class="txt">솔직 후기 남겨요 저는 대구 살고 인천에 관광목적으로 놀러왔는데 총 3명이서(애기 1명포함) 머물곳을 고르다가 여기가 한국관광품질인증 받은 곳이고 외국인들이 많이 머물었다고 해서 골랐는데....  많이 협소한 주차장에 1차 당황했어요 외국인이 많이 머물러서 그런가? 하고 주차장은 이해했네요 저희는 패밀리  객실 예약했는데 너무 청소가 안된 객실에 2차 당황했네요 화장실부터 객실 내 바닥에 누구건지 모르는 머리카락에 애기있는데 점점 불쾌해지더라고여 패밀리 객실이 6층 맨 꼭대기 층이라 그런지  더 더웠는데 빡치게시리 에어컨이 16도로 했는데도 하나도 안쉬원했어요 에어컨 날개 내려왔을때 눈에 띄일 정도로 오염된 곰팡이와 편하고 쉬원하게 쉬려고 10만원내고 온 우리 가족에게 습한 더위와 함께 불쾌함을 준 하루밤이였네요 그러나 직원분들이 너무 친절하셔서 서비스 편에서 별점 만점 줬네요 다음에 인천 여행 또 오더라도 여긴 안올거같네요ㅠㅠ.. <br/>요약)<br/>직원들 엄청 친절함<br/>주차장이 많이 부족함 <br/>객실 내부 청결 상태를 더 신경 써줘야함<br/>에어컨이 잘안됨 패밀리룸은 더우니 숙박시 선풍기 하나더 요청하는걸 추천함 <br/>아이랑 오는건 비추</div>|<div class="num">10.0</div>
이코노미호텔 인천|<div class="txt">장점<br/>- 주변에 식당이 꽤 있어서 식사하기 좋습니다<br/>- 걸어서 2분 거리에 편의점이 있습니다<br/>- 생각보다 객실 상태가 쾌적했습니다<br/>- 다음날 조식으로 컵라면 육개장, 토스트 등이 제공되는 것 같습니다(시간 관계상 이용하지 못함)<br/>- 사장님이 친절하시고 다양한 서비스를 제공하고자 하시는 것 같았습니다(지하에 운동기구, 책 등)<br/>단점<br/>- 게스트하우스 느낌이 살짝 납니다</div>|<div class="num">8.6</div>
이코노미호텔 인천|<div class="txt">너무 만조과고 깔끔하니 편안하게 잘 쉬다 갑니다</div>|<div class="num">10.0</div>
이코노미호텔 인천|<div class="txt">너무좋아요  자주갑니다</div>|<div class="num">10.0</div>
이코노미호텔 인천|<div class="txt">사장님이 참 친절하시고 방도 깨끗하고 다시 이용할만한 곳이네요.</div>|<div class="num">10.0</div>
이코노미호텔 인천|<div class="txt">금연 객실인데 다른 방에서 담배냄새가 화장실까지 들어온 거 빼고는 잘 이용했습니다^^</div>|<div class="num">8.0</div>
이코노미호텔 인천|<div class="txt">보일러를 땟는데도 불구하고 너무 추웟어여...ㅠㅠ<br/>화장실은 창문이 있어서 그런지 추워서 씻을때 덜덜 떨엇네요...ㅠㅠㅠ그것말곤 침대도 푹신해서 좋아영~~~</div>|<div class="num">10.0</div>
이코노미호텔 인천|<div class="txt">깨끗하고 청결해서 좋았 습니다</div>|<div class="num">10.0</div>
이코노미호텔 인천|<div class="txt">생각보다 프론트에 있는분도 그렇고 방도 그렇고  별루였어요</div>|<div class="num">6.3</div>
