name|reviews|star
블루하와이 리조트|<div class="txt">이번여행때 숙소 정하는데 정말 많은 고민이들었는데 블루하와이 리조트 가성비 최고의선택이었어요<br/> 가격 너무 너무 만족스러운데  창문열면 보이는 뷰가 진짜 최고 그리고 수영장이 있어서 아이들 놀기도 좋고 <br/>  침구류 깨끗합니다!<br/>다만 좀 아쉬운건 저희방만 그런건지 모르겠는데<br/>세면대에 물이 너무 안내려가요;; 막힌건지ㅠㅠ<br/>그것말곤 진짜 너무 편하게 잘있다왔고<br/>같이간 일행들이 3일모두 여기서 잤으면 더 좋았겠다고 할정도였네용</div>|<div class="num">10.0</div>
블루하와이 리조트|<div class="txt">굉장히 좋았습니다 부모님이랑 같이 좋은 추억 남겻구요<br/>에어컨 연식이 좀 있어서 금방 시원 해지는 않았지만<br/>만족 하구요 풀장도 있고 식당도 있고 만좀 합니다</div>|<div class="num">10.0</div>
블루하와이 리조트|<div class="txt">가성비 갑 숙소 추천드립니다! 연인보단 가족단위로 저렴하게 이용하기 좋습니당 수영장 기대안했는데, 뮤직비디오도 틀어주고, 음악도 틀어줘서 너무 신났어요 ㅋ ㅋ ㅋ 조식은 큰기대없이 먹길바랍니다~~</div>|<div class="num">10.0</div>
블루하와이 리조트|<div class="txt">애월숙소 1박후 곽지로 넘어갈 생각으로 숙박했는데 협재 지나야하고 위치좋아요 실시간 검색으로 블루하와이가 수영장 밤 10시까지이고ㆍ수영하면서 바베큐가능하다고해서 방있나 보고있는데 마침 취소 트윈룸 나와서 예약했답니다~사실 비가 억수로와서 결국 수영장포기했는데 ᆢ설상가상 바베큐도 불가능하다는 문자받고 ㅎㅎ 시내로 나갔지만 숙소 크고 위치좋고 좋아요<br/>담기회에 또 이용할께요</div>|<div class="num">10.0</div>
블루하와이 리조트|<div class="txt">수영장이 늦게까지라 너무 좋은것 같아요<br/>저녁먹고 한바탕 물놀이하기 좋았어요<br/>성수기 저렴한 숙소 찾기 힘든데 가성비 괜찮내요 <br/>아무래도 노후된시설이 아쉽긴해요<br/>식기류나 기타 장비들이 좀.. 사용하기 꺼려지더라고요<br/>그거까지는 좋은데 청소상태가 별로였어요<br/>죽은 벌레들도 침구에 있었고 ㅠㅠ<br/>2박 했는데 중간에 청소는 따로 안해주시네요~<br/>노후는 둘째치고 청소만 신경좀 써주셨으면해요<br/>조식은 싼데 종류는 없네요</div>|<div class="num">8.0</div>
블루하와이 리조트|<div class="txt">1. 우선 매일 1인당 수건 2장(뽀송하고 깨끗함)과 생수1병 주는거 넘 좋았어요~ 각 층 엘베 앞에 정수기가 있긴 했지만 밖에 돌아다니다보면 생수 사먹는 경우도 있는데 이번 여행에선 숙소에서 준 생수 얼려서 잘 사용했습니다.<br/><br/>2. 처음 들어갔을 땐 약간 냄새(꿉꿉한)가 나긴 했는데 환기 시키고 에어컨 틀어두니 괜찮았어요~ 3박 이상의 경우 객실청소 한번 해주신다고 해서 받았어요~ 침구(시트)는 갈아주신거 같진 않았지만 청소는 깨끗하게 해주셨어요~<br/><br/>3. 냄비 밥솥 그릇 등은 있는데 후라이팬이 없어요~ 생선 고기 구워먹는거 방지하려고 한거라는데 애들 달걀프라이 하나 해먹이는데 조금 힘들었어요!<br/><br/>4. 뷰 좋아요~ 풍력발전소(?)도 보이고, 수영장도 보이고, 멀리 바다도 보이고~ 이용하시는 분들은 많았지만, 날씨가 좋지 않아 애들 감기걸릴까봐 수영장 이용 못한게 넘 아쉬워요~ 수영장있는 숙소 중 가성비 보고 고른건데~ 다음에 올땐 날씨가 좋았으면~ 애들도 수영장 못가서 넘 아쉬워했어요!<br/><br/>5. 안쪽 온돌방은 9시 다될때까지 암막커튼 친거처럼 어둡게 잘 잘 수 있고요~ 침대방은 커튼이 암막이 아니라 해뜨면 밝아요~ 어두워야 잘 자는 우리 애들은 전부 온돌방으로 모여들었어요~ 근데 이 방은 에어컨이 없고 선풍기가 있어요~ 거실에 에어컨 켜고 안쪽으로 선풍기 틀면 온도 딱이에요^^<br/><br/>6. 에어컨 성능이 뛰어나진 않지만 쓸만해요~ 선풍기는 좀 지저분해서 가지고 간 휴대용 선풍기 충전해서 썼어요. 냉장고 커서 좋았고~ 물 잘 나오고 욕조가 없어 좁지 않아서 애들 씻기기 편했어요~ <br/><br/>7. 카드키가 아니라 열쇠에요~ 근데 또 키택으로 꽂아야만 전기가 통해요~ 열쇠 두개 주면 편하겠다 싶었어요~ <br/><br/>8. 조식은 하루 이용했는데 구성이 나쁘진 않지만 애들이 어려서 그런지 먹으러 내려 갔다 오는 것도 일이더라고요~ 하루 이용하고 그냥 방에서 밥해서 달걀프라이랑 김이랑 소세지 등 간단한 반찬으로 먹였는데 그게 더 편했어요~<br/><br/>전반적으로 수영장 이용 가능한 리조트로는 괜찮은것 같아요~ 연식은 좀 느껴지지만 깨끗한 편이고, 직원분들 친절하고요~ 연박하면 할인해주고 그럼 더 좋았을텐데~ 하는 아쉬움은 있지만 그래도 잘 머물다 갑니다^^ 다음엔 날씨 좋을 때 한번 더 오고 싶네요^^</div>|<div class="num">8.6</div>
블루하와이 리조트|<div class="txt">재방문의사 없습니다<br/>1.직원분들이 친절함이 없습니다. <br/>2.객실에 먼지가 많아요<br/>3.요즘 호텔,리조트에 편의점들 다 있던데 여기는 자체 운영중인 매점 밖에 없었고 도보에 편의점 없음, 매점은 많이 비쌈<br/>4.한달 제주 여행 동안 제주 숙소 6군데 갔는데 최악의 방음상태<br/>5.차타고 멀지 않은곳에 해변이라 위치는 좋음<br/>6.화장실 벽에 곰팡이<br/>7.지하에 무료 세탁기 있는게 좋다고 생각하고 갔지만 곰팡이 범벅<br/>8.수영장이 놀기 좋았어요<br/>9.객실에서 바다가 보여 좋았어요</div>|<div class="num">4.0</div>
블루하와이 리조트|<div class="txt">너무 좋습니다. 제주에 올때마다 이용하는데 아주 만족합니다. 가족들과 즐거운 휴가 보내고 갑니다</div>|<div class="num">10.0</div>
블루하와이 리조트|<div class="txt">모처럼 제주여행 가족끼리했는데.. 3박중 2박하고 1박 포기하고 나왔습니다. 비가와서그런지 연식이 오래되서 그런지 꿉꿉한 냄새가 많이 났습니다.</div>|<div class="num">4.0</div>
블루하와이 리조트|<div class="txt">약간 연식이 됐지만 부지도 넓고 편의시설도 좋고, 수영장도 숙박객에 한해 무료로 이용 가능하고 좋습니다!</div>|<div class="num">9.0</div>
블루하와이 리조트|<div class="txt">위치등등 만족하게 잘쉬다갑니다</div>|<div class="num">8.0</div>
블루하와이 리조트|<div class="txt">여행 잘 하고 갑니다</div>|<div class="num">10.0</div>
블루하와이 리조트|<div class="txt">가족여행 가성비 리조트. 수영장 있는 것만으로도 좋다. 2층 배정 받았는데 오션뷰라니! 단점은 주변에 편의시설 없음. 하지만 1층 편의점에서 이것저것 구입 가능. 그리고 풀사이드에 썬베드 좀 더 놔두면 좋겠음. 협재, 금능, 판포포구 쪽 즐길 것이라면 적극 추천. 주차장 면수도 좋고 전기차 충전기도 있다. 애들 잘 놀아서 다시 방문 예정. 잘 놀고 잘 쉬다 왔습니다.</div>|<div class="num">10.0</div>
블루하와이 리조트|<div class="txt">가성비 갑입니다. 숙소 청결하고 협재&amp;금능 해수욕장 가깝고, 리조트 내 수영장은 저녁 10시까지 이용할 수 있어요. 우린 오전에는 금능해변에서 놀고 저녁에는 수영장에서 놀았어요. 간단한 거 해 먹을 수 있고 세탁기도 무료 사용 가능해요. 아이들과 지내기에도 편해요. 다음에 제주도 오면 또 이용할 거예요.</div>|<div class="num">10.0</div>
블루하와이 리조트|<div class="txt">이가격에 수영장10시까지  이용할수 있어 넘 좋았구요~아침 조식은 그럭저럭<br/>리조트안에서  취사이용할수 있어 간단한거는 해먹었어요<br/>3박4일  잘머물다 왔어요</div>|<div class="num">8.0</div>
블루하와이 리조트|<div class="txt">가격대비 방크기 괜찮아요<br/>그런데 입실하자마자 화장실에서 구토? 냄새가 어디선가 올라와서 ㅜㅜ 너무 불쾌했습니다<br/>아이들도 냄새때문에 화장실가길 꺼려할정도..</div>|<div class="num">4.6</div>
블루하와이 리조트|<div class="txt">객실청결 괜찮았습니다 앞에 바다가있긴한데 날씨가 흐려서 말짱도루묵이었네요🥲 그냥 딱 깔끔하고 숙소의 정석느낌입니다</div>|<div class="num">8.0</div>
블루하와이 리조트|<div class="txt">방이 넓음.<br/>해수욕장 가까움<br/><br/>조식은 평일 주말차이있는건지....  아쉬움도있었어요<br/><br/>식탁 발커버끼워있으면 좋겠어요<br/>의자빼는데 너무시끄러워요ㅜㅜㅜ방음.....<br/><br/>건조대있고/세탁실 지하에있어서 편했어요</div>|<div class="num">8.0</div>
블루하와이 리조트|<div class="txt">건물이 오래된 느낌이 있지만 깔끔하고 좋았습니다.<br/>그리고 1층에 가시면 제주도에서 이용할수 있는 여러가지 체험들을 싸게 구입할 수 있어서 더 좋았습니다. 꼭 가셔서 할인 맘ㅎ이 받으세요</div>|<div class="num">7.3</div>
블루하와이 리조트|<div class="txt">제주도에 오면 꼭 오는 곳이라 또 왔습니다. 호텔도 이용해보고 리조트도 이용해봤는데 개인적인 취향으로 리조트가 좋더라고요. 입구에 들어서는 순간 바다가 훤히 보이고, 객실 자체도 넓고 깔끔해서 마음에 듭니다. <br/> 객실에서 보이는 바다가 최고입니다.<br/>창문을 살짝 열면 파도소리도 들려 햇살 받으며 파도소리 듣고 있으면 정말 힐링이 됩니다.<br/> 침구류들도 깔끔합니다.</div>|<div class="num">10.0</div>
블루하와이 리조트|<div class="txt">가성비 최고의 숙소였습니다</div>|<div class="num">10.0</div>
블루하와이 리조트|<div class="txt">제주에서 첫 숙소로 선택햇는데 정말좋앗어요</div>|<div class="num">10.0</div>
블루하와이 리조트|<div class="txt">연식있는 리조트라 예상했던 정도의 객실 컨디션이었습니다. 뷰는 좋고 필요한 부대시설은 있어 이용에 불편함은 없었습니다. 뷰와 산책로가 참 좋네요.</div>|<div class="num">8.6</div>
