name|reviews|star
에코랜드 호텔|<div class="txt">작년부터 가보고 싶었던 호텔이었는데 올해 드디어 가족끼리1박하고 왔습니다.객실도 깨끗하고 욕실도 넓었으나 레이크뷰치곤 호수가 보일락말락해서 실망했는데 저녁에 조명이 호수에 비치고 뒷날 아침 한라산도보이고 좋았어요.<br/>수영장 편안히 이용하려고 고른 호텔인데 넓고 깨끗하고 곶자왈안에서 수영을하니 맘도 편안해지고 좋았습니다.<br/>미온수이긴하나 태풍지나간뒷날은 바람이 좀 찼어요. 6시이후는 좀 추운듯해 저희는 들어와서 준비하고간 저녁먹고 주변산책을하고 호텔주변을 감상했어요.<br/>침대랑 베개가 넘 편해서 성인2. 초등2 편하게 잘수있었어요.에어컨바람에 목이 좀아파서 문열고 잤는데 바람도 시원하고 풀벌레 소리도 좋았습니다.아침엔 온갖 새소리를 듣게되서 힐링되는 기분이었어요.<br/>여기에 장점은 체크인전 1시부터 수영이 가능하고 체크아웃하고 짐무료로 맡기고 오후3시까지 수영장이용이 가능하다는거예요.수영을 하기위해 조식을신청해서 좀 든든히먹고 맘껏 수영하다 수영장주변 샤워실을 이용했습니다.투숙객을 고려한 이점은 넘 칭찬해주고싶어요.<br/>전반적으로 엄청 만족한 1박이었어요.</div>|<div class="num">10.0</div>
에코랜드 호텔|<div class="txt">뷰없는 방 예약이었는데 레이크뷰 주셔서 잘 이용했어요~아직 1년정도 밖에 안됐는데 막 새것새것 같은 느낌은 없었어요~휴가시즌이라 2~30만원대 예약했는데 드라이기라던지 물품들이 막 고급고급 하진 않았어요~수영장도 넓어서 좋긴했는데 스낵바라던지. .전반적 시설이 조금 아쉬웠어요.<br/>아이새일이라 디너부페이용했는데 해산물찜이 너무 짰고. .투숙객기준 68천원인가 한것같은데. .전반적으로 퀄리티가 좀 아쉬웠어요. 갠적으론 성게미역국이 가장 맛있었네요</div>|<div class="num">8.0</div>
에코랜드 호텔|<div class="txt">수영장이 진짜 크고 너무 좋아요!<br/>숙소도 깨끗하고 뷰도 이쁘고, 호텔이 커서 구경할 데도 많고<br/>사진 찍을 데도 많아용 ㅎㅎ<br/>날씨 좋았으면 사진이 더 잘나왔을텐데 그래도 대만족<br/>입니다!!<br/>잘 놀고 잘 쉬다 갑니당 !!!!<br/>방음도 잘 되는 편이구 조용하게 묵기 좋아요<br/>가족 단위로 많이 오는 것 같더라구용<br/>인포쪽에 직원이 좀 더 있으면 좋을 것 같아요<br/>체크인 할때 시간이 좀 걸려서ㅠ</div>|<div class="num">10.0</div>
에코랜드 호텔|<div class="txt">지금 까지 방문 했던 모든 숙소 중에 가장 괜찮고 여기 숙소를 가면 하루 종일 있어도 될 정도로 멋있으면서 편의시설 까지 짱짱 하게 있는 곳인 것 같아요 우선 간략하게 말씀드리자면 호텔 안에는 어른부터 아이들까지 즐길 수 있는 수영장이 있고 아이스방과 찜질방도 있으며 수영도 배워 볼 수 있는 프로그램도 있답니다 또 갤러리, 노래방과 스크린골프를 칠 수 있는 곳이 실내에 있어서 더운 여름에도 쾌적하게 이용 가능 해요 그리고 베이커리카페와 기념품샵, 놀이방 까지 있답니다 피트니스 센터와 연회장, 셀프세탁실에 비즈니스라운지도 있어요<br/>제주 공항에서 셔틀버스를 운행 하고 있기 때문에 차가 없으신 분도 편하게 올 수 있는 곳이고 셔틀버스 이용은 하루 전까지 프론트로 문의 해야지 이용 할 수 있어요<br/>체크인과 체크아웃때 짐보관을 할 수 있고 퇴실 한 뒤에 3시까지 수영장을 이용 가능 해서 아이들이 있는 가족끼리 오시면 굉장히 잘 놀다 가실 수 있을 것 같아요<br/>주차<br/>주차를 할 수 있는 곳이 넉넉하게 있으면서 중간에 로비로 나가는 문 뿐만 아니라 키만 있으면 중간 중간 있는 문을 통해 나갔다 들어 올 수 있어요 또 로비쪽에 가면 카트가 있어서 짐이 많아도 편하게 들고 방으로 올 수 있답니다<br/>객실 <br/>객실을 별 기대 하지 않았는데 침대도 너무 푹신해서 눕자 마자 스르륵 잠들었고 수압도 괜찮고 가운이 있어서 수영장 갈때 챙겨 가기 좋아요 커튼도 암막커튼이라 아침에 푹 잘 수 있어요 대여 물품으로는 객실 1개당 1개의 침대가드와 영유아 욕조, 아기의자, 젖병소독기, 유모차가 가능 하고 영유아침대는 유로에요 휠체어,다리미, 충전기, 와인오프너도 가능한데 모든 대여용품은 한정수량이라 빨리 대여 하시는걸 추천해요 전객실이 금연 객실이라서 아이들과 오기에 좋고 다양한 룸서비스도 주문 할 수 있어요 <br/>칫솔과 치약은 따로 챙겨와야하고 생각보다 음식점들과 멀고 안에서 먹는 건 비싸니까 미리 간편하게 먹을 수 있는 과자나 피자, 치킨 종류를 포장해 오시는 것도 좋을 것 같아요 <br/>에코랜드테마파크에서는 스카이바이크와 백조,범퍼보트, 피크닉세트, 캔들공방, 아로마족욕, 맨발힐링워크, 화관향수만들기, 말당근주기, 연날리기, 라벤더가든, 은하수들판, 무지개빛터널까지 즐길 거리가 가득해요 그래서 되도록 하루를 온전히 에코랜드에서 지내시면 알차게 즐기실 수 있을 것 같아요 <br/>수영장<br/>튜브와 썬베드,카바나는 대여가 가능하고 인생사진을 다양하게 건질 수 있답니다 아이풀과 성인풀이 따로 있어서 더 마음에 들었고 안전요원들도 계신답니다<br/>로비의 지하에는 비즈니스 라운지가 있고 세탁방과 칫솔이나 샤워타월, 폼클렌징 티슈 등 여러 일회용품을 자판기를 통해 뽑을 수 있답니다<br/>정원 처럼 꾸며진 곳도 예쁘고 호수 전망이 아니라도 수영장갈때 호수 뷰를 볼 수 있으니까 걱정 하지 않으셔도 될 것 같아요 <br/>제주도 오면 몇번이고 재방문 할 숙소이고 가족이나 연인 또 친구끼리 와도 재밌게 즐기다 갈 수 있는 숙소라서 꼭 한번 가보시길 추천 드려요</div>|<div class="num">10.0</div>
에코랜드 호텔|<div class="txt">진짜 너무 좋아요 ㅠㅠ 성수기라 가격이<br/>좀 있어도 돈 하나도 안 아까워요... 수영장, 조식, 객실 <br/>상태 , 청결, 서비스 등등 10000% 만족하고 갑니다! <br/>직원분들이 전부 너무너무 친절하시고 마주칠 때 마다 <br/>인사해주셨어요 ㅠㅠ ㅎㅎ 특히 수영장 무료로 계속 <br/>이용할 수 있는 건 최고의 서비스인 것 같아요 ㅋㅋ <br/>최곱니다.. 조식도 종류가 다양해서 배부르게 잘 먹었어요</div>|<div class="num">10.0</div>
에코랜드 호텔|<div class="txt">제주도 가본 호텔 중 가성비 괜찮아요.</div>|<div class="num">10.0</div>
에코랜드 호텔|<div class="txt">룸컨디션 좋구요^^<br/>뷔페 종류가 많은건 아니지만 너무 맛있어요<br/>다음에 또갑니다</div>|<div class="num">10.0</div>
에코랜드 호텔|<div class="txt">너무 행복한 가족 여행이였습니다.<br/>룸타입이 다른 2박 이엿는데 짐도 알아서 엄겨주시고 너무 편하고 좋았어요!!!</div>|<div class="num">10.0</div>
에코랜드 호텔|<div class="txt">객실은 우선 깔끔하고 좋습니다~레이크 뷰로 객실 선택하시면 멋진 풍경을 볼수있어요~수영장도 이쁘고 좋습니다~어린이 풀장도 따로 있어서 가족단위로 오셔도 좋을것 같아요. 아침 조식에서 꼭 해장국을 드세요 두번 드세요!</div>|<div class="num">10.0</div>
에코랜드 호텔|<div class="txt">작년오픈후 4번 투숙합니다.<br/>늘깨끗하고 침구편하고 에어컨빵빵 <br/>깨끗 시원해서 좋아요.<br/>뷔페음식도 맛있고 수영장도 넓고 좋은데<br/><br/>수영장 물이 너무 더럽네요..사람이<br/>많아 그런건 아는데 청소는 하는거겟죠<br/>물안에 청소기같은거 돌리시는거 맞겟죠?ㅠㅠ<br/>물안경쓰고 낮은풀 들어갓다가 경악ㅠㅜ<br/>곰팡이도많이생겻더라구요...<br/>그리고 핫도그 츄러스ㅎㅎ 비싸네용 8천원ㅠ<br/>맛은잇어요..!호텔이니 이해해야죠..</div>|<div class="num">10.0</div>
