name|reviews|star
신화관 제주신화월드 호텔앤리조트|<div class="txt">여기어때를 통해 공동구매로 워터파크 패키지 이용했는데 정말 초등 저학년, 고학년 형제가 놀기에 딱 제격인 곳이네요. 신화관에서 바로 연결돼서 위치도 편하고. 먹을거리도 다 리조트 안에서 해결돼서 아이들 있는 가족들이 이용하기에 제격인 곳이에요.(다만 리조트 네 좀더 다양한 종류의 먹거리가 생김 좋을듯해요. 고깃집 웨이팅이 넘 길어 결국 다른데서 겨우 허기진 배 달랬어요^^;;)</div>|<div class="num">8.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">계속 남자친구와만 가다가 이번 여름엔 부모님도 모시고 갔는데 부모님이 청년들처럼 즐겁게 물놀이하셔서 얼마나 좋았는지 모릅니다. <br/>극성수기라 비쌌지만 그래도 가성비 좋았습니다. <br/>커넥트룸이어서 네 명이 편하게 머물렀고, <br/>인피니티 풀, 워터파크 정말 즐거웠고 <br/>저녁에는 랜딩 다이닝도 예약해서 디너 먹었는데 <br/>부모님께서 정말 맛있다고 하셨습니다. <br/>신화월드에서 좋은 추억 만들 수 있어서 좋았습니다.</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">우선 객실상태는 매우 청결했습니다! 직원분들도 매우 친절하셨고 요청드린것도 빠르게 응대해주셔서 좋았습니다 ㅎㅎ 제일 중요한게 객실 컨디션이긴 하지만 부대시설이 너무너무너무 잘되어있어서 2박중에 하루는 종일 리조트 안에서 놀았어요!! 워터파크랑 놀이동산 모두 이용했는데 아이들 대상이라 그런지 성인 둘이서 놀기엔 쬐끔 심심했지만 충분히 만족했습니다! 신화관에서 이어지는 스카이풀 뷰도 너무 예쁘고 7시부터 하는 버블파티에 디제이분 선곡도 좋구 무제한 드링크도 꼭 이용해보시길 추천드립니다! 커플분끼리 가시는거면 신화관으로 예약하시는거 꼭 추천드릴게요 !!! 매우 만족한 2박이였습니다 ㅎㅎ</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">가족여행으로 선택했어요 <br/>신화관은 부대시설 이용하기가 정말 좋아요 <br/>신화워터파크랑 놀이동산도 알차게 이용했습니다<br/>룸 청결도도 괜찮았어요 마룻바닥이라 더욱 마음에 들었던 것 같아요 다만 수건이 부족해서 몇번 더 요청해서 받았네요 <br/>1층으로 체크인해서 엘리베이터 안타도 되고 너무 편하게 이용했습니다 <br/>저녁은 간단하게 푸드코트에서 이용했는데 바로 아래에 g층으로 가면 돼서 편했어요</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">휴가때마다 가는곳이에요. 아이들이 갈때마다 너무 좋아해요.<br/>근데 샤워부스에 샤워부스에 물이 잘 안빠졌네요ㅠ<br/>귀찮아서 걍 썼더니.. 마지막날엔 물 넘칠뻔했어요..<br/>물빠짐 미리 체크해서 잘안빠지면 조취받으시길ㅠ<br/>그거빼고는 다 좋았어요ㅎ<br/>편의점에는 투쁠이나 그런행사 전혀 없어요.<br/>신화관은 워터파크 매일이용할수있어서 좋았구요.<br/>테마파크에서 불꽃놀이도 너무 이뻤어요.:)</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">좋습니당<br/>특히나 신화관에서는 워터파크로 바로가고<br/>애들물놀이하기는 정말좋아요~!!</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">워터파크가 가까워서 좋았어요~<br/>아이와 함께 가기도 좋았구요~<br/>근데 내부 식당이 좀 멀어서 밥 먹으러 나가려면 좀 불편했어요.<br/>차 타고 갈 수도 없으니 걸어서 가려면 땡볕에 좀 힘들더라고요.<br/>제가 못 찾아서 그런가 배달도 안 돼서 불편했어요.<br/>사람이 많아서 객실에서 뭐 물어보려고 전화해도 전화 연결이 잘 안됐어요~스카이풀 이용할 때가 제일 좋았어요.<br/>저희가 4시쯤 이용했는데 사람이 많지 않아서 좋았구요.<br/>전체적으로 모든 편의 시설이 있어서 좋았지만<br/>동선이 길어서 그 점은 안 좋았어요~^^<br/>그래도 만족은 합니다~^^</div>|<div class="num">8.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">17갤 아기랑 처음 비행기타고 가는 여행이라 숙소정하는게 가장 어려웟는데 신화관으로 결정한것이 전혀 후회하지않을만큼 너뮤너무너무 만족햇어요. 정말 키즈프랜들리 호텔답게 굳이 밖으로 관광하지않아도 안에서 더 해결할수잇어서 너무좋았어요. 매년 제주도올때마다 신화관으로 오려고합니다</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">가족단위 여행객들 엄청 많네요! <br/>체크인 1시간 걸렸어요! 2시쯤 미리 도착하시는걸 추천드려요! 저희는 8.2 수요일 평일이라 그런지 조식 대기 하지 않고 먹었어요!! 생각보다 음식 가짓수도 많고 맛있었어요❤️<br/>무엇보다 부대시설이 많아서 재밌게 일박 보냈습니다. <br/>워터파크랑 테마파크 줄 진짜 별로 없어서 바로 탐 ㅋᩚㅋᩚㅋᩚ 이렇게 좋은 시설을 나만 즐겨도 되나 싶었네요!! <br/>다음엔 이박 묵고 싶어요. <br/>돌아가서 돈 많이 벌어서 다시 올게요😘🙏🏻</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">제가 최근 가본 호텔 중에 시설과 청결은 최고입니다 다만 몇년째 최고의 문제점이 체크인이 너무 늦다는게 문제입니다 많은 고객이 저랑 똑같은 생각을 할것입니다 어느 호텔을 가더라도 체크인 한다고 몇 십명 고객이 웨이팅 할정도는 아니라고 생각하고 개선사항이라 생각합니다</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">아이와 함께 즐겁게 다녀왔습니다. 규모도 크고 워터피크 시설 크고 관리 잘되어있었어요ㅡ 직원들도 모두 친절했습니다. 특히 방에 에어컨이 무풍? 직접적으류 나오지 않고 무튼 너무 좋았습니다 ㅋㅋㅋㅋ 그런데 음식점이 너무 많은 사람들을 소화하지못해 8시 워터파크 마감하고 씻고 9시 식당 찾는데 식사 할 수 있는 곳이 없었어요... 다 재료 소진이거나 대기예약마감까지.. 그것만 빼면 전체적으로 만족스러웠습니다. 빅3 이용권까지 알찼습니다</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">대기 시간 기본 한시간이에요 ㅠ 체크인도 한시간 조식도 한시간 ㅠ 정말 최악의 리조트였어요 다시는 오고싶지않네요 ㅠ</div>|<div class="num">5.6</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">4년만에 찾은 제주도~<br/>신화월드 신화관 공동구매로 이용했습니다~<br/><br/>일단 부지가 워낙 넓어 신화관 주차장을 한번에 찾아가진 못했네요~ㅋ<br/>직원분들이 정말 친절하게 맞이해주셨습니다<br/><br/>슈페리어트윈 엘베와 가까운 룸으로 배정 해주셔서 이틀동안 편안하게 이용했습니다.<br/>후기에 룸관리가 잘 안된다는 글을 익히 봐서 그런지<br/>크게 신경쓰이는 부분은 없었습니다.<br/>다만 샤워실 조명이 스위치 고장으로  메인으로만 작동되어<br/>다소 불편했습니다.<br/>하수구 냄새도 올라와서ㅜㅜ 룸체인지 하기에는 짐 싸기가 귀찮아 체크아웃할때 말씀은 드렸는데 시정이 되었는지는 모르겠네요^^<br/><br/>워터파크 스카이풀만 이용했는데 미온수라 비가 계속오는데도 너무 잘 이용했습니다<br/>주말동안 폭죽행사가 있어 일요일을 일부러 껴서 예약했는데 비가와서 행사가취소되어 아쉬웠네요..<br/><br/>공동구매로 저렴하게 잘 이용하고 왔네요^^<br/>여기어때 공동구매 덕분에  매번 여행 잘 다녀오는것 같아요!!^^</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">물놀이와 가족여행이 적합한 신화관 커넥팅룸 2박에 여유롭게 지낼 수 있었습니다. 1일1회 스카이풀 이용과 워터파크 이용은 여행일정 잘 맞춰 알차게 보내면 좋아요.</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">네가족이 사용했습니다..딸과 엄마가 한방 같이쓰고 아들과 아빠가 한방 썼습니다..화장실이 두개있으니 물놀이 하고 와서 씻을때도 기다리지 않고 씻어서 편했고 티비도 두개라 편했습니다..남녀 공간 분리해서 쓰기 편했어요..1층 룸에서 워터파크 다니기 편했습니다..2박동안 워터파크 테마파크 실컷 이용했구요..식당가에서 식사하기도 편했습니다..날씨가 그리 좋지 않았지만 리조트 안에서 큰 불편함 없이 놀다 왔습니다~</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">드디어 신화월드 입성.<br/><br/>워터파크,스카이풀. 숙소 컨디션<br/>모두 좋습니다.<br/>조식도 깔끔~</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">친절하고 워터파크가연결돼어있어 아이랑놀기 너무조아요 올해만2번째 방문이에요<br/>근데 머리띠를 두고와서 프론터에 전화할려는데 연결이 안돼요<br/>그것빼구 조와요</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">워터파크랑 테마파크 이용할겸 숙소로 정했는데<br/>객실은 소소 했어요<br/>와~~ 좋다 와~~별루다도 아닌~^^<br/>제일 불편한건 식당들이 너무 멀어요 편의점도 멀고<br/>아이들이 힘들어 하더라구요ㅜㅜ<br/><br/>워터파크는 좋았어요~<br/>테마파크는 생각보다 놀이기구도 별로없어요</div>|<div class="num">8.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">지금껏 다녀본 어느 호텔보다 너무 만족스러웠던 호텔이였네요~<br/>로비에 사람이 너무 많아 기다리긴 힘들었는데 우리가 배정받은 객실이 아닌 객실업그레이드 해주셔서 기분이 너무 좋았습니다~<br/>객실들어가니 너무 깔끔하고 넓고 심지어 화장실마저 너무 넓어서 입을 못닫았네요~<br/>잘 놀고 쉬다 갑니다~</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">진짜…최고!!!!!!<br/>일단 워터파크 너무너무 재밋게놀앗구여!!<br/>룸컨디션도 좋앗어요!!<br/>한가지 아쉬운건 에어컨 온도가 너무 안내려가서ㅜㅜ <br/>더웟숨다!!</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">동생네 가족과 함께  2박3일  제주도 휴가 제대로 즐기고왔습니다 신화관 1층으로 배정 받았는데 부대시설로는  인피니티풀 바로 연결되어있어서 완전 대박 워터파크도 바로 아래층으로 연결 !!! ㅎㅎ .청소상태.침구류.직원친절도 기타등등 진짜모든면에서 만족도 100%였습니다.  말그대로 호캉스 지대로 즐기다가 왔습니다.^..^</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">숙소상태도 좋았고 부대시설도 많아서 편리했습니다.<br/>또 이용할 것 같아요.</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">조아요<br/>겨울에 또 올꺼예요.<br/>다음엔 와이프랑 두리서...</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">신화관에서 스카이풀,워터파크 바로 연결되고 시설도 넓고 슬라이드도 스릴있어서 즐거웠어요. 프론트 응대도 빠르고 좋았어요.룸 컨디션도 최고였고 아침 조식은 깔끔하고 많이 붐비지 않아 좋았으나 금액대비 다체로운 메뉴는 아니었어요. 전반적으로 만족하는 숙박시설 입니다.</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">숙박시설 스카이플이용예약해야하고 엘베 탑승시 객실 키찍어야 함 조식 포함 없으면  12시까지 밥못먹음 리조트안에 식당가는11~12시 오픈<br/>무조건 조식먹으라는 시스템 ㅎㅎ<br/>조식외 먹을수 있는건 햄버거 브런치 스벅이용가능<br/>아이와 여행중 호텔 리조트중 제일불편했음</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">숙소 컨디션도 좋고 직원들이 너무너무 친절하셔서 기분좋은 여행할 수 있었습니다~!</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">호텔 깨끗하고 시설 좋았어요</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">시설도 깨끗하고 수영장도 너무 좋았습니다. 1일1회 수영장 이용가능이라, 퇴실전까지 신나게  놀았습니다!! 실외수영장은 1.2미터 수심에 물도 따뜻해서 밤낮으로 놀기 편했고, 워터파크도 은근 알찼습니다. 신화월드 자체도 커서 구경하기 좋었습니다~</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">체크인 1시간 기다렸어요!!!! <br/>이건 좀 개선 되어야 할거같아요. <br/>직원은 친절했으나 객실 시설은 확인이 필요 할거 같습니다. 일단 샤워실 배수구 물빠짐이 좋지 않았습니다. 샴푸 바디워시도 채워져 있지 않아서 샤워 도중 황당했구요. 어린 자녀가 있는 가족 아니면 놀이동산이나 워터파크가 큰 메리트가 있진 않았어요. <br/>다른 블로그 리뷰처럼 한번 와본 사람은 두번은 찾지않을 듯! <br/>중학생 자녀가 있는 우리 가족은 별로였어요! <br/>다른 리뷰는 왜 후기가 좋은지 알 수 없을 만큼..</div>|<div class="num">6.3</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">방문 전부터 설레는 마음으로 신화월드에 방문하였습니다. 신화관 체크인에서 반겨주시는 직원분의 친절함과 밝은 미소로 기분 좋은 여행의 시작을 만들어주셨습니다. 로비에서 객실로 이동에서 지나치는 직원분들 한분한분의 기분 좋은 인사로 좋은 기억과 추억을 가지고 여행하고 떠나 행복합니다. 다음에도 신화월드에 재방문하여 여행하고 싶습니다. 다음 여행까지 설레는 마음을 가지고있겠습니다.</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">말로만 듣던 신화 호텔 왔어요.너무 좋아요. 일단 두아이 데리고 왔는데 얼리 체크인으로 높은 5층 배정 받았어요. 바로 수영장 루프탑도 분위기 너무 좋고 날씨가 안좋아서 조금 아쉬웠어요. 여기가 좋은게 모든게 다있어서 밖에 안나가고 생활이되요. 심지어 흑돼지도 먹을수 있어요. 댄스클럽 코인 노래방도 있고 술집도 있고 워터파크 놀이공원도 공짜로 가능해요 최고입니도</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">친절하고 숙소도 깨끗했습니다.<br/>수영장 및 워터파크도 좋았구요<br/>저녁 뷔페도 가격이 좀 있지만 만족합니다.<br/>다음 재방문해서 아이들과 더 즐거운 시간 보낼려고 합니다.</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">아이들과 4박5일 여행중 2박은 투어용으로  잠만자기위해 저렴이 숙소 이용하고 2박을 신화월드로 픽했어요! 여행이 끝난 후 남편과 이야기한게 그냥 2박도 투어하지 말고 신화월드를 올걸 이였습니다. 제주 투어 한 이틀보다 워터파크며 테마파크며 저희 아이들이 너무 행복해 했고 2박이 너무 아쉬웠네요ㅠㅠㅜㅠ신화월드  다 돌아보지도 못하고 돌아왔는데 다음에 또 가고싶어요 ! 가족여행 강추🩷❤️</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">조식도 생각보다 좋고 부대시설이 많은 게 아이들 어린 집에 특히 좋을 거 같아요.</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">좋아요 실내수영장에 즐길거리도많고</div>|<div class="num">10.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">7130호 주차장뷰<br/>담배냄세 계속나서 나가 보니 2층에서 계속펴댐<br/>샤워실 역류 넘치고 난리 배수구 그 더러운거<br/>애기아빠 맨손으로 응급 처리햇으나 안내려감<br/>고로 물바닥 화장실 대 타올로 몇겹 깔고<br/>겨우 사용함<br/>욕조 샤워기 수압약함<br/>수영장갓다 애기들 하고  4이<br/>다벗고 있다 난리남<br/>개욕도 아까움<br/>그바람에 애들 발가벗고 대기하고 하다<br/>방엔 에어컨 나오고 있고  (보일러 입실후 손 안댐)<br/>죄다 감기 걸려 지금 병원가는중<br/>2박 워터+조식  78만인가? 결제햇음<br/>이걸 결제한<br/>내손을 잘라버리고 싶음</div>|<div class="num">8.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">가족여행을 다녀 왔습니다.<br/>전체적으로 양호했어요</div>|<div class="num">8.0</div>
신화관 제주신화월드 호텔앤리조트|<div class="txt">기대이상 친절한 곳! 직원들 다 젊고 너무 친절하고 잘 웃으시고 서비스가 생각보다 너무 좋아요 초저학년까지는 완전 좋을거 같아요 아이도 여기 좋았다고 계속 얘기하네요</div>|<div class="num">10.0</div>
