name|reviews|star
휘닉스 제주 섭지코지|<div class="txt">제주도 일년에 두세번은 꼭 가는데 프론트 직원들 친절도가 최상급입니다~<br/>너무 친절해서 노후된 시설을 삼켜버리네요👍<br/>객실에서 비치도 보이고 정원도 보여서 시원했어요~ <br/>근데 2박했는데 어매니티랑 물은 한번만 주나봐요?<br/>수건요청할때 같이 주는줄 알았네요;;;<br/>뷔페도 이용했는데 한번도니 먹을게 없었어요ㅜㅜ <br/>가격대비 완전 실망했네요<br/>고기종류가 넘 느끼해서 애플망고빙수만 먹다왔어요ㅋㅋㅋ<br/>담번엔 뷔페는 패쓰하고 객실만 이용할 예정입니다~</div>|<div class="num">10.0</div>
휘닉스 제주 섭지코지|<div class="txt">다소 대가족들로 제주도 여행  숙소로 서머셋 2박하고 휘닉스에서 2박했습니다 서머셋이 훨씬 넓고 시설도 좋고 편한건 맞지만 제주도다운 느낌은 별로 없었습니다 그러나  휘닉스에서는 날씨가 좋지 않았았지만 잠깐 날이 좋을때 뒤편 산책길을 따라 섭지코지를 다녀왔는데 비가 왔어도 좋고 맑아도 좋은 바다 산책길이였습니다 올인클루시브라 식사가 포함되어서 편했고 라운지도 간간이 이용할수있어 좋았습니다 재방문의사 있어요</div>|<div class="num">10.0</div>
휘닉스 제주 섭지코지|<div class="txt">객실은 좀 오래된 티가 좀 나지만 애들한텐 천국일듯요. 오렌지동으로 했는데 플레이라운지 가까워서 이용하기좋고 생각보다크고 활동 많은 애들한텐 좋을것같아요.<br/>올데이라운지 포함으로 끊으니 한번씩 애 간식도 먹이고 밤엔 와인도 간단히  먹기 좋아요.<br/>근데 와인이 다 드라이한것만 있어서 좀 아쉬웠어요.<br/>객실은 깨끗한데 모기가 좀 많았어요 <br/>수영장은 실내외로 다니기 좋은데 비가와서그런지 추웠어요.<br/>그래도 직원분들 대부분은 친절하시고 산책로도 너무좋았어요.</div>|<div class="num">10.0</div>
휘닉스 제주 섭지코지|<div class="txt">돌아기랑 돌기념 제주여행 마지막방으로 휘닉스 예약했어요.<br/>아무래도 년식이되다보니 그런부분에서 오는 아쉬운점은 있었지만 전체적으로는 좋았어영<br/>아이가 컨디션이 안좋아져서 리조트 내 부대시설을 다 이용하지 못해서 아쉬웠어서 다음에도 재방문할거같아요.<br/>신랑이랑 저랑 아가 이렇게 3명이서 묵었는데 방이2개 이다 보니 어른들과 같이 와도 되겠단 생각이 들더라구영ㅎㅎ <br/>아기용품도 무료대여인데 선착순이라서 너무 늦으면 대여를 못받으실수있어욘~ <br/>전 일찍 도착해서 가드도 두개받아서 설치했었는디 확실 편했네요</div>|<div class="num">10.0</div>
휘닉스 제주 섭지코지|<div class="txt">정말 좋은시기에 방문해서 조용하게잘 쉬고 <br/>조식 맛있게 먹고 왔네요<br/>올데이에서 분위기있게   와인 마시고<br/>섭지코지 구경하고 아침 해돋이까지 볼수있어<br/>좋았네요<br/>침실도 깨끗하고 바다전망 구웃!!</div>|<div class="num">10.0</div>
휘닉스 제주 섭지코지|<div class="txt">섭지코지 내에 있어서 좋았어요<br/>객실은 조금 노후화된게 보였고<br/>올데이라운지 음식이 모자라서 조금 아쉬웠네요<br/>그럼에도 불구하고 부대시설, 편의시설, 키즈라운지들이 이만큼 잘 되어있는 숙소는 제주에서 찾기 힘들죠<br/>재방문 의사는 있으나 라운지는 선택하지 않을 것 같아요<br/>아이와 함께 방문이시라면 동부숙소중 가장 좋습니다</div>|<div class="num">6.0</div>
휘닉스 제주 섭지코지|<div class="txt">제주여행좋았어요 조식디너 괜찮았어요</div>|<div class="num">10.0</div>
휘닉스 제주 섭지코지|<div class="txt">섭지코지뷰<br/>위치좋고 자연과 함께<br/>아이들과 지내기에 좋습니다.<br/>수영장도 아이들 놀기엔 좋아요</div>|<div class="num">10.0</div>
휘닉스 제주 섭지코지|<div class="txt">아이와 같이 즐길거리도 많고 너무 너무 좋았어요</div>|<div class="num">10.0</div>
휘닉스 제주 섭지코지|<div class="txt">7인가족(성인6+돌아기1명) 이용할만한 숙소 찾다가<br/>선택지가 많이 없어서 2년전 아기 태어나기 전 방문했을때 좋은 기억이 있어 다시 예약 했습니다.<br/>정말 솔직히 말씀 드리면 다시는 방문하고 싶지 않네요.<br/>주변 풍경 좋고 산책로 잘되어있는건 좋았지만 나머진...<br/>우선, 객실 컨디션 정말 너무 안좋더라구요<br/>침구에 먼지 가득한건 둘째치고, 침실에 전에 묵었던 손님 네일팁(손톱에 붙이는)이 떨어져 있었는데, 청소 제대로 안하시나요....? 너무 불쾌했습니다.<br/>부모님도 모시고 간건데, 기준6인 최대8인 방으로 예약 했음에도 침실2개만 있길래 여쭸더니 제가 침실 2개 짜리로 예약을 했다고 하시더라구요? 체크인시 분명 배정된다고 했고, 차라리 남는 방이 없다고 말씀해주셨으면 이해하겠지만 전 침실2개 짜리로 예약한적이 없습니다.<br/>이럴줄 알았으면 펜션이나 에어비앤비로 다른데 했죠..<br/><br/>2년전 방문했을땐 6인 가족이라고 침실2개, 온돌방1개로 체크인 해주시더니... 뭐 이건 그렇다 치고, 사람이 몇명인데 수건도 넉넉하지 않아서 번거롭게 계속 전화로 요청드려야 했고, 쓰레기는 우리가 비워야된다면서 정작 쓰레기봉투는 무슨 일회용비닐봉지 마냥 작은거 2장만 여유분 있어서 또 계속 요청드려야 했어서 너무 불편하고 번거로웠어요. 그리고 제일 중요한건 직원분들 너무 불친절하세요. 첫날 수영장 이용했는데, 튜브 빌릴경우 추가요금 내야된다는 안내도 따로 안해주셔놓고 튜브 놔둬져 있는 장소에 직원분도 따로 없었고 고작 10분도 이용 안했는데 한개당 5천원 추가금 있다고 나갈때야 되서 안내해주시더라구요? 추가금 있는거 알았으면 이용 안했을거다 하니, 프론트 직원분이 내용다 적혀져있습니다~ 읽어보셔야죠 하는데 말투나 표정이ㅎㅎㅎㅎ; 제탓이라는건가요?<br/>체크아웃할때 위에 내용 다시 말씀 드리니 제가 말하는데 도중에 끊고 그럼 그냥 튜브 가격은 뺄게요 됐죠? <br/>하시는데 어이가없었습니다.<br/>제가 진상 부리면서 따지듯이 말했으면 모르겠는데<br/>정말 이해가 안가는 부분이였고 다른 투숙객들도 같은 상황을 겪으실 수 있으니 사전에 고지를 해주셔야되는거 아니냐 말씀드렸던거 뿐인데.....하하;<br/><br/>좋은 추억이 있어서 재방문 했던건데 이번 여행은 숙소때문에 최악의 여행이었네요.<br/>아무리 오래되서 노후 됐다는 점 감안을 하더라도<br/>숙소 컨디션도 별로였고(청소 상태 정말 별로였음)<br/>프론트 직원분들 응대도 정말 불쾌했습니다.<br/>가격이 비싼데에 비해 그에 맞는 서비스를 받지 못한거 같아 너무 아쉽고 속상하네요.<br/><br/>마지막으로 아기의자 요청 드려서 가져다 주셨는데<br/>솔직히 눈에 띄게 더러웠거든요...? 먼지 가득한건 물론,<br/>의자 안에 말라비틀어진 나뭇잎들이 있더라구요<br/>관리 안하시는지 의심스럽습니다.<br/>너무 더러워서 결국 사용 못했어요.<br/><br/>직원분들 서비스교육 다시 받으셔야될거 같아요.<br/>객실 청결도 더 신경 쓰셔야될거 같습니다.<br/>정말 솔직하게 작성했으니 참고 하시고 이용하시길</div>|<div class="num">3.3</div>
