name|reviews|star
소노벨 변산 리조트 |<div class="txt">아이들과 오션플레이 종일 이용했는데 나름대로 즐기고왔네요. 안전요원들이 곳곳에 배치되어 잘 통솔하고있습니다.7층 더선셋에서 바베큐세트랑 생맥주  한잔했는데 해질무렵 뷰맛집입니다</div>|<div class="num">9.0</div>
소노벨 변산 리조트 |<div class="txt">시설 매우 깨끗합니다<br/>다시 방문하고 싶은 숙소 였습니다.<br/>오션플레이 수질도 매우 좋은것 같습니다<br/>격포해수욕장 석양 최고입니다</div>|<div class="num">10.0</div>
소노벨 변산 리조트 |<div class="txt">친절하시고 아이들과 놀기 좋아요!! 편의시설도 많아서 리조트안에서 편히 이용할 수 있어요^^</div>|<div class="num">10.0</div>
소노벨 변산 리조트 |<div class="txt">직원분들 친절하시고 룸은 오래된것치고 깔끔했어요<br/>저희는 스위트 방2개 화장실2개 짜리 였는데 리뷰가 그닥 좋지 않아서 기대반 걱정반이었지만 기대보다 훌륭했어요<br/>식당밥은 가격대비 맛이 없지만 워터파크도 좋았고<br/>그외 주변 산책로라든가 야경이 매우 예뻤어요<br/>아이들 놀 공간도유료이긴 하나 마련되어있고요<br/>재방문 의사 있어요</div>|<div class="num">10.0</div>
소노벨 변산 리조트 |<div class="txt">역시 한적하고 좋았어요. 평일에 가서 그런지 더더욱 그랐고. 시설은 조금 낙후되었지만 그 맛이 또있어요^^;;</div>|<div class="num">10.0</div>
소노벨 변산 리조트 |<div class="txt">변산 부안 최고의 리조트입니다</div>|<div class="num">10.0</div>
소노벨 변산 리조트 |<div class="txt">가족여행으로 다녀왔는데 가족들이 너무 좋아하네요</div>|<div class="num">10.0</div>
소노벨 변산 리조트 |<div class="txt">그럭저럭<br/>좋지도 않고 나쁘지도 않고<br/>휴가철이라서 사람 많고<br/>그렇습니다</div>|<div class="num">5.0</div>
소노벨 변산 리조트 |<div class="txt">소노벨 두번째방문 잠이잘와요 푹잤어요 애견동반이라 더좋았습니다 근데 애견동반으로 숙소만 이용가능해요 다른곳은 못데리고다님</div>|<div class="num">10.0</div>
소노벨 변산 리조트 |<div class="txt">친정 엄마를 모시고 가족 여행을 다녀 왔습니다~~ 장마철이라 걱정이 되었지만 스콜성으로 야간에만 비가 와서 여행은 즐거웠습니다<br/>리조트 근처에 내소사가 있어서 전나무 산책하기에 좋았습니다<br/>화덕 생선구이 맛집도 있어서 엄마가 점심도 맛 있게 드셨고 숙소에서 잠깐 휴식을 취한후 채석강 산책도  좋았습니다<br/>프론트에 물때 시간을 문의하니 친절하게 안내 해 주셔서 리조트 해안 산책로를 따라 걸어서 채석강에 도착하게 되어 풍경을 잘 보았습니다</div>|<div class="num">10.0</div>
