name|reviews|star
탑클라우드 호텔 광주|<div class="txt">남자친구랑 장거리 연애중인데 광주에서 잘때면 항상 여기로 예약해요 방 구조도 좋고 들어와서 샤워하고 샤워가운 입고 푹신한 침대에 누워서 넷플릭스 보면서 음식 시켜먹어요ㅋㅋㅋ 청소도 너무 잘되어있고 특히 침대가 푹신해서 자주 가요 정말 첨단에선 여기가 제일 좋습니다~~<br/>전 특히 화장실 청결을 제일 많이 보는 편인데 정말 깨끗해요 앞으로도 종종 방문할게요 잘 쉬었다 갑니다!</div>|<div class="num">10.0</div>
탑클라우드 호텔 광주|<div class="txt">너무 좋은데요!! 출장중 방문했는데 너무 만족합니다 청결상태 최상이고 침구류가 너무 좋아서 푹잣습니다 로비에 카페도 너무 좋고 주차공간도 좋네요 직원들도 전부친절하고 최고중에 최고입니다 여기</div>|<div class="num">10.0</div>
탑클라우드 호텔 광주|<div class="txt">*good<br/>1.가격 대비 객실 컨디션 훌륭했음. 휴가 철 다른 호텔은 상대적으로 가격을 많이 올리는데 여기는 많이 올린 것 같지 않음.<br/>2.방음 잘 됨. 입실하고 퇴실 할 때까지 거의 방안에 있었는데 방음이 잘 돼 조용하게 잘 쉴 수 있었음.<br/>3.스타일러, 여름에는 사실 사용 할 일이 없지만 겨울에 외투 넣어 놓으면 좋을 것같음.<br/>*bad<br/>1.첨단지구에 위치해 있긴 하지만 약간 유흥가 외곽에 위치해 있어 밥 먹으려면 좀 걸어서 나가야하고 전체적인 동네 분위기가 좀 어두움.<br/>2.뷰라고 할게 없음. 주변이 다 공사장임.</div>|<div class="num">8.0</div>
탑클라우드 호텔 광주|<div class="txt">광주갈때마다 묶는 숙소인데 너무 깔끔하고 편안하게 푹쉬고 잘지내고 왔습니다. 최고입니다~!!</div>|<div class="num">10.0</div>
탑클라우드 호텔 광주|<div class="txt">약간의 먼지가 있었지만 전반적으로 아주 깨끗하고 넓은 호텔이었음 <br/>장점 : <br/>넓은 방 <br/>깨끗한편에 속하는 컨디션<br/>편안한 침대 <br/>뚫린 뷰가 있는 창 <br/>공기 청정기 <br/>에어드레서 <br/>깨끗하고 분위기 좋은 라운지 (생수 무제한) <br/>다이슨도 빌려줌 <br/>커피포트 대여형식 - 안전하고 깨끗할 것 같음<br/>단점: <br/>위치가 약간 애매해서 광주 중심에서는 택시비 만원정도 생각하고 움직이거나 운전시 20분 이상 이동시간 필요 <br/>먼지가 조금 많았음 - 특히 램프 주변</div>|<div class="num">8.6</div>
탑클라우드 호텔 광주|<div class="txt">기분 좋게 잘이용했어요</div>|<div class="num">8.0</div>
탑클라우드 호텔 광주|<div class="txt">제가 광주에서 가장 좋아하는 곳이에요. 침대 편하고, 방음 잘되고, 직원분들 친절하고-! 그리고 다이슨 에어랩을 대여할수도 있고, 배달을 받으러 직접 내려갈 필요가 없어서 또 편해요. 광주에서 왠만한 호텔 다 다녀봤는데 탑클라우드 침구류가 가장 편해서 남자친구도 휴식이 필요할땐 탑클라우드만 가자고 이야기할 정도에요. 저는 집보다 여기서 숙면을 취할정도라서 늘 찾아옵니다. 휴가도 여기서 보낼 것 같아요.</div>|<div class="num">10.0</div>
탑클라우드 호텔 광주|<div class="txt">탑 클라우드 호텔 방문 후기<br/><br/>직원분 들이 친절하고 객실이 조용해서 좋았습니다. <br/>그러나 객실 청결이 아쉬웠습니다. <br/><br/>비가 와서 그런지 담배 냄새가 나서 하루 종일 환기시켰어요. 에어컨 필터, 공기청정기에서도 좋지 않은 냄새가 났습니다. <br/>청소에만 좀 더 신경 써 주시면 좋을 것 같습니다. <br/><br/>큰 소음없이 조용한 점은 참 좋았습니다. <br/>비즈니스로 머물기에 무난한 곳 이었습니다.</div>|<div class="num">6.6</div>
탑클라우드 호텔 광주|<div class="txt">광주 출장때문에 검색하다가 방문 했습니다 <br/>주차장 공간 넉넉하고 지하와 1층에 각각 있구요 <br/>1층 로비에 소파같은것들이 있어 앉아서 잠깐 얘기하기도 좋고 <br/>근처에 식당들이 있어서 밥 먹기도 편리하고 카페도 있어 좋습니다 <br/>조식서비스는 없는거 같은데 이 부분은 아쉽습니다 <br/>방 컨디션도 쾌적하고 전객실 금연이라 너무 만족합니다 <br/>다음에도 출장오면 재방문 예정입니다<br/>공기청정기도 엄청 큽니다</div>|<div class="num">10.0</div>
탑클라우드 호텔 광주|<div class="txt">객실 컨디션이 좋앗으며 주변이 조용해서 휴식하기 좋았습니다 출장중인데 너무 만족스럽습니다 객실상태도 깨끗하고 직원분들도 친절해서 너무 만족합니다 출장오면 자주 이용하도록 하겠습니다</div>|<div class="num">10.0</div>
