name|reviews|star
켄싱턴리조트 지리산남원|<div class="txt">생각보다 낡은 외관과 카드키가 아닌 열쇠로 여는 시스템이라 놀랬어요<br/>하지만 실내는 굉장히 깨끗했어요<br/>수영장이 사진과 달라 놀랐습니다<br/>물 좀 더 넣어주지  말입니다<br/>건물앞 수변시설이 이번 비 피해로 운영을 안해 아쉬웠어요<br/>직원들은 정말로 친절하셨고<br/>애슐리도 같이 간 가족 모두 만족했습니다</div>|<div class="num">10.0</div>
켄싱턴리조트 지리산남원|<div class="txt">이번에 부모님이랑 어르신들 모시고 같이 다녀왔어요 시설도 좋고 넓고 5명이 이용하기에 불편함이 없었어요 주변에 공기도 좋고 전망도 좋고 만족하고 쉬다갑니다~ 예전엔 평범한방 이용했는데 역시 켄싱턴룸이 확실히 다르네요~~ 직원분들도 친절하고 깔끔하게 정리돼 있어서 좋았어용 조식으로 먹은 애슐리도 괜찮았어요~~<br/>덕분에 잘 쉬다갑니다 다음에 또 방문할게요!^_^</div>|<div class="num">10.0</div>
켄싱턴리조트 지리산남원|<div class="txt">넘 좋아요! 차없이 갔는데 여행다니기딱이고 애슐리에서 조식도 먹고 친절하게 대해주셔서 넘 감사했어용 가족단위로 많이 오셔서 줄서기 빡세지만 굳이 줄 빡세게 안서도 되는 여행이라 천천히 하니 좋았어용 사진은 숙소에서 찍었어용 뷰도좋고 위치도 완벽하고 굿!</div>|<div class="num">10.0</div>
켄싱턴리조트 지리산남원|<div class="txt">이번 가족여행은 켄싱턴리조트로 갔어요<br/>에슐리 조식 너무 만족합니다.<br/>룸 컨디션은 조금 실망했어요<br/>801호인데 먼지가 많더라고요<br/>ㅋㅋ<br/>하지만 전망좋고 나머지는 만족했어요<br/>다음에 또 갈께요</div>|<div class="num">10.0</div>
켄싱턴리조트 지리산남원|<div class="txt">남원켄싱턴리조트는 처음 이용해봅니다<br/>위치는 진짜 갑오브갑이구요<br/>춘향제 축제 즐기기 너무좋았고  요천분수도 너무 멋집니다<br/>밤에 이용한 불멍세트도 낭만있고 아이들도 좋아했구요<br/>1시간반이라는 시간이 정말 순삭~  사진찍으면 색감 넘이뻐요<br/>직원분들 너무 친절하셔서  숙박내내 기분좋았습니다.<br/>시설은 오래된 것 같아요</div>|<div class="num">10.0</div>
켄싱턴리조트 지리산남원|<div class="txt">직윈들 모두 친젏하시고 조식도 맛있게 자~~알 먹고 잘쉬고 갑니다</div>|<div class="num">10.0</div>
켄싱턴리조트 지리산남원|<div class="txt">가족들과 함께한 여행 잘 쉬고 잘 지내다 왔습니다.<br/>아기들이 너무 좋아합니다ㅎㅎ</div>|<div class="num">8.0</div>
켄싱턴리조트 지리산남원|<div class="txt">잘 머물다 갑니다~~!!</div>|<div class="num">8.0</div>
켄싱턴리조트 지리산남원|<div class="txt">넘 올드한 숙소라<br/>입실 때부터 특유의 오래된 건물 냄새가 났어요.<br/>숙소에 비해 숙박료도 비싸<br/>가성비가 좋다고 할 수도 없답니다.<br/>주변의 가까운 관광 인프라만이 <br/>좋다고 생각했습니다.</div>|<div class="num">6.0</div>
켄싱턴리조트 지리산남원|<div class="txt">잘지내고 왔어요 감사합니다 ㅎㅎ</div>|<div class="num">10.0</div>
켄싱턴리조트 지리산남원|<div class="txt">친구들이랑 같이 조은시간보내려 잡은숙소..<br/>그럭저럭 하루밤 자고나왔어요<br/>구조상 거실 방 모두 어둡고 답답해서<br/> 마운틴뷰를 본다는 사치는 고이 접어두고..<br/>시설이 노후되여 어쩔수없는점이지만<br/>다시는 이용하고싶지는 않을듯<br/>조식 그나마 괜찮은듯 특히 커피..<br/>직원들은 친절했어요~</div>|<div class="num">6.0</div>
켄싱턴리조트 지리산남원|<div class="txt">오래된 리조트 인데 직원도 친절하고 좋았습니다</div>|<div class="num">5.6</div>
켄싱턴리조트 지리산남원|<div class="txt">바베큐랑 불멍했는데 남자직원분이 너무 친절하셔서<br/>기억에 남았습니다.<br/>바베큐도 가성비 좋구요.<br/>화장실청소는 좀 더 신경 써주셨으면 하네요.<br/>애들이 좋아해서 또 방문하겠습니다.</div>|<div class="num">10.0</div>
켄싱턴리조트 지리산남원|<div class="txt">남원 여행하기에 위치가 정말 좋은 것 같습니다. 바로 앞에 음악분수가 있어서 보러가기도 편하고 방에서도 보여서 좋았어요. 생각보다 규모가 커서 볼 만 했습니다. 소파에서는 약간 쉰내가 났지만.. 오래된 리조트 치고는 전반적으로 청결했습니다. 화장실 슬리퍼가 너무너무 미끄러워서 몇번 넘어질 뻔 했는데, 미끄럼 주의 표시가 있긴 하지만 슬리퍼가 교체되면 좋을 것 같습니다.</div>|<div class="num">10.0</div>
켄싱턴리조트 지리산남원|<div class="txt">위치가 최고입니다 ^^</div>|<div class="num">10.0</div>
켄싱턴리조트 지리산남원|<div class="txt">25개월 아기랑 부모님이랑 같이 간 여행인데 일단 시내 중심지안이라 식당도 가깝고 마트도 가까워서 편했어요<br/>아기욕조랑 침대가드도 요청하니 서비스해주셨구요<br/>직원분들이 엄청 친절하세요~^^<br/>인테리어는 좀 오래되었어도 침구상태도 좋았고 청소상태가 깨끗해서 좋았어요~ 방도 리버뷰로 배정받아서 전망이 너무 좋았고 저녁마다 노래분수쇼가 나와서 아기가 엄청 좋아했어요~<br/>다만 방음이 정말 안좋더라구요 ㅠㅠ <br/>밤12시 새벽 2시쯤에 무슨 방송이 나와서 깜짝 놀랬어요~ 그앞에 개천같은게 있는데 거기 들어가지 말라는 방송 같던데 그시간에 방송을 하시는건지 ㅠㅠ (이건 호텔에서 나온 방송 아님)<br/>정말이지 방음 빼고는 다 완벽한 숙소였어요~<br/>다시 남원 여행갈일 있으면 예약할꺼예요~^^</div>|<div class="num">10.0</div>
켄싱턴리조트 지리산남원|<div class="txt">벚꽃명소에 위치하고 있어서 좋았어요.<br/>3월말 4월초 베스트 방문장소 인듯<br/><br/>조식포함이고 저녁에는 장작 멍때리기도 하고 전체적으로 남원에서 이용가능한 베스트 숙소인듯</div>|<div class="num">10.0</div>
켄싱턴리조트 지리산남원|<div class="txt">갑자기 구하게 됐는데 마침 할인가가 떠서 예약했습니다. <br/>숙소는 오래된편이나 딱히 불편한건없었네요.<br/>뜨거운물에 수압이 좋아서 만족했습니다.</div>|<div class="num">10.0</div>
